DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20240101,14.28,25.04,0.0,2.61,21.61,6.54,42.79
20240102,14.62,24.39,0.01,0.79,19.08,7.27,61.0
20240103,14.66,24.28,0.0,1.93,22.22,6.65,42.86
20240104,14.03,23.8,0.03,2.03,16.38,5.08,60.72
20240105,15.2,22.16,0.0,1.6,18.01,2.61,44.69
20240106,15.95,21.2,0.0,2.12,19.27,2.24,30.75
20240107,14.89,23.07,0.07,3.38,17.23,3.74,34.4
20240108,16.3,19.74,0.0,2.13,12.53,0.32,33.67
20240109,16.06,20.74,0.0,2.51,18.7,-0.94,18.95
20240110,16.15,21.79,0.0,2.03,21.25,4.59,17.7
20240111,13.65,23.8,0.0,2.98,17.38,2.31,53.68
20240112,16.37,21.0,0.0,2.31,20.82,1.29,28.67
20240113,16.25,23.11,0.0,1.64,24.4,4.05,13.77
20240114,15.87,24.5,0.0,1.72,26.52,7.5,17.1
20240115,16.04,24.2,0.0,1.72,24.72,8.33,23.4
20240116,15.75,24.44,0.0,1.36,26.01,7.28,23.51
20240117,15.88,24.8,0.0,1.82,27.06,9.26,18.5
20240118,16.36,24.64,0.0,1.71,27.78,8.76,19.28
20240119,13.46,26.12,0.0,1.46,27.72,10.18,17.33
20240120,11.86,28.0,0.1,1.93,25.87,12.34,21.79
20240121,9.88,28.24,1.35,1.93,20.93,10.17,47.0
20240122,6.42,28.38,2.91,1.81,15.67,7.99,78.48
20240123,7.71,29.52,23.91,2.59,16.18,7.97,87.19
20240124,13.2,26.47,0.32,1.11,18.17,7.21,74.25
20240125,16.45,24.95,0.0,1.5,21.62,6.07,60.86
20240126,17.37,23.87,0.0,2.12,21.52,6.02,51.52
20240127,17.1,24.76,0.0,2.75,24.12,6.51,37.41
20240128,15.5,26.26,0.0,2.01,26.79,7.75,36.49
20240129,16.0,27.36,0.0,1.78,28.97,9.47,39.28
20240130,5.44,30.01,2.23,1.83,22.09,11.84,59.75
20240131,16.96,27.84,0.0,1.74,26.28,9.42,59.21
20240201,17.44,26.54,0.0,3.03,24.22,10.5,56.92
20240202,14.17,27.54,3.31,3.59,17.62,6.74,66.27
20240203,17.53,24.13,0.01,1.72,17.78,6.06,65.37
20240204,18.47,24.17,0.0,0.93,22.48,4.73,47.22
20240205,17.34,25.42,0.0,1.56,26.08,5.36,37.0
20240206,2.8,30.13,5.77,2.12,19.51,10.86,48.27
20240207,13.06,26.24,7.21,3.02,14.64,6.96,76.55
20240208,18.5,24.05,0.0,1.89,19.15,3.0,63.83
20240209,16.53,25.78,0.04,1.92,19.38,5.09,58.75
20240210,9.29,26.05,1.52,2.93,12.82,3.0,81.9
20240211,19.64,21.78,0.01,2.15,16.61,0.82,58.14
20240212,20.33,21.63,0.0,1.77,23.19,0.87,31.42
20240213,20.19,22.54,0.0,1.92,23.26,4.24,32.02
20240214,19.92,23.75,0.0,1.68,24.43,6.84,37.85
20240215,15.93,25.37,0.0,1.64,25.32,7.05,37.9
20240216,20.07,24.14,0.0,1.61,25.14,7.17,39.81
20240217,20.1,24.77,0.0,1.81,25.6,7.43,39.48
20240218,20.27,25.05,0.0,1.73,26.46,8.53,40.9
20240219,20.27,24.78,0.0,1.76,26.86,9.19,36.84
20240220,21.58,24.2,0.0,1.98,30.87,8.05,30.76
20240221,17.19,25.69,0.0,2.36,21.2,7.51,49.37
20240222,19.13,26.09,0.0,1.41,24.68,8.66,48.67
