DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20140101,15.86,25.75,0.0,3.3,24.1,15.64,52.26
20140102,15.71,26.35,0.0,2.76,26.28,15.18,52.1
20140103,15.6,26.81,0.0,2.3,24.15,14.4,53.41
20140104,10.73,28.62,0.0,1.65,23.38,16.79,67.94
20140105,6.96,30.11,0.0,1.82,21.87,17.69,78.52
20140106,13.35,28.53,0.0,3.64,24.92,16.43,57.05
20140107,16.05,26.02,0.0,2.78,23.83,14.57,56.07
20140108,16.21,25.0,0.0,1.76,23.31,15.51,48.78
20140109,10.98,27.39,0.0,1.76,22.07,15.72,49.66
20140110,16.28,26.5,0.01,3.45,24.81,16.45,50.95
20140111,16.64,25.86,0.0,3.2,26.46,14.76,55.58
20140112,16.54,25.52,0.0,1.52,23.0,15.05,65.63
20140113,17.02,25.16,0.0,4.09,26.88,15.74,49.89
20140114,17.41,24.61,0.0,4.43,26.39,14.93,44.9
20140115,17.38,24.81,0.0,3.17,25.25,15.22,44.59
20140116,17.59,24.43,0.0,3.34,24.86,15.3,54.25
20140117,17.48,24.46,0.0,2.49,24.07,14.3,61.48
20140118,15.44,25.89,0.0,2.53,24.93,14.62,56.63
20140119,12.74,27.62,0.0,1.74,23.83,15.3,61.19
20140120,16.72,26.75,0.0,2.66,24.38,16.08,62.18
20140121,13.29,30.54,0.0,3.38,25.56,15.99,56.55
20140122,16.13,29.54,0.0,3.18,24.94,17.97,53.92
20140123,14.1,29.78,0.0,1.5,24.78,17.97,69.0
20140124,7.89,31.79,0.0,2.3,26.12,19.13,48.89
20140125,16.66,30.5,0.0,4.56,27.24,18.79,55.55
20140126,17.42,28.4,0.0,4.34,25.94,17.36,63.82
20140127,6.48,31.11,0.2,3.33,24.2,18.27,64.24
20140128,17.19,27.7,0.0,3.19,24.52,17.14,65.14
20140129,18.19,26.31,0.0,2.84,25.76,15.56,62.04
20140130,18.4,26.15,0.0,1.47,25.08,15.99,57.24
20140131,16.82,26.66,0.0,1.85,24.02,16.36,65.79
20140201,17.29,27.03,0.0,3.24,22.26,16.09,72.14
20140202,19.07,24.63,0.0,3.19,21.78,13.78,54.98
20140203,14.33,26.28,0.0,2.45,21.21,14.22,52.04
20140204,19.2,25.0,0.0,3.54,21.4,13.86,56.59
20140205,18.8,25.61,0.0,3.21,22.51,14.89,55.29
20140206,18.63,25.1,0.0,2.63,22.42,14.64,56.97
20140207,19.83,25.13,0.0,3.72,24.27,14.27,55.26
20140208,19.38,25.83,0.0,4.9,26.92,15.04,49.14
20140209,19.66,27.46,0.0,4.87,29.44,16.48,50.56
20140210,20.2,27.13,0.0,3.84,29.06,18.07,52.75
20140211,20.44,26.18,0.0,2.61,26.29,16.08,67.22
20140212,20.32,26.52,0.0,2.67,27.04,16.32,62.87
20140213,20.46,26.95,0.0,3.25,27.01,15.82,65.04
20140214,20.55,27.74,0.0,1.75,27.51,17.06,69.97
20140215,17.23,29.45,0.0,1.25,24.85,17.65,62.77
20140216,20.58,28.13,0.0,1.35,28.21,19.34,42.6
20140217,21.05,27.29,0.0,1.63,27.26,18.92,48.44
20140218,21.24,27.27,0.0,2.23,27.22,18.46,55.2
20140219,21.77,26.2,0.0,2.43,26.61,17.87,62.09
20140220,20.56,27.35,0.0,2.7,27.11,16.86,59.1
20140221,21.0,27.57,0.0,2.26,26.24,17.73,51.22
20140222,20.57,28.26,0.0,1.71,26.36,18.06,53.08
20140223,15.21,30.05,0.0,1.92,24.19,18.98,66.23
20140224,20.87,28.35,0.0,2.12,24.47,17.84,61.05
20140225,12.15,31.06,0.0,3.26,24.2,18.43,61.32
20140226,21.91,29.08,0.0,4.11,27.68,19.12,57.9
20140227,22.71,27.0,0.0,4.08,27.97,17.33,58.36
20140228,23.02,26.84,0.0,2.34,27.01,17.88,57.68
20140301,22.14,29.37,0.0,2.0,27.21,19.35,64.76
20140302,22.15,28.8,0.01,4.16,25.76,18.26,66.72
20140303,22.41,26.71,0.0,4.01,25.53,16.79,57.52
20140304,21.3,27.67,0.0,3.03,23.84,16.23,57.65
20140305,23.04,27.06,0.0,2.21,24.99,17.17,54.17
20140306,23.16,28.55,0.0,2.58,26.38,17.21,50.42
20140307,19.68,29.42,0.0,2.65,25.54,17.71,70.13
20140308,17.0,30.33,0.44,3.74,24.78,18.63,80.32
20140309,13.64,30.03,4.77,1.87,24.49,17.51,70.08
20140310,22.85,28.65,0.0,2.26,24.27,15.59,55.08
20140311,23.86,27.67,0.0,1.96,24.06,17.42,51.41
20140312,19.3,28.88,0.0,2.62,26.47,17.78,55.44
20140313,24.4,27.7,0.0,1.83,26.25,18.69,58.79
20140314,17.94,29.59,0.0,2.6,25.63,17.91,63.61
20140315,23.69,28.06,0.0,4.79,28.52,17.88,47.82
20140316,26.01,25.36,0.0,5.82,28.95,18.46,30.97
20140317,26.42,24.82,0.0,3.24,27.18,14.9,34.95
20140318,25.85,26.46,0.0,2.23,26.24,17.09,63.05
20140319,21.61,29.1,0.0,3.29,26.19,17.78,64.3
20140320,18.83,30.19,0.0,3.02,26.37,17.58,54.68
20140321,12.63,30.5,0.0,2.25,24.16,18.85,57.96
20140322,19.71,30.1,0.0,1.89,24.24,19.19,55.59
20140323,20.54,28.69,0.0,2.72,27.91,17.5,50.01
20140324,18.81,30.53,0.0,2.97,28.76,18.83,46.41
20140325,23.85,29.1,0.0,3.38,25.6,19.68,50.13
20140326,26.2,26.92,0.0,2.69,26.15,18.04,59.31
20140327,25.62,27.49,0.0,2.57,24.75,17.78,58.99
20140328,25.01,27.63,0.0,3.4,27.08,17.24,54.57
20140329,20.95,29.61,0.0,2.87,26.9,18.97,54.54
20140330,27.08,27.08,0.0,1.83,27.93,18.22,57.96
20140331,27.48,27.17,0.0,2.13,27.99,18.2,59.89
20140401,27.43,26.87,0.0,2.17,27.82,18.29,60.57
20140402,15.89,30.0,0.0,3.73,24.2,18.86,58.81
20140403,27.51,27.13,0.0,4.44,25.16,17.04,49.38
20140404,17.42,29.41,0.0,2.56,24.41,16.03,47.75
20140405,27.55,27.12,0.0,3.12,23.67,17.93,55.11
20140406,28.41,25.9,0.0,4.63,26.42,15.59,47.81
20140407,29.06,26.18,0.0,4.81,31.86,17.01,37.04
20140408,29.46,27.52,0.0,4.1,34.71,18.37,30.5
20140409,29.18,28.77,0.0,2.37,31.28,20.28,33.14
20140410,25.77,29.62,0.0,2.29,29.87,18.71,56.77
20140411,14.74,31.9,0.0,1.99,29.41,21.32,48.46
20140412,14.96,33.54,0.0,2.98,28.85,21.54,39.2
20140413,24.5,30.2,0.0,3.77,26.49,20.2,49.47
20140414,29.1,27.81,0.0,4.0,28.93,18.34,57.12
20140415,27.44,29.25,0.0,2.67,29.26,18.83,52.46
20140416,22.36,30.33,0.0,3.14,27.56,20.37,74.0
20140417,26.46,30.04,0.0,2.99,27.54,19.85,69.04
20140418,13.22,32.62,0.12,1.66,25.67,21.11,70.97
20140419,28.08,30.03,0.16,2.19,26.51,20.29,60.72
20140420,28.81,28.62,0.0,2.19,28.66,19.39,52.67
20140421,29.57,28.16,0.0,2.55,30.52,20.37,49.29
20140422,29.5,28.32,0.0,2.17,29.95,20.8,56.98
20140423,23.92,29.97,0.0,1.81,29.12,21.36,57.47
20140424,29.76,27.6,0.0,1.93,29.84,20.72,48.06
20140425,29.46,28.47,0.0,2.44,29.96,21.0,48.55
20140426,28.14,29.51,0.0,3.85,28.11,22.41,56.85
20140427,29.45,27.73,0.0,3.76,26.44,19.82,52.15
20140428,29.6,28.51,0.0,3.38,28.78,20.32,48.82
20140429,28.5,29.97,0.0,3.82,31.07,20.69,55.45
20140430,26.09,30.13,0.0,3.1,29.77,21.11,59.66
20140501,30.47,27.3,0.0,2.94,28.73,20.12,54.37
20140502,30.27,28.68,0.0,3.1,31.9,20.18,46.7
20140503,30.28,28.94,0.0,2.45,30.67,20.66,57.2
20140504,30.06,29.43,0.0,2.78,30.79,21.64,53.41
20140505,29.63,29.6,0.0,2.61,31.11,21.63,56.83
20140506,27.0,31.08,0.0,3.36,29.65,21.68,54.59
20140507,29.61,28.69,0.0,4.06,25.99,20.03,53.99
20140508,31.21,26.65,0.0,3.98,27.1,18.69,45.73
20140509,30.94,26.99,0.0,3.4,28.57,19.99,45.97
