DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20200101,14.36,23.68,0.0,1.93,18.09,4.24,75.73
20200102,14.4,23.35,0.0,2.76,15.65,4.1,67.8
20200103,14.77,22.47,0.0,2.39,17.91,2.61,54.04
20200104,14.8,23.05,0.13,2.1,23.69,4.12,48.93
20200105,15.13,22.92,0.0,1.81,24.3,6.59,50.51
20200106,15.4,22.79,0.0,3.13,24.06,6.08,48.6
20200107,14.74,22.71,0.0,3.24,23.94,5.65,40.24
20200108,13.29,22.92,0.0,1.8,18.72,5.21,54.48
20200109,14.91,23.2,0.0,2.65,17.44,2.92,66.89
20200110,15.17,22.45,0.0,3.55,15.11,3.65,69.06
20200111,15.21,21.75,0.0,2.28,17.41,1.22,50.49
20200112,15.11,22.83,0.0,1.45,21.0,3.85,38.93
20200113,15.84,22.36,0.0,1.5,23.41,4.97,37.61
20200114,13.82,25.07,0.0,1.56,23.86,6.02,41.59
20200115,10.0,26.86,0.0,1.37,20.89,9.87,45.41
20200116,3.43,28.72,2.12,1.53,21.28,8.34,48.82
20200117,15.9,23.18,0.0,1.96,21.28,6.42,70.99
20200118,16.24,23.2,0.0,2.42,24.03,5.92,53.22
20200119,15.62,25.43,0.0,2.49,24.79,8.37,52.17
20200120,12.67,28.16,0.0,2.44,23.58,10.48,52.06
20200121,7.7,28.47,8.0,2.09,16.66,9.56,75.49
20200122,12.64,26.08,0.04,1.89,18.77,7.9,79.82
20200123,15.98,24.75,0.0,2.13,22.2,6.95,65.19
20200124,14.81,25.95,0.0,1.85,22.32,7.28,58.75
20200125,16.1,25.56,0.0,1.59,22.44,10.84,60.04
20200126,16.56,24.7,0.0,1.64,23.08,9.16,61.77
20200127,16.71,24.57,0.0,2.64,21.89,8.48,54.76
20200128,17.34,23.35,0.0,2.2,21.66,5.08,48.02
20200129,16.92,23.2,0.0,2.13,20.7,6.8,48.3
20200130,17.32,23.28,0.0,2.36,20.41,4.05,52.24
20200131,17.8,23.11,0.0,3.23,21.98,5.42,46.07
20200201,17.55,23.72,0.0,3.27,25.94,6.62,40.25
20200202,16.89,25.02,0.0,2.84,24.16,8.22,45.38
20200203,16.88,25.34,0.0,4.15,19.12,6.68,75.82
20200204,18.15,21.52,0.0,3.05,11.23,-0.76,53.19
20200205,17.53,20.07,0.0,3.43,11.84,-3.34,41.06
20200206,18.34,21.64,0.0,2.34,16.68,-0.9,45.11
20200207,18.18,23.38,0.0,2.52,22.15,3.44,48.76
20200208,18.82,23.54,0.0,2.26,23.6,5.41,46.24
20200209,12.56,26.46,0.01,3.81,17.35,6.53,69.03
20200210,5.91,28.68,14.84,4.57,16.37,5.15,86.42
20200211,12.05,26.78,4.8,2.52,13.07,4.83,82.85
20200212,18.83,23.56,0.02,1.71,16.75,2.86,69.75
20200213,19.41,23.31,0.0,1.59,20.81,3.84,50.18
20200214,18.39,24.44,0.0,1.45,22.31,5.5,48.05
20200215,19.61,24.77,0.0,1.49,23.15,8.88,48.84
20200216,18.59,25.27,0.0,1.54,22.73,8.77,45.72
20200217,13.21,26.75,0.0,1.43,23.43,9.34,44.29
