DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20030101,15.72,26.66,0.0,2.34,27.39,10.71,37.37
20030102,15.74,26.78,0.0,2.41,28.97,11.27,34.15
20030103,15.78,27.31,0.0,2.51,30.81,11.9,35.08
20030104,15.94,27.19,0.0,2.36,30.82,14.0,33.8
20030105,15.82,27.15,0.0,1.81,30.15,14.48,32.78
20030106,15.35,28.06,0.0,2.1,29.07,13.86,38.8
20030107,8.01,32.59,0.58,3.46,26.89,17.66,53.81
20030108,11.48,33.31,0.44,1.65,27.46,17.9,64.43
20030109,13.62,31.46,0.22,2.51,27.56,17.73,69.64
20030110,15.54,28.36,0.01,2.61,26.98,15.84,53.53
20030111,16.24,27.18,0.0,2.4,26.02,13.57,48.68
20030112,16.35,27.21,0.0,2.4,29.02,12.35,40.57
20030113,16.48,27.55,0.0,2.68,30.61,11.39,34.15
20030114,16.59,27.67,0.0,1.66,31.91,14.3,34.42
20030115,16.8,27.41,0.0,1.49,30.66,14.57,38.01
20030116,16.47,28.37,0.0,2.17,32.07,15.27,32.74
20030117,15.39,28.63,0.0,1.66,28.08,16.21,35.28
20030118,16.72,27.96,0.0,1.53,29.73,14.5,37.23
20030119,16.31,29.01,0.0,2.06,31.33,15.55,28.02
20030120,16.46,29.59,0.0,1.92,30.2,17.68,33.94
20030121,16.84,27.96,0.0,2.61,27.46,14.92,44.62
20030122,17.2,27.69,0.0,3.29,30.45,13.06,32.13
20030123,16.72,27.65,0.0,2.1,31.89,12.79,32.65
20030124,16.48,28.65,0.0,1.75,30.48,16.48,34.43
20030125,17.21,29.01,0.0,2.13,29.92,16.2,40.76
20030126,17.85,28.15,0.0,2.65,33.94,15.46,27.97
20030127,18.17,27.64,0.0,3.04,32.08,13.82,25.42
20030128,17.62,27.7,0.0,1.59,31.09,13.92,29.56
20030129,16.14,28.75,0.0,2.2,32.11,16.87,23.43
20030130,18.05,27.91,0.0,3.58,34.69,16.55,21.91
20030131,18.14,28.58,0.0,1.72,33.94,15.93,25.77
