DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20210101,14.49,22.96,0.0,1.79,19.13,4.47,34.24
20210102,14.3,23.25,0.0,1.6,20.6,7.55,28.33
20210103,14.58,23.43,0.0,2.01,22.74,6.24,24.61
20210104,14.21,24.71,0.0,1.91,23.88,9.09,26.78
20210105,14.49,24.72,0.0,1.8,24.67,10.3,27.84
20210106,14.86,24.53,0.0,2.5,26.87,8.99,22.01
20210107,14.63,24.62,0.0,1.67,25.56,11.04,17.99
20210108,14.63,23.65,0.0,1.64,23.29,11.17,23.1
20210109,15.26,23.18,0.0,2.16,21.96,7.95,21.65
20210110,15.24,22.9,0.0,2.48,21.37,5.97,20.85
20210111,14.54,23.33,0.0,3.45,21.56,6.42,27.74
20210112,15.73,22.29,0.0,3.47,22.76,5.57,21.7
20210113,14.89,24.21,0.0,2.95,25.33,5.85,13.42
20210114,14.67,26.33,0.0,3.21,28.19,9.81,15.64
20210115,15.76,24.54,0.0,3.26,28.94,10.58,15.43
20210116,15.88,24.24,0.0,2.18,29.45,11.61,14.8
20210117,15.56,25.44,0.0,2.44,26.91,11.82,19.77
20210118,15.63,25.14,0.0,1.99,25.92,9.97,22.78
20210119,12.77,28.27,0.05,3.92,23.43,11.66,35.44
20210120,11.14,29.74,5.84,3.76,22.14,12.6,61.6
20210121,10.11,28.02,8.02,1.94,17.61,10.09,84.34
20210122,15.48,25.3,0.03,2.27,19.54,7.54,77.9
20210123,15.37,25.46,0.18,3.07,17.88,8.74,77.63
20210124,11.57,26.09,6.01,3.04,13.41,7.07,79.28
20210125,9.63,27.34,6.08,4.87,13.9,6.32,76.26
20210126,12.92,24.96,7.26,3.61,12.28,4.55,67.22
20210127,15.94,23.78,0.0,2.17,18.88,3.31,52.19
20210128,14.45,26.4,0.0,2.25,21.64,8.87,41.42
20210129,15.59,26.11,1.62,3.65,19.44,9.17,68.95
20210130,17.01,24.16,0.06,2.04,19.99,6.12,64.94
20210131,16.88,26.0,0.0,2.31,24.26,7.22,43.03
20210201,14.07,28.06,0.0,1.69,26.77,12.18,38.46
20210202,9.71,30.63,0.0,1.43,21.39,13.24,44.85
20210203,15.41,29.16,0.0,1.68,26.77,13.08,38.99
20210204,17.99,25.36,0.0,2.06,24.31,9.26,40.58
20210205,18.72,23.16,0.0,1.85,21.72,7.57,35.81
20210206,18.6,24.37,0.0,2.36,25.05,7.09,32.82
20210207,18.81,23.86,0.0,2.07,23.95,7.53,32.31
20210208,18.92,24.08,0.0,2.33,23.21,7.23,36.02
20210209,15.45,26.08,0.0,2.68,23.33,8.24,41.91
20210210,16.91,26.97,0.0,2.4,22.06,9.86,60.15
20210211,18.67,25.35,0.0,1.53,24.98,9.52,51.85
20210212,17.89,25.71,0.08,2.73,22.83,10.6,50.2
20210213,15.04,26.16,0.0,2.96,21.4,9.22,60.92
20210214,18.16,24.75,0.0,3.05,18.27,6.8,56.11
20210215,14.53,26.13,0.0,1.51,20.26,7.06,49.38
20210216,17.46,26.9,0.0,2.87,21.73,8.36,63.48
20210217,19.52,24.23,0.0,2.53,20.66,6.5,57.02
20210218,20.81,22.71,0.0,3.96,19.82,4.23,27.12
20210219,20.3,24.47,0.0,3.29,26.59,6.52,26.03
20210220,20.67,24.64,0.0,2.23,25.57,8.44,34.45
20210221,21.57,22.72,0.0,3.77,22.77,6.21,26.65
20210222,21.37,23.86,0.0,3.15,28.29,7.54,20.14
20210223,21.71,23.87,0.0,1.98,27.95,10.47,25.56
20210224,20.72,24.21,0.0,1.84,27.0,10.12,23.89
20210225,21.48,23.25,0.0,2.98,23.38,7.2,26.23
20210226,22.16,22.85,0.0,2.36,23.72,4.7,27.41
20210227,20.96,23.47,0.0,1.79,24.27,7.96,27.74
20210228,22.52,22.12,0.0,4.06,18.85,5.57,21.34
20210301,22.89,22.08,0.0,3.2,24.48,3.81,20.18
20210302,22.59,22.92,0.0,2.86,26.78,7.46,20.5
20210303,21.83,24.5,0.0,4.29,22.65,9.82,39.77
20210304,18.66,26.4,0.0,2.0,22.39,8.93,56.36
20210305,23.0,25.39,0.0,2.32,29.55,9.87,31.22
20210306,22.86,25.18,0.0,2.47,29.52,10.87,28.5
20210307,21.54,26.81,0.0,2.28,28.87,11.56,28.79
20210308,13.14,28.93,0.0,2.44,23.77,13.93,34.83
20210309,14.61,27.82,0.0,2.42,22.07,11.21,40.88
20210310,23.7,23.63,0.0,2.76,21.3,7.12,41.0
20210311,22.78,24.9,0.0,2.21,20.09,8.35,56.39
20210312,21.59,25.67,0.67,2.67,18.57,6.73,58.65
20210313,21.28,25.04,2.26,2.1,17.78,6.54,57.0
20210314,24.15,23.72,0.0,1.83,21.79,5.4,39.55
20210315,19.49,25.97,0.0,3.05,24.08,7.42,41.73
20210316,24.98,23.35,0.02,2.77,18.27,4.86,48.58
20210317,25.13,23.45,0.0,2.44,25.44,6.62,32.09
20210318,24.93,24.2,0.0,1.73,28.08,9.2,29.88
20210319,25.17,24.85,0.0,2.26,30.79,10.29,24.91
20210320,24.21,26.96,0.0,2.32,31.23,13.32,26.11
20210321,20.9,27.72,0.0,2.39,27.0,12.53,33.3
20210322,26.21,23.31,0.0,3.7,23.36,8.86,29.97
20210323,24.64,25.41,0.04,3.35,23.06,8.39,44.08
20210324,24.49,24.87,0.06,3.02,22.23,7.93,50.88
20210325,25.06,24.3,0.0,4.34,21.41,7.01,45.94
20210326,23.75,25.86,0.0,2.84,21.32,8.1,60.44
20210327,26.03,24.69,0.0,2.52,25.57,9.35,32.8
20210328,26.88,25.49,0.0,3.24,32.87,12.88,17.0
20210329,20.54,28.06,0.0,2.44,29.67,14.08,20.24
20210330,26.8,25.47,0.0,3.12,30.77,13.95,20.34
20210331,26.11,26.87,0.0,1.96,32.42,15.7,13.0
20210401,26.19,26.94,0.0,3.29,34.38,16.95,13.98
20210402,26.82,26.1,0.0,2.3,30.96,12.73,35.27
20210403,26.71,27.1,0.0,1.96,35.11,17.01,22.07
20210404,27.01,27.44,0.0,2.12,37.33,17.68,16.18
20210405,25.37,28.78,0.0,2.56,35.79,19.77,14.56
20210406,25.31,28.9,0.0,2.18,31.93,18.66,20.5
20210407,27.41,27.88,0.0,2.34,34.86,15.17,13.6
20210408,26.67,28.32,0.0,2.75,33.27,20.98,14.3
20210409,27.73,27.24,0.0,1.72,35.07,19.09,18.93
20210410,27.96,27.63,0.0,2.59,34.67,17.89,15.57
20210411,23.14,29.75,0.0,4.4,33.37,17.12,24.73
20210412,27.8,26.44,0.0,3.89,29.9,15.72,36.05
20210413,27.57,27.29,0.0,3.58,30.13,12.88,38.91
