DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20160101,14.72,21.62,0.0,2.5,16.49,-1.67,68.59
20160102,14.78,21.89,0.0,3.73,16.07,-1.02,71.27
20160103,14.55,22.58,0.0,3.03,16.99,-0.95,70.92
20160104,10.02,25.8,14.52,3.49,13.22,0.66,81.98
20160105,9.28,25.75,1.13,2.83,13.5,3.4,83.84
20160106,11.9,24.12,1.9,3.69,10.45,0.27,84.52
20160107,5.57,25.01,9.91,4.33,7.14,-1.24,91.18
20160108,10.83,23.55,4.09,3.63,6.39,-1.65,82.42
20160109,15.45,19.51,0.0,1.64,8.85,-3.29,70.84
20160110,12.73,22.31,0.0,1.54,11.02,-2.71,68.44
20160111,15.76,19.86,0.0,2.47,9.59,-3.63,66.5
20160112,16.0,19.8,0.0,2.88,13.8,-3.47,47.11
20160113,15.93,20.57,0.0,1.77,16.05,-3.39,41.84
20160114,16.06,20.56,0.0,2.04,16.91,0.95,34.85
20160115,14.25,21.63,0.0,3.33,14.59,0.02,47.11
20160116,15.71,21.45,0.0,1.62,15.07,-2.19,62.46
20160117,16.2,21.65,0.0,2.23,18.06,2.3,43.24
20160118,12.47,23.22,0.0,1.51,17.83,-0.75,39.95
20160119,16.15,23.03,0.0,1.45,19.95,4.38,35.74
20160120,16.49,21.92,0.0,2.17,19.63,3.02,44.08
20160121,16.78,21.36,0.0,2.95,14.92,0.36,51.32
20160122,17.02,21.28,0.0,2.91,19.34,-0.09,39.1
20160123,15.97,23.12,0.0,2.03,22.52,1.95,35.17
20160124,16.81,21.27,0.0,2.87,17.04,2.38,43.62
20160125,16.73,20.46,0.0,1.85,15.96,0.98,45.33
20160126,17.35,20.07,0.0,3.17,11.96,-2.54,46.58
20160127,17.68,20.05,0.0,3.44,13.54,-3.03,54.93
20160128,15.77,23.03,0.0,1.83,19.4,-1.93,39.41
20160129,17.51,22.45,0.0,1.44,21.73,5.04,29.07
20160130,16.82,23.39,0.0,3.03,20.28,3.43,34.84
20160131,17.57,22.9,0.28,4.68,18.94,1.86,51.84
20160201,11.07,24.97,8.38,6.54,7.77,-0.25,69.16
20160202,18.73,18.74,0.0,2.8,7.44,-4.37,47.81
20160203,18.63,18.25,0.0,2.41,8.6,-5.45,37.2
20160204,18.98,19.21,0.0,4.57,11.48,-3.95,34.78
20160205,19.05,19.71,0.0,3.78,13.99,-3.53,34.95
20160206,16.91,22.32,0.0,3.69,18.7,-2.19,31.81
20160207,12.74,24.57,0.0,2.62,19.15,-1.82,34.12
20160208,14.69,24.88,0.0,4.16,18.6,4.1,36.38
20160209,19.36,22.35,0.0,3.58,21.32,1.38,39.21
20160210,19.31,22.97,0.0,1.98,23.6,1.56,34.62
20160211,19.46,23.2,0.0,1.55,24.59,5.87,27.97
20160212,18.28,23.69,0.0,1.97,25.0,4.3,29.76
20160213,19.61,24.04,0.0,1.93,25.83,5.05,33.5
20160214,20.21,23.62,0.0,2.02,23.81,6.33,30.62
20160215,20.32,22.99,0.0,2.24,23.13,4.19,32.75
20160216,20.58,23.1,0.0,2.38,24.38,4.75,37.97
20160217,20.64,23.21,0.0,2.39,26.57,6.68,32.92
20160218,18.46,26.18,0.0,2.37,25.29,6.97,34.34
20160219,14.72,27.23,0.0,1.88,22.4,9.62,32.58
20160220,16.08,27.2,0.0,1.41,23.66,11.78,32.02
20160221,20.84,24.84,0.0,1.8,25.57,8.75,35.33
20160222,21.67,22.47,0.0,3.66,22.28,6.39,30.61
20160223,21.33,22.36,0.0,3.28,19.07,2.13,34.07
20160224,21.44,22.89,0.0,3.87,20.52,1.24,41.08
20160225,21.87,22.78,0.0,2.62,22.67,0.6,32.02
20160226,21.87,23.14,0.0,1.72,24.95,2.02,30.64
20160227,21.95,22.86,0.0,2.1,25.89,6.56,28.99
20160228,22.4,22.96,0.0,1.6,24.57,9.76,25.55
20160229,20.75,24.34,0.0,1.74,24.65,9.68,26.22
20160301,21.96,24.42,0.0,1.43,25.98,8.12,29.06
20160302,20.83,25.84,0.0,1.85,27.19,10.29,25.71
20160303,21.26,25.02,0.0,1.81,27.45,11.25,25.23
20160304,21.56,25.48,0.0,2.06,27.3,10.98,22.87
20160305,22.19,24.47,0.0,2.79,25.07,7.72,27.37
20160306,17.9,25.43,0.0,3.59,21.22,5.2,35.36
20160307,20.96,24.52,1.52,3.4,15.97,3.66,54.44
20160308,12.52,26.61,8.11,1.84,8.12,2.15,71.91
20160309,23.81,22.5,0.0,2.88,19.05,0.57,42.62
20160310,24.22,22.99,0.0,2.76,22.17,2.89,31.84
20160311,20.03,24.91,0.0,2.75,24.94,3.82,30.71
20160312,24.74,22.19,0.0,3.48,20.25,3.62,43.03
20160313,25.05,22.1,0.0,2.69,23.27,3.83,30.1
20160314,24.75,23.04,0.0,2.41,25.21,6.06,31.09
20160315,24.53,24.72,0.0,1.81,24.66,5.66,39.49
20160316,25.08,24.05,0.0,1.49,26.15,6.43,27.75
20160317,25.44,23.46,0.0,2.05,25.64,9.48,24.79
20160318,25.23,23.81,0.0,2.16,24.81,7.77,27.87
20160319,25.43,23.88,0.0,1.93,25.07,7.11,29.89
20160320,25.41,24.21,0.0,2.08,25.16,6.68,33.01
20160321,25.53,24.48,0.0,2.2,27.99,7.87,31.09
20160322,25.79,23.87,0.0,4.45,26.34,9.26,26.55
20160323,26.87,21.75,0.0,3.35,19.95,4.01,29.79
20160324,27.12,21.69,0.0,2.06,21.45,1.14,24.1
20160325,26.73,22.48,0.0,2.39,23.52,3.79,25.07
20160326,26.53,23.1,0.0,2.83,23.9,6.56,25.65
20160327,26.51,24.07,0.0,2.02,24.73,8.41,31.22
20160328,24.66,24.95,0.0,4.61,22.85,6.9,43.66
20160329,20.74,25.2,0.0,5.63,18.26,5.59,56.19
20160330,26.52,23.14,0.0,3.37,17.09,3.89,53.45
20160331,20.66,23.52,0.0,2.63,14.63,1.8,40.83
20160401,24.42,23.46,0.0,1.98,18.58,3.07,32.85
20160402,27.46,23.05,0.0,3.26,20.38,2.25,36.39
20160403,27.88,23.3,0.0,1.72,25.56,3.07,26.96
20160404,27.99,24.2,0.0,1.85,28.02,9.3,21.57
20160405,24.64,26.39,0.0,2.01,27.82,11.27,22.06
20160406,21.32,29.1,0.0,2.65,27.81,9.56,22.62
20160407,9.99,30.9,1.06,2.66,24.93,12.36,34.59
20160408,22.41,27.61,0.97,3.23,23.21,9.33,51.69
20160409,28.39,24.59,0.0,2.95,25.23,6.12,43.1
20160410,16.75,26.97,2.38,4.32,18.24,6.01,56.94
20160411,27.04,25.0,0.03,1.76,22.58,5.39,51.59
20160412,25.04,25.91,0.71,1.88,21.86,6.54,46.35
20160413,28.78,25.2,0.0,1.3,25.9,6.89,35.0
20160414,28.68,25.01,0.0,2.62,28.9,10.98,24.75
20160415,28.84,24.87,0.0,5.3,24.86,7.87,33.96
20160416,30.09,21.92,0.0,2.95,20.42,2.96,31.64
20160417,29.43,23.7,0.0,1.86,22.04,4.07,32.3
20160418,30.3,23.51,0.0,2.41,26.22,5.47,26.83
20160419,30.23,23.97,0.0,1.86,27.24,5.64,23.77
20160420,30.03,24.48,0.0,2.36,29.15,9.24,20.7
20160421,29.58,24.78,0.0,2.29,30.52,12.33,17.13
20160422,28.8,26.29,0.0,3.01,30.48,12.03,21.61
20160423,29.34,25.96,0.0,4.19,28.29,10.64,32.86
20160424,29.71,25.26,0.0,3.75,26.64,9.38,40.23
20160425,29.66,24.54,0.0,4.95,25.26,8.22,40.29
20160426,30.93,22.28,0.0,3.41,22.26,4.64,24.56
20160427,30.65,23.3,0.0,3.54,25.78,5.7,21.76
20160428,30.29,23.56,0.0,5.39,24.05,6.41,27.68
20160429,30.58,22.99,0.0,2.61,22.18,4.99,33.57
20160430,30.21,23.9,0.0,4.2,23.49,6.42,31.85
20160501,28.96,24.98,0.0,2.84,22.76,4.84,41.75
20160502,30.76,24.93,0.0,2.01,26.06,6.25,32.31
20160503,30.97,25.16,0.0,2.01,30.25,9.06,18.83
20160504,30.88,25.54,0.0,3.08,32.62,9.9,19.36
20160505,30.34,25.32,0.0,4.05,29.19,13.73,17.41
20160506,30.84,24.11,0.0,5.21,24.26,9.07,30.89
20160507,31.37,23.68,0.0,3.22,24.32,6.13,36.87
20160508,29.84,24.41,0.0,3.44,23.02,5.64,41.61
20160509,31.21,24.35,0.0,2.43,26.41,9.1,31.98
20160510,31.53,24.84,0.0,2.31,29.22,11.5,22.13
20160511,30.2,26.38,0.0,1.48,31.12,13.7,17.2
20160512,30.12,27.46,0.0,1.91,32.84,16.7,12.97
20160513,21.59,31.57,0.0,2.51,34.39,16.71,15.15
20160514,25.87,30.4,0.08,3.47,32.61,17.11,28.96
20160515,30.89,26.2,0.0,5.23,30.55,14.44,22.56
20160516,30.61,25.95,0.0,4.78,29.0,10.91,30.97
20160517,30.91,25.4,0.05,3.82,26.62,10.11,34.84
20160518,30.67,25.7,0.0,3.01,26.71,9.05,31.72
20160519,30.96,26.49,0.02,2.19,29.19,10.3,35.96
20160520,31.81,25.98,0.0,3.52,29.61,12.86,26.94
20160521,30.43,26.64,0.0,3.77,28.9,10.81,33.18
20160522,31.53,25.71,0.0,3.94,29.43,10.33,27.49
20160523,32.64,24.32,0.0,3.82,29.69,10.37,19.24
20160524,31.48,24.8,0.0,4.1,28.48,9.19,19.42
20160525,32.45,24.18,0.0,4.72,28.99,9.64,22.84
20160526,32.43,23.96,0.0,3.35,26.13,8.11,25.92
20160527,32.67,23.91,0.0,1.81,28.92,9.41,16.72
20160528,32.57,24.31,0.0,3.19,30.35,12.37,14.6
20160529,31.36,25.68,0.0,3.56,31.7,11.78,19.28
20160530,29.95,26.71,0.01,3.31,31.09,14.48,23.82
20160531,32.11,25.22,0.0,2.5,28.99,12.32,18.95
20160601,28.49,28.58,0.0,1.87,30.81,12.17,21.7
20160602,29.65,28.65,0.0,2.28,35.02,17.37,16.72
20160603,30.52,28.84,0.0,3.22,37.32,16.68,10.65
20160604,31.02,30.59,0.0,2.7,39.02,19.24,12.45
20160605,27.18,32.28,0.0,1.97,39.38,20.01,17.99
20160606,30.43,29.86,0.0,3.01,39.33,20.82,9.99
20160607,30.96,29.31,0.0,3.22,36.25,18.08,24.45
20160608,30.05,30.08,0.33,2.31,33.72,19.13,36.79
20160609,27.64,31.34,4.29,2.77,33.64,18.39,37.05
20160610,21.97,32.79,3.83,1.8,25.94,19.57,58.42
20160611,27.24,31.35,0.41,3.1,31.72,16.72,44.82
20160612,31.25,28.29,0.0,3.06,33.64,17.62,27.95
20160613,32.16,27.41,0.0,3.38,32.72,16.63,25.6
20160614,33.04,25.97,0.0,2.89,32.99,16.7,17.2
20160615,32.74,26.69,0.0,3.21,33.86,17.25,14.15
20160616,32.16,27.35,0.0,2.79,34.7,17.51,16.6
20160617,32.36,28.51,0.0,2.06,37.26,15.5,13.64
20160618,32.15,29.96,0.0,2.99,39.96,18.14,10.82
20160619,31.92,30.7,0.0,2.38,41.42,20.45,10.18
20160620,27.92,32.32,0.0,2.46,37.13,21.31,20.63
20160621,23.98,34.5,0.16,1.18,37.41,22.11,25.5
20160622,24.09,34.03,0.08,2.95,37.63,22.97,23.11
20160623,16.14,34.32,0.1,2.62,31.01,22.46,38.92
20160624,23.79,33.27,8.51,2.19,32.76,21.11,42.73
20160625,19.78,34.01,3.72,1.3,31.22,19.5,48.42
20160626,24.39,33.4,0.68,1.35,31.42,20.1,49.24
20160627,25.48,34.56,1.85,2.13,32.01,20.28,49.48
20160628,18.89,34.84,6.71,1.99,32.76,20.71,48.69
20160629,17.49,34.48,7.4,1.93,29.91,19.33,64.3
