DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20080101,8.77,27.41,0.0,4.74,24.39,8.43,29.21
20080102,14.12,26.29,0.0,3.02,25.89,12.33,30.35
20080103,10.6,27.62,0.0,2.45,23.8,10.46,37.28
20080104,13.03,27.83,0.0,1.66,25.66,13.59,39.84
20080105,12.37,27.14,0.0,1.78,23.75,10.12,50.03
20080106,14.16,26.61,0.0,2.37,19.1,10.14,72.52
20080107,9.18,26.93,0.0,2.12,18.74,9.25,80.09
20080108,15.03,25.33,0.0,1.83,21.16,8.2,69.74
20080109,14.22,24.6,0.0,2.29,23.11,8.12,48.28
20080110,15.25,23.43,0.0,2.98,25.51,8.11,34.3
20080111,15.56,24.07,0.0,2.4,25.74,7.97,27.98
20080112,15.98,23.5,0.0,3.44,26.59,9.22,24.76
20080113,15.64,23.25,0.0,4.07,25.05,8.77,22.92
20080114,15.93,23.0,0.0,5.33,22.19,7.16,24.33
20080115,16.07,22.8,0.0,4.17,22.56,7.56,26.02
20080116,16.11,22.85,0.0,2.33,18.33,5.39,41.09
20080117,14.05,23.64,0.4,1.79,16.43,3.53,57.28
20080118,16.37,21.68,0.06,2.51,18.48,3.87,35.88
20080119,16.56,22.27,0.0,2.72,22.1,5.0,26.76
20080120,16.63,22.33,0.0,2.5,21.49,4.34,29.8
20080121,15.99,23.6,0.0,1.8,18.7,3.62,41.88
20080122,8.21,27.02,0.0,1.37,20.02,7.86,39.81
20080123,6.22,27.88,0.01,1.79,20.31,9.33,48.93
20080124,8.11,27.77,1.15,1.56,15.98,8.4,62.92
20080125,15.77,25.93,0.14,1.6,21.22,6.12,62.22
20080126,9.53,29.1,0.0,1.85,22.38,9.96,35.72
20080127,5.47,29.99,2.74,1.5,21.91,14.08,49.26
20080128,11.34,27.9,2.24,2.94,20.73,8.71,68.84
20080129,17.67,23.57,0.0,1.53,19.84,6.72,65.37
20080130,17.88,22.57,0.0,3.06,20.64,5.25,46.91
20080131,18.34,22.23,0.0,3.87,21.83,4.4,32.02
20080201,13.24,25.45,0.0,1.86,21.12,7.14,28.61
20080202,14.4,24.87,0.0,2.06,18.13,5.05,45.66
20080203,17.92,24.28,0.0,2.42,19.57,4.48,63.19
20080204,9.39,26.62,1.68,3.29,14.97,4.68,78.34
20080205,18.96,21.42,0.0,3.34,16.55,2.93,44.16
20080206,18.98,21.62,0.0,3.89,21.91,3.18,29.55
