DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20150101,12.79,21.33,0.18,2.02,11.53,0.13,65.36
20150102,14.15,19.09,0.0,1.94,8.84,-2.75,60.01
20150103,14.49,18.97,0.0,1.61,12.54,-4.14,54.71
20150104,14.51,20.42,0.0,4.08,20.01,0.04,42.12
20150105,15.16,20.78,0.0,3.7,23.12,4.35,34.84
20150106,13.94,23.03,0.0,3.07,25.34,5.99,34.22
20150107,8.68,28.07,0.0,2.58,21.67,8.26,54.06
20150108,10.18,28.04,0.21,2.81,19.92,10.16,58.49
20150109,12.73,25.06,0.0,1.69,19.95,7.26,56.98
20150110,14.48,23.73,0.0,1.8,19.33,4.56,57.25
20150111,12.53,24.95,0.01,2.09,19.13,5.55,56.4
20150112,11.64,25.48,0.61,1.36,17.88,8.49,61.23
20150113,13.87,23.57,0.0,1.67,18.69,6.84,63.92
20150114,14.22,22.56,0.02,2.22,16.73,4.32,65.52
20150115,15.39,22.03,0.0,5.55,17.36,2.91,55.19
20150116,12.1,24.57,0.0,3.06,20.06,5.49,45.67
20150117,14.59,23.33,0.0,1.26,22.57,5.38,40.28
20150118,16.21,22.51,0.0,1.8,24.94,5.53,33.25
20150119,16.21,22.64,0.0,1.91,24.4,7.89,37.43
20150120,16.24,22.7,0.0,1.61,24.47,9.67,31.69
20150121,16.05,22.12,0.0,2.6,19.41,5.53,40.94
20150122,17.01,20.12,0.0,3.5,15.68,2.05,44.7
20150123,15.33,20.71,0.0,4.98,17.11,-0.43,40.95
20150124,12.55,23.71,0.0,4.26,18.24,3.76,34.8
20150125,12.6,26.04,0.39,1.89,21.61,5.31,37.46
20150126,10.6,28.68,3.99,1.86,20.86,9.66,60.05
20150127,14.92,27.17,0.16,1.12,22.39,11.42,72.07
20150128,16.2,26.41,0.0,1.18,22.43,11.5,61.48
20150129,8.0,29.04,13.22,2.0,21.98,11.35,64.37
20150130,2.62,28.73,29.26,3.69,14.06,10.76,91.77
20150131,9.65,27.42,23.61,2.45,13.21,7.61,82.84
20150201,16.03,23.33,0.0,1.65,17.24,3.5,73.18
20150202,17.59,23.14,0.0,2.84,22.06,6.04,57.96
20150203,17.78,23.36,0.0,1.91,23.43,5.53,51.91
20150204,17.69,23.11,0.0,1.75,23.77,9.28,42.92
20150205,18.54,23.16,0.0,1.79,26.06,7.38,40.1
20150206,18.48,23.86,0.0,1.63,26.17,9.14,41.11
20150207,18.91,23.37,0.0,1.61,25.8,10.53,39.64
20150208,19.53,22.21,0.0,1.77,27.63,6.55,36.43
20150209,19.25,23.61,0.0,1.61,27.58,7.79,35.03
20150210,19.19,24.09,0.0,1.76,26.85,9.45,36.22
20150211,19.76,23.16,0.0,2.63,24.1,7.21,40.96
20150212,18.97,23.1,0.0,6.87,18.78,6.43,54.42
20150213,18.73,24.98,0.0,3.37,22.62,6.43,53.64
20150214,10.12,29.93,0.46,1.69,19.68,9.73,67.0
20150215,8.25,28.7,8.72,1.54,18.97,10.82,83.26
20150216,15.63,27.93,3.67,1.53,20.45,9.79,76.0
20150217,19.7,24.7,0.0,1.7,22.72,9.16,65.98
20150218,19.77,24.25,0.0,1.79,25.45,6.06,40.98
20150219,20.53,23.8,0.0,1.83,26.13,8.28,37.58
20150220,10.32,27.72,0.18,1.76,23.62,11.56,35.02
20150221,15.69,26.22,0.03,2.51,22.4,9.71,51.52
20150222,19.63,25.21,0.0,3.27,20.5,7.24,66.43
20150223,21.12,23.46,0.0,2.51,20.04,6.18,67.97
20150224,16.56,23.35,0.18,3.0,15.94,3.49,64.41
20150225,21.79,21.51,0.0,2.49,20.05,0.61,48.03
20150226,21.99,21.99,0.0,2.38,22.3,3.48,39.18
20150227,21.7,22.71,0.0,3.52,19.98,3.8,50.08
20150228,16.28,26.07,0.0,3.98,20.06,5.43,74.9
20150301,20.53,25.16,0.0,3.49,20.39,5.45,74.28
20150302,6.35,27.89,15.04,4.62,15.51,10.44,86.44
20150303,20.2,24.55,2.17,2.58,16.93,5.57,67.65
20150304,13.17,25.26,2.83,1.42,13.33,4.62,73.53
20150305,21.61,22.06,0.0,5.06,18.61,2.69,47.8
20150306,23.23,23.23,0.0,3.98,24.04,5.26,43.34
20150307,13.55,25.96,0.0,2.16,21.0,8.32,47.13
20150308,18.75,24.44,0.0,1.65,22.86,8.43,44.32
20150309,22.55,23.53,0.0,1.78,24.3,6.58,36.88
20150310,23.33,23.52,0.0,2.28,24.75,7.34,36.28
20150311,22.39,24.73,0.0,3.37,25.57,8.21,36.54
20150312,13.5,29.65,0.0,1.99,23.85,11.37,45.04
20150313,18.69,27.26,0.02,2.95,23.25,10.16,50.47
20150314,24.08,23.77,0.0,5.45,23.19,9.67,36.92
20150315,24.5,24.08,0.0,4.52,24.64,8.44,41.58
20150316,22.89,26.67,0.03,2.65,26.04,10.09,49.66
20150317,15.16,29.44,0.04,1.85,22.61,12.96,58.87
20150318,7.07,30.54,8.15,1.31,17.21,11.93,77.81
20150319,15.15,29.23,0.94,1.46,21.09,9.37,59.76
20150320,23.9,25.58,0.61,1.81,21.95,7.71,54.6
20150321,22.34,25.98,0.1,1.95,24.49,9.38,49.19
20150322,25.41,25.1,0.0,1.53,27.84,9.48,43.27
20150323,25.37,24.47,0.0,2.25,28.35,11.69,31.97
20150324,26.64,23.18,0.0,2.3,27.95,11.48,29.72
20150325,23.73,24.87,0.0,1.76,25.29,10.28,32.23
20150326,26.3,24.28,0.0,2.8,27.48,9.82,33.64
20150327,26.96,23.87,0.0,1.92,31.25,9.21,27.56
20150328,26.69,24.97,0.0,1.92,32.22,13.3,25.53
20150329,21.65,28.61,0.0,1.97,28.56,15.44,30.2
20150330,22.85,29.41,0.0,2.09,30.64,15.51,34.45
20150331,20.25,29.49,0.01,1.59,25.0,14.41,50.43
20150401,26.36,25.68,0.0,2.67,27.83,11.58,44.32
20150402,27.18,23.69,0.0,3.06,27.61,10.89,32.79
20150403,20.55,26.66,0.0,1.71,29.2,9.81,27.09
20150404,23.72,27.16,0.0,2.54,26.16,13.56,31.92
20150405,23.7,25.46,0.0,2.71,27.18,11.71,27.07
20150406,27.58,24.69,0.0,2.62,28.16,13.43,21.35
20150407,27.33,25.8,0.0,3.05,28.3,11.66,28.21
20150408,28.39,23.84,0.0,2.65,25.41,9.99,33.76
20150409,24.39,24.75,0.0,2.52,27.5,9.65,31.27
20150410,26.69,25.2,0.0,2.95,27.19,10.12,34.55
20150411,23.17,27.37,0.75,3.06,28.26,8.17,32.37
20150412,11.83,28.84,5.31,2.15,19.0,8.51,63.5
20150413,27.45,26.13,0.0,1.94,27.24,9.43,45.8
20150414,27.57,26.8,0.0,2.52,28.43,10.53,34.09
20150415,25.46,26.61,0.0,3.21,27.21,10.53,34.91
20150416,29.81,22.07,0.0,2.6,23.65,7.46,21.11
20150417,30.25,21.62,0.0,2.33,24.61,4.13,23.79
20150418,29.46,23.41,0.0,2.0,26.54,7.19,26.02
20150419,29.49,24.08,0.0,1.77,28.56,9.86,23.64
20150420,29.28,24.02,0.0,2.39,27.51,12.19,22.42
20150421,29.76,23.77,0.0,3.05,26.3,8.81,26.39
20150422,29.61,24.05,0.0,3.47,25.4,8.75,31.7
20150423,28.22,24.86,0.02,3.68,23.84,8.65,42.19
20150424,28.08,24.89,0.02,2.99,23.62,7.42,52.39
20150425,29.55,24.32,0.0,3.32,26.1,8.88,40.33
20150426,26.67,25.26,0.2,3.89,21.75,9.05,50.19
20150427,29.72,24.84,0.0,2.0,27.03,6.82,33.44
20150428,29.82,25.53,0.0,5.08,27.79,11.33,29.39
20150429,30.44,24.8,0.0,3.57,29.82,11.53,21.58
20150430,30.77,25.02,0.0,1.9,32.16,10.88,19.18
20150501,30.41,25.74,0.0,2.11,32.41,14.5,22.28
20150502,28.71,27.59,0.0,3.08,31.18,15.78,32.72
20150503,25.69,28.71,0.0,3.28,28.74,13.01,46.08
20150504,26.29,27.71,0.01,3.7,25.01,12.57,51.12
20150505,29.72,26.06,0.0,2.78,27.45,10.33,40.87
