DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20140101,14.91,21.86,0.0,1.26,23.3,4.53,28.47
20140102,14.97,22.14,0.0,1.95,24.53,5.65,32.6
20140103,14.32,22.9,0.0,1.94,24.35,4.35,39.44
20140104,9.61,25.64,0.0,1.79,19.04,9.0,41.17
20140105,9.99,24.69,0.0,1.1,18.78,7.71,37.41
20140106,15.33,21.97,0.0,3.38,21.54,4.24,29.87
20140107,15.03,23.0,0.0,1.97,22.88,2.55,32.38
20140108,14.74,23.19,0.0,1.76,21.08,7.36,23.47
20140109,9.14,23.65,0.13,1.56,18.74,4.75,38.45
20140110,15.47,21.32,0.0,1.37,21.77,3.65,50.9
20140111,15.5,22.32,0.0,1.59,25.61,3.7,30.07
20140112,14.15,23.07,0.0,2.0,23.46,6.55,29.12
20140113,16.44,20.37,0.0,2.23,23.2,3.96,28.61
20140114,16.38,20.34,0.0,3.82,22.88,3.78,23.79
20140115,16.5,20.66,0.0,2.81,26.4,5.35,24.38
20140116,16.4,21.06,0.0,2.16,24.79,3.91,25.1
20140117,16.49,21.0,0.0,2.14,24.76,5.16,21.29
20140118,16.42,21.75,0.0,1.74,24.83,4.19,24.54
20140119,13.54,25.32,0.0,1.57,24.45,6.97,22.43
20140120,15.98,23.24,0.0,1.35,25.97,7.78,20.28
20140121,14.68,25.13,0.0,1.88,26.43,7.15,21.51
20140122,12.66,28.37,0.0,1.64,25.55,8.91,24.9
20140123,12.24,26.2,0.0,1.7,24.57,11.36,25.32
20140124,9.85,27.47,0.0,1.49,20.55,8.11,42.0
20140125,15.5,26.83,0.0,1.9,25.07,9.12,56.27
20140126,16.26,24.74,0.0,1.87,25.16,8.93,49.9
20140127,13.18,26.61,0.0,1.61,21.31,10.67,38.99
20140128,17.33,22.71,0.0,1.3,22.95,6.16,35.04
20140129,17.53,22.61,0.0,1.5,25.03,4.56,21.4
20140130,16.61,24.09,0.0,2.2,25.37,8.47,18.72
20140131,14.9,25.12,0.0,2.85,21.53,7.24,39.96
20140201,13.16,24.79,0.05,2.56,18.22,5.11,55.9
20140202,18.0,21.29,0.0,1.41,18.41,1.44,34.38
20140203,17.12,22.46,0.0,3.11,16.72,4.02,34.74
20140204,18.1,21.0,0.03,1.21,16.42,3.69,50.81
20140205,13.36,23.48,0.0,1.99,20.03,4.04,33.13
