DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20120101,14.91,25.06,0.0,1.89,28.68,7.51,40.49
20120102,15.12,24.46,0.0,1.76,28.95,7.48,38.95
20120103,14.83,25.4,0.0,1.67,27.16,7.83,38.91
20120104,15.19,24.32,0.0,2.08,25.84,9.43,35.4
20120105,15.32,23.13,0.0,2.01,25.16,5.43,36.63
20120106,15.46,22.98,0.0,1.51,24.43,6.72,32.91
20120107,11.66,25.28,0.0,1.74,20.84,8.61,38.92
20120108,14.42,22.64,0.49,2.4,18.72,6.2,45.25
20120109,15.4,21.56,0.0,2.31,17.37,1.9,55.87
20120110,15.95,21.79,0.0,1.68,21.74,0.64,45.46
20120111,14.99,24.21,0.0,1.02,21.56,6.56,35.17
20120112,13.91,25.98,0.0,1.12,22.86,9.42,38.02
20120113,15.83,23.63,0.0,1.29,23.04,7.37,42.1
20120114,12.82,25.08,0.81,1.53,22.87,4.87,46.44
20120115,14.38,26.44,0.0,1.51,22.19,8.85,53.55
20120116,12.78,26.57,0.0,2.22,22.47,9.1,55.61
20120117,16.32,23.44,0.0,1.32,21.96,8.84,50.28
20120118,16.22,23.43,0.0,1.53,25.17,5.21,38.31
20120119,14.84,24.66,0.0,1.21,25.96,6.24,26.3
20120120,16.74,23.48,0.0,1.47,23.79,8.93,30.09
20120121,16.98,23.47,0.0,1.35,23.71,5.79,32.99
20120122,16.09,23.72,0.0,1.28,23.49,8.17,30.16
20120123,16.96,23.87,0.0,1.42,24.35,7.36,31.18
20120124,16.4,23.46,0.0,1.66,17.75,5.16,47.95
20120125,17.1,22.76,0.0,1.93,21.37,2.69,48.49
20120126,17.67,22.46,0.0,1.35,24.18,2.78,37.92
20120127,17.65,23.13,0.0,1.47,25.55,8.03,26.82
20120128,15.82,24.6,0.0,1.65,25.41,8.41,31.13
20120129,17.44,24.11,0.0,1.75,26.69,5.86,36.64
20120130,17.52,23.77,0.0,1.77,24.42,6.96,38.83
20120131,17.81,23.7,0.0,2.04,23.13,8.04,37.84
20120201,17.7,23.64,0.0,1.34,24.9,6.19,33.18
20120202,18.65,23.02,0.0,1.52,24.04,10.53,27.67
20120203,12.32,24.94,0.0,1.57,23.34,7.06,27.7
20120204,17.59,24.39,0.0,1.37,24.6,8.31,29.04
20120205,18.37,23.87,0.0,1.32,23.18,5.39,34.35
20120206,18.39,23.86,0.0,1.62,23.46,6.24,37.16
20120207,17.85,25.29,0.0,1.82,24.9,8.22,38.39
20120208,4.9,29.12,3.68,1.4,13.82,8.59,66.34
20120209,17.92,26.41,0.0,1.49,24.87,5.92,59.31
20120210,19.13,24.81,0.0,1.24,25.76,7.91,43.28
20120211,18.73,25.09,0.0,2.44,26.11,8.63,36.76
20120212,15.02,26.19,0.0,3.35,20.42,7.03,51.73
20120213,19.78,22.91,0.0,2.13,20.06,4.5,54.38
20120214,13.78,25.15,0.01,2.92,16.94,4.12,58.64
20120215,19.61,22.65,0.0,2.16,20.39,2.64,50.37
20120216,11.08,26.91,3.45,2.26,16.98,4.45,54.81
20120217,12.04,25.47,1.77,1.33,13.08,4.65,69.53
20120218,20.61,22.68,0.0,1.35,19.96,2.37,46.3
20120219,21.14,22.02,0.01,2.44,20.93,3.83,36.2
20120220,21.15,22.76,0.0,0.98,22.58,4.15,33.41
20120221,21.38,22.51,0.0,1.52,24.55,5.97,22.51
20120222,21.6,23.14,0.0,1.21,25.87,7.35,22.36
20120223,19.44,25.5,0.0,1.71,25.36,10.5,34.15
20120224,21.4,24.31,0.36,1.41,25.47,8.26,37.65
20120225,21.65,24.54,0.0,1.82,27.21,6.89,33.51
20120226,21.65,24.33,0.0,2.44,25.99,9.23,32.46
20120227,21.32,24.83,0.0,3.34,24.74,8.27,42.93
20120228,22.58,23.06,0.0,1.66,21.55,5.85,49.52
20120229,19.99,24.02,0.0,1.46,25.67,7.35,25.28
20120301,23.18,22.34,0.0,1.75,26.87,8.09,20.67
20120302,23.31,22.45,0.0,2.34,25.94,7.38,24.33
20120303,23.49,21.31,0.0,3.62,27.82,3.95,19.16
20120304,24.29,22.94,0.0,1.97,31.74,5.58,18.11
20120305,20.08,25.54,0.0,1.78,29.82,10.44,19.39
20120306,23.6,24.28,0.0,2.69,27.91,11.23,21.28
20120307,22.69,23.78,0.0,3.37,24.11,7.0,28.23
20120308,24.73,21.19,0.0,2.33,19.95,4.86,26.76
20120309,23.79,22.49,0.0,2.94,25.69,6.35,26.81
20120310,24.29,22.66,0.0,1.75,22.56,5.38,25.5
20120311,24.92,22.89,0.0,1.48,26.41,6.29,21.22
20120312,19.32,24.63,0.0,1.13,24.49,10.04,17.63
20120313,23.4,24.14,0.0,1.8,27.85,9.9,14.05
20120314,18.09,27.18,0.0,1.42,28.43,13.94,13.75
20120315,14.4,27.32,0.0,1.41,31.01,14.05,15.99
20120316,26.14,23.68,0.0,2.38,32.87,13.56,15.41
20120317,25.05,25.0,0.0,3.68,29.64,12.14,24.24
20120318,8.66,27.98,0.79,3.86,14.79,7.44,65.29
20120319,16.59,27.16,1.13,3.28,17.54,5.39,59.54
20120320,25.93,22.73,0.07,2.18,19.0,4.13,41.04
20120321,26.28,22.79,0.0,2.02,26.18,2.58,19.27
20120322,26.36,23.94,0.0,1.94,29.69,8.03,18.67
20120323,26.44,24.36,0.0,1.76,29.76,10.4,18.95
20120324,26.12,25.69,0.0,2.07,32.36,12.02,15.69
20120325,22.32,27.35,0.0,2.65,28.88,12.93,20.5
20120326,26.62,24.94,0.0,1.97,28.94,12.5,25.97
20120327,26.92,24.74,0.0,1.91,31.0,11.11,18.37
20120328,26.15,25.92,0.01,2.14,32.52,12.57,15.44
20120329,26.71,25.51,0.0,1.96,32.57,13.03,18.88
20120330,27.43,24.79,0.0,1.97,32.42,12.86,16.65
20120331,27.59,25.07,0.0,2.16,32.9,12.93,15.74
20120401,28.05,24.07,0.0,3.25,29.54,11.7,21.55
20120402,28.47,23.13,0.0,2.1,25.83,8.94,19.18
20120403,28.78,22.29,0.0,1.86,27.39,6.49,11.09
20120404,28.17,23.84,0.0,1.44,29.66,9.52,9.04
20120405,27.48,24.3,0.0,2.5,30.63,11.52,10.07
20120406,27.13,25.93,0.0,1.52,30.37,12.07,12.26
20120407,27.3,27.27,0.0,2.02,34.11,15.63,11.25
20120408,26.19,28.41,0.0,2.22,34.63,14.59,15.83
20120409,28.38,25.59,0.0,2.34,33.9,15.59,16.3
20120410,26.18,27.67,0.0,2.43,30.77,15.64,19.39
20120411,28.14,25.99,0.0,2.66,28.68,13.56,29.99
20120412,28.59,25.2,0.0,1.94,28.59,10.26,29.77
20120413,28.87,24.68,0.0,3.45,27.29,11.09,20.99
20120414,28.59,23.69,0.0,3.8,22.99,7.98,33.19
20120415,29.85,22.72,0.0,1.23,25.79,5.39,20.51
20120416,29.96,24.45,0.01,1.74,30.77,7.73,11.95
20120417,30.01,25.0,0.09,2.26,35.26,9.67,11.71
20120418,29.29,25.6,0.0,2.45,34.45,14.09,10.32
20120419,29.92,24.97,0.0,2.27,32.55,14.03,11.74
20120420,29.75,26.2,0.0,1.69,36.64,14.71,13.13
20120421,29.62,27.67,0.0,2.12,38.25,16.08,13.11
20120422,28.94,27.81,0.02,2.28,39.1,18.85,10.96
20120423,27.72,28.27,0.0,2.66,37.23,18.55,18.42
20120424,29.59,27.38,0.0,2.3,37.71,18.77,18.1
20120425,24.18,28.76,0.0,2.07,35.15,18.64,12.51
20120426,24.71,29.74,0.0,2.89,32.11,17.26,21.45
20120427,30.55,27.09,0.0,1.69,33.06,13.42,19.13
20120428,30.7,26.34,0.0,2.3,33.97,15.34,18.51
20120429,30.59,26.42,0.0,2.13,32.28,13.56,23.11
20120430,30.07,27.24,0.0,2.18,33.19,15.4,25.06
20120501,30.46,26.51,0.0,2.46,33.75,14.62,22.68
20120502,30.33,26.52,0.0,3.2,32.72,13.94,19.0
20120503,28.91,27.62,0.0,2.43,34.54,17.45,14.94
20120504,30.75,26.44,0.0,2.35,35.89,16.09,11.44
20120505,30.85,26.53,0.0,3.1,34.98,15.98,11.39
20120506,29.53,26.87,0.0,3.26,34.83,15.96,13.3
20120507,30.52,25.92,0.0,3.19,33.89,16.74,11.95
20120508,31.11,25.1,0.0,2.84,33.16,13.99,12.73
20120509,27.37,27.44,0.6,2.93,30.98,14.02,18.53
20120510,28.43,27.61,0.14,2.08,30.92,12.4,23.62
20120511,30.66,27.58,0.0,2.29,34.74,15.17,21.23
20120512,31.05,27.8,0.0,1.89,37.16,17.31,16.88
20120513,31.67,27.18,0.0,2.45,40.05,18.14,9.67
20120514,31.88,25.98,0.0,1.51,38.92,18.49,8.05
20120515,31.19,27.96,0.0,2.88,39.93,18.6,17.19
20120516,28.89,30.0,0.0,2.57,38.07,18.66,17.18
20120517,29.91,29.77,0.02,2.89,37.48,20.31,18.8
20120518,31.03,28.35,0.0,3.43,36.41,17.54,19.88
20120519,32.05,26.69,0.0,2.6,36.27,16.23,18.36
20120520,32.17,26.99,0.0,1.92,39.88,17.32,9.62
20120521,30.4,28.22,0.0,2.08,41.77,17.7,7.51
20120522,30.33,28.63,0.0,2.67,40.73,21.39,11.24
20120523,30.67,29.04,0.0,3.81,36.25,19.17,20.77
20120524,31.03,28.38,0.0,4.04,34.94,17.53,27.62
20120525,30.86,27.9,0.0,3.97,34.39,16.58,23.35
20120526,31.39,27.24,0.0,3.31,33.67,16.09,24.19
20120527,31.96,26.46,0.0,2.47,35.27,15.48,17.29
20120528,32.47,26.74,0.0,2.25,36.59,16.52,9.2
20120529,32.45,26.79,0.0,2.27,37.79,17.8,7.72
20120530,32.7,26.4,0.0,2.27,38.75,18.44,6.03
20120531,32.44,26.08,0.0,1.6,39.01,17.65,5.57
20120601,30.6,28.82,0.0,2.76,40.55,19.03,14.89
20120602,28.95,30.16,0.0,2.42,38.19,19.79,22.87
20120603,29.34,30.55,0.0,2.46,37.28,20.23,28.72
20120604,30.71,29.97,0.0,2.4,38.15,20.26,25.41
20120605,31.34,28.14,0.0,2.46,38.83,19.12,16.63
20120606,32.14,28.16,0.0,2.72,38.89,19.55,14.61
20120607,31.6,28.6,0.04,2.24,39.7,18.46,10.73
20120608,31.2,28.76,0.0,2.27,39.91,20.25,9.33
20120609,31.24,28.39,0.0,2.73,39.95,20.46,10.74
20120610,30.67,29.27,0.0,2.75,38.48,19.17,15.13
20120611,31.07,29.6,0.0,2.0,39.71,21.81,13.24
20120612,30.43,30.44,0.0,1.72,39.73,22.85,11.87
20120613,30.05,30.18,0.0,2.63,38.6,23.56,13.12
20120614,30.17,30.63,0.0,2.49,37.89,21.31,28.63
20120615,29.96,30.96,0.0,2.9,37.45,21.96,29.89
20120616,28.74,33.59,3.07,2.02,39.17,21.78,26.88
20120617,29.67,34.14,0.92,2.01,42.58,23.1,29.76
20120618,30.87,32.57,0.0,1.85,43.62,25.0,18.5
20120619,31.9,30.22,0.0,2.31,42.12,22.52,15.04
20120620,32.27,29.2,0.0,2.12,41.28,22.25,14.24
20120621,30.61,32.74,0.0,2.21,42.24,20.86,26.59
20120622,28.26,33.89,0.85,2.68,41.89,23.25,29.53
20120623,28.03,34.97,5.8,2.38,38.97,23.96,41.94
20120624,25.33,35.43,2.79,1.63,35.04,21.9,51.71
20120625,25.63,36.06,6.29,1.59,37.48,22.74,53.27
20120626,27.1,35.67,1.14,1.83,39.47,23.92,43.49
20120627,29.73,35.1,4.56,2.12,40.7,23.57,39.66
20120628,28.51,33.8,1.06,2.13,38.77,23.21,47.61
20120629,28.13,33.81,11.14,2.29,38.01,23.79,52.29
20120630,27.04,35.16,4.43,2.02,38.33,23.53,56.08
20120701,23.91,35.69,2.88,2.09,38.3,22.36,47.52
20120702,25.43,34.14,11.63,2.59,34.45,22.22,61.24
20120703,17.12,34.26,5.13,2.29,28.81,20.71,72.01
20120704,22.92,33.91,5.74,1.81,31.1,20.27,63.86
20120705,25.24,33.91,2.07,1.13,31.79,20.16,57.08
20120706,24.29,35.02,1.93,0.85,33.78,22.16,52.13
20120707,23.31,34.72,4.83,1.14,32.56,22.1,56.71
20120708,29.35,33.91,0.75,2.14,39.16,21.09,45.08
20120709,22.58,36.23,3.92,1.38,38.27,22.65,52.4
