DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20110101,14.87,23.43,0.0,2.68,20.8,7.49,50.79
20110102,14.93,24.54,0.0,2.75,23.5,10.44,32.78
20110103,15.72,23.08,0.0,2.08,20.86,9.55,45.03
20110104,14.69,24.19,0.0,2.64,23.13,9.06,40.65
20110105,9.64,26.71,0.0,2.67,23.69,10.49,31.5
20110106,8.04,29.15,0.0,2.61,25.37,12.66,34.77
20110107,15.41,25.93,0.0,2.55,23.17,11.39,41.18
20110108,15.75,23.46,0.0,3.02,20.37,9.31,66.33
20110109,15.78,23.52,0.0,1.68,20.13,7.35,69.07
20110110,16.16,23.87,0.0,1.8,23.57,9.6,52.28
20110111,16.19,24.24,0.0,3.39,27.87,11.02,34.72
20110112,16.31,24.26,0.0,3.49,28.63,10.56,32.38
20110113,16.48,24.63,0.0,3.74,28.97,10.78,34.06
20110114,16.6,24.45,0.0,2.91,27.71,12.46,33.51
20110115,16.47,24.61,0.0,2.5,29.43,12.03,27.69
20110116,16.44,24.9,0.0,2.32,28.91,11.66,32.16
20110117,16.27,25.82,0.0,1.83,27.77,12.23,41.26
20110118,16.46,25.9,0.0,1.27,26.98,13.48,41.89
20110119,16.0,26.51,0.0,2.03,24.02,12.25,53.52
20110120,16.48,26.62,0.0,2.38,27.29,12.52,53.11
20110121,16.86,25.68,0.0,3.29,27.28,13.0,46.1
20110122,17.4,23.86,0.0,2.49,25.83,11.69,34.6
20110123,17.26,23.59,0.0,1.83,24.03,11.02,39.15
20110124,17.58,23.43,0.0,2.46,25.76,9.67,36.19
20110125,17.75,23.21,0.0,2.18,26.33,10.04,26.1
20110126,15.35,24.49,0.0,2.86,25.5,10.21,26.91
20110127,17.06,24.34,0.0,2.07,26.46,9.69,36.22
20110128,17.11,25.67,1.08,1.9,26.13,11.48,33.77
20110129,16.54,27.59,0.18,1.86,24.83,12.19,42.6
20110130,16.17,24.78,0.0,1.94,24.36,10.83,37.83
20110131,17.44,24.17,0.0,3.19,21.25,10.54,61.92
20110201,18.49,23.26,0.0,2.21,22.63,8.34,46.16
20110202,19.17,20.92,0.0,4.39,19.66,4.6,29.66
20110203,19.61,17.94,0.0,5.63,11.96,0.25,26.43
20110204,19.53,20.31,0.0,5.85,20.51,0.54,24.19
20110205,19.46,22.29,0.0,3.14,24.14,4.43,31.23
20110206,19.05,24.22,0.0,2.18,27.17,8.81,33.89
20110207,19.79,23.72,0.0,2.74,26.34,8.67,28.73
20110208,17.87,25.42,0.0,2.23,24.68,9.66,51.32
20110209,19.36,24.82,0.0,1.95,23.46,10.85,49.19
20110210,19.91,23.57,0.0,2.86,25.72,9.09,39.48
20110211,20.42,23.02,0.0,2.68,27.18,9.65,23.57
20110212,20.67,23.91,0.0,3.03,30.07,9.53,24.37
20110213,20.31,24.89,0.0,2.07,29.9,11.79,23.73
20110214,20.08,25.3,0.0,2.2,30.19,14.27,20.3
20110215,20.74,25.17,0.0,3.04,30.08,14.16,25.7
20110216,19.17,26.8,0.0,2.35,29.24,12.04,37.58
20110217,19.23,27.65,0.0,2.34,27.24,14.34,49.99
20110218,20.47,26.73,0.0,1.58,28.08,14.98,45.2
20110219,20.76,26.19,0.0,2.22,26.86,14.06,46.6
20110220,20.71,25.06,0.0,3.5,23.48,11.74,57.42
20110221,21.07,23.78,0.0,2.47,21.78,8.46,53.07
20110222,21.55,23.84,0.0,1.98,21.52,9.35,51.81
20110223,21.84,23.64,0.0,2.52,21.16,8.86,57.43
20110224,22.24,23.35,0.0,3.0,23.22,8.39,51.02
20110225,22.63,23.49,0.0,2.8,27.5,9.26,34.35
20110226,22.1,24.86,0.0,1.95,23.13,11.54,46.06
20110227,13.47,26.86,0.01,3.27,19.03,10.01,60.45
20110228,22.93,23.49,0.0,2.58,23.31,7.67,45.17
20110301,22.92,24.41,0.0,2.94,26.71,10.0,36.22
20110302,22.73,26.02,0.0,3.03,30.17,11.02,29.33
20110303,22.49,27.63,0.0,4.43,32.83,14.7,29.58
20110304,22.84,25.63,0.0,4.81,31.76,13.64,32.39
20110305,23.39,25.63,0.0,3.59,32.91,15.77,19.73
20110306,23.55,25.29,0.0,1.96,29.85,13.62,28.89
20110307,22.17,26.34,0.0,2.93,26.48,12.0,56.91
20110308,23.13,25.83,0.0,2.34,25.0,11.63,58.23
20110309,24.18,26.01,0.0,2.19,32.19,12.49,35.49
20110310,23.3,26.65,0.0,2.1,33.94,13.56,28.31
20110311,24.3,26.21,0.0,1.68,29.93,15.93,26.18
20110312,22.04,27.57,0.0,1.95,27.85,14.22,38.91
20110313,24.58,25.87,0.0,1.56,28.08,14.92,39.47
20110314,24.96,26.08,0.0,2.24,31.65,13.95,27.48
20110315,24.95,26.69,0.0,1.86,32.39,14.83,27.67
20110316,24.96,26.65,0.0,1.83,31.5,14.49,32.06
20110317,25.07,26.51,0.0,2.11,31.93,14.77,34.42
20110318,24.87,26.73,0.0,1.9,30.62,17.16,29.83
20110319,25.54,25.88,0.0,2.0,30.42,15.95,29.76
20110320,25.26,25.43,0.0,2.59,29.39,14.52,34.57
20110321,24.91,26.71,0.0,2.34,26.6,15.2,50.01
20110322,26.11,25.25,0.0,3.79,26.15,12.89,48.82
20110323,26.4,24.46,0.0,2.7,27.84,10.34,42.93
20110324,26.3,25.24,0.0,3.63,28.75,11.64,39.37
20110325,26.31,25.06,0.0,3.68,27.54,11.74,42.23
20110326,26.72,24.94,0.0,2.64,26.98,11.53,40.97
20110327,26.4,25.8,0.0,2.27,28.02,13.02,46.59
20110328,26.49,25.97,0.0,2.0,27.5,14.14,46.14
20110329,26.74,26.38,0.0,1.78,28.88,15.57,42.84
20110330,26.79,27.2,0.0,2.63,32.03,15.11,35.14
20110331,26.71,28.44,0.0,2.74,34.97,15.41,27.19
20110401,26.88,28.74,0.0,1.82,32.67,16.44,36.04
20110402,26.57,28.36,0.0,2.37,32.54,16.36,40.89
20110403,25.98,28.13,0.0,2.57,30.95,16.18,39.13
20110404,26.67,28.17,0.0,2.62,34.88,16.8,29.99
20110405,27.1,28.43,0.0,1.72,33.38,17.99,33.18
20110406,18.19,31.33,0.18,2.51,29.8,18.23,47.01
20110407,27.44,27.44,0.0,2.17,28.21,15.6,49.26
20110408,27.3,27.04,0.0,2.76,25.65,14.92,58.5
20110409,24.63,27.58,2.01,3.35,23.14,14.11,59.77
20110410,27.82,25.0,0.0,3.59,24.15,11.4,43.14
20110411,28.43,25.62,0.0,2.75,31.04,11.69,29.06
20110412,28.39,25.91,0.0,2.19,28.72,13.36,38.35
20110413,26.23,27.14,0.0,1.9,28.17,16.06,33.26
20110414,29.35,25.72,0.0,4.03,32.54,12.6,30.54
20110415,29.13,27.47,0.0,5.11,37.1,16.7,19.99
20110416,29.05,27.33,0.0,2.26,32.06,14.6,41.79
20110417,28.75,27.62,0.0,3.0,31.86,16.0,37.91
20110418,29.06,27.53,0.0,2.51,30.62,15.76,51.17
20110419,28.43,28.01,0.0,2.29,29.1,15.79,53.64
