DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20100101,15.85,25.97,0.0,1.94,28.28,10.74,49.03
20100102,16.01,25.07,0.0,1.46,26.87,13.01,52.92
20100103,16.1,25.26,0.0,1.6,28.75,13.96,46.26
20100104,15.9,25.54,0.0,1.76,28.84,10.83,46.27
20100105,15.94,25.57,0.0,1.45,28.04,12.31,48.35
20100106,16.43,24.64,0.0,1.4,27.52,13.17,42.69
20100107,16.45,24.56,0.0,1.52,26.82,12.07,42.75
20100108,16.22,25.08,0.0,1.55,27.5,12.55,39.71
20100109,15.42,26.33,0.0,1.84,28.85,11.3,43.01
20100110,13.13,27.12,0.0,1.97,27.16,11.3,39.67
20100111,13.96,27.01,0.0,1.5,27.47,14.59,43.85
20100112,16.36,26.36,0.0,1.89,28.4,12.44,42.8
20100113,16.2,26.28,0.0,1.83,27.49,12.2,43.76
20100114,16.42,25.25,0.01,2.55,23.75,12.92,60.53
20100115,16.22,25.62,0.0,2.04,28.16,11.08,39.34
20100116,16.07,26.7,0.0,1.97,25.59,11.97,44.32
20100117,13.98,26.45,0.0,1.48,26.45,13.69,40.19
20100118,16.45,25.97,0.0,1.88,26.75,11.91,44.69
20100119,16.88,25.91,0.0,1.6,25.16,13.31,57.97
20100120,12.44,28.81,0.07,1.32,22.18,13.5,71.01
20100121,10.24,30.81,0.08,3.67,22.84,12.32,73.06
20100122,5.01,31.99,27.6,5.64,21.9,15.87,80.99
20100123,13.41,27.63,0.51,2.55,19.64,11.35,70.65
20100124,18.31,23.46,0.0,3.42,23.43,9.22,50.16
20100125,18.0,24.52,0.0,1.65,25.07,8.42,51.19
20100126,17.7,25.58,0.0,1.4,25.17,11.28,60.87
20100127,8.94,30.04,7.87,2.31,22.61,13.51,77.07
20100128,12.24,29.02,2.45,2.01,20.58,12.6,74.28
20100129,17.79,25.76,0.0,1.34,21.51,11.4,65.1
