DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20130101,14.6,19.51,0.0,2.05,9.48,-5.16,59.33
20130102,15.08,20.55,0.01,4.17,12.74,-3.68,43.71
20130103,9.14,26.47,0.81,4.01,7.77,-2.97,62.79
20130104,13.59,22.47,0.14,2.68,9.11,-3.92,75.07
20130105,15.53,19.61,0.0,1.78,14.92,-4.75,56.98
20130106,11.86,23.06,0.0,2.93,15.64,-3.07,48.47
20130107,14.75,21.61,0.26,1.96,14.16,-0.33,38.4
20130108,14.35,23.24,2.36,2.33,14.96,0.08,51.96
20130109,14.99,20.79,0.0,2.68,14.72,-2.36,52.69
20130110,12.18,23.14,0.0,3.47,17.93,0.52,48.58
20130111,11.5,23.2,0.0,3.62,9.51,-4.39,49.62
20130112,13.56,19.11,0.0,2.37,5.58,-5.9,40.15
20130113,16.28,17.52,0.0,2.01,7.34,-6.29,35.07
20130114,16.22,17.38,0.0,2.06,5.82,-6.07,35.66
20130115,16.51,16.84,0.0,2.83,4.34,-6.59,34.02
20130116,16.67,18.91,0.18,4.04,10.73,-4.73,29.7
20130117,16.46,21.01,0.0,4.66,16.27,-2.69,36.66
20130118,14.32,24.25,0.0,2.11,19.6,-3.43,48.34
20130119,15.31,24.25,0.0,1.14,21.3,2.72,40.89
20130120,15.07,25.02,0.0,1.7,21.18,2.67,41.23
20130121,12.38,26.33,0.03,2.0,21.17,4.83,42.25
20130122,16.11,24.69,0.0,2.04,21.98,3.09,42.11
20130123,12.88,25.88,0.0,1.36,23.67,4.0,38.84
20130124,8.32,28.84,0.17,1.48,20.73,10.09,44.23
20130125,12.06,29.31,0.36,1.68,18.25,8.55,62.75
20130126,5.63,29.47,11.47,3.5,17.46,9.16,84.38
20130127,10.9,27.27,0.53,3.06,17.37,5.39,75.42
20130128,8.31,25.66,1.87,4.64,12.09,-0.39,79.82
20130129,17.1,21.14,0.27,4.04,8.53,-2.91,52.88
20130130,18.04,19.66,0.01,2.26,11.65,-5.2,44.46
20130131,14.02,23.71,0.0,3.23,16.37,-2.47,37.19
20130201,17.6,22.58,0.03,1.56,21.52,-0.55,32.7
