DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20040101,11.2,25.65,0.08,2.18,19.06,7.11,81.33
20040102,13.04,24.64,0.0,2.21,18.96,6.85,84.11
20040103,11.86,25.12,0.0,2.84,17.84,5.12,70.58
20040104,13.13,21.64,0.0,3.26,13.2,3.63,33.94
20040105,12.51,21.96,0.0,4.49,18.71,2.83,26.97
20040106,14.4,22.92,0.0,2.1,22.64,6.07,30.51
20040107,8.32,26.02,0.0,1.22,19.99,9.26,36.11
20040108,13.01,25.19,0.0,2.03,25.08,8.18,33.32
20040109,14.24,24.86,0.0,1.98,26.29,9.51,35.27
20040110,13.4,25.38,0.0,2.22,25.79,11.1,29.99
20040111,11.01,26.83,0.0,2.36,23.18,13.05,40.57
20040112,14.44,24.51,0.0,1.71,24.91,10.06,38.7
20040113,11.03,26.77,0.0,2.19,26.2,11.4,34.25
20040114,9.3,28.27,0.02,3.14,24.92,11.71,49.21
20040115,13.2,25.95,0.0,1.53,22.72,8.93,59.95
20040116,14.31,24.76,0.0,1.48,22.22,9.15,54.18
20040117,15.03,22.79,0.0,1.62,19.38,6.09,56.24
20040118,15.35,22.53,0.0,1.59,21.19,6.57,39.26
20040119,12.2,25.16,0.0,1.59,20.56,7.58,34.5
20040120,14.76,24.01,0.04,1.64,19.45,6.82,38.18
20040121,11.04,26.36,2.5,2.11,16.46,5.77,66.7
20040122,8.18,27.59,6.17,1.39,13.9,7.36,78.08
20040123,12.34,25.99,0.7,1.6,17.54,5.7,73.06
20040124,13.64,24.73,0.06,1.8,16.13,6.95,73.76
20040125,10.67,25.98,0.63,2.69,14.85,7.51,75.98
20040126,16.39,21.56,0.0,1.47,17.1,4.88,56.05
20040127,16.26,22.04,0.0,2.37,19.76,3.83,30.66
20040128,14.08,24.01,0.0,2.31,19.87,5.03,36.55
20040129,16.61,22.51,0.0,1.78,19.58,3.73,48.31
20040130,16.86,22.89,0.0,2.0,21.22,5.46,42.98
20040131,14.64,23.94,0.0,2.71,17.49,6.82,53.48
20040201,17.1,21.52,0.04,1.89,17.55,4.07,36.39
20040202,17.05,22.38,0.0,1.91,19.94,3.44,27.36
20040203,11.73,25.43,0.32,3.19,15.57,6.8,56.98
20040204,15.51,23.51,0.07,1.98,14.74,4.74,65.68
20040205,17.21,21.94,0.0,2.36,16.76,4.03,43.05
20040206,18.19,21.48,0.0,2.97,18.15,2.69,36.11
20040207,17.72,22.7,0.0,2.75,22.09,3.86,27.64
20040208,18.81,21.05,0.0,2.81,19.01,3.92,26.75
20040209,18.98,21.03,0.0,1.93,18.84,1.97,26.0
20040210,18.36,21.48,0.0,1.62,18.64,3.92,31.0
20040211,18.99,21.37,0.0,1.78,19.74,6.06,23.8
20040212,19.66,20.82,0.0,2.06,19.02,4.11,21.71
20040213,19.63,19.52,0.0,2.93,15.68,-0.23,21.77
20040214,17.99,22.79,0.0,2.62,19.38,2.51,19.37
20040215,19.75,22.36,0.0,1.98,23.21,4.56,18.82
20040216,18.23,24.95,0.0,1.96,25.58,6.55,21.89
20040217,18.09,26.6,0.0,2.17,29.94,10.84,21.23
20040218,15.62,26.57,0.0,3.48,27.0,11.66,26.28
20040219,18.55,24.62,0.0,2.03,20.7,6.95,51.92
20040220,7.59,28.32,0.0,1.81,17.73,9.8,52.22
20040221,18.53,24.9,0.0,3.19,18.85,7.88,67.56
20040222,15.34,26.45,7.75,4.15,18.35,5.91,59.84
20040223,13.29,27.71,7.5,2.72,15.61,7.92,76.2
20040224,17.42,24.63,0.0,1.64,18.01,5.58,67.81
20040225,20.78,23.02,0.0,1.34,21.27,5.36,47.35
20040226,20.5,24.27,0.0,2.22,23.33,8.03,39.47
20040227,11.38,27.06,0.34,2.92,16.52,8.01,66.19
20040228,19.39,22.87,0.0,2.56,15.44,3.35,56.03
20040229,21.5,22.5,0.0,1.39,18.38,5.28,42.78
20040301,21.12,23.64,0.0,2.17,20.31,4.25,38.24
20040302,14.33,28.16,6.73,4.24,16.72,9.01,67.77
20040303,11.89,27.88,9.13,1.67,15.57,6.57,74.98
20040304,8.68,27.15,1.79,3.75,12.46,5.08,85.2
20040305,19.05,25.61,0.42,2.17,20.33,8.99,68.09
20040306,22.13,24.43,0.0,3.42,24.03,7.12,45.59
20040307,21.14,27.41,0.0,2.85,32.18,11.12,33.86
20040308,22.68,27.45,0.0,1.93,33.56,13.31,31.2
20040309,22.79,27.31,0.0,1.98,33.64,14.13,32.23
20040310,23.18,25.86,0.0,1.78,30.76,15.01,32.28
20040311,19.86,27.79,0.0,2.15,29.43,12.89,39.47
20040312,21.9,27.2,0.07,1.92,23.8,13.19,49.48
20040313,20.34,28.5,0.61,1.55,27.11,13.14,49.03
20040314,23.16,27.3,0.11,1.82,30.29,12.7,40.98
20040315,23.63,26.38,0.0,1.68,31.21,16.9,27.58
20040316,24.12,26.91,0.0,1.56,33.02,15.49,27.06
20040317,24.22,26.72,0.0,1.74,33.32,15.42,25.44
20040318,22.37,27.86,0.0,1.6,33.05,15.12,22.58
20040319,23.8,27.33,0.0,1.56,33.92,16.61,23.08
20040320,21.85,29.68,0.0,1.78,33.07,17.48,24.15
20040321,21.47,31.59,0.14,3.2,35.81,18.55,31.46
20040322,23.92,28.92,0.01,2.78,34.89,18.91,36.24
