DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20030101,15.45,22.11,0.0,1.76,19.51,4.44,30.59
20030102,14.97,23.08,0.0,1.79,23.39,2.09,33.95
20030103,15.3,23.92,0.0,1.69,25.24,4.45,37.41
20030104,14.86,24.28,0.0,1.25,23.69,5.8,32.87
20030105,14.84,23.8,0.0,1.34,24.22,5.08,34.76
20030106,13.58,25.16,0.0,2.11,22.64,5.88,39.74
20030107,13.12,28.28,0.0,2.31,23.45,11.11,55.68
20030108,7.32,31.34,0.19,1.53,18.9,9.4,74.17
20030109,12.69,27.98,0.06,1.42,21.2,10.44,71.48
20030110,15.02,25.26,0.0,1.36,21.79,8.03,62.63
20030111,15.07,24.1,0.0,1.58,21.05,9.48,52.48
20030112,15.27,23.22,0.0,1.5,21.34,4.41,40.64
20030113,15.72,23.82,0.0,1.69,25.08,3.62,37.88
20030114,15.98,24.52,0.0,1.36,25.85,5.59,31.61
20030115,16.38,24.14,0.0,1.19,25.28,9.27,27.78
20030116,15.66,24.65,0.0,1.81,25.92,5.88,30.71
20030117,15.17,25.26,0.0,1.52,25.45,6.39,31.85
20030118,16.07,23.63,0.0,1.51,23.53,7.23,33.4
20030119,15.69,24.82,0.0,1.4,23.08,7.48,31.27
20030120,13.48,27.28,0.02,1.71,22.09,8.19,43.17
20030121,16.15,23.97,0.0,1.3,19.58,6.89,49.09
20030122,17.14,23.32,0.0,2.33,21.53,3.91,42.04
20030123,16.96,24.2,0.0,1.83,27.46,4.73,30.47
20030124,16.12,25.35,0.0,1.64,25.54,8.56,28.69
20030125,15.44,24.78,0.0,1.62,23.27,7.57,32.94
20030126,17.25,23.67,0.0,2.53,24.92,5.93,33.89
20030127,17.7,22.81,0.0,1.63,27.39,3.21,27.07
20030128,17.32,23.09,0.0,1.89,24.93,7.22,19.48
20030129,16.54,24.92,0.0,1.44,25.11,8.59,21.35
20030130,17.28,24.37,0.0,1.78,27.18,6.95,21.83
20030131,17.62,24.65,0.0,1.64,29.6,7.35,18.51
20030201,17.74,25.47,0.0,1.79,27.55,11.18,25.11
20030202,14.84,26.84,0.0,2.86,24.72,9.75,32.33
20030203,16.91,23.23,0.0,1.17,21.46,5.08,27.63
20030204,18.05,24.24,0.1,1.77,22.68,7.43,16.95
20030205,4.73,27.67,4.32,2.1,12.23,7.23,58.02
20030206,16.37,24.7,0.08,1.31,17.47,5.77,58.38
20030207,9.26,27.55,3.66,1.56,15.04,6.37,58.17
20030208,10.17,27.48,3.56,2.45,13.52,5.74,76.55
20030209,18.08,23.17,0.61,1.09,16.21,2.3,60.28
20030210,16.41,25.49,0.05,1.27,20.63,3.45,35.67
20030211,14.61,29.06,0.0,1.35,20.64,11.41,38.44
20030212,10.31,29.78,0.01,1.32,23.12,11.43,54.72
20030213,7.06,30.16,9.18,3.0,16.5,11.17,79.56
20030214,11.17,29.27,7.3,1.8,13.47,8.71,86.52
20030215,17.74,26.02,0.1,1.34,19.92,7.29,64.47
20030216,19.83,24.83,0.0,1.5,23.73,4.89,44.04
20030217,17.83,26.38,0.0,1.28,26.51,7.03,36.48
20030218,12.08,28.68,0.0,1.51,23.57,10.24,35.94
20030219,14.97,28.63,0.04,1.81,22.58,9.02,38.94
20030220,9.59,27.02,9.75,3.01,17.05,5.0,67.57
20030221,20.61,23.23,0.23,1.73,20.16,3.77,54.96
20030222,21.42,22.45,0.0,1.78,22.66,4.52,32.06
20030223,19.5,24.13,0.0,1.95,21.71,4.63,33.19
20030224,12.8,27.6,0.16,2.99,16.05,5.16,59.38
20030225,9.48,28.0,4.69,4.09,16.12,6.8,74.99
20030226,14.99,27.41,11.74,3.27,14.51,4.47,73.91
20030227,22.33,22.35,0.03,2.3,16.33,1.39,65.53
20030228,22.19,22.37,0.0,2.09,17.3,1.18,60.23
20030301,22.76,22.55,0.0,2.14,18.24,1.92,54.86
20030302,21.74,24.43,1.07,2.29,17.32,2.16,57.68
20030303,12.86,26.01,0.03,1.68,18.48,0.21,57.93
20030304,22.81,23.6,0.0,2.74,17.58,3.46,48.36
20030305,16.96,25.21,0.0,1.79,15.01,2.12,58.11
20030306,23.55,23.2,0.0,1.17,20.7,3.06,42.2
20030307,18.49,25.34,0.0,1.76,18.84,5.58,36.78
20030308,23.82,23.83,0.0,0.87,23.42,5.81,34.92
20030309,23.82,24.45,0.0,1.91,28.41,5.52,28.07
20030310,24.55,23.59,0.0,1.27,27.63,8.96,23.02
20030311,24.8,23.34,0.0,1.96,27.25,9.62,23.93
20030312,24.16,23.96,0.0,1.77,26.57,7.09,23.94
20030313,19.14,26.94,0.0,1.48,25.78,9.23,25.99
20030314,17.97,28.02,0.0,1.94,26.06,11.75,26.43
20030315,21.61,26.79,0.01,1.9,26.72,9.97,30.36
20030316,20.28,28.22,4.05,4.12,22.01,9.01,51.78
20030317,14.39,29.04,4.78,4.0,15.84,5.19,69.14
20030318,12.02,27.87,4.86,3.33,13.49,2.71,66.03
20030319,18.57,26.35,0.03,3.03,16.73,1.54,50.04
20030320,25.15,23.23,0.0,1.47,20.4,3.71,39.17
20030321,25.21,23.54,0.0,2.31,21.8,4.98,36.64
20030322,25.83,23.96,0.0,1.9,25.8,4.26,35.69
20030323,24.57,24.24,0.0,2.12,27.97,5.96,28.85
20030324,26.54,23.91,0.0,2.58,26.0,7.48,30.93
20030325,26.52,24.47,0.0,1.54,25.87,8.02,31.97
20030326,25.5,24.83,0.0,1.59,29.65,7.97,28.79
20030327,26.53,25.32,0.0,3.26,29.19,11.48,27.14
20030328,25.37,25.95,0.0,2.26,24.81,8.16,35.32
20030329,26.72,23.52,0.02,4.42,20.42,5.35,32.16
20030330,27.06,24.06,0.0,2.95,30.01,4.37,22.78
20030331,27.29,25.2,0.0,2.1,30.75,7.81,22.25
20030401,25.24,27.17,0.0,2.59,30.2,10.93,25.91
20030402,15.02,30.72,9.05,2.8,22.63,9.32,48.78
20030403,26.03,25.17,0.0,3.07,23.88,6.38,37.42
20030404,28.5,22.84,0.0,1.92,24.07,5.81,30.14
20030405,28.29,22.89,0.0,3.01,23.6,5.68,28.39
20030406,28.84,22.51,0.0,1.83,23.95,4.88,27.21
20030407,28.99,23.23,0.0,1.36,26.83,6.9,20.55
20030408,28.94,24.6,0.0,2.23,30.57,7.13,21.19
20030409,20.65,29.06,0.0,1.92,28.93,10.18,25.94
20030410,19.56,27.65,0.0,2.39,26.21,12.11,33.37
20030411,29.12,24.25,0.0,1.39,28.17,10.11,23.95
20030412,27.16,26.2,0.0,2.16,29.76,11.45,21.24
20030413,25.53,28.47,0.0,2.85,29.89,12.63,27.89
20030414,17.77,30.45,0.06,3.33,26.87,13.38,45.02
20030415,28.45,26.16,0.22,3.45,22.77,10.96,42.63
20030416,24.02,27.48,0.0,2.3,28.67,7.77,20.15
20030417,25.57,27.03,0.0,3.54,25.44,10.02,25.07
20030418,29.43,24.29,0.0,3.03,23.8,7.08,28.84
20030419,29.55,24.2,0.0,2.01,24.27,5.79,32.0
20030420,29.9,24.7,0.0,2.52,29.53,7.84,19.57
20030421,30.13,24.28,0.0,2.92,28.09,10.44,21.13
20030422,29.78,24.52,0.0,3.96,25.1,7.69,32.14
20030423,30.28,23.75,0.0,2.21,25.59,7.0,29.37
20030424,31.02,22.71,0.0,2.41,28.14,7.32,16.11
20030425,30.87,23.71,0.0,1.94,29.63,8.77,14.92
20030426,29.95,25.82,0.0,2.08,31.3,11.83,15.52
20030427,29.65,26.62,0.0,2.35,30.7,13.34,18.84
20030428,29.6,27.31,0.0,2.24,31.29,11.48,18.47
20030429,29.36,27.17,0.0,3.46,30.33,13.97,21.98
20030430,30.62,25.2,0.0,2.76,29.22,11.32,22.29
20030501,30.59,24.91,0.0,2.93,30.26,10.54,18.44
20030502,31.0,24.92,0.0,2.58,31.43,10.5,15.61
20030503,23.84,28.07,0.0,2.84,31.02,11.41,14.62
20030504,23.61,28.98,0.0,1.64,23.16,12.67,22.33
20030505,31.19,24.9,0.0,2.55,29.77,9.86,18.85
20030506,30.93,25.42,0.0,2.86,30.42,9.49,22.79
20030507,31.37,25.14,0.0,3.37,30.03,10.46,21.09
20030508,30.88,25.65,0.0,2.63,29.49,9.35,23.58
20030509,31.74,24.8,0.0,3.27,30.1,10.76,20.26
20030510,30.82,26.03,0.0,2.34,30.5,10.17,19.14
20030511,27.57,27.41,0.0,1.89,33.37,13.54,10.87
20030512,30.47,26.63,0.0,1.7,36.68,14.25,9.01
20030513,28.88,28.29,0.0,2.42,37.64,15.58,7.64
20030514,28.39,30.12,0.0,2.2,38.81,18.47,9.26
20030515,27.33,28.94,0.0,3.11,36.47,19.02,9.6
20030516,31.95,26.65,0.0,1.68,38.02,14.3,7.04
20030517,29.71,28.01,0.0,2.54,37.89,16.65,8.18
20030518,31.0,28.87,0.0,2.79,37.42,17.67,13.27
20030519,30.5,28.88,0.0,2.12,36.32,18.63,15.07
20030520,28.98,29.41,0.0,1.99,36.29,18.75,11.36
20030521,29.98,29.46,0.0,2.37,36.18,17.76,23.33
20030522,27.22,31.64,0.0,1.76,35.28,19.83,22.95
20030523,25.6,32.2,0.0,2.17,36.12,20.23,30.18
20030524,23.2,29.8,0.0,2.42,31.27,17.84,21.76
20030525,31.68,26.81,0.0,2.71,33.48,15.05,16.31
20030526,30.92,28.21,0.0,1.19,36.08,16.86,11.92
20030527,29.13,31.24,0.0,2.6,38.5,17.37,17.58
20030528,23.58,34.01,0.02,2.57,36.95,18.41,28.86
