DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20130101,14.7,26.1,0.0,3.62,23.33,7.9,44.53
20130102,15.8,26.05,0.0,2.25,23.72,8.55,39.1
20130103,15.41,27.39,0.0,1.56,20.9,10.53,58.29
20130104,15.99,26.42,0.0,2.31,23.48,9.15,48.93
20130105,16.17,26.13,0.0,3.29,26.09,9.24,35.45
20130106,14.46,27.44,0.0,2.76,25.43,8.27,35.15
20130107,15.73,27.76,0.0,3.07,20.72,8.56,51.53
20130108,15.65,27.18,0.01,2.47,21.31,7.88,56.6
20130109,15.33,26.86,0.0,2.3,23.99,7.72,51.96
20130110,12.75,27.99,0.0,1.74,22.14,9.14,51.41
20130111,5.57,29.64,0.0,3.56,19.42,8.57,57.18
20130112,16.3,26.04,0.0,2.91,16.98,5.49,47.41
20130113,16.59,25.18,0.0,2.72,16.99,4.82,43.38
20130114,16.69,24.79,0.0,3.93,16.37,4.6,37.39
20130115,17.23,23.94,0.0,4.82,17.7,0.94,30.95
20130116,17.43,24.29,0.0,3.51,25.39,5.1,22.59
20130117,15.74,26.96,0.0,2.67,27.29,7.71,24.05
20130118,13.16,28.72,0.0,1.72,23.96,12.68,28.03
20130119,16.36,28.08,0.0,2.1,27.74,14.15,36.69
20130120,16.64,28.17,0.0,2.36,28.74,13.68,40.29
20130121,16.51,27.78,0.0,2.37,28.38,13.58,40.97
20130122,16.97,28.07,0.0,1.91,31.13,13.8,40.89
20130123,15.43,28.69,0.0,1.68,29.68,15.44,38.27
20130124,12.26,32.1,0.0,2.38,29.34,18.68,31.59
20130125,11.46,32.44,1.56,2.93,30.31,18.67,41.91
20130126,14.25,31.91,1.47,1.47,25.77,17.7,63.41
20130127,17.45,28.48,0.01,1.79,23.58,14.75,70.73
20130128,15.41,28.17,0.0,2.43,21.43,11.63,71.93
20130129,18.26,25.86,0.0,3.34,19.62,8.58,56.26
20130130,16.91,26.66,0.0,5.36,22.94,8.36,32.6
20130131,13.62,27.77,0.0,4.03,27.25,9.71,38.64
20130201,16.59,27.86,0.0,2.59,29.01,10.41,42.96
20130202,14.19,29.85,0.0,3.05,29.9,13.38,33.82
20130203,7.18,31.45,0.0,2.63,25.19,16.1,36.41
20130204,16.26,29.84,0.0,2.04,25.06,15.76,38.34
20130205,17.66,28.38,0.0,2.16,25.81,13.3,45.45
20130206,18.91,27.49,0.0,1.84,24.32,12.8,52.53
20130207,19.41,26.76,0.0,1.99,26.76,11.04,46.59
20130208,12.59,29.54,0.0,1.93,24.75,11.03,46.64
20130209,19.53,27.12,0.0,3.48,20.62,9.39,56.13
20130210,20.14,25.84,0.0,2.43,21.8,9.7,40.48
20130211,14.01,28.2,0.0,2.36,19.07,9.76,54.7
20130212,20.34,25.76,0.0,3.82,21.21,6.85,47.34
20130213,20.76,25.26,0.0,3.39,23.2,6.08,34.29
20130214,20.78,25.87,0.0,3.23,27.16,7.69,34.09
20130215,14.87,27.82,0.0,2.1,28.79,10.72,25.07
20130216,20.64,26.91,0.0,2.38,29.08,11.91,25.61
20130217,19.95,27.25,0.0,1.82,25.8,13.09,28.78
20130218,20.83,26.72,0.0,1.8,27.28,10.41,33.38
20130219,6.63,30.03,0.08,1.69,21.27,11.89,42.02
20130220,19.98,27.34,6.7,3.4,18.82,9.4,72.45
20130221,21.72,25.74,0.0,2.46,20.97,7.01,55.21
20130222,21.82,26.1,0.0,2.68,23.0,7.04,50.72
20130223,22.1,25.77,0.0,3.06,26.58,8.38,40.93
20130224,21.68,26.05,0.0,3.02,23.18,9.91,47.82
20130225,22.1,25.38,0.0,4.75,23.43,7.09,24.39
20130226,16.81,27.56,0.0,3.46,25.32,8.46,30.18
20130227,22.11,26.67,0.0,3.19,27.78,9.81,28.71
20130228,20.85,26.35,0.0,4.67,28.69,9.88,21.37
20130301,24.14,25.37,0.0,5.16,31.57,9.91,16.19
20130302,23.79,26.14,0.0,3.51,33.89,12.49,20.13
20130303,23.75,26.54,0.0,2.09,32.73,14.05,20.45
20130304,22.25,28.18,0.0,2.05,28.9,12.49,32.21
20130305,19.55,29.92,0.0,1.9,28.16,16.86,32.39
20130306,19.39,28.98,0.0,2.32,30.6,16.01,33.03
20130307,12.54,30.28,0.0,1.59,28.07,15.21,43.28
20130308,21.48,29.82,0.18,3.23,22.91,13.81,65.85
20130309,24.17,25.93,0.0,3.98,21.08,10.04,54.58
20130310,24.3,26.4,0.0,3.8,25.01,9.55,37.42
20130311,24.81,26.57,0.0,3.31,30.29,11.54,27.97
20130312,25.19,26.19,0.0,3.04,32.44,12.71,22.24
20130313,24.92,27.07,0.0,2.31,34.12,14.64,22.47
20130314,25.02,27.15,0.0,2.07,36.26,15.95,20.88
20130315,24.51,27.95,0.0,1.84,31.86,15.62,32.08
20130316,24.9,27.82,0.0,2.07,32.0,16.82,30.84
20130317,25.27,27.34,0.0,2.07,27.22,15.71,45.27
20130318,23.73,29.25,0.0,2.04,28.57,15.07,45.33
20130319,24.59,28.16,0.0,2.19,31.38,14.27,37.14
20130320,25.08,29.01,0.0,2.96,33.88,15.93,26.91
20130321,22.55,29.41,0.0,2.38,32.98,16.31,33.46
20130322,25.06,28.38,0.0,2.36,28.32,15.33,51.45
20130323,25.33,28.74,0.0,2.12,27.21,14.2,48.15
20130324,26.28,28.17,0.0,2.52,31.64,13.35,38.87
20130325,25.39,28.3,0.0,2.1,31.4,13.46,30.46
20130326,26.51,27.59,0.0,1.94,31.41,14.87,24.74
20130327,25.76,29.33,0.0,1.7,30.54,18.28,29.49
20130328,24.04,29.85,0.0,2.6,30.63,15.86,39.76
20130329,25.98,29.19,0.0,2.26,31.69,18.51,32.72
20130330,22.04,31.24,0.0,2.44,31.23,17.83,29.06
20130331,25.59,29.93,0.0,3.29,33.14,17.61,28.52
20130401,26.93,29.13,0.0,3.86,30.71,16.63,43.73
20130402,27.05,28.92,0.0,2.84,29.94,14.52,52.14
20130403,27.58,28.48,0.0,2.58,32.3,14.29,38.92
20130404,25.34,30.26,0.0,2.08,33.48,14.73,41.62
20130405,27.4,29.42,0.0,1.93,32.9,18.63,39.38
20130406,27.53,29.5,0.0,2.32,30.15,16.97,45.98
20130407,27.08,30.26,0.0,2.54,29.8,16.64,56.68
20130408,27.05,29.81,0.0,3.13,26.22,16.39,60.68
20130409,27.27,28.58,0.0,3.29,24.42,13.61,49.73
20130410,28.07,28.5,0.0,3.93,27.83,12.07,37.49
20130411,28.51,28.25,0.0,2.71,31.59,12.87,29.37
20130412,28.25,29.35,0.0,3.02,27.84,13.8,48.14
20130413,28.2,28.87,0.0,2.63,29.54,15.16,49.49
20130414,28.05,29.58,0.0,2.91,28.34,15.13,59.09
20130415,28.08,29.31,0.0,2.28,29.09,16.84,55.04
20130416,27.94,29.94,0.0,2.62,27.4,16.91,60.18
20130417,24.84,30.35,0.0,3.16,26.88,14.67,51.64
20130418,29.58,27.55,0.0,4.48,31.24,15.08,23.85
20130419,29.93,27.76,0.0,3.8,34.36,14.86,17.14
20130420,29.95,27.99,0.0,2.79,33.13,14.54,20.15
20130421,29.42,28.69,0.0,2.48,32.08,16.01,39.38
20130422,29.49,28.98,0.0,2.18,32.13,15.93,34.58
20130423,29.55,28.63,0.0,1.99,31.32,17.09,42.54
20130424,28.92,29.45,0.0,3.0,31.33,15.87,38.01
20130425,28.84,29.41,0.0,2.49,31.5,17.62,43.59
20130426,29.43,29.32,0.0,2.76,33.68,16.19,28.19
20130427,29.89,28.93,0.0,2.85,32.23,15.78,32.58
20130428,29.86,29.21,0.0,2.22,34.49,17.38,36.98
20130429,29.42,29.52,0.0,2.26,35.14,17.0,39.89
20130430,29.35,29.54,0.0,2.26,32.57,18.03,50.94
20130501,29.53,29.33,0.0,2.36,32.26,17.7,52.01
20130502,29.98,29.94,0.0,3.68,40.15,17.56,28.87
20130503,22.81,32.62,0.0,3.99,33.52,21.77,38.55
20130504,28.44,30.52,0.0,3.76,32.24,19.53,53.81
20130505,29.12,31.06,0.0,3.09,30.98,17.94,53.73
20130506,28.6,31.9,0.0,2.62,31.86,18.69,41.1
20130507,29.16,31.09,0.0,3.14,30.15,19.78,40.05
20130508,23.46,31.47,0.0,2.94,30.41,17.11,43.03
20130509,29.42,30.14,0.0,3.14,29.46,16.89,42.4
20130510,29.81,29.56,0.0,2.89,30.78,15.75,40.29
20130511,29.42,30.62,0.0,2.18,34.76,17.39,41.3
20130512,29.03,31.58,0.05,2.84,35.54,21.47,30.09
