DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20080101,10.16,26.89,0.0,3.35,26.62,9.74,34.36
20080102,14.07,26.29,0.0,2.24,27.18,12.36,36.18
20080103,11.01,26.93,0.0,1.86,24.55,11.42,41.21
20080104,10.43,27.81,0.0,1.44,26.63,14.14,40.69
20080105,12.67,26.48,0.0,1.59,24.85,11.51,50.66
20080106,14.22,25.82,0.0,1.87,21.95,12.16,65.2
20080107,10.84,25.87,0.0,1.74,20.82,9.94,76.76
20080108,15.22,24.34,0.0,1.69,22.78,9.77,70.53
20080109,15.22,24.02,0.0,1.78,23.86,9.72,51.67
20080110,15.61,23.0,0.0,1.97,25.92,8.18,41.71
20080111,15.65,23.7,0.0,1.61,25.43,8.35,34.71
20080112,16.1,22.6,0.0,2.53,28.1,9.37,33.02
20080113,15.92,22.64,0.0,3.11,27.19,8.39,28.44
20080114,15.95,22.34,0.0,3.78,24.0,6.9,28.76
20080115,16.02,22.53,0.0,3.66,24.0,8.69,29.8
20080116,16.23,21.98,0.0,2.49,20.3,6.12,45.44
20080117,11.74,24.56,0.2,1.61,18.81,5.7,56.01
20080118,16.27,21.99,0.04,2.05,19.44,5.0,39.97
20080119,15.61,21.96,0.0,2.1,23.54,5.49,32.13
20080120,16.3,22.16,0.0,2.03,22.22,5.07,34.84
20080121,16.27,22.62,0.0,1.59,20.45,5.11,44.85
20080122,8.31,26.55,0.0,1.52,22.22,8.67,45.13
20080123,4.31,27.93,0.01,1.58,21.95,11.68,52.82
20080124,5.85,27.57,1.35,1.36,16.56,9.75,65.79
20080125,15.27,25.68,0.03,1.48,23.06,7.63,62.42
20080126,9.98,28.47,0.0,1.83,24.61,12.0,38.44
20080127,6.59,29.7,1.4,1.21,23.87,15.39,49.22
20080128,7.94,28.61,1.33,2.48,22.18,11.09,67.99
20080129,17.76,23.34,0.0,1.48,21.11,7.92,66.21
20080130,18.03,22.15,0.0,2.25,22.27,7.34,49.62
20080131,18.27,21.48,0.0,3.14,23.59,5.89,34.27
20080201,12.93,25.21,0.0,1.15,19.43,6.71,35.01
20080202,13.57,24.64,0.0,1.8,19.15,5.33,49.52
20080203,18.23,23.51,0.0,2.04,21.38,5.99,63.78
20080204,8.75,26.05,1.18,2.73,17.31,6.77,75.88
20080205,18.83,20.87,0.0,2.68,19.13,4.12,43.87
20080206,18.83,21.22,0.0,2.87,23.15,3.95,32.28
20080207,19.1,22.78,0.0,2.03,26.74,5.19,32.62
20080208,19.25,24.09,0.0,2.09,29.22,10.18,30.44
20080209,19.43,24.26,0.0,1.77,30.01,9.93,30.4
20080210,19.45,23.81,0.0,1.84,31.01,9.95,27.02
20080211,19.24,24.33,0.0,2.02,30.53,12.78,25.71
20080212,19.65,24.11,0.0,2.07,30.55,10.49,27.88
20080213,18.79,25.34,0.0,2.02,28.39,11.01,28.69
