DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20160101,9.65,24.79,0.0,0.75,17.26,2.37,63.98
20160102,9.17,25.63,0.0,0.67,18.34,0.53,64.37
20160103,9.87,25.15,0.0,0.64,18.51,1.64,57.64
20160104,11.11,25.13,5.23,0.93,13.87,1.45,69.19
20160105,6.45,27.44,5.25,0.96,11.66,5.13,88.31
20160106,11.67,23.31,0.22,0.92,9.78,3.15,86.13
20160107,11.27,22.9,5.03,1.19,10.6,2.25,80.76
20160108,10.13,23.82,7.57,0.91,3.94,-0.44,86.7
20160109,13.49,19.74,0.03,0.73,8.29,-3.98,69.69
20160110,11.79,21.83,0.0,0.73,10.38,-4.47,56.16
20160111,12.87,21.01,0.0,0.83,9.47,-2.32,63.9
20160112,16.08,18.8,0.0,0.77,14.34,-2.85,51.6
20160113,15.84,20.02,0.0,0.73,16.28,-1.61,48.64
20160114,15.86,19.49,0.0,0.88,14.33,0.92,48.75
20160115,14.16,21.11,0.0,0.83,12.45,-1.65,50.4
20160116,15.88,20.47,0.0,0.71,14.78,-0.41,49.6
20160117,15.0,21.9,0.0,1.05,17.77,1.25,40.67
20160118,15.95,20.88,0.0,0.7,19.32,-0.14,35.82
20160119,16.56,21.65,0.0,0.67,18.83,3.88,34.25
20160120,16.45,21.11,0.0,0.67,18.29,5.03,38.66
20160121,17.19,19.4,0.0,1.06,16.38,-0.53,43.27
20160122,16.95,19.94,0.0,0.79,23.06,1.47,30.95
20160123,16.22,22.78,0.0,0.95,21.45,4.67,29.8
20160124,16.53,20.55,0.0,1.01,16.14,1.85,42.33
20160125,16.07,20.53,0.0,0.83,14.43,0.36,49.15
20160126,17.13,19.58,0.0,1.03,13.79,-1.22,48.17
20160127,17.82,18.61,0.0,1.16,12.35,-2.22,53.74
20160128,17.2,21.06,0.0,0.71,21.39,-1.23,36.03
20160129,17.68,21.08,0.0,0.84,21.09,2.9,32.4
20160130,16.66,21.9,0.0,0.98,17.74,1.69,36.56
20160131,17.85,21.42,0.0,1.01,17.2,1.89,40.42
20160201,8.53,24.34,1.4,1.72,7.21,-0.97,68.55
20160202,18.36,18.61,0.0,0.71,7.44,-3.33,49.72
20160203,19.15,17.03,0.0,0.92,11.1,-4.81,30.32
20160204,19.13,18.28,0.0,1.19,18.53,-2.85,29.06
20160205,19.21,18.4,0.0,1.23,17.4,-1.4,30.86
20160206,18.58,20.75,0.0,0.96,22.68,-0.75,22.86
20160207,14.27,23.88,0.0,0.7,23.11,7.66,24.34
20160208,16.27,23.93,0.0,0.92,20.47,6.06,30.3
20160209,18.84,21.65,0.0,0.87,23.54,3.35,30.64
20160210,19.15,22.23,0.0,0.79,23.49,3.81,33.41
20160211,19.62,21.91,0.0,0.83,24.59,5.74,29.32
20160212,19.88,21.8,0.0,0.71,25.38,3.81,28.36
20160213,19.52,23.12,0.0,0.83,25.69,5.52,28.78
20160214,19.81,22.4,0.0,0.9,23.51,9.1,27.92
20160215,20.42,21.48,0.0,0.92,24.43,2.84,30.97
20160216,20.74,21.63,0.0,0.7,26.86,4.2,31.26
20160217,20.54,22.53,0.0,0.93,26.78,6.28,29.26
20160218,20.54,23.0,0.0,0.99,23.95,6.27,32.73
20160219,12.89,26.79,0.0,0.81,23.55,8.73,33.83
20160220,17.74,25.82,0.0,0.8,23.79,10.58,37.13
20160221,19.97,24.44,0.0,0.81,25.71,11.33,32.05
20160222,21.54,22.11,0.0,1.22,22.41,5.41,31.66
20160223,22.09,20.65,0.0,0.89,19.57,3.84,31.25
20160224,21.91,21.16,0.0,1.13,23.39,1.26,30.23
20160225,22.0,21.77,0.0,0.78,24.25,5.37,24.87
