DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20140101,16.04,28.01,0.0,2.62,25.42,14.73,52.28
20140102,15.46,29.06,0.0,2.46,28.64,14.82,48.63
20140103,15.73,28.52,0.0,2.37,26.58,14.89,50.75
20140104,9.8,30.63,0.0,1.66,24.56,16.34,67.76
20140105,9.1,31.16,0.0,1.76,23.04,16.88,70.47
20140106,12.86,30.22,0.0,2.87,26.22,16.84,56.95
20140107,15.86,28.45,0.0,2.43,25.39,14.19,57.64
20140108,16.37,27.31,0.0,1.65,24.51,15.64,51.9
20140109,14.92,28.49,0.0,1.87,24.07,15.74,49.2
20140110,13.39,29.55,0.0,2.91,25.72,16.15,50.15
20140111,16.29,28.5,0.0,2.09,26.35,14.94,57.23
20140112,16.6,27.79,0.0,1.81,24.86,14.85,59.65
20140113,16.86,27.55,0.0,3.46,27.56,16.15,49.22
20140114,17.26,27.11,0.0,3.24,26.36,13.84,47.46
20140115,17.02,27.61,0.0,3.26,27.15,15.21,40.89
20140116,17.17,27.65,0.0,2.97,26.27,13.78,50.75
20140117,17.36,27.39,0.0,2.18,25.74,14.05,56.08
20140118,14.75,28.52,0.0,2.05,26.26,13.68,57.01
20140119,12.77,29.28,0.0,1.68,26.05,15.44,53.5
20140120,16.67,28.67,0.0,2.19,25.8,16.03,56.46
20140121,13.1,31.55,0.0,3.21,27.6,16.31,51.73
20140122,16.78,29.47,0.0,3.03,26.57,17.83,49.64
20140123,14.66,30.63,0.0,1.52,25.69,18.5,64.55
20140124,9.66,31.88,0.0,2.55,27.82,18.95,44.46
20140125,16.93,30.38,0.0,4.38,28.62,18.78,51.99
20140126,17.25,29.66,0.0,3.85,26.97,17.86,61.45
20140127,4.25,32.67,0.27,3.26,26.13,18.25,61.62
20140128,17.58,29.2,0.0,2.75,25.08,17.13,63.24
20140129,18.05,28.56,0.0,2.54,26.53,15.76,57.61
20140130,18.5,27.97,0.0,1.42,26.52,16.56,50.45
20140131,17.94,28.66,0.0,2.1,25.43,15.53,57.25
20140201,17.28,29.38,0.0,2.52,23.5,16.09,69.76
20140202,19.19,27.19,0.0,3.02,22.94,13.9,57.5
20140203,13.26,28.94,0.0,2.18,21.18,13.35,54.68
20140204,19.06,27.64,0.0,3.3,22.38,12.87,54.52
20140205,18.13,28.44,0.0,2.79,23.23,13.77,55.73
20140206,19.36,27.5,0.0,2.31,23.55,14.46,53.91
20140207,19.81,27.73,0.0,3.46,25.24,13.72,54.16
20140208,18.41,28.18,0.0,3.73,27.58,14.78,49.7
20140209,19.86,28.34,0.0,3.57,29.53,15.88,54.53
20140210,20.2,28.17,0.0,2.45,28.85,17.33,59.01
20140211,20.34,27.95,0.0,1.9,27.11,16.88,67.93
20140212,19.59,29.0,0.0,2.31,28.0,16.86,55.8
20140213,20.17,28.72,0.0,2.51,27.56,15.27,67.21
20140214,20.26,28.76,0.0,1.66,28.54,16.63,67.4
20140215,17.61,30.76,0.0,1.46,27.57,17.18,55.5
20140216,18.68,29.52,0.0,1.49,29.83,19.3,42.58
20140217,19.95,28.97,0.0,1.78,29.42,19.0,44.03
20140218,21.07,28.83,0.0,2.24,28.69,18.47,49.23
20140219,21.41,28.47,0.0,2.12,28.28,17.68,56.11
