DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20150101,10.96,26.29,0.22,2.43,14.34,5.14,67.94
20150102,15.22,20.96,0.63,2.1,10.25,1.26,53.53
20150103,15.72,20.08,0.0,1.14,13.55,-1.42,46.28
20150104,15.9,21.71,0.0,1.99,22.74,0.35,38.04
20150105,15.38,22.55,0.0,1.73,24.6,1.43,33.25
20150106,13.96,25.2,0.0,1.28,26.72,5.87,35.57
20150107,7.9,30.0,0.23,1.61,23.75,11.27,59.66
20150108,13.64,27.64,0.33,1.33,21.09,10.11,51.71
20150109,9.5,28.46,0.27,1.06,19.37,9.64,56.74
20150110,14.43,25.69,0.01,1.0,19.55,5.4,57.98
20150111,12.49,25.66,0.0,1.66,20.06,6.66,49.53
20150112,14.61,25.14,0.0,1.21,19.99,7.14,45.95
20150113,15.17,25.1,0.0,1.46,20.29,8.07,46.92
20150114,11.93,25.37,0.0,1.38,18.29,5.84,52.85
20150115,15.06,25.09,0.0,3.31,20.21,3.29,50.51
20150116,10.71,27.21,0.0,1.53,20.93,5.34,44.49
20150117,8.81,27.33,0.0,0.89,23.1,8.29,39.3
20150118,16.19,25.19,0.0,1.32,25.67,4.64,29.78
20150119,15.57,24.84,0.0,1.47,25.74,8.6,26.55
20150120,15.14,23.79,0.0,1.39,25.59,9.9,27.98
20150121,15.99,23.78,0.0,2.34,21.17,8.1,32.36
20150122,16.43,22.34,0.03,3.07,16.96,2.5,45.09
20150123,16.47,22.56,0.0,2.97,21.6,-0.82,34.81
20150124,13.17,25.52,0.0,2.06,19.89,5.75,25.81
20150125,11.69,28.01,0.05,0.91,21.71,8.48,35.91
20150126,9.27,30.28,0.4,1.34,23.15,11.77,49.9
20150127,15.59,28.78,0.04,0.96,24.49,11.04,61.54
20150128,16.32,28.41,0.0,1.03,25.13,12.48,44.82
20150129,7.33,30.79,2.67,1.39,25.31,12.58,49.01
20150130,3.05,30.38,26.87,2.66,14.91,11.25,87.59
20150131,10.12,28.87,14.92,2.69,13.82,8.63,82.43
20150201,17.39,25.49,0.01,1.21,19.42,3.86,61.91
20150202,17.69,25.11,0.0,1.82,23.59,4.56,51.28
20150203,18.12,24.9,0.0,1.34,23.59,4.3,43.56
20150204,18.04,25.22,0.0,1.49,25.23,8.54,39.97
20150205,18.28,24.99,0.0,1.44,27.85,7.66,35.61
20150206,17.88,25.59,0.0,1.22,27.73,10.88,33.12
20150207,18.24,25.17,0.0,1.28,27.11,11.8,28.75
20150208,19.39,24.69,0.0,1.59,28.99,8.26,31.27
20150209,19.23,24.66,0.0,1.47,28.86,7.87,30.91
20150210,19.41,24.9,0.0,1.45,28.18,11.1,28.02
20150211,19.54,25.19,0.0,1.87,25.07,9.18,35.44
20150212,16.14,26.86,0.43,4.51,20.02,7.88,50.6
20150213,18.0,27.72,0.01,1.33,24.69,7.05,50.38
20150214,9.87,31.36,0.47,1.18,21.43,10.9,64.08
20150215,5.29,30.85,5.08,1.34,19.66,11.99,77.12
20150216,16.54,29.1,5.32,1.41,19.01,11.57,75.42
20150217,18.95,26.84,0.0,1.54,23.57,10.35,58.86
20150218,20.23,25.42,0.0,1.79,27.13,6.38,36.07
20150219,20.69,25.13,0.0,1.65,27.18,10.89,31.74
20150220,15.6,27.69,0.01,1.99,25.4,12.09,35.66
20150221,16.23,28.62,0.12,2.47,23.83,10.1,45.72
20150222,19.96,26.84,0.0,3.24,22.88,10.14,56.05
20150223,21.0,25.07,0.0,2.75,23.48,8.28,57.63
20150224,20.03,24.44,0.28,2.8,19.74,4.57,54.33
20150225,22.04,22.88,0.16,2.05,21.39,1.04,46.42
20150226,22.21,23.47,0.0,1.99,23.17,3.31,38.62
20150227,21.91,23.94,0.0,3.17,21.23,5.51,47.81
20150228,21.05,25.34,0.0,3.2,20.93,6.76,68.12
20150301,21.02,26.33,0.0,2.25,19.95,6.64,62.94
20150302,5.08,29.83,13.44,3.38,14.39,10.5,85.49
20150303,9.52,28.96,26.88,2.68,16.28,6.32,77.87
20150304,15.52,26.51,1.41,1.73,14.67,5.32,68.42
20150305,23.14,24.01,0.0,3.52,20.68,3.02,53.03
20150306,22.72,25.28,0.0,2.2,25.85,5.39,39.9
