DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20170101,6.07,26.47,5.01,3.45,11.73,2.24,86.35
20170102,14.27,24.38,0.01,1.57,16.29,2.2,69.19
20170103,13.44,27.76,0.0,1.14,21.58,7.3,44.62
20170104,13.87,26.87,0.0,1.23,22.15,10.45,48.05
20170105,15.19,24.69,0.0,1.8,22.95,9.32,49.64
20170106,15.22,24.5,0.0,1.61,21.28,7.54,50.52
20170107,15.07,24.74,0.0,2.39,24.12,4.58,44.25
20170108,14.72,27.53,0.0,2.32,28.04,9.02,37.76
20170109,11.1,27.97,0.0,1.79,28.34,11.84,43.9
20170110,13.91,26.08,0.0,1.63,24.43,11.33,37.41
20170111,15.91,24.16,0.0,2.07,22.78,8.74,37.72
20170112,14.6,25.93,0.0,1.78,21.08,7.18,36.9
20170113,11.42,27.59,0.0,2.27,21.8,7.85,41.55
20170114,6.83,29.07,11.56,3.22,16.06,7.16,66.8
20170115,10.44,26.53,3.0,2.45,12.5,5.22,77.95
20170116,13.3,25.3,0.0,1.24,15.66,3.16,68.68
20170117,14.73,25.18,0.0,1.5,16.68,4.73,61.04
20170118,16.05,23.86,0.0,1.53,17.75,4.13,59.93
20170119,10.08,24.99,0.0,1.64,16.1,5.01,53.96
20170120,8.67,27.62,11.53,3.9,11.05,2.78,84.47
20170121,9.46,28.27,16.8,5.64,12.83,4.88,77.98
20170122,16.57,23.51,0.0,1.16,18.35,1.06,60.17
20170123,16.53,24.92,0.0,3.02,21.08,5.73,49.65
20170124,13.29,24.31,0.0,2.39,13.47,4.14,67.98
20170125,17.55,21.41,0.0,1.59,14.51,0.04,48.0
20170126,17.9,21.23,0.0,2.13,16.32,-0.58,39.9
20170127,17.98,21.37,0.0,3.7,14.35,-0.6,41.38
20170128,18.48,20.87,0.0,5.58,15.48,-1.12,37.3
20170129,18.55,21.9,0.0,3.66,23.22,1.58,31.2
20170130,17.96,23.57,0.0,2.03,23.27,0.77,33.58
20170131,17.9,24.64,0.0,1.49,23.98,5.29,34.51
20170201,18.12,25.0,0.0,1.43,24.11,5.29,33.08
20170202,18.06,25.03,0.0,1.53,24.66,7.71,31.19
20170203,17.21,25.83,0.0,1.83,25.6,8.7,29.52
20170204,17.5,25.49,0.0,1.45,25.32,12.02,31.68
20170205,18.71,24.91,0.0,1.69,23.21,10.68,39.48
20170206,15.01,26.03,0.0,1.92,23.38,7.83,37.57
20170207,18.18,26.32,0.0,1.63,24.41,7.68,46.64
20170208,18.68,26.96,0.0,2.54,28.69,8.29,53.79
20170209,17.78,27.72,0.0,1.89,30.3,9.55,39.25
20170210,19.42,26.23,0.0,1.91,29.66,13.62,33.99
20170211,18.62,27.12,0.0,2.32,27.83,10.82,38.83
20170212,15.09,27.53,0.07,2.57,24.56,9.78,49.8
20170213,13.81,28.18,1.96,1.4,15.8,8.82,63.63
20170214,15.55,27.22,0.06,1.28,18.14,5.33,61.9
20170215,16.06,28.17,0.01,2.65,20.72,7.53,46.35
20170216,19.52,26.04,0.0,1.96,21.71,4.39,44.93
20170217,15.56,28.09,0.0,3.0,18.47,5.7,67.41
20170218,4.19,29.62,15.55,5.31,13.56,5.5,84.17
20170219,11.58,28.15,2.07,2.07,14.08,4.94,77.03
20170220,20.53,25.2,0.0,1.47,21.04,3.62,62.86
20170221,20.97,26.65,0.0,2.5,27.9,6.59,49.5
20170222,21.37,26.78,0.0,2.08,29.71,8.4,40.56
20170223,22.23,23.69,0.0,2.52,23.03,6.23,43.71
20170224,22.5,22.39,0.0,2.04,21.4,2.01,34.09
20170225,22.38,22.77,0.0,1.99,22.56,1.34,30.39
20170226,17.6,26.33,0.0,2.83,20.28,5.99,32.45
20170227,16.58,27.58,0.0,2.31,20.77,7.39,46.59
20170228,19.0,26.79,0.0,2.84,20.51,7.45,55.33
20170301,22.76,25.34,0.0,1.68,24.3,4.52,48.63
20170302,19.73,27.3,0.0,3.09,24.76,7.32,33.99
