DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20030101,15.05,20.7,0.0,2.43,15.66,-0.67,38.06
20030102,15.16,21.01,0.0,4.47,18.16,1.42,33.08
20030103,15.01,22.0,0.0,3.28,21.12,2.37,37.34
20030104,14.67,22.87,0.0,2.11,22.74,3.86,32.46
20030105,14.91,22.98,0.0,1.5,23.29,4.89,33.74
20030106,9.64,25.24,0.0,3.75,18.72,3.78,43.3
20030107,12.89,26.82,0.03,4.99,19.54,5.28,66.48
20030108,6.88,29.21,0.31,2.55,16.61,8.34,81.72
20030109,14.64,23.47,0.03,1.49,17.94,6.15,60.51
20030110,15.22,22.4,0.0,1.67,19.66,2.99,48.39
20030111,15.15,22.12,0.0,1.81,18.81,3.72,50.66
20030112,15.62,21.71,0.0,1.95,19.38,0.54,54.07
20030113,15.76,22.39,0.0,2.08,22.04,2.49,38.17
20030114,15.87,22.65,0.0,1.6,24.02,4.38,32.48
20030115,15.51,23.12,0.0,1.54,23.39,5.31,30.58
20030116,16.07,22.26,0.0,3.55,21.85,4.51,30.69
20030117,15.76,22.98,0.0,2.18,23.22,3.35,31.65
20030118,16.02,22.12,0.0,1.82,21.38,4.03,30.42
20030119,14.82,23.68,0.0,1.6,19.93,6.93,31.02
20030120,9.79,26.63,0.8,2.27,19.32,6.41,49.8
20030121,15.87,22.64,0.0,1.16,17.08,1.7,63.11
20030122,16.74,22.08,0.0,2.34,18.95,1.93,58.77
20030123,15.6,23.27,0.0,3.26,22.75,4.41,35.83
20030124,16.03,24.27,0.0,2.13,23.38,5.96,35.14
20030125,14.83,23.2,0.0,1.71,20.92,5.85,39.28
20030126,17.19,22.1,0.0,3.33,21.53,4.68,41.16
20030127,17.84,21.04,0.0,2.05,24.92,2.84,33.61
20030128,17.4,21.87,0.06,1.94,21.76,9.06,22.69
20030129,17.16,22.72,0.0,1.56,22.04,7.39,27.08
20030130,17.78,22.6,0.0,2.1,23.56,3.98,28.8
20030131,17.73,22.78,0.0,2.81,24.43,5.13,27.46
20030201,17.49,23.47,0.0,2.4,24.91,6.97,28.85
20030202,16.75,23.26,0.0,3.69,20.37,2.45,34.64
20030203,18.53,20.49,0.0,1.47,17.2,-0.77,29.98
20030204,17.16,23.28,0.02,1.82,18.47,3.64,25.39
20030205,9.36,25.74,0.15,3.32,15.48,2.49,38.41
20030206,18.27,21.09,0.0,1.99,14.52,-0.67,46.96
20030207,11.16,25.6,1.05,1.7,11.19,2.97,65.63
20030208,9.41,26.25,1.36,2.76,11.15,2.67,78.62
20030209,18.18,21.06,0.03,1.33,14.43,0.09,55.95
20030210,14.34,24.17,0.03,1.82,18.36,-0.84,32.6
20030211,11.75,27.32,1.18,1.79,18.65,7.69,43.88
20030212,8.09,28.44,1.93,2.18,18.8,8.87,63.82
20030213,9.58,28.15,6.04,4.18,15.02,6.51,82.48
20030214,11.06,28.18,13.81,1.23,10.86,5.72,85.71
20030215,16.98,24.46,0.0,1.66,18.02,2.55,67.9
20030216,18.24,24.09,0.0,1.6,21.28,2.72,51.94
20030217,17.06,25.18,0.0,1.91,23.99,7.66,33.23
20030218,8.31,27.73,0.0,2.36,18.64,9.45,41.7
20030219,16.84,26.08,0.0,1.96,19.93,6.13,39.2
20030220,9.64,25.0,3.51,2.55,11.58,2.91,69.79
20030221,20.99,21.72,0.0,2.84,17.55,0.17,54.48
20030222,21.56,21.02,0.04,2.31,19.64,3.77,31.31
20030223,19.05,22.74,0.01,2.09,19.33,4.84,32.21
20030224,14.25,25.84,0.22,3.67,15.04,3.17,60.16
20030225,8.79,26.51,8.0,5.31,12.2,2.75,82.11
20030226,13.99,25.65,3.4,3.73,11.18,1.95,76.98
20030227,18.84,22.7,0.03,3.13,13.15,-0.45,72.34
20030228,21.85,21.54,0.17,2.15,13.65,1.3,68.5
20030301,21.95,21.96,0.24,2.2,14.44,1.47,59.68
20030302,18.13,23.87,0.3,2.05,12.35,0.03,60.81
20030303,14.7,23.69,0.04,2.02,13.47,-2.67,56.33
20030304,22.67,21.54,0.02,3.05,13.9,-0.68,60.21
20030305,14.52,24.43,0.81,1.67,11.88,0.98,69.94
20030306,23.25,21.63,0.0,1.31,18.96,-0.54,49.87
20030307,20.76,23.09,0.06,2.57,20.11,0.97,38.87
20030308,23.63,22.19,0.07,1.37,22.06,2.79,39.36
20030309,23.84,23.06,0.0,1.95,25.47,3.92,26.93
20030310,24.1,22.71,0.0,1.5,25.47,8.29,23.26
20030311,24.07,22.39,0.0,1.99,25.02,8.6,22.82
20030312,23.83,23.1,0.0,1.9,24.95,8.72,22.49
20030313,18.55,25.7,0.0,1.98,24.98,6.37,26.62
20030314,19.37,26.64,0.02,2.07,22.65,9.74,28.49
20030315,19.37,26.1,0.84,2.18,23.63,8.86,35.74
20030316,16.09,27.13,4.28,4.57,16.57,4.3,72.72
20030317,11.21,26.14,9.3,4.69,11.79,3.02,74.27
20030318,14.11,26.47,0.87,5.1,12.63,1.57,62.18
20030319,18.07,24.89,0.02,3.51,14.8,-0.77,56.71
20030320,25.18,22.15,0.0,1.84,18.93,3.75,40.89
20030321,24.09,22.32,0.0,2.67,18.46,3.32,39.02
20030322,25.9,22.72,0.0,1.81,23.33,2.48,36.25
20030323,26.3,23.04,0.0,2.23,25.7,4.83,26.85
20030324,24.48,23.6,0.0,2.93,23.56,7.61,29.52
20030325,26.28,23.17,0.0,2.27,24.35,5.03,36.18
20030326,26.55,23.61,0.0,2.17,27.76,6.91,30.82
20030327,25.36,24.68,0.0,3.74,24.37,7.89,31.37
20030328,27.37,21.86,0.0,2.42,20.73,5.0,23.79
20030329,27.46,20.51,0.0,6.69,16.67,1.66,30.99
20030330,27.5,21.75,0.0,5.11,24.78,2.59,23.35
20030331,27.1,23.05,0.0,2.83,27.93,4.74,22.14
20030401,26.5,25.27,0.0,3.53,26.83,8.25,26.18
20030402,21.04,26.15,0.4,3.85,20.6,5.29,36.97
20030403,27.81,21.84,0.0,3.52,19.45,2.98,39.36
20030404,28.31,20.86,0.0,2.12,21.01,0.8,27.9
20030405,27.88,21.51,0.0,3.3,18.68,2.41,31.59
20030406,28.81,20.39,0.0,2.18,20.48,-0.32,31.68
20030407,28.36,22.27,0.0,1.87,23.73,2.03,24.74
20030408,28.73,23.03,0.0,5.04,25.49,6.23,22.88
20030409,24.22,26.31,0.0,3.41,28.08,7.59,23.19
20030410,25.16,24.84,0.0,2.86,25.97,9.68,19.51
20030411,28.89,23.24,0.0,1.46,26.27,8.69,18.17
20030412,25.37,25.77,0.0,2.44,26.45,10.89,21.57
20030413,27.89,26.07,0.0,3.44,26.14,9.74,32.62
20030414,18.18,28.7,0.05,4.86,21.94,10.38,48.86
20030415,28.53,23.48,0.53,4.4,17.58,5.63,49.71
20030416,28.62,23.37,0.0,2.58,25.57,2.06,29.01
20030417,28.89,23.38,0.0,4.38,20.94,5.16,32.64
20030418,29.45,22.36,0.0,2.57,19.79,4.23,43.07
20030419,29.57,22.44,0.0,1.84,20.71,3.78,37.73
20030420,29.73,23.43,0.0,2.98,27.06,4.74,28.52
20030421,29.7,23.26,0.0,3.24,24.46,6.54,31.2
20030422,29.62,22.79,0.0,4.25,20.51,4.22,41.2
20030423,30.38,21.52,0.0,2.28,21.63,2.39,36.3
20030424,30.46,22.03,0.0,2.45,24.96,7.6,19.96
20030425,30.28,23.49,0.0,2.18,26.99,10.12,22.33
20030426,30.26,24.66,0.0,2.49,28.26,11.49,21.57
20030427,29.87,25.17,0.0,2.69,27.73,12.01,23.08
20030428,29.6,25.24,0.0,2.62,28.07,10.69,22.47
20030429,30.13,24.87,0.0,3.76,26.59,10.9,24.28
20030430,30.72,23.62,0.0,2.73,25.95,9.62,23.8
20030501,31.29,22.86,0.0,3.0,27.15,7.86,18.36
20030502,31.2,23.22,0.0,3.15,28.73,6.92,16.67
20030503,31.09,23.79,0.0,4.11,27.48,7.05,20.62
20030504,22.92,27.13,0.0,2.89,22.79,8.86,36.63
20030505,31.27,23.59,0.0,2.67,25.66,7.7,29.0
20030506,29.19,24.76,0.0,2.92,27.04,8.93,26.97
20030507,30.9,24.34,0.0,3.93,26.05,7.75,26.58
20030508,31.8,23.31,0.0,2.67,26.05,6.98,25.25
