DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20190101,13.14,25.15,0.01,1.67,19.23,6.3,60.31
20190102,15.68,21.98,0.0,2.57,14.85,2.73,41.5
20190103,16.21,21.78,0.0,2.46,21.66,1.59,41.29
20190104,16.03,23.53,0.0,1.82,25.86,6.05,36.77
20190105,10.74,28.03,0.99,1.61,21.53,10.65,47.65
20190106,3.87,29.79,10.65,0.99,18.35,11.46,83.27
20190107,13.33,27.13,0.0,1.53,24.67,9.32,71.7
20190108,6.54,29.16,0.0,1.0,21.27,12.03,60.32
20190109,12.05,29.88,0.0,1.54,28.99,13.46,52.88
20190110,4.04,30.2,2.89,1.45,19.65,12.48,71.93
20190111,15.77,26.15,0.0,1.47,25.08,10.21,69.33
20190112,15.92,24.95,0.0,2.0,24.41,9.85,57.08
20190113,15.68,25.76,0.0,1.76,23.74,9.74,60.82
20190114,9.31,27.47,0.0,1.45,24.5,9.86,52.9
20190115,14.42,27.27,0.0,1.9,23.71,9.29,69.81
20190116,14.35,28.56,0.0,1.43,24.55,12.92,66.37
20190117,15.46,27.52,0.0,1.9,27.45,12.73,54.06
20190118,16.33,26.48,0.0,2.75,28.36,11.04,46.93
20190119,17.18,24.9,0.0,3.5,28.8,12.06,37.33
20190120,17.18,25.03,0.0,2.7,29.39,10.02,38.42
20190121,15.11,26.51,0.0,2.3,25.48,10.15,51.83
20190122,17.51,23.66,0.0,3.05,20.26,6.66,50.85
20190123,18.0,22.43,0.0,3.48,24.04,7.12,34.31
20190124,17.29,24.61,0.0,3.0,27.71,8.22,29.66
20190125,16.88,24.31,0.0,2.26,28.19,8.98,33.86
20190126,17.69,23.49,0.0,2.67,27.0,6.04,30.65
20190127,18.25,23.43,0.0,2.98,28.3,8.63,30.32
20190128,16.78,25.78,0.0,1.62,28.18,10.41,30.21
20190129,10.67,27.6,0.0,1.8,25.68,11.8,36.45
20190130,17.23,25.07,0.0,2.22,25.53,10.53,44.1
20190131,17.53,25.95,0.0,2.48,26.37,10.48,51.59
20190201,14.12,28.26,0.0,2.09,25.99,12.13,57.92
20190202,9.59,30.12,0.0,1.6,26.56,12.14,51.01
20190203,11.41,30.88,0.0,1.32,24.89,14.19,49.43
20190204,15.11,29.96,0.32,2.26,25.74,12.22,62.85
20190205,5.88,29.88,1.94,1.42,20.69,13.29,75.95
20190206,14.3,27.34,0.55,3.36,21.17,8.82,62.05
20190207,20.1,22.18,0.0,3.12,26.14,5.91,33.05
20190208,19.68,23.99,0.0,1.96,27.87,6.63,27.29
20190209,11.63,27.32,0.0,1.77,23.96,11.27,31.11
20190210,7.73,28.98,0.11,1.66,21.59,11.84,49.34
20190211,15.99,26.38,0.0,1.93,22.36,8.84,53.94
20190212,18.31,25.12,0.0,2.26,27.16,8.05,26.26
20190213,15.78,27.64,0.0,1.74,28.78,11.91,23.63
20190214,15.79,29.97,0.0,1.94,31.0,13.05,34.92
20190215,17.15,29.22,0.0,2.31,28.61,14.55,54.67
20190216,19.91,24.82,0.0,3.29,25.43,9.53,38.0
20190217,16.95,25.06,0.0,3.11,22.31,7.11,30.43
20190218,13.62,25.64,0.02,2.06,21.39,7.77,44.65
20190219,18.49,25.34,0.09,2.87,18.61,6.18,48.53
20190220,18.45,23.43,0.0,1.87,18.5,5.02,25.42
20190221,19.95,24.35,0.11,3.4,18.72,6.11,62.16
20190222,8.32,27.15,16.35,4.03,13.87,5.43,82.74
20190223,22.46,22.02,0.0,2.75,21.08,3.48,50.88
20190224,21.92,23.21,0.0,2.05,24.77,4.71,40.79
20190225,22.26,23.14,0.0,1.62,25.27,6.64,38.68
20190226,22.15,25.06,0.0,1.96,26.75,8.72,34.99
20190227,10.13,28.73,0.0,1.55,24.09,12.1,41.37
20190228,22.33,26.47,0.0,2.36,31.26,11.47,37.15
20190301,22.13,26.88,0.0,1.93,32.04,13.34,38.03
20190302,18.55,28.71,0.0,1.85,27.98,14.74,41.67
20190303,23.2,26.03,0.0,2.48,29.59,12.47,50.08
20190304,18.73,27.5,0.0,1.61,25.77,10.63,49.82
20190305,18.91,28.98,0.0,1.86,31.79,13.27,41.33
20190306,21.67,28.02,0.0,1.97,32.97,14.64,33.07
20190307,16.11,28.96,0.0,1.66,30.85,16.76,28.88
20190308,5.59,29.3,0.04,2.18,23.0,10.88,44.33
20190309,15.31,27.35,0.0,1.71,23.22,7.94,39.45
20190310,7.9,29.29,0.0,1.49,19.36,11.94,54.25
20190311,10.73,29.85,0.61,3.37,27.95,10.56,49.28
20190312,13.53,29.98,22.13,4.11,19.36,11.13,71.96
20190313,19.93,26.91,0.08,2.36,22.1,10.13,64.14
20190314,23.94,24.74,0.0,3.15,26.55,7.94,42.84
20190315,24.09,25.33,0.0,2.33,28.76,10.55,39.65
