DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20220101,11.59,25.13,2.52,4.66,12.77,1.11,63.08
20220102,15.3,20.6,0.0,4.09,18.69,-1.12,29.58
20220103,14.08,22.28,0.0,3.04,23.41,3.81,24.96
20220104,15.01,22.63,0.0,1.64,21.52,6.88,22.95
20220105,15.05,23.35,0.0,1.91,22.9,4.76,26.74
20220106,14.97,24.17,0.0,1.78,24.55,6.37,33.03
20220107,14.96,24.24,0.0,2.45,22.37,7.24,39.61
20220108,12.58,25.54,0.0,2.85,17.67,6.15,62.06
20220109,8.37,27.55,0.0,1.9,20.55,6.5,55.12
20220110,14.84,24.94,0.0,5.71,21.08,7.48,44.95
20220111,8.72,26.4,0.0,4.26,19.23,6.13,43.12
20220112,11.87,25.98,0.0,2.32,21.32,6.5,38.68
20220113,13.95,26.13,0.0,1.61,23.41,5.31,35.47
20220114,12.53,28.4,0.0,2.23,23.5,10.44,30.99
20220115,9.47,27.71,0.0,4.39,20.31,8.41,28.91
20220116,15.08,25.53,0.0,2.48,23.0,7.91,30.93
20220117,14.42,26.68,0.0,1.91,21.3,10.42,45.21
20220118,12.45,27.46,0.15,2.38,18.35,7.16,75.47
20220119,15.33,25.22,0.0,1.74,18.77,6.19,65.62
20220120,15.97,24.12,0.0,2.73,19.65,5.04,53.73
20220121,16.55,22.57,0.0,2.46,19.92,4.35,40.14
20220122,13.6,23.92,0.0,2.55,17.25,3.41,44.8
20220123,14.38,24.04,1.19,1.29,15.59,5.36,56.28
20220124,16.55,23.08,0.0,2.24,19.52,3.91,45.14
20220125,16.82,22.68,0.34,2.0,19.76,5.63,33.63
20220126,14.94,23.39,0.0,1.35,18.75,6.18,33.5
20220127,16.88,22.55,0.0,1.76,18.88,5.72,27.91
20220128,13.86,25.23,0.0,5.87,19.51,3.34,29.82
20220129,16.99,23.77,0.0,3.15,22.9,5.29,33.88
20220130,17.5,22.8,0.0,1.82,19.26,6.66,30.65
20220131,16.85,23.95,0.0,1.74,21.35,4.2,35.17
20220201,8.48,26.7,0.0,2.51,19.34,7.23,34.02
20220202,13.68,24.78,0.04,3.05,14.02,-0.16,48.3
20220203,18.5,19.95,0.0,2.31,12.54,-3.43,28.18
20220204,18.93,20.51,0.0,6.15,15.51,-0.93,30.48
20220205,18.41,22.6,0.0,3.93,20.53,1.14,28.29
20220206,18.61,22.8,0.0,2.21,20.25,4.65,25.85
20220207,19.14,22.27,0.0,4.67,20.09,4.39,28.85
20220208,19.4,22.32,0.0,2.84,23.61,4.28,26.34
20220209,19.23,23.68,0.0,2.86,23.69,6.57,24.16
20220210,19.49,23.69,0.0,2.44,24.51,6.0,24.67
20220211,19.56,23.71,0.0,2.38,25.32,8.34,25.94
20220212,19.83,24.3,0.0,3.49,25.85,7.67,28.56
