DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20100101,15.46,24.9,0.0,2.66,27.47,8.29,28.69
20100102,14.0,25.27,0.0,1.68,27.29,9.22,27.2
20100103,15.69,24.81,0.0,1.75,28.43,9.4,24.49
20100104,15.75,24.66,0.0,2.69,28.62,9.2,27.1
20100105,15.63,24.37,0.0,1.85,27.85,8.97,26.27
20100106,16.03,23.69,0.0,1.61,26.78,8.87,22.9
20100107,16.1,23.49,0.0,1.94,25.55,8.5,20.46
20100108,15.91,24.14,0.0,1.81,26.69,9.0,19.74
20100109,15.78,25.15,0.0,2.79,27.18,9.42,25.93
20100110,12.22,26.69,0.0,2.47,26.54,8.75,23.27
20100111,15.59,25.46,0.0,1.68,26.91,9.78,21.21
20100112,15.92,25.96,0.0,2.37,28.01,11.03,27.94
20100113,13.7,26.28,0.0,2.11,25.88,10.51,26.36
20100114,16.19,24.32,0.0,2.68,21.48,10.47,30.21
20100115,16.26,24.46,0.0,4.13,25.53,9.69,28.02
20100116,13.34,26.81,0.0,2.64,24.0,9.46,31.81
20100117,10.28,26.17,0.0,1.82,23.3,8.89,26.14
20100118,16.19,25.53,0.0,2.78,24.54,8.36,40.47
20100119,16.39,25.33,0.01,2.61,22.17,9.04,70.22
20100120,7.51,29.92,2.16,3.67,17.61,11.15,84.18
20100121,7.72,31.0,7.61,6.9,20.31,12.74,79.69
20100122,7.12,31.35,23.04,7.14,18.32,11.44,78.04
20100123,13.08,26.48,1.71,2.82,16.31,7.16,70.15
20100124,17.71,22.68,0.0,2.76,19.46,4.78,43.66
20100125,17.55,23.8,0.0,2.58,24.65,4.18,38.2
20100126,16.03,25.48,0.0,2.02,25.41,9.86,39.87
20100127,7.33,28.79,2.61,3.01,19.39,9.19,71.13
20100128,10.25,27.85,1.84,1.56,16.97,9.22,74.54
20100129,17.53,25.44,0.03,1.86,20.82,6.92,59.78
20100130,14.1,26.92,0.0,2.09,20.69,8.58,52.9
20100131,13.83,27.09,0.0,1.39,21.88,9.58,58.99
20100201,16.31,25.71,0.0,1.6,22.3,8.85,61.04
20100202,10.74,27.87,2.16,1.92,20.64,11.23,61.98
20100203,9.23,29.81,19.82,1.79,15.55,9.4,84.74
20100204,17.76,25.84,0.0,1.48,21.56,7.26,71.12
20100205,18.59,24.88,0.0,1.6,23.96,8.45,60.58
20100206,19.21,24.23,0.0,1.93,23.67,8.98,54.92
20100207,18.37,25.17,0.0,2.3,20.02,8.02,63.59
20100208,19.33,23.68,0.0,1.53,20.11,7.55,54.23
20100209,16.17,25.47,2.7,1.72,18.95,6.65,50.89
20100210,8.82,28.31,3.09,2.32,15.45,6.78,71.63
20100211,19.79,23.66,0.0,1.67,19.13,3.31,62.5
20100212,19.2,25.28,0.0,1.95,24.03,5.82,48.29
20100213,19.59,25.73,0.0,2.47,27.07,8.93,40.39
20100214,20.23,25.23,0.0,2.11,27.16,9.13,37.63
20100215,20.31,25.35,0.0,2.45,28.03,10.17,38.6
20100216,20.62,24.82,0.0,1.9,27.83,9.03,39.97
20100217,20.77,24.7,0.0,1.75,26.78,9.48,36.89
20100218,20.95,24.59,0.0,2.0,24.99,8.5,40.51
20100219,19.49,25.89,0.0,2.62,24.28,8.68,48.44
20100220,18.54,26.41,0.0,2.59,20.27,8.76,71.28
20100221,16.84,26.78,0.0,2.16,20.38,8.98,64.32
20100222,18.01,26.2,0.04,2.38,20.77,8.52,61.12
20100223,22.25,23.19,0.0,3.8,20.05,5.42,46.63
20100224,22.8,22.4,0.0,3.4,25.97,3.41,31.44
20100225,22.0,24.77,0.0,2.7,26.23,7.94,36.47
20100226,21.81,24.65,0.0,2.89,26.0,7.94,37.71
20100227,18.85,26.34,0.0,2.66,23.81,8.71,40.48
20100228,20.7,25.59,2.58,3.14,19.19,8.63,65.55
20100301,22.35,25.02,0.0,1.78,23.94,6.49,50.47
20100302,21.29,26.33,0.0,1.92,26.14,8.41,42.08
20100303,21.48,25.78,0.0,1.85,25.5,9.76,41.43
20100304,19.29,26.36,0.0,1.98,25.36,10.65,41.55
20100305,22.64,25.62,0.0,1.66,26.47,8.04,41.69
20100306,10.5,28.21,0.23,3.17,22.15,10.59,55.93
20100307,20.49,27.31,2.16,3.91,21.1,10.82,70.8
20100308,23.73,24.85,0.04,1.88,22.04,7.08,59.42
20100309,23.47,24.68,0.0,2.72,22.57,8.1,51.17
20100310,23.88,24.03,0.0,2.44,19.91,7.03,47.79
20100311,24.38,23.64,0.0,2.8,21.56,5.2,40.71
20100312,25.23,23.63,0.0,2.95,27.38,7.55,31.0
20100313,24.83,24.6,0.0,2.11,28.41,9.53,31.36
20100314,24.7,24.88,0.0,2.64,26.12,9.57,36.11
20100315,25.51,24.21,0.0,3.51,27.83,8.23,30.04
20100316,25.79,24.88,0.0,5.14,30.37,11.04,29.94
20100317,25.74,25.51,0.0,3.25,31.76,11.45,29.15
20100318,25.6,25.6,0.0,2.73,30.02,11.82,31.03
20100319,24.19,26.11,0.0,3.22,25.17,10.05,49.98
20100320,25.82,25.66,0.0,2.48,29.82,11.23,31.34
20100321,26.36,25.01,0.0,3.5,31.54,9.1,21.53
20100322,21.31,27.7,0.0,2.02,30.0,14.03,25.39
20100323,19.19,29.94,0.0,2.55,28.84,13.52,32.79
20100324,25.93,26.63,0.0,1.95,29.07,11.53,36.25
20100325,25.66,26.21,0.0,2.17,31.41,11.44,23.69
20100326,26.78,25.29,0.0,2.89,30.75,11.7,20.83
20100327,26.85,25.44,0.0,2.9,30.94,11.17,20.19
20100328,26.88,25.66,0.0,3.33,32.73,11.98,18.14
20100329,27.44,25.86,0.0,2.7,34.55,12.56,19.22
20100330,27.66,25.3,0.0,2.46,32.56,12.66,16.96
20100331,25.29,27.07,0.0,3.96,30.64,13.81,25.25
20100401,25.81,26.23,0.0,3.61,23.12,11.03,50.42
20100402,27.01,25.89,0.0,1.82,27.93,8.92,37.42
20100403,27.52,25.73,0.0,2.48,29.89,10.67,26.96
20100404,27.51,26.42,0.0,2.9,31.17,11.19,28.9
20100405,27.42,27.03,0.0,2.82,32.52,13.31,26.68
20100406,27.43,26.85,0.0,2.55,31.04,13.55,22.99
20100407,28.54,25.79,0.0,2.41,32.65,13.4,16.35
20100408,24.08,27.54,0.0,2.54,32.64,13.1,16.02
20100409,27.88,26.02,0.0,2.76,31.65,14.23,15.86
20100410,27.53,27.77,0.0,3.17,31.97,13.59,23.52
20100411,27.6,28.34,0.0,2.97,32.3,14.02,32.08
20100412,28.62,26.36,0.0,2.75,31.25,13.69,20.0
20100413,27.75,26.87,0.0,2.84,29.43,12.48,34.19
20100414,28.57,26.46,0.0,2.34,30.0,12.91,30.51
20100415,28.79,26.93,0.0,2.25,33.81,13.08,24.16
20100416,22.21,28.43,0.0,2.0,29.92,15.99,27.89
20100417,28.85,26.89,0.0,2.08,33.13,14.82,26.43
20100418,25.99,29.5,0.0,2.26,31.55,16.46,28.05
20100419,15.81,31.46,0.06,1.97,31.59,16.05,39.89
20100420,23.23,31.46,0.0,3.24,31.59,16.01,56.79
20100421,23.19,31.05,0.36,4.25,29.36,15.82,54.71
20100422,28.29,26.61,0.04,4.21,21.96,10.75,44.17
20100423,20.58,29.01,0.13,3.99,23.22,11.92,48.6
20100424,29.38,26.34,0.0,2.15,29.38,10.04,30.37
20100425,29.1,27.62,0.0,2.96,34.11,14.31,21.56
20100426,20.27,29.61,0.0,2.32,33.57,15.81,20.95
20100427,29.42,27.51,0.0,2.38,34.56,17.78,19.85
20100428,29.21,28.49,0.0,2.96,34.79,16.04,23.18
20100429,28.44,27.73,0.0,4.56,29.14,14.55,48.13
20100430,25.09,27.98,0.14,3.87,23.46,10.97,43.76
20100501,29.15,25.4,0.02,3.11,27.05,9.95,23.39
20100502,30.24,25.87,0.06,3.63,27.14,10.27,32.98
20100503,30.82,26.76,0.0,2.6,34.0,11.48,23.1
20100504,31.23,27.39,0.0,3.02,38.88,14.9,12.54
20100505,31.14,27.09,0.0,3.0,37.5,16.43,11.66
20100506,30.71,27.84,0.0,3.06,37.97,18.93,11.92
20100507,30.58,27.84,0.0,2.87,38.6,16.92,13.04
20100508,25.3,30.92,0.0,2.62,38.14,20.9,13.26
20100509,26.09,30.44,0.0,3.43,34.86,16.97,18.1
20100510,30.81,27.39,0.0,2.91,35.19,18.03,20.95
20100511,30.31,27.08,0.0,3.33,34.43,16.39,16.76
20100512,30.9,26.32,0.0,2.27,32.33,16.24,14.29
20100513,31.54,26.31,0.0,2.99,32.29,12.91,15.37
20100514,30.77,27.49,0.0,2.97,32.73,14.01,14.94
20100515,30.92,27.06,0.0,2.7,33.8,15.54,15.59
20100516,30.75,27.7,0.0,3.22,35.29,15.67,16.27
20100517,30.45,28.17,0.0,3.35,35.46,17.63,19.61
20100518,30.95,27.84,0.0,3.02,34.97,17.87,25.44
20100519,30.79,28.82,0.0,2.65,35.61,18.77,21.4
20100520,31.21,28.96,0.0,2.63,38.0,18.13,18.66
20100521,31.35,29.06,0.0,3.67,36.4,17.81,19.5
20100522,31.35,28.57,0.0,3.18,35.47,15.88,30.84
20100523,30.86,28.2,0.0,3.56,33.5,15.73,34.17
20100524,31.24,26.78,0.0,3.12,31.34,14.19,20.93
20100525,31.86,26.58,0.0,2.47,33.2,13.32,16.68
20100526,31.72,27.68,0.0,2.38,36.76,17.53,15.25
20100527,30.63,29.03,0.0,2.55,38.81,17.47,16.28
20100528,30.28,30.33,0.0,3.05,38.06,20.77,20.11
20100529,30.26,30.46,0.0,2.75,37.39,18.85,28.32
20100530,30.72,29.72,0.0,2.84,37.67,20.36,17.16
20100531,29.88,30.28,0.0,2.77,37.92,21.76,17.12
20100601,30.76,29.88,0.0,3.18,35.87,18.54,26.05
20100602,30.98,29.57,0.0,2.85,35.6,17.03,32.78
20100603,30.97,29.51,0.0,2.76,36.27,17.98,26.82
20100604,30.94,29.42,0.0,2.38,38.41,19.75,23.81
20100605,30.07,30.57,0.0,2.68,39.28,20.18,22.94
20100606,29.18,32.44,0.0,2.4,39.66,20.91,30.71
20100607,27.12,33.55,0.0,2.69,39.5,22.12,36.99
20100608,24.52,33.61,0.0,3.23,38.13,24.2,44.25
20100609,28.17,32.34,0.0,3.07,37.91,23.2,42.63
20100610,30.05,31.67,0.0,4.06,37.2,20.46,44.8
20100611,29.97,31.18,0.0,5.28,34.5,20.67,48.93
20100612,30.28,29.96,0.0,4.15,33.54,18.74,46.58
20100613,31.39,29.34,0.0,2.43,35.78,17.21,22.72
20100614,31.71,29.38,0.0,2.43,38.27,19.01,18.69
20100615,31.9,29.58,0.0,2.63,39.65,19.38,20.09
20100616,30.88,30.34,0.0,2.59,39.56,19.72,18.89
20100617,31.14,30.36,0.0,2.45,40.64,22.74,16.11
20100618,30.8,30.59,0.0,2.85,41.03,23.03,13.51
20100619,29.71,33.35,0.15,3.14,40.76,21.19,36.41
20100620,29.27,34.57,0.01,2.83,41.24,24.55,29.43
20100621,29.86,33.38,0.0,2.75,41.05,26.35,13.96
20100622,26.94,34.35,0.0,2.31,38.73,25.9,10.46
20100623,30.35,32.56,0.0,2.47,44.35,26.78,12.34
20100624,29.76,33.9,0.0,2.62,42.95,24.77,16.04
20100625,29.03,34.99,0.32,3.19,42.08,24.52,32.42
20100626,29.27,34.72,0.0,3.13,42.32,24.67,34.32
20100627,30.7,32.03,0.0,2.83,41.82,25.88,15.51
20100628,30.71,31.17,0.0,2.65,41.67,23.81,15.25
20100629,30.06,32.36,0.0,2.8,42.73,25.57,16.13
20100630,28.91,33.57,0.0,3.13,42.93,23.92,20.05
20100701,29.71,34.45,0.0,3.23,44.51,25.99,22.46
20100702,29.21,34.95,0.0,4.38,41.21,26.38,39.02
20100703,26.14,35.37,0.0,4.65,38.12,24.47,49.73
20100704,29.09,33.51,0.0,4.0,37.43,23.15,47.48
20100705,30.24,32.17,0.0,2.91,38.09,21.27,44.58
20100706,29.56,32.2,0.0,2.67,38.87,22.17,34.3
20100707,29.68,32.33,0.0,2.56,40.29,21.9,21.69
20100708,27.45,35.79,0.05,2.4,41.64,23.23,17.41
20100709,28.33,36.04,0.04,2.49,43.21,25.23,25.41
20100710,19.06,37.61,1.37,2.34,38.8,26.41,42.97
20100711,19.67,37.17,1.13,3.14,32.44,25.63,54.45
20100712,24.64,37.21,0.96,2.55,37.14,24.73,46.23
20100713,26.98,37.12,0.06,1.85,38.91,26.91,38.81
20100714,27.69,37.06,0.97,2.12,36.97,27.72,43.39
20100715,28.87,36.93,1.41,2.18,44.86,27.47,36.81
20100716,24.35,37.84,5.24,2.12,39.18,27.8,44.28
20100717,24.43,37.37,6.48,2.62,36.47,26.13,55.17
20100718,26.61,37.09,0.0,2.47,39.59,25.0,55.47
20100719,25.98,37.85,0.79,2.59,36.93,24.97,53.65
20100720,26.44,36.45,0.6,2.34,39.61,22.36,46.8
20100721,20.24,36.67,10.76,1.97,33.88,26.21,56.33
20100722,23.09,36.35,1.52,1.69,34.86,25.15,63.05
20100723,26.16,36.5,0.32,1.97,39.5,25.84,48.42
20100724,25.89,36.39,1.06,2.38,41.51,26.66,38.16
20100725,24.19,36.3,2.86,2.76,39.72,26.2,45.38
20100726,17.85,36.68,14.26,2.49,30.25,24.97,77.15
20100727,16.33,36.53,12.14,1.87,31.46,23.82,77.02
20100728,25.61,35.77,0.17,1.37,35.19,23.56,59.7
20100729,17.52,36.71,34.96,1.49,32.48,25.13,68.13
20100730,15.15,35.8,28.34,2.14,29.26,23.76,78.94
20100731,24.76,35.92,0.26,1.57,34.45,22.87,58.93
20100801,26.73,35.01,0.02,1.47,37.93,23.69,49.58
20100802,28.16,35.14,0.0,1.72,38.71,24.0,50.29
20100803,28.46,35.2,0.0,1.61,41.48,25.55,43.77
20100804,28.2,35.21,0.02,1.86,41.14,26.19,41.21
20100805,27.78,35.89,1.34,1.65,40.47,24.97,43.38
20100806,26.61,35.86,2.45,2.03,35.56,26.39,59.29
20100807,25.72,35.37,0.62,2.18,33.91,25.03,64.23
20100808,24.71,36.13,4.29,1.75,36.05,24.39,62.76
20100809,26.58,36.27,0.0,1.81,39.36,24.7,50.22
20100810,27.2,36.56,0.03,1.58,41.11,25.37,47.19
20100811,25.33,37.02,0.02,2.15,39.78,26.46,50.4
20100812,23.74,37.89,1.04,2.08,39.68,25.55,51.61
20100813,24.99,37.4,3.44,2.18,40.18,27.29,50.46
20100814,25.65,36.29,35.07,1.77,36.94,25.61,63.36
20100815,15.04,36.34,13.82,2.34,34.77,24.45,69.97
20100816,22.45,36.47,0.19,1.77,32.17,23.98,74.59
20100817,24.35,36.17,0.37,1.12,32.87,24.96,74.26
20100818,26.27,36.7,0.0,1.53,35.33,24.48,70.97
20100819,22.29,36.49,3.63,1.5,33.96,25.83,74.02
20100820,21.41,36.42,20.24,0.94,33.43,25.37,75.85
20100821,20.84,36.12,3.51,1.45,30.64,25.36,80.71
20100822,25.75,36.22,0.0,1.66,39.32,24.93,61.58
20100823,25.77,37.12,0.02,1.64,37.26,25.2,68.29
20100824,26.1,36.89,0.03,1.59,40.09,26.57,59.45
20100825,23.47,37.02,0.0,2.85,39.15,25.3,53.1
20100826,23.24,36.38,1.42,1.62,39.62,26.82,52.44
20100827,21.13,36.32,4.99,1.74,33.95,25.63,68.66
20100828,22.5,36.04,2.1,2.41,31.77,24.63,76.37
20100829,18.34,36.3,1.44,1.87,34.48,23.74,69.73
20100830,23.84,35.47,3.17,1.95,35.03,23.75,68.59
20100831,24.33,35.74,0.07,1.03,37.79,24.13,59.93
20100901,25.35,36.34,0.0,1.55,40.47,25.58,52.24
20100902,25.33,35.82,0.7,1.78,41.33,25.74,55.0
20100903,22.0,36.56,1.07,2.16,40.72,24.63,54.6
20100904,22.77,35.86,1.08,2.42,37.48,25.31,49.51
20100905,22.51,35.42,0.0,1.64,37.55,25.07,59.57
20100906,22.48,35.37,1.44,1.94,35.1,25.37,63.69
20100907,21.84,35.27,0.59,1.79,35.23,23.84,59.65
20100908,20.53,35.85,0.03,2.48,34.84,23.9,62.49
20100909,21.53,34.36,0.1,2.31,34.8,22.24,58.97
20100910,21.32,34.79,0.0,2.01,35.91,20.45,56.67
20100911,20.34,35.37,0.28,1.01,34.63,22.68,44.66
20100912,18.26,36.21,0.2,1.89,32.38,23.53,55.54
20100913,22.95,35.27,0.59,1.75,36.87,24.61,56.9
20100914,23.07,35.42,0.1,1.33,37.66,24.48,58.53
20100915,23.24,35.99,1.34,1.23,39.23,25.34,55.22
20100916,21.22,36.5,0.66,1.22,39.4,26.07,49.5
20100917,23.28,35.93,0.61,1.53,40.4,24.65,51.31
20100918,23.49,35.06,0.07,1.46,41.25,25.38,49.62
20100919,22.67,36.34,0.0,2.57,41.22,27.2,42.27
20100920,16.85,36.07,5.95,2.81,38.2,25.66,58.32
20100921,13.76,36.25,15.96,2.33,30.41,24.12,78.38
20100922,2.6,35.82,7.44,3.08,27.75,23.75,86.32
20100923,16.77,35.76,1.82,2.46,33.1,23.54,73.45
20100924,22.62,35.15,0.33,1.45,37.94,23.5,54.31
20100925,22.7,35.62,0.07,1.6,39.76,25.05,54.62
20100926,21.57,35.34,0.01,3.42,37.23,24.57,51.09
