DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20220101,8.92,25.98,0.18,2.85,14.95,5.18,79.17
20220102,15.74,21.8,0.0,2.94,21.05,0.57,42.35
20220103,14.68,24.64,0.0,2.15,23.94,4.09,39.39
20220104,15.45,23.48,0.0,1.37,24.39,7.05,38.58
20220105,15.54,23.42,0.0,1.42,23.75,6.28,33.48
20220106,15.39,23.7,0.0,1.56,26.03,6.96,37.12
20220107,15.62,23.73,0.0,1.74,24.34,8.96,41.11
20220108,14.98,25.08,0.0,2.1,21.05,8.33,56.46
20220109,6.68,27.7,0.0,1.33,19.64,9.17,61.9
20220110,14.13,26.49,0.0,2.57,24.05,8.29,49.66
20220111,8.96,26.97,0.0,1.93,20.8,8.44,48.43
20220112,12.26,24.91,0.0,1.52,24.57,9.25,40.59
20220113,14.41,25.2,0.0,1.41,26.04,7.78,35.7
20220114,15.09,27.18,0.0,1.9,26.84,9.9,41.66
20220115,12.18,27.49,0.0,1.94,24.26,11.09,42.3
20220116,15.6,26.38,0.0,1.84,25.78,9.95,43.43
20220117,9.44,27.67,0.0,1.95,24.6,10.96,54.16
20220118,10.8,27.0,0.1,1.62,22.08,11.51,70.04
20220119,15.25,25.19,0.01,1.26,21.27,10.7,66.2
20220120,15.2,24.27,0.0,2.54,21.65,7.2,52.51
20220121,15.84,23.02,0.0,2.28,22.63,4.5,46.26
20220122,16.63,23.31,0.0,2.5,19.87,6.56,53.63
20220123,11.5,24.88,0.03,1.25,16.87,7.19,61.37
20220124,15.76,22.74,0.0,1.62,21.25,4.12,52.29
20220125,16.98,22.15,0.0,1.68,21.89,5.31,45.52
20220126,15.76,23.15,0.0,1.27,22.64,6.36,42.12
20220127,15.6,24.39,0.0,1.75,22.69,8.48,34.57
20220128,15.64,25.05,0.0,2.9,23.94,6.24,35.79
20220129,16.69,24.79,0.0,2.12,25.11,6.97,42.57
20220130,17.85,22.88,0.0,1.87,22.08,9.05,42.12
20220131,18.03,22.8,0.0,1.48,23.12,4.89,42.44
20220201,7.23,26.78,0.0,1.99,20.44,7.96,42.81
20220202,11.57,27.82,1.04,3.05,16.12,4.11,58.82
20220203,18.57,20.55,0.0,1.61,15.6,-0.63,37.14
20220204,19.01,21.33,0.0,4.14,21.22,0.38,34.51
20220205,18.66,23.28,0.0,2.36,22.98,2.71,34.43
20220206,17.95,23.9,0.0,1.52,21.39,5.29,41.72
20220207,19.41,22.06,0.0,3.28,22.78,5.22,33.23
20220208,19.66,22.05,0.0,2.16,25.15,3.87,32.66
20220209,19.57,22.79,0.0,2.08,25.22,5.02,29.57
20220210,18.83,22.67,0.0,1.8,25.53,5.36,30.15
20220211,19.11,22.68,0.0,1.91,26.67,4.62,31.01
20220212,19.97,23.89,0.0,2.39,28.15,7.53,29.88
20220213,20.47,22.88,0.0,2.75,29.71,6.52,26.52
20220214,20.62,23.42,0.0,2.09,29.93,6.34,22.07
20220215,20.17,22.76,0.0,2.87,26.42,9.66,21.74
20220216,16.48,23.39,0.24,3.23,15.99,4.77,56.47
20220217,20.87,21.86,0.0,2.0,20.76,2.73,44.59
20220218,21.38,22.13,0.0,2.82,25.0,3.99,27.69
20220219,21.55,22.92,0.0,1.73,27.9,5.25,22.67
20220220,21.38,23.2,0.0,2.52,25.29,8.68,21.2
20220221,16.93,24.84,0.0,3.19,19.23,7.24,52.78
20220222,21.45,22.86,0.0,2.38,22.88,5.97,48.79
20220223,18.14,24.17,0.0,2.8,20.08,6.52,56.45
20220224,20.98,22.73,0.0,1.53,21.24,2.88,46.76
20220225,15.89,24.9,0.0,1.37,19.91,7.82,22.91
20220226,22.39,21.96,0.0,1.61,26.42,6.92,19.12
20220227,23.08,23.44,0.0,1.9,30.13,6.44,16.48
20220228,20.89,25.52,0.0,1.7,29.91,9.49,16.69
20220301,22.37,24.77,0.0,1.88,29.89,11.49,15.27
