DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20150101,11.99,22.09,0.2,2.57,9.43,-2.43,66.8
20150102,9.85,22.23,0.02,1.71,6.27,-4.58,66.93
20150103,14.53,18.74,0.0,1.6,10.02,-5.28,59.85
20150104,14.9,19.74,0.0,3.0,14.73,-2.9,54.57
20150105,15.1,19.98,0.0,3.2,18.89,-1.22,48.4
20150106,15.01,21.08,0.0,2.72,20.39,-0.83,48.87
20150107,11.16,25.37,0.11,3.82,19.48,3.15,56.91
20150108,5.48,27.3,1.72,3.0,13.66,3.98,70.38
20150109,12.85,23.56,0.03,2.34,16.5,1.96,65.44
20150110,13.91,22.71,0.01,1.96,15.58,-0.4,69.5
20150111,12.6,24.71,0.01,1.81,16.72,3.36,64.07
20150112,10.82,25.04,0.93,1.34,14.83,4.87,64.14
20150113,14.18,22.79,0.0,1.75,16.36,1.2,73.08
20150114,11.87,23.07,0.06,2.07,13.09,0.62,74.87
20150115,15.29,20.81,0.0,4.79,12.3,-0.81,70.46
20150116,14.3,22.44,0.0,2.94,16.88,1.49,57.26
20150117,15.59,21.57,0.0,1.34,19.25,3.44,43.56
20150118,15.76,21.88,0.0,1.69,21.61,0.56,42.39
20150119,15.67,22.56,0.0,1.83,22.41,5.82,41.14
20150120,15.7,22.65,0.0,1.54,21.69,6.81,35.18
20150121,13.44,22.92,0.0,2.89,17.33,3.13,44.94
20150122,12.93,21.48,0.0,3.51,10.84,-1.96,57.5
20150123,15.75,19.85,0.0,4.32,12.19,-4.58,54.16
20150124,16.1,20.89,0.0,4.19,13.49,-1.21,42.64
20150125,12.24,24.33,0.0,2.52,15.86,1.78,41.93
20150126,6.25,28.7,0.78,1.53,18.21,4.43,58.16
20150127,14.74,26.54,0.04,1.14,20.78,6.02,65.75
20150128,15.85,25.47,0.0,1.06,20.57,8.35,59.27
20150129,6.58,28.49,9.51,1.61,20.58,9.08,63.01
20150130,3.09,28.53,45.62,3.8,12.61,8.28,90.7
20150131,7.9,27.52,9.67,2.41,12.4,4.45,84.38
20150201,15.43,23.62,0.01,1.65,14.37,2.43,79.7
20150202,16.99,22.41,0.0,2.32,18.39,1.42,66.86
20150203,17.46,22.75,0.0,1.65,20.31,2.53,57.15
20150204,17.76,22.98,0.0,2.0,20.91,6.14,48.27
20150205,18.09,22.68,0.0,1.77,23.41,4.54,47.49
20150206,18.2,22.94,0.0,1.3,23.61,6.98,44.74
20150207,18.59,22.67,0.0,1.65,23.11,8.3,41.32
20150208,18.76,22.59,0.0,1.61,24.2,4.42,38.18
20150209,18.76,23.49,0.0,1.43,24.31,5.46,38.63
20150210,18.98,23.36,0.0,1.65,23.96,7.36,37.1
20150211,17.4,24.16,0.0,2.78,19.89,4.84,47.18
20150212,16.25,22.83,0.0,6.55,14.45,3.15,63.69
20150213,18.55,23.83,0.0,3.29,20.3,2.81,66.95
20150214,10.11,28.4,0.15,2.01,17.89,5.03,74.38
20150215,10.31,27.93,3.14,1.85,17.93,7.44,84.18
20150216,16.49,26.44,2.9,2.01,18.46,7.43,78.17
20150217,19.44,23.56,0.0,2.04,19.43,6.02,70.15
20150218,19.51,23.51,0.0,1.88,21.74,2.8,38.53
20150219,20.09,24.42,0.0,1.94,23.68,7.41,39.82
20150220,10.5,27.36,0.44,2.43,21.26,6.75,44.23
20150221,16.17,25.92,0.01,3.23,19.67,7.65,52.19
20150222,19.16,26.0,0.0,4.43,18.86,5.33,64.28
20150223,19.68,24.28,0.0,3.34,18.19,4.21,69.95
20150224,13.16,23.56,0.53,3.59,14.0,0.78,65.9
20150225,21.17,21.12,0.03,2.47,17.16,-1.82,54.11
20150226,21.34,22.15,0.0,2.23,19.49,0.83,44.24
20150227,21.12,22.13,0.0,4.09,17.88,2.32,49.43
20150228,17.66,24.7,0.0,5.12,17.74,3.84,75.7
20150301,20.63,24.74,0.0,3.67,19.0,3.38,71.83
20150302,7.58,27.66,16.23,5.55,14.03,8.79,84.92
20150303,18.23,24.76,6.76,3.46,14.92,2.79,68.12
20150304,14.32,24.25,1.85,1.59,10.73,0.97,74.89
20150305,23.02,20.33,0.0,4.79,14.65,-0.59,54.53
20150306,21.99,22.13,0.02,4.59,20.19,0.57,52.13
20150307,14.67,25.8,0.0,2.04,18.52,3.79,55.69
20150308,19.64,23.89,0.0,1.61,19.57,6.04,49.85
20150309,19.84,24.78,0.0,1.72,21.35,4.91,40.87
20150310,23.09,22.88,0.0,2.07,21.34,4.1,41.44
20150311,22.58,24.03,0.0,3.15,21.75,4.42,44.88
20150312,12.47,28.71,0.0,1.23,19.2,7.29,55.18
20150313,18.55,26.16,0.0,3.04,20.58,4.71,59.44
20150314,22.03,23.86,0.0,5.18,19.67,6.21,45.05
20150315,24.31,23.04,0.0,4.61,20.45,4.88,48.24
20150316,21.97,26.24,0.24,2.16,23.36,5.37,60.54
20150317,13.93,29.92,0.44,1.62,20.91,11.19,64.24
20150318,7.59,30.21,12.14,1.61,14.9,9.43,80.13
20150319,14.53,29.01,5.63,1.65,18.41,7.48,67.3
20150320,23.28,25.59,0.26,1.55,19.95,4.82,60.61
20150321,22.43,25.32,0.67,1.63,21.52,8.4,54.26
20150322,25.18,24.74,0.0,1.47,24.86,7.65,43.77
20150323,23.63,24.95,0.0,2.28,25.77,9.72,35.0
20150324,26.35,23.01,0.0,2.34,25.31,9.08,32.44
20150325,22.14,24.36,0.0,1.75,21.93,8.12,37.48
20150326,26.21,23.14,0.0,2.74,23.23,5.57,41.69
20150327,26.66,23.25,0.0,1.64,27.59,6.19,29.52
20150328,26.72,24.33,0.0,1.79,29.29,8.82,29.3
20150329,20.85,27.99,0.0,1.82,26.51,12.35,34.41
20150330,20.34,29.71,0.0,1.98,28.34,13.35,40.4
20150331,20.86,28.52,0.07,2.14,23.75,12.73,52.36
20150401,25.02,25.98,0.0,3.11,25.38,9.32,48.13
20150402,27.27,23.12,0.0,3.57,25.11,7.28,36.39
20150403,23.5,25.7,0.0,1.45,26.51,9.28,32.22
20150404,20.98,27.88,0.0,2.58,24.84,11.35,35.33
20150405,22.74,25.66,0.0,3.07,25.07,8.65,33.53
20150406,27.91,23.46,0.0,3.39,25.45,8.05,29.13
20150407,26.67,25.05,0.0,3.71,25.67,8.0,33.75
20150408,28.06,23.7,0.0,3.31,23.98,8.01,37.85
20150409,25.7,23.93,0.0,2.69,25.3,7.49,33.39
20150410,27.78,24.56,0.0,3.17,25.56,7.96,39.08
20150411,26.96,25.82,0.14,3.2,25.98,7.32,33.62
20150412,5.84,28.91,10.7,2.63,15.61,6.0,67.54
20150413,25.44,26.19,0.02,2.81,23.58,4.95,54.4
20150414,27.5,26.15,0.0,2.42,24.6,6.01,43.21
20150415,27.09,25.95,0.0,3.89,24.33,8.21,36.49
20150416,30.04,20.88,0.0,3.14,20.67,4.27,25.96
20150417,30.31,20.85,0.0,2.08,21.13,2.0,28.66
20150418,29.26,22.99,0.0,2.21,23.48,5.42,28.77
20150419,29.17,24.03,0.0,1.45,25.56,8.33,26.49
20150420,27.89,24.73,0.0,2.39,25.65,9.27,29.11
20150421,29.89,23.56,0.0,2.97,24.14,8.47,29.26
20150422,29.87,23.42,0.0,3.53,23.73,6.78,33.68
20150423,26.56,25.88,0.09,4.27,22.28,6.51,44.09
20150424,25.65,25.28,0.16,3.64,20.7,6.08,52.99
20150425,29.52,24.65,0.0,4.06,23.46,4.79,45.08
20150426,21.05,26.41,1.35,4.53,18.65,7.28,51.91
20150427,27.47,25.03,0.0,2.48,23.08,4.49,40.77
20150428,30.07,23.9,0.0,4.76,22.68,7.18,38.17
20150429,30.87,22.97,0.0,3.52,25.33,6.62,29.31
20150430,30.56,23.64,0.0,1.4,29.01,6.95,22.53
20150501,30.0,25.3,0.0,2.08,30.1,11.98,25.15
20150502,25.58,28.21,0.0,3.04,28.68,12.19,38.73
20150503,26.18,28.2,0.0,2.99,26.93,10.78,48.03
20150504,25.88,28.36,0.14,3.95,23.93,10.79,54.5
