DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20150101,9.27,25.02,0.18,2.86,12.02,2.82,71.16
20150102,13.57,21.13,0.67,2.15,8.43,-1.4,60.2
20150103,15.05,19.16,0.0,1.27,12.06,-3.26,55.13
20150104,15.45,20.5,0.0,2.56,19.28,-2.11,46.85
20150105,15.6,20.95,0.0,2.13,22.89,-0.85,42.04
20150106,14.61,23.41,0.0,1.99,24.53,2.78,40.12
20150107,9.78,28.11,0.05,2.25,22.71,6.79,58.64
20150108,9.7,27.98,0.55,1.93,19.16,7.06,58.47
20150109,12.05,24.92,0.07,1.64,17.81,5.83,60.02
20150110,14.3,23.73,0.0,1.41,17.8,2.93,62.11
20150111,12.56,24.88,0.0,1.65,18.42,5.85,55.29
20150112,12.03,24.81,0.02,1.27,17.5,6.01,51.44
20150113,14.29,23.31,0.0,1.54,18.29,5.5,54.45
20150114,12.87,23.75,0.01,1.77,15.71,2.87,64.15
20150115,15.45,21.77,0.0,4.2,15.56,0.43,63.1
20150116,12.38,25.01,0.0,1.93,19.29,3.19,51.5
20150117,13.45,24.14,0.0,1.13,21.19,4.86,43.23
20150118,16.16,22.58,0.0,1.36,24.08,1.88,35.8
20150119,16.14,22.85,0.0,1.55,24.11,7.1,33.87
20150120,16.22,22.79,0.0,1.4,23.39,6.95,35.21
20150121,15.14,22.61,0.0,2.68,19.29,6.24,39.23
20150122,14.03,21.66,0.03,3.4,12.91,0.03,55.06
20150123,16.34,20.76,0.0,3.99,16.24,-3.06,45.36
20150124,13.05,24.11,0.0,3.15,17.04,1.8,37.09
20150125,13.47,26.04,0.01,1.62,19.64,5.41,40.7
20150126,10.17,29.0,0.15,1.18,21.65,7.31,54.82
20150127,14.82,27.47,0.01,0.98,22.36,8.77,62.62
20150128,15.94,27.05,0.0,0.84,22.5,10.4,51.68
20150129,7.5,29.29,3.1,1.24,22.7,10.98,54.86
20150130,2.65,29.21,27.47,2.95,14.46,9.91,87.44
20150131,8.13,27.66,8.57,2.78,12.3,6.03,84.86
20150201,16.58,23.37,0.0,1.42,17.29,2.71,68.48
20150202,17.53,23.08,0.0,2.08,21.46,2.34,56.98
20150203,17.91,23.29,0.0,1.56,21.92,3.3,47.26
20150204,17.77,23.25,0.0,1.64,23.42,6.77,43.04
20150205,18.42,23.29,0.0,1.29,26.39,6.73,37.95
20150206,18.47,23.95,0.0,0.99,26.08,11.04,32.96
20150207,18.88,23.52,0.0,1.37,25.53,10.39,32.61
20150208,19.31,22.77,0.0,1.68,26.72,5.61,34.76
