DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20180101,14.76,28.41,0.01,1.1,26.64,17.38,48.22
20180102,15.04,28.36,0.0,1.28,28.91,16.17,51.29
20180103,13.91,29.4,0.0,1.66,29.18,16.86,50.46
20180104,14.44,29.17,0.0,1.39,27.65,16.41,56.5
20180105,15.72,27.7,0.0,1.36,29.61,15.24,54.21
20180106,15.19,28.81,0.0,1.39,30.61,16.43,49.58
20180107,13.89,28.64,0.0,0.93,29.24,16.93,50.03
20180108,12.15,29.08,0.01,1.24,29.62,17.05,45.46
20180109,14.62,28.34,0.01,1.31,28.25,17.29,45.37
20180110,15.5,27.5,0.01,2.08,25.28,14.1,62.48
20180111,16.75,25.61,0.0,2.61,28.0,12.2,43.47
20180112,16.74,26.33,0.0,1.68,29.15,12.16,37.06
20180113,16.61,26.35,0.0,1.84,31.58,13.05,42.13
20180114,16.55,26.53,0.0,1.55,30.64,14.27,39.78
20180115,16.15,26.56,0.0,1.46,28.76,16.12,36.96
20180116,16.72,25.33,0.0,1.68,29.36,14.88,32.64
20180117,15.49,25.83,0.0,1.65,28.63,12.79,41.09
20180118,17.23,24.96,0.0,1.44,28.7,14.55,39.0
20180119,17.42,25.28,0.0,1.33,29.6,12.44,36.81
20180120,16.89,26.15,0.0,2.36,27.49,12.39,44.35
20180121,17.74,24.18,0.0,2.93,25.43,12.0,39.58
20180122,18.19,23.07,0.0,2.17,27.73,10.33,27.61
20180123,18.2,24.01,0.0,2.37,29.08,10.76,28.23
20180124,18.05,24.7,0.0,2.17,28.63,11.24,29.84
20180125,18.35,24.23,0.0,1.65,27.86,11.37,30.03
20180126,18.86,23.38,0.0,1.82,28.11,12.75,23.61
20180127,18.8,23.89,0.0,1.95,29.2,9.83,26.51
20180128,18.16,26.22,0.0,2.07,32.61,12.25,29.23
20180129,17.83,28.54,0.0,2.51,34.51,16.91,32.05
20180130,18.02,28.0,0.0,1.92,34.03,16.68,25.03
20180131,17.43,27.8,0.0,1.21,26.52,16.85,33.37
20180201,7.66,31.23,0.29,0.99,26.79,16.38,52.46
20180202,10.89,32.9,0.28,1.52,31.2,19.14,47.45
20180203,17.12,29.98,0.0,1.64,30.57,17.41,54.87
20180204,18.19,29.6,0.0,1.51,31.39,17.85,48.06
20180205,17.76,29.66,0.0,1.48,31.72,17.48,39.69
20180206,6.84,31.78,0.01,0.82,28.41,19.33,36.59
20180207,16.07,29.94,0.0,1.75,31.13,18.28,39.75
20180208,15.84,30.23,0.0,1.67,32.18,17.59,38.73
20180209,16.77,29.15,0.01,1.66,30.49,18.63,36.99
20180210,19.61,26.74,0.0,2.17,29.41,15.03,42.33
20180211,19.8,26.58,0.0,2.75,27.64,14.76,59.06
20180212,20.29,26.27,0.0,2.57,26.76,13.27,50.93
20180213,10.63,29.83,0.0,1.34,27.35,15.9,39.84
20180214,15.59,31.3,0.0,2.17,31.98,19.52,31.51
20180215,12.44,31.99,0.0,1.85,32.21,20.58,39.91
20180216,14.06,32.02,0.01,1.81,28.46,19.75,54.1
20180217,11.58,32.03,0.01,2.26,30.53,17.88,57.92
20180218,13.18,31.33,0.11,1.66,25.65,17.36,63.04
20180219,11.74,31.24,8.72,1.84,23.99,16.11,77.32
20180220,15.36,29.44,3.5,2.16,21.97,12.26,73.21
20180221,21.85,24.52,0.0,1.96,22.16,9.92,59.76
20180222,19.67,25.85,0.0,2.22,22.96,10.41,51.86
20180223,21.55,24.35,0.0,2.05,25.05,10.46,47.33
20180224,22.69,23.61,0.0,2.56,26.06,10.42,42.14
20180225,23.32,23.94,0.0,1.94,27.36,9.86,37.95
20180226,22.29,25.69,0.0,1.34,26.67,12.36,42.44
20180227,4.34,30.31,21.21,1.8,20.49,13.72,69.06
20180228,15.51,28.27,1.76,2.3,19.14,13.41,65.55
20180301,23.59,24.99,0.0,1.89,26.37,9.83,48.23
20180302,23.75,24.97,0.0,1.64,27.26,11.04,53.86
20180303,23.38,25.98,0.0,1.37,27.29,14.32,46.67
20180304,23.41,26.46,0.0,1.99,29.02,14.09,42.3
20180305,21.48,26.85,0.0,1.98,27.49,12.14,53.14
20180306,20.93,26.39,0.0,1.97,28.83,12.99,46.46
20180307,23.49,26.37,0.0,1.89,30.27,13.05,37.77
20180308,21.92,28.9,0.0,1.65,31.07,14.72,38.05
20180309,20.76,29.05,0.01,1.32,30.25,16.5,46.0
20180310,23.12,28.63,0.02,1.79,31.72,16.3,39.53
20180311,21.82,31.24,0.0,3.12,34.08,16.77,39.81
20180312,23.47,30.25,0.0,2.83,33.51,18.42,44.35
