DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20070101,10.32,21.67,0.0,1.69,13.91,1.71,40.65
20070102,13.67,20.55,0.0,3.72,16.5,0.99,51.96
20070103,14.02,20.99,0.0,2.81,17.25,2.29,48.27
20070104,14.67,20.91,0.0,1.97,18.14,4.84,38.66
20070105,11.18,23.16,1.15,3.27,10.4,1.53,73.37
20070106,15.0,19.36,0.0,3.1,13.09,-1.71,46.38
20070107,15.17,19.33,0.01,4.11,17.07,0.11,29.33
20070108,14.98,20.54,0.0,4.7,23.32,2.71,23.9
20070109,14.64,22.1,0.0,4.27,24.67,5.77,28.73
20070110,8.22,25.68,1.4,2.43,18.89,6.85,35.02
20070111,11.64,25.94,0.43,3.66,18.29,7.3,62.42
20070112,9.45,24.64,0.13,5.51,13.06,4.0,79.09
20070113,11.43,22.98,0.05,3.05,9.99,-3.52,64.95
20070114,15.54,16.63,0.0,2.1,6.17,-7.24,32.23
20070115,15.93,17.23,0.0,2.68,10.19,-4.92,29.66
20070116,15.96,17.93,0.0,3.76,14.3,-2.64,40.22
20070117,14.1,19.6,0.0,2.55,14.43,-3.35,42.81
20070118,8.68,23.23,0.29,2.88,12.47,0.91,50.71
20070119,9.21,25.46,10.5,2.9,11.4,0.88,66.7
20070120,11.69,23.15,0.92,1.55,9.21,-0.69,69.8
20070121,10.86,22.72,4.25,2.33,10.01,-1.68,68.22
20070122,8.55,22.77,0.43,2.06,6.08,-4.43,72.84
20070123,16.25,18.91,0.0,2.26,12.31,-2.64,57.86
20070124,16.35,19.21,0.0,3.92,14.34,-1.58,42.53
20070125,11.67,23.09,0.05,5.73,12.64,0.76,58.03
20070126,15.26,21.62,0.04,1.86,15.02,-0.76,64.63
20070127,16.32,19.97,0.0,1.58,17.57,1.34,47.55
20070128,14.62,22.0,0.09,1.85,18.43,1.88,36.96
20070129,16.63,21.89,0.0,1.93,19.49,2.26,40.66
20070130,4.96,25.79,1.77,3.07,10.43,2.91,74.27
20070131,9.01,24.03,1.48,3.09,9.16,1.28,82.22
20070201,8.02,25.39,0.03,2.91,10.86,-0.48,76.48
20070202,16.92,19.55,0.0,2.41,12.77,-1.2,62.64
20070203,18.3,18.97,0.0,3.39,17.29,-1.46,35.67
20070204,17.5,20.67,0.0,3.12,23.16,3.04,25.93
20070205,18.44,20.77,0.0,2.53,24.58,5.35,22.65
20070206,18.04,22.14,0.0,1.76,25.5,6.41,23.97
20070207,17.67,23.01,0.0,1.9,23.13,9.08,21.64
20070208,17.13,22.95,0.0,1.73,22.87,9.75,26.93
20070209,17.3,23.67,0.0,1.3,23.12,10.87,33.83
20070210,15.44,25.05,0.0,1.84,24.4,7.86,41.69
20070211,8.61,25.86,0.02,2.98,15.89,5.5,67.89
20070212,18.8,21.57,0.0,1.66,18.38,3.43,56.75
20070213,12.67,24.0,0.83,3.01,12.43,2.5,68.45
20070214,13.14,22.84,0.23,2.28,10.32,2.32,69.52
20070215,20.14,19.11,0.0,3.2,15.03,-0.07,51.22
20070216,20.2,20.42,0.0,3.15,19.84,1.04,36.24
20070217,18.47,22.71,0.0,4.7,23.86,6.9,32.04
20070218,14.1,25.99,0.0,4.04,22.62,7.3,32.11
20070219,17.0,24.34,0.71,4.87,14.24,2.34,59.55
20070220,18.91,21.39,0.02,1.77,15.36,1.9,60.95
20070221,21.21,20.73,0.0,2.01,21.95,1.62,39.78
20070222,20.43,22.21,0.0,2.93,22.66,6.4,28.76
20070223,16.65,22.18,0.18,4.39,13.56,0.84,59.0
20070224,22.1,18.26,0.0,2.96,12.94,-2.2,34.79
20070225,21.91,20.06,0.0,2.62,21.42,-0.56,24.48
20070226,21.67,20.85,0.0,2.08,21.59,5.27,27.65
20070227,21.79,21.93,0.0,3.1,21.28,6.16,29.91
20070228,21.28,20.35,0.0,3.82,12.77,0.15,48.85
20070301,23.28,17.81,0.0,2.35,13.6,-1.86,31.9
