DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20030101,15.66,20.28,0.0,0.86,18.92,3.69,27.16
20030102,15.58,20.83,0.0,0.99,22.48,3.1,30.32
20030103,15.47,21.82,0.0,0.94,24.08,4.62,31.95
20030104,15.26,21.6,0.0,1.05,22.42,5.49,30.96
20030105,15.51,21.79,0.0,0.98,22.04,3.43,33.66
20030106,13.59,23.28,0.0,0.97,21.46,2.73,40.62
20030107,10.52,27.01,0.17,1.0,21.25,7.49,59.02
20030108,4.29,29.1,2.03,0.63,17.88,5.78,82.53
20030109,12.45,25.47,1.6,0.61,17.97,8.02,80.35
20030110,15.08,23.61,0.06,0.8,20.21,6.04,71.32
20030111,14.93,22.77,0.0,1.0,18.3,7.14,63.35
20030112,16.36,20.92,0.0,0.88,20.4,3.25,35.26
20030113,16.32,21.44,0.0,0.93,23.68,4.54,32.85
20030114,16.54,21.68,0.0,0.94,24.86,5.06,31.01
20030115,16.74,21.29,0.0,1.04,22.99,5.98,28.04
20030116,15.82,22.28,0.0,0.89,24.29,4.13,30.23
20030117,15.63,23.04,0.0,0.93,23.15,5.05,32.91
20030118,16.57,21.32,0.0,0.98,21.41,6.03,36.51
20030119,16.42,21.98,0.0,1.01,20.89,4.14,36.13
20030120,14.52,24.49,0.0,1.02,20.19,6.1,49.05
20030121,16.6,21.61,0.0,0.94,18.36,5.17,52.3
20030122,17.62,20.39,0.0,0.93,21.15,4.04,35.96
20030123,16.99,22.27,0.0,1.14,26.0,5.13,28.39
20030124,16.12,23.0,0.0,1.06,22.45,8.53,28.57
20030125,16.63,22.46,0.0,0.96,20.95,7.25,35.46
20030126,17.74,21.08,0.0,1.02,22.16,3.49,34.82
20030127,18.48,20.21,0.0,0.92,26.12,3.42,26.18
20030128,18.17,21.11,0.0,1.25,22.2,5.13,23.0
20030129,17.54,22.23,0.0,0.95,22.52,6.51,23.87
20030130,18.21,21.98,0.0,0.93,25.63,3.71,23.33
20030131,18.24,22.5,0.0,1.0,27.65,6.78,21.21
20030201,18.02,23.17,0.0,1.1,24.77,9.67,29.45
20030202,10.86,26.64,0.0,1.24,21.19,7.04,42.61
20030203,18.25,21.27,0.0,0.78,18.37,4.03,35.99
20030204,18.14,22.2,0.01,1.01,20.44,4.78,26.21
20030205,4.41,25.87,2.29,0.73,7.51,3.58,63.32
20030206,16.13,23.28,0.56,0.68,15.53,2.84,60.38
20030207,9.02,25.52,1.34,0.89,13.45,3.11,70.55
20030208,9.01,26.54,1.02,1.01,12.11,2.87,80.14
20030209,18.95,20.48,0.02,0.7,14.99,1.81,58.82
20030210,17.19,23.6,0.02,0.76,19.21,0.77,28.5
20030211,14.8,27.11,0.0,0.74,19.63,9.36,41.81
20030212,10.91,27.36,0.03,0.75,21.6,9.35,55.07
20030213,5.5,28.31,13.54,0.99,15.68,9.16,78.95
20030214,10.25,27.36,3.32,0.84,13.61,7.3,85.03
20030215,16.36,24.85,0.09,0.7,18.42,5.61,65.41
20030216,20.71,21.59,0.0,0.92,22.94,3.07,45.28
20030217,19.32,23.2,0.0,0.91,24.83,4.59,34.16
20030218,12.76,26.06,0.0,0.9,22.09,8.23,34.48
20030219,14.92,26.23,0.0,0.97,19.82,6.37,41.11
20030220,7.95,26.27,10.3,1.44,15.98,3.18,71.08
20030221,17.08,22.63,0.6,0.84,15.71,1.71,59.77
20030222,22.15,19.92,0.0,1.03,20.0,2.57,31.18
20030223,20.96,21.1,0.0,1.05,19.66,2.68,29.48
20030224,15.78,24.94,0.25,1.2,15.56,3.17,59.34
20030225,13.59,25.91,0.92,1.39,15.83,4.96,76.91
20030226,11.53,26.2,3.13,1.2,12.13,3.32,79.13
20030227,22.95,19.68,0.03,0.9,15.05,1.16,62.52
20030228,23.17,19.25,0.0,1.02,15.76,-1.4,60.54
20030301,23.22,20.0,0.0,1.11,16.44,-0.37,54.19
20030302,23.08,21.34,0.26,1.12,15.84,0.23,53.26
20030303,15.15,24.17,0.07,0.75,17.79,-0.59,56.11
20030304,21.22,22.65,0.0,1.14,16.01,1.43,46.42
20030305,19.33,22.38,0.0,1.07,14.31,-0.56,58.87
20030306,24.06,20.21,0.0,0.9,19.82,1.64,44.53
20030307,20.28,22.55,0.0,1.08,18.29,2.16,36.39
20030308,22.82,21.04,0.0,0.79,21.1,4.76,33.66
20030309,24.44,21.66,0.0,1.1,26.71,4.97,23.14
20030310,22.93,20.85,0.0,0.98,26.04,7.85,19.0
20030311,24.75,20.71,0.0,1.28,25.63,7.51,20.06
20030312,23.98,22.17,0.0,1.15,24.79,5.56,19.6
20030313,20.85,24.66,0.0,0.94,24.32,6.95,22.06
20030314,14.14,27.05,0.0,1.16,24.9,9.89,23.24
20030315,20.27,24.7,0.0,1.13,24.83,8.61,26.3
20030316,20.8,25.52,0.47,1.69,20.54,6.79,47.18
20030317,11.43,28.19,3.58,1.78,13.67,3.17,70.77
20030318,11.44,26.73,3.31,1.33,10.22,1.82,73.95
20030319,12.73,27.3,0.19,1.26,12.75,-0.71,58.16
20030320,23.85,21.85,0.0,0.97,18.03,2.08,38.37
20030321,23.79,21.57,0.0,1.29,18.34,2.53,34.7
20030322,26.69,21.05,0.0,0.85,25.27,1.15,31.85
20030323,26.96,21.5,0.0,1.23,25.98,4.72,24.47
20030324,27.01,20.95,0.0,1.31,23.7,6.09,28.38
20030325,26.99,21.22,0.0,0.96,23.13,6.33,31.75
20030326,26.73,22.39,0.0,0.99,28.51,5.05,26.3
20030327,27.19,22.5,0.0,1.65,25.97,8.41,24.58
20030328,25.43,24.6,0.0,1.07,21.84,6.56,41.9
20030329,24.84,24.12,0.17,1.34,20.04,5.45,39.59
20030330,28.37,21.63,0.0,1.25,28.41,2.95,21.46
20030331,27.82,23.17,0.0,1.32,29.37,6.17,17.67
20030401,25.27,24.86,0.01,1.33,28.11,9.09,26.34
20030402,14.69,28.49,2.47,1.16,20.15,9.47,55.55
20030403,24.57,23.71,0.0,1.29,22.13,5.0,41.65
20030404,28.6,20.17,0.0,1.2,22.02,3.41,29.76
20030405,28.65,20.06,0.0,1.45,21.85,4.18,24.65
20030406,29.16,20.3,0.0,1.14,22.0,4.01,25.74
20030407,29.52,20.35,0.0,0.89,24.97,6.87,16.37
20030408,28.6,22.02,0.0,1.02,28.66,6.5,18.14
20030409,20.42,26.97,0.0,1.31,26.57,10.19,24.5
20030410,16.64,25.95,0.0,1.23,24.13,10.06,35.37
20030411,29.28,22.54,0.0,1.0,25.97,8.3,31.42
20030412,28.28,23.72,0.0,1.24,28.01,9.67,21.19
20030413,24.27,26.3,0.0,1.32,26.96,10.74,25.87
20030414,15.61,28.48,1.12,1.36,23.82,10.92,52.37
20030415,26.06,25.01,2.31,1.29,20.47,9.74,51.37
20030416,23.51,25.32,0.0,1.16,26.69,6.19,21.87
20030417,24.73,26.05,0.07,1.32,23.1,7.62,30.16
20030418,29.63,22.14,0.0,1.49,22.65,4.05,30.01
20030419,30.43,21.03,0.0,1.12,22.24,2.74,31.85
20030420,30.55,21.72,0.0,1.41,28.03,3.8,18.69
20030421,30.33,21.11,0.0,1.43,26.93,6.66,23.53
20030422,30.24,21.64,0.0,1.67,23.83,5.45,38.21
20030423,30.03,21.15,0.0,1.13,23.34,3.73,36.31
20030424,31.44,20.3,0.0,1.32,25.82,6.38,16.83
20030425,31.17,21.34,0.0,1.19,26.37,7.64,14.89
20030426,30.47,22.82,0.0,1.23,28.57,9.41,14.6
20030427,29.29,24.58,0.0,1.24,28.09,11.51,19.55
20030428,30.01,24.74,0.0,1.28,28.68,9.22,20.19
20030429,27.8,25.46,0.0,1.57,28.05,12.08,27.45
20030430,31.11,22.39,0.0,1.26,26.64,9.02,31.41
20030501,30.86,22.75,0.0,1.41,27.79,8.51,19.37
20030502,31.4,22.74,0.0,1.27,29.0,7.65,15.13
20030503,23.87,26.79,0.0,1.3,28.99,10.72,13.98
20030504,23.38,27.03,0.0,0.81,22.05,9.86,19.09
20030505,32.48,21.64,0.0,1.24,27.31,7.31,19.89
20030506,31.25,22.6,0.0,1.35,27.88,7.45,21.61
20030507,31.82,22.56,0.0,1.48,27.93,9.0,20.05
20030508,31.55,22.6,0.0,1.23,27.07,6.73,24.31
20030509,32.21,22.24,0.0,1.46,27.55,10.2,20.07
20030510,31.84,22.51,0.0,1.17,28.22,8.28,19.23
20030511,27.45,25.37,0.0,1.0,30.32,12.08,10.85
20030512,31.91,23.39,0.0,1.2,34.44,10.66,8.65
20030513,30.41,25.88,0.0,1.35,35.19,12.23,7.57
20030514,29.55,27.75,0.0,1.16,35.52,17.05,10.34
20030515,27.77,26.89,0.0,1.56,33.42,15.97,10.9
20030516,32.55,23.65,0.0,1.11,35.82,12.12,6.05
20030517,30.35,25.75,0.0,1.38,36.2,15.36,7.98
20030518,31.57,26.1,0.0,1.34,34.25,16.58,14.08
20030519,30.82,26.41,0.0,1.12,33.84,16.84,16.93
