DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20180101,14.83,27.06,0.0,1.14,26.87,12.35,41.27
20180102,14.47,27.34,0.0,0.99,28.43,14.09,37.88
20180103,12.56,28.79,0.0,1.47,28.3,13.0,42.14
20180104,11.28,29.24,0.0,1.06,25.78,13.96,43.14
20180105,15.51,26.56,0.0,1.17,28.58,10.75,43.48
20180106,14.98,27.77,0.0,1.19,29.32,12.12,36.65
20180107,13.57,28.48,0.0,0.99,25.35,14.34,35.15
20180108,12.12,27.96,0.0,1.23,27.87,12.58,37.36
20180109,13.55,27.77,0.0,1.75,24.67,13.18,38.72
20180110,13.65,26.57,0.0,1.49,21.29,11.36,50.77
20180111,16.55,23.75,0.0,1.97,24.67,7.44,41.03
20180112,16.2,25.42,0.0,1.87,29.95,8.82,23.9
20180113,15.47,25.76,0.0,1.53,30.06,10.1,23.62
20180114,15.48,26.18,0.0,1.17,29.17,11.88,24.17
20180115,15.82,25.04,0.0,1.36,26.95,12.27,26.3
20180116,15.94,24.85,0.0,1.33,26.83,9.88,26.61
20180117,16.45,24.23,0.0,1.26,26.94,9.3,28.29
20180118,17.01,23.95,0.0,1.3,26.48,10.1,26.71
20180119,16.95,23.86,0.0,1.34,26.62,8.14,26.78
20180120,16.68,24.55,0.0,2.21,24.07,8.09,38.54
20180121,17.9,22.05,0.0,1.4,20.73,5.88,44.64
20180122,17.87,21.71,0.0,1.51,25.41,4.04,16.38
20180123,17.94,22.68,0.0,1.64,25.54,6.11,19.8
20180124,17.78,23.42,0.0,2.08,26.36,7.49,21.86
20180125,18.17,23.1,0.0,1.82,24.82,7.16,25.47
20180126,18.6,21.85,0.0,1.56,24.45,7.21,18.47
20180127,18.53,22.76,0.0,1.62,27.74,6.0,16.16
20180128,18.18,24.24,0.0,1.74,31.25,8.6,18.28
20180129,17.93,25.98,0.0,1.79,31.83,11.94,29.0
20180130,18.32,26.09,0.0,1.69,31.0,11.26,21.24
20180131,16.53,27.39,0.0,1.33,27.17,12.22,22.51
20180201,11.1,29.23,0.0,1.17,23.94,14.12,34.31
20180202,5.59,32.26,1.64,0.8,26.07,15.35,41.34
20180203,15.92,29.17,0.0,1.09,27.83,14.03,48.96
20180204,18.16,27.85,0.0,1.03,29.12,12.97,44.76
20180205,17.65,28.46,0.0,1.42,30.47,13.55,35.5
20180206,8.9,29.75,0.0,1.31,24.61,15.38,36.34
20180207,16.56,27.52,0.0,1.43,29.22,12.29,31.2
20180208,15.28,29.05,0.0,1.55,30.09,12.97,28.66
20180209,16.66,27.24,0.01,1.82,28.03,14.06,31.84
20180210,18.93,25.35,0.0,2.16,26.44,11.22,32.75
20180211,17.1,25.53,0.0,2.45,24.88,10.11,46.13
20180212,20.28,24.23,0.0,2.74,24.14,8.76,44.9
20180213,11.91,27.91,0.0,1.66,23.1,9.57,38.2
20180214,14.87,30.29,0.0,1.49,28.11,14.46,33.86
20180215,7.64,31.73,0.03,1.3,26.04,16.63,47.18
20180216,12.32,30.61,0.01,1.45,23.56,15.2,58.85
20180217,12.0,30.87,0.0,1.34,27.91,12.72,58.51
20180218,11.82,30.03,0.12,2.05,23.93,12.94,60.95
20180219,11.38,30.24,5.01,3.23,20.04,10.89,74.92
20180220,13.84,29.16,1.12,2.19,18.87,9.61,70.15
20180221,21.49,23.87,0.02,2.03,19.57,7.05,50.47
