DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20200101,14.55,22.21,0.0,1.61,16.77,3.37,79.09
20200102,14.0,22.56,0.01,2.0,14.71,3.2,67.85
20200103,14.69,20.3,0.0,2.2,16.05,0.73,60.25
20200104,14.77,21.62,0.04,2.22,22.28,3.64,49.23
20200105,15.25,21.44,0.0,1.68,23.91,5.58,49.64
20200106,15.56,20.61,0.0,3.53,21.6,5.16,51.85
20200107,14.88,20.82,0.0,3.27,22.38,4.67,41.86
20200108,13.98,21.61,0.0,1.69,17.66,6.1,52.68
20200109,15.17,21.45,0.0,2.47,16.28,1.97,66.87
20200110,15.09,21.32,0.0,2.62,13.86,1.62,71.39
20200111,15.26,20.12,0.0,2.07,17.12,0.11,51.66
20200112,14.99,21.26,0.0,1.45,20.08,2.79,38.57
20200113,15.93,20.96,0.0,1.27,22.11,5.42,36.91
20200114,13.2,24.27,0.0,1.38,22.28,4.9,41.65
20200115,8.56,25.93,0.0,1.18,17.65,9.9,46.67
20200116,3.34,27.91,1.68,1.41,20.14,7.01,55.13
20200117,16.03,21.7,0.0,1.61,20.89,5.71,71.09
20200118,16.48,21.12,0.0,2.5,22.8,5.16,56.69
20200119,15.96,23.37,0.0,2.37,24.02,7.61,52.58
20200120,14.17,25.78,0.0,2.1,23.78,9.48,53.71
20200121,4.84,27.3,6.95,1.73,14.01,9.31,75.68
20200122,14.36,24.06,0.12,1.48,18.18,7.64,78.27
20200123,16.2,22.56,0.0,2.07,21.13,6.37,65.21
20200124,15.43,24.01,0.0,1.62,21.56,5.76,55.9
20200125,15.26,24.23,0.0,1.5,21.61,9.91,58.41
20200126,16.49,23.0,0.0,1.52,21.97,8.85,61.5
20200127,16.57,22.86,0.0,1.86,21.13,7.08,53.84
20200128,17.53,21.25,0.0,2.07,20.8,3.76,48.89
20200129,16.06,21.88,0.0,1.95,20.02,6.36,45.68
20200130,17.42,21.65,0.0,2.0,19.12,3.55,52.99
20200131,17.99,20.8,0.0,3.41,19.96,4.58,46.62
20200201,18.14,21.63,0.0,3.4,24.73,5.64,39.11
20200202,16.05,23.52,0.0,2.24,23.2,7.26,45.37
20200203,13.17,25.77,0.19,3.49,18.25,6.88,77.09
20200204,14.05,22.68,0.33,2.48,12.81,-1.3,59.83
20200205,18.32,18.07,0.0,2.8,11.59,-3.74,42.52
20200206,18.47,20.12,0.0,1.98,16.44,-1.79,45.33
20200207,18.79,21.61,0.0,1.83,22.74,2.56,46.12
20200208,18.98,21.79,0.0,2.01,23.05,5.01,43.9
20200209,13.58,24.46,0.02,2.95,17.21,4.95,65.1
20200210,9.74,26.66,12.39,3.85,16.39,5.9,86.34
20200211,9.02,27.09,5.17,2.09,12.05,4.72,83.2
20200212,17.52,22.39,0.21,1.35,16.08,2.46,69.01
20200213,19.81,21.13,0.0,1.68,19.88,3.09,47.47
20200214,18.79,22.55,0.0,1.4,21.71,4.58,43.5
20200215,19.55,23.43,0.0,1.34,22.2,8.11,44.05
20200216,18.3,23.9,0.0,1.43,22.82,8.06,42.16
20200217,13.65,25.5,0.0,1.28,22.71,8.44,40.63
20200218,17.9,24.61,0.0,1.62,26.53,7.62,40.14
20200219,15.1,26.01,0.0,1.66,24.76,11.8,40.6
20200220,19.91,24.65,0.0,1.73,27.09,8.43,40.24
20200221,10.01,28.53,0.0,2.24,25.45,11.86,54.62
20200222,5.17,29.34,1.4,2.69,21.89,12.54,65.95
20200223,20.41,22.71,0.02,2.87,19.11,7.18,63.91
20200224,21.67,21.75,0.0,2.88,23.88,5.29,50.14
20200225,22.41,20.79,0.0,4.31,22.78,6.76,36.15
20200226,23.0,19.14,0.0,5.92,21.73,3.39,28.47
20200227,19.9,22.1,0.0,4.51,23.42,3.84,27.62
20200228,18.0,25.61,0.0,2.38,26.54,8.95,27.79
20200229,18.27,24.88,0.0,2.1,25.88,11.47,32.77
20200301,11.84,25.92,0.0,2.21,17.93,9.16,48.65
20200302,13.86,27.2,7.73,3.11,18.36,6.81,67.5
20200303,14.46,26.45,2.65,1.19,13.4,5.12,66.57
20200304,22.9,22.58,0.0,1.41,22.48,2.34,55.08
20200305,22.55,23.17,0.0,2.93,26.42,7.32,42.13
20200306,22.48,24.51,0.0,2.86,27.12,10.67,40.88
20200307,20.76,24.94,0.21,2.89,25.12,10.04,46.56
20200308,4.01,26.73,13.65,2.38,14.73,8.43,84.32
20200309,22.33,24.45,0.0,2.14,24.12,8.08,66.75
20200310,12.89,28.05,2.04,1.29,23.36,12.33,56.44
20200311,13.6,29.48,2.64,1.45,21.9,15.07,67.08
20200312,5.74,29.7,22.96,2.72,19.67,11.96,84.67
20200313,19.55,25.86,0.38,2.9,18.32,8.95,70.57
20200314,24.7,22.36,0.0,1.93,21.64,5.81,62.44
20200315,24.18,23.12,0.0,1.87,23.17,9.62,51.73
20200316,24.99,22.71,0.0,2.28,23.33,7.76,47.61
20200317,21.9,24.01,0.01,2.67,20.81,8.77,55.37
20200318,6.75,27.74,31.08,4.41,14.44,6.99,86.0
20200319,23.06,22.87,0.13,1.98,17.23,6.26,72.44
20200320,23.73,22.58,0.0,1.57,20.68,4.38,52.97
20200321,25.12,23.7,0.0,2.02,22.96,8.93,49.5
20200322,22.75,25.11,0.0,1.51,22.77,6.94,45.58
20200323,24.65,23.63,0.0,2.01,24.36,11.2,40.32
20200324,25.82,23.14,0.0,1.57,23.56,9.22,45.06
20200325,25.67,25.06,0.0,2.23,28.99,9.61,39.76
20200326,16.1,27.47,0.02,1.69,24.58,12.39,44.02
20200327,25.19,22.98,0.06,3.02,17.15,4.54,52.27
20200328,27.54,20.64,0.0,2.46,22.06,2.5,39.2
20200329,20.09,24.78,0.0,2.05,23.75,7.14,37.68
20200330,25.91,22.8,0.0,1.85,25.16,7.16,37.58
20200331,17.47,26.71,0.0,2.34,28.07,9.7,39.41
20200401,22.35,27.5,0.0,2.64,25.51,12.14,45.04
20200402,27.25,23.83,0.0,2.57,26.77,8.92,42.05
20200403,22.56,24.92,0.0,2.38,25.01,11.13,41.85
20200404,28.03,22.45,0.0,2.79,23.9,9.55,41.82
20200405,27.76,23.19,0.0,2.71,25.13,7.65,41.74
20200406,22.12,24.68,0.0,3.02,22.8,10.07,49.09
20200407,24.79,25.95,0.0,2.79,25.32,9.76,55.31
20200408,24.32,25.15,0.0,3.35,24.3,10.35,50.99
20200409,28.75,22.58,0.0,2.25,24.18,7.18,48.06
20200410,29.18,21.76,0.0,2.74,23.41,7.43,39.9
20200411,20.86,24.92,1.1,2.76,19.37,7.02,61.39
20200412,28.11,23.27,0.0,1.82,23.59,4.91,55.89
20200413,28.54,23.46,0.0,2.67,24.74,8.94,50.51
20200414,28.64,24.13,0.0,1.99,27.04,8.48,43.2
20200415,29.83,22.76,0.0,2.29,27.68,9.18,29.66
20200416,27.86,23.13,0.0,2.54,27.31,13.32,25.11
20200417,27.63,23.59,0.0,3.41,25.63,9.9,37.39
20200418,29.14,22.89,0.0,3.18,25.9,8.1,39.07
20200419,29.59,23.55,0.0,2.27,27.12,7.97,38.0
20200420,26.71,25.17,0.0,2.31,28.43,11.96,33.45
20200421,29.93,24.05,0.0,2.91,30.9,12.98,30.94
20200422,29.74,24.22,0.0,2.9,29.78,10.1,33.66
20200423,29.66,25.27,0.0,2.35,33.01,12.88,29.3
20200424,29.38,26.57,0.0,2.34,34.58,14.92,28.57
20200425,29.71,26.18,0.0,1.67,35.88,14.92,28.73
20200426,29.97,27.09,0.0,2.45,36.31,17.57,25.11
20200427,25.65,27.57,0.0,2.41,32.64,18.94,28.92
20200428,30.17,26.05,0.0,2.05,34.21,13.6,27.43
20200429,29.75,27.39,0.0,1.87,36.48,17.12,24.89
20200430,27.67,28.5,0.0,2.87,36.76,17.7,24.24
20200501,28.52,26.67,0.0,3.0,34.64,18.51,22.65
20200502,30.37,25.96,0.0,3.36,34.49,15.89,28.7
20200503,31.12,25.26,0.0,2.79,34.32,15.39,22.82
20200504,31.23,25.55,0.0,2.18,35.72,16.65,20.86
20200505,30.44,27.47,0.0,2.32,38.4,16.45,18.49
20200506,30.22,28.22,0.0,2.78,39.73,19.2,15.06
20200507,28.85,28.89,0.0,3.12,38.42,19.79,18.31
20200508,19.67,32.01,1.29,3.61,32.98,21.17,34.95
20200509,25.89,31.61,0.82,2.96,35.0,19.12,35.0
20200510,28.5,28.5,0.0,2.91,35.0,18.2,26.94
20200511,29.58,26.93,0.0,3.04,31.34,17.21,30.09
20200512,30.84,26.03,0.0,2.96,32.1,13.93,27.82
20200513,31.51,25.05,0.0,3.13,31.28,14.0,25.43
20200514,26.62,26.96,0.0,2.73,31.1,14.24,25.57
20200515,31.78,25.55,0.0,2.72,32.61,13.22,22.05
20200516,31.52,26.55,0.0,2.61,33.38,14.6,26.16
20200517,31.98,25.64,0.0,2.69,34.7,15.26,24.96
20200518,31.46,26.23,0.0,3.12,33.96,15.01,26.98
20200519,31.8,25.27,0.0,3.2,32.57,15.33,25.14
20200520,32.54,24.21,0.0,2.5,32.46,13.91,15.91
20200521,32.35,24.54,0.0,2.7,32.35,14.83,12.11
20200522,32.37,24.59,0.0,3.06,32.32,13.66,16.41
20200523,32.2,24.66,0.0,3.62,31.39,13.09,25.18
20200524,31.93,25.77,0.0,2.54,32.34,14.19,19.7
20200525,32.23,25.3,0.0,2.08,34.56,14.7,20.47
20200526,31.77,26.64,0.0,2.63,36.32,16.16,14.93
20200527,31.75,27.35,0.0,2.33,38.77,17.88,15.27
20200528,31.04,28.0,0.0,2.25,39.8,19.68,17.65
20200529,29.55,30.28,0.0,2.5,40.07,20.35,21.0
20200530,24.84,33.04,0.01,3.1,38.96,23.47,29.16
20200531,25.32,31.43,2.01,2.86,37.42,20.53,33.83
20200601,24.35,32.68,2.45,1.98,37.43,21.56,39.4
20200602,29.35,30.86,2.49,2.4,38.3,22.12,36.39
20200603,28.42,31.66,0.01,2.37,39.62,21.9,32.04
20200604,30.35,30.42,0.0,2.92,40.56,23.13,23.94
20200605,24.16,31.67,0.0,3.32,39.4,21.93,20.55
20200606,32.15,26.45,0.0,2.64,36.19,17.19,27.19
20200607,32.14,26.89,0.0,3.35,33.39,17.49,29.71
20200608,28.1,29.3,0.0,3.21,32.21,16.19,38.9
20200609,33.85,24.0,0.0,2.38,36.14,17.77,13.14
20200610,32.21,27.21,0.0,2.36,39.14,18.61,11.38
20200611,31.68,28.64,0.0,2.72,38.3,21.88,14.59
20200612,30.05,29.69,0.0,2.85,41.26,21.14,14.59
20200613,29.76,30.17,0.0,3.28,40.1,21.23,15.65
20200614,30.66,28.8,0.0,3.22,38.23,21.73,14.82
20200615,29.25,30.51,0.34,2.98,38.91,21.47,19.41
20200616,30.68,29.2,0.58,3.17,37.76,21.39,27.25
20200617,32.44,27.14,0.0,3.26,37.89,20.42,17.72
20200618,32.22,27.09,0.0,3.07,37.16,20.41,16.61
20200619,32.02,27.82,0.0,3.04,37.86,21.39,13.98
20200620,31.81,28.19,0.0,2.82,39.02,21.22,14.38
20200621,32.35,26.73,0.0,2.65,37.73,21.15,14.68
20200622,32.7,26.59,0.0,2.4,38.24,20.43,15.26
20200623,32.07,28.23,0.0,2.39,40.3,21.03,14.91
20200624,31.77,29.06,0.0,2.79,42.56,22.24,11.71
20200625,31.37,29.53,0.0,2.4,41.09,22.62,16.06
20200626,29.24,30.75,0.0,2.55,40.21,21.26,22.88
20200627,28.26,32.14,0.21,3.77,37.63,23.05,29.84
20200628,29.31,30.18,0.07,4.32,35.65,21.3,34.25
20200629,27.23,30.11,0.0,3.52,35.4,17.76,26.42
