DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20230101,3.85,27.6,11.11,5.03,15.18,7.6,79.26
20230102,11.47,25.07,0.94,2.64,13.65,5.94,78.09
20230103,13.17,24.76,0.0,1.83,16.72,4.72,72.24
20230104,14.17,24.33,0.0,1.53,21.07,5.83,51.98
20230105,12.76,25.14,0.0,2.26,23.27,7.0,44.64
20230106,14.55,24.58,0.0,1.88,21.87,6.67,54.44
20230107,14.81,24.36,0.0,1.53,22.25,6.79,38.7
20230108,14.6,23.1,0.0,1.93,21.82,6.32,40.64
20230109,15.19,23.31,0.0,1.3,22.98,7.59,33.45
20230110,10.93,25.32,0.0,1.62,20.99,11.03,34.93
20230111,14.18,24.99,0.0,2.16,20.91,8.27,47.72
20230112,15.01,24.86,0.0,2.62,25.71,7.14,37.08
20230113,15.22,24.91,0.0,2.64,26.05,9.39,32.15
20230114,12.51,26.68,0.0,2.37,23.53,9.78,36.47
20230115,5.34,28.61,1.51,4.8,15.85,10.22,86.28
20230116,2.87,29.07,10.7,4.64,13.64,8.94,88.19
20230117,13.67,25.16,6.66,3.37,13.91,6.42,74.25
20230118,14.15,23.16,0.19,1.18,15.37,3.8,64.12
20230119,15.95,22.15,0.0,1.83,17.42,2.77,44.42
20230120,16.09,21.54,0.0,2.07,15.13,2.81,46.78
20230121,16.91,20.28,0.0,3.06,16.49,-0.16,43.79
20230122,16.67,21.15,0.0,2.61,17.42,2.01,43.82
20230123,16.01,22.01,0.01,3.13,9.74,2.11,50.68
20230124,16.48,21.01,0.0,1.91,14.92,-1.27,48.55
20230125,17.07,21.16,0.0,3.12,17.98,1.2,45.7
20230126,17.35,20.93,0.0,4.48,17.33,1.72,35.07
20230127,16.0,22.23,0.0,2.96,21.47,2.18,33.98
20230128,15.78,22.9,0.0,1.91,19.57,4.49,36.08
20230129,17.3,22.02,0.0,3.28,19.36,3.03,44.79
20230130,17.38,23.09,0.0,2.36,17.63,4.37,65.67
20230131,10.98,25.85,0.4,2.09,12.73,5.95,80.98
20230201,12.59,25.68,0.03,1.54,15.5,4.76,71.74
20230202,17.94,23.0,0.0,2.1,21.4,4.11,45.33
20230203,15.46,24.33,0.0,3.14,23.02,8.24,31.79
20230204,18.34,23.62,0.0,1.4,25.36,10.29,29.99
20230205,18.6,23.89,0.0,2.18,25.27,8.88,34.49
20230206,18.14,22.92,0.0,3.49,17.83,5.33,46.1
20230207,18.93,21.09,0.0,3.09,18.22,2.84,37.71
20230208,18.93,21.71,0.0,2.65,20.88,3.23,35.22
20230209,19.1,22.21,0.0,4.12,22.32,5.8,29.88
20230210,19.74,22.43,0.0,4.78,25.29,5.41,24.0
20230211,9.05,28.54,0.0,3.61,23.52,8.73,26.04
20230212,18.74,23.36,0.0,2.8,19.97,6.81,44.96
20230213,10.95,24.99,4.92,3.13,10.7,2.82,82.46
20230214,16.04,25.06,1.4,5.2,15.81,1.98,79.72
20230215,15.41,24.97,1.18,3.24,13.61,1.27,54.61
20230216,21.13,19.76,0.0,3.7,16.85,-0.68,31.16
20230217,12.1,24.58,0.01,3.7,19.06,3.32,29.46
20230218,19.26,25.9,0.0,2.6,23.07,5.36,41.36
20230219,4.82,28.55,1.96,2.52,17.91,9.99,67.68
20230220,10.36,29.91,1.3,2.24,23.14,8.68,70.3
20230221,9.44,28.47,9.04,3.36,15.27,9.18,80.64
20230222,8.46,27.52,5.34,5.29,14.05,4.51,74.24
20230223,20.36,23.13,0.02,3.01,16.47,2.98,65.71
20230224,20.92,23.62,0.0,1.74,19.18,3.79,57.29
20230225,17.72,25.0,0.0,2.64,17.81,8.06,54.11
20230226,20.3,23.85,1.74,3.63,15.36,4.13,64.14
20230227,22.21,22.08,0.0,1.85,20.42,3.35,40.77
20230228,21.82,23.75,0.0,2.11,20.62,5.67,38.61
20230301,21.34,24.93,5.83,5.44,17.6,3.86,69.18
20230302,18.72,24.13,2.01,2.71,13.83,0.32,62.0
20230303,22.85,22.16,0.0,2.27,19.58,1.27,51.05
20230304,23.01,23.0,2.27,2.45,22.97,4.14,43.65
20230305,20.11,25.43,0.0,2.3,24.31,5.45,43.71
20230306,17.58,27.16,0.0,1.82,23.69,10.78,38.82
20230307,19.99,27.17,0.0,1.64,25.63,11.31,40.15
20230308,21.13,25.8,0.0,1.97,25.8,11.02,33.36
20230309,21.4,25.08,0.0,1.92,26.25,9.92,29.25
20230310,23.12,25.9,0.0,2.4,28.04,10.05,27.87
20230311,19.65,28.97,0.0,2.75,27.88,11.93,47.41
20230312,20.11,27.81,0.0,2.03,27.34,12.14,49.03
20230313,21.96,26.52,0.0,2.66,25.8,12.05,41.25
20230314,23.52,26.25,0.0,2.22,28.13,10.49,38.51
20230315,15.15,30.03,1.9,2.47,23.6,14.06,57.67
20230316,12.57,28.88,1.45,2.4,20.49,12.2,65.93
20230317,21.94,25.39,0.0,1.4,22.77,8.63,41.27
20230318,21.9,25.65,0.0,1.74,24.69,8.37,38.25
20230319,20.44,27.92,0.0,3.65,24.47,12.02,37.8
20230320,20.07,28.04,0.0,3.44,23.03,9.66,53.86
20230321,15.39,28.67,0.0,4.75,20.49,11.27,66.24
20230322,13.24,29.11,0.3,3.66,18.41,9.27,63.64
20230323,25.29,23.98,0.0,2.81,20.58,5.99,56.12
20230324,25.99,22.9,0.0,2.32,20.28,4.78,54.22
20230325,26.19,22.77,0.0,2.4,22.28,5.61,38.15
20230326,26.89,22.42,0.0,2.21,22.7,5.2,33.7
20230327,25.84,23.84,0.0,3.04,25.23,6.06,26.15
20230328,26.4,24.23,0.0,2.17,27.58,10.13,24.22
20230329,26.88,23.75,0.0,3.16,27.03,8.75,24.62
20230330,23.16,24.81,0.0,3.52,20.77,7.89,57.1
20230331,26.74,23.61,0.0,1.85,24.29,5.76,40.68
20230401,27.49,23.4,0.0,2.62,26.99,7.6,29.61
20230402,27.9,23.68,0.0,1.82,28.75,8.74,24.31
20230403,27.7,24.13,0.0,4.08,26.34,9.09,31.13
20230404,28.72,21.46,0.0,3.84,18.16,4.09,32.31
20230405,27.67,22.71,0.0,3.32,22.75,3.42,20.37
20230406,25.74,24.22,0.0,2.17,25.56,6.68,25.55
20230407,27.22,24.54,0.0,2.07,27.79,9.44,25.45
20230408,27.6,25.18,0.0,1.79,29.92,12.14,21.49
20230409,27.99,25.81,0.0,1.57,31.61,11.65,24.39
20230410,28.08,26.6,0.0,2.14,36.01,14.18,21.08
20230411,28.0,26.7,0.0,2.37,35.61,16.18,19.81
20230412,26.8,27.33,0.0,3.36,32.14,14.51,20.34
20230413,27.49,26.01,0.0,3.97,26.16,12.28,39.23
20230414,28.78,24.2,0.0,2.92,24.05,7.69,50.52
20230415,28.77,25.23,0.0,1.7,29.22,9.73,31.51
20230416,29.09,25.96,0.0,2.31,32.64,12.46,22.53
20230417,27.93,26.4,0.0,2.46,31.52,15.05,20.18
20230418,28.93,25.56,0.0,2.72,30.19,10.56,30.3
20230419,29.41,24.72,0.0,2.86,29.29,10.93,25.6
20230420,29.9,24.92,0.0,2.45,31.14,12.93,16.43
20230421,30.26,25.27,0.0,2.67,34.4,12.88,13.49
20230422,29.4,26.69,0.0,2.74,34.22,14.62,16.63
20230423,28.34,27.53,0.0,2.56,33.93,17.1,19.12
20230424,29.56,26.23,0.0,3.3,31.9,13.5,22.89
20230425,29.4,26.76,0.0,3.05,33.33,12.94,28.84
20230426,29.73,26.35,0.0,2.21,32.63,13.52,26.1
20230427,30.15,26.32,0.0,2.24,34.94,14.29,15.1
20230428,29.92,26.89,0.0,2.24,36.5,16.85,14.67
20230429,29.99,27.96,0.0,2.3,38.69,16.63,14.14
20230430,26.12,30.19,0.0,2.35,35.95,19.58,15.05
20230501,23.51,29.94,0.0,4.44,31.57,16.4,29.81
20230502,29.03,28.08,0.0,3.39,30.88,13.13,40.51
20230503,24.01,27.38,0.0,3.53,27.45,13.21,39.4
20230504,30.56,25.01,0.0,2.95,26.2,9.9,43.65
20230505,30.76,25.23,0.0,2.67,28.16,10.09,38.12
20230506,31.14,25.58,0.0,2.67,29.78,12.58,25.87
20230507,31.47,25.79,0.0,2.03,33.15,13.44,21.68
20230508,31.42,26.3,0.0,2.37,33.72,15.85,19.81
20230509,30.89,26.4,0.0,2.48,33.2,16.65,20.94
20230510,31.03,25.16,0.0,3.79,26.0,12.05,34.87
20230511,31.04,25.47,0.0,2.13,31.89,11.86,19.04
20230512,31.21,26.04,0.0,1.96,33.19,15.31,18.64
20230513,30.41,27.6,0.0,2.28,34.08,16.92,19.26
20230514,29.71,28.77,0.2,3.25,36.23,16.07,21.67
20230515,28.3,30.44,0.07,2.49,37.31,17.51,25.64
20230516,28.61,30.85,1.77,2.43,36.89,18.48,22.76
20230517,22.01,32.61,1.18,1.92,33.6,19.67,28.92
20230518,19.92,33.71,0.25,2.01,33.48,19.38,48.88
20230519,30.15,29.46,0.14,2.89,34.09,17.56,42.55
20230520,30.59,28.67,0.0,2.69,35.02,16.59,29.54
20230521,30.2,28.18,0.0,3.06,34.14,16.86,23.22
20230522,31.71,27.57,0.0,2.51,35.37,16.95,16.01
20230523,31.74,27.7,0.0,3.32,35.44,16.28,17.48
20230524,31.6,28.07,0.0,3.15,34.46,17.18,24.79
20230525,31.08,27.66,0.0,3.48,34.84,15.83,22.31
20230526,29.96,28.76,0.0,3.51,33.54,15.12,30.39
20230527,30.84,28.09,0.0,3.11,34.77,15.29,23.44
20230528,32.0,26.9,0.0,3.38,34.76,15.22,21.37
20230529,31.7,27.8,0.0,3.44,34.41,14.92,26.28
20230530,31.4,27.98,0.0,3.86,32.96,15.59,29.02
20230531,31.53,26.84,0.0,3.82,30.47,13.38,39.5
20230601,24.62,28.59,0.0,3.01,30.39,13.01,38.96
20230602,31.78,27.21,0.0,2.22,32.67,13.58,31.97
20230603,31.81,28.29,0.0,2.15,35.46,16.58,25.3
20230604,31.2,29.02,0.0,2.4,37.02,19.89,19.71
20230605,31.08,28.18,0.0,3.46,35.69,17.59,13.69
20230606,31.02,28.33,0.0,3.39,32.95,17.8,25.8
20230607,31.5,28.43,0.0,3.04,33.03,15.35,24.07
