DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20240101,9.79,26.82,0.03,2.33,18.79,10.27,63.33
20240102,13.68,25.47,0.02,2.04,18.92,9.19,74.86
20240103,13.84,25.38,0.0,1.93,20.14,9.55,63.65
20240104,14.09,24.19,0.0,3.28,16.35,8.96,70.48
20240105,14.25,23.35,0.0,2.98,17.8,8.15,57.93
20240106,14.74,22.49,0.0,2.84,18.51,7.09,49.08
20240107,10.69,24.44,1.72,3.56,16.77,7.21,61.56
20240108,15.23,21.21,0.0,4.08,13.8,5.27,42.64
20240109,15.14,21.9,0.0,3.67,16.46,3.09,43.73
20240110,15.24,23.23,0.0,2.05,18.87,7.9,50.65
20240111,12.73,25.15,0.0,4.18,18.6,7.79,69.74
20240112,15.65,21.57,0.0,3.1,17.92,5.14,37.52
20240113,15.4,23.78,0.0,2.26,19.26,7.95,40.4
20240114,15.31,24.7,0.0,1.63,22.38,9.14,40.26
20240115,15.27,24.73,0.0,1.8,21.11,11.41,50.29
20240116,14.88,25.25,0.0,2.24,22.66,10.88,51.22
20240117,14.8,25.61,0.0,1.31,23.63,11.47,42.2
20240118,15.56,25.59,0.0,2.13,23.99,11.61,49.46
20240119,12.36,27.47,0.0,1.73,25.59,13.1,41.28
20240120,8.56,29.09,0.17,1.71,21.83,13.72,60.89
20240121,9.97,29.46,2.29,1.6,18.74,12.71,83.48
20240122,7.32,29.34,6.78,2.7,17.81,12.72,84.09
20240123,11.53,29.25,10.4,2.87,18.7,13.28,82.53
20240124,12.86,28.02,0.74,1.67,19.32,10.9,75.11
20240125,15.61,25.83,0.0,1.71,21.13,10.11,71.04
20240126,15.87,25.44,0.0,3.88,21.38,9.86,69.33
20240127,15.89,26.05,0.0,3.57,24.69,10.38,50.45
20240128,15.27,26.95,0.0,2.62,24.47,11.85,48.87
20240129,15.94,27.13,0.0,1.93,25.3,13.29,49.5
20240130,16.16,27.43,0.0,1.85,26.23,14.97,49.78
20240131,15.47,28.98,0.0,2.8,26.01,14.98,58.24
20240201,16.68,27.65,1.91,3.33,20.55,12.57,72.79
20240202,14.76,26.58,1.17,4.31,17.89,11.9,71.65
20240203,17.36,24.67,0.05,2.02,18.2,9.86,70.66
20240204,17.62,24.92,0.0,2.01,21.87,9.83,54.78
20240205,16.09,26.8,0.0,2.03,23.41,11.31,50.01
20240206,3.97,29.57,2.75,4.81,16.46,12.1,80.24
20240207,15.79,26.01,1.16,3.97,16.12,11.7,74.69
20240208,13.82,26.41,0.01,3.14,18.43,9.69,74.86
20240209,17.68,25.05,0.08,2.26,17.91,9.57,70.0
20240210,12.78,26.49,7.5,3.99,14.25,8.16,75.67
20240211,18.89,23.01,0.0,2.93,17.82,7.16,58.69
20240212,19.2,22.95,0.0,3.18,20.8,6.82,50.96
20240213,19.34,23.31,0.0,1.71,21.68,8.18,50.19
20240214,19.28,24.12,0.0,1.46,22.06,9.78,53.49
20240215,19.53,24.07,0.0,1.88,23.16,9.58,51.34
20240216,19.15,24.83,0.0,2.15,23.61,10.64,50.0
20240217,18.74,26.11,0.0,1.69,22.87,10.8,50.68
20240218,19.46,26.31,0.0,1.75,23.18,11.93,50.01
20240219,18.91,26.37,0.0,1.6,21.21,12.65,59.03
20240220,20.58,25.18,0.0,1.79,23.93,10.95,49.26
20240221,19.59,26.59,0.0,2.53,21.5,11.16,70.3
20240222,19.63,27.06,0.0,2.78,23.64,12.12,67.23
20240223,16.55,27.57,0.0,2.74,24.23,13.29,54.77
20240224,17.14,28.1,0.0,1.83,27.99,12.36,46.45
20240225,16.51,29.24,0.0,1.53,28.3,16.56,39.3
20240226,13.69,29.78,0.0,2.55,26.39,16.62,43.17
20240227,14.05,29.07,0.0,2.31,20.2,14.27,67.46
20240228,16.11,27.78,3.88,1.77,19.63,13.71,69.64
20240229,21.1,26.25,0.0,1.19,23.48,11.06,56.44
20240301,21.81,25.88,0.0,1.36,24.69,12.47,47.93
20240302,21.59,26.4,0.0,2.17,22.66,12.82,57.45
20240303,22.03,26.26,0.0,2.87,22.11,12.01,70.05
20240304,22.38,25.72,0.0,2.4,22.66,12.61,58.1
20240305,17.27,26.84,0.0,2.01,23.61,11.26,46.97
20240306,9.65,29.12,0.0,2.19,20.39,13.22,57.68
20240307,19.28,26.98,0.01,3.43,18.67,11.68,70.12
20240308,18.78,27.29,0.22,2.62,21.28,11.96,69.31
20240309,22.8,25.6,0.0,3.1,23.92,10.89,54.25
20240310,23.14,25.53,0.0,2.44,26.41,11.44,45.59
20240311,21.71,26.29,0.0,2.21,23.1,12.61,42.09
20240312,23.15,25.96,0.0,2.18,23.55,11.45,55.06
20240313,19.38,28.19,0.0,2.01,23.69,13.45,61.73
20240314,22.01,26.99,0.0,2.67,21.04,12.57,65.23
20240315,16.55,27.96,1.37,3.77,17.8,12.3,68.81
20240316,23.28,25.75,0.0,2.0,21.03,11.99,57.87
