DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20080101,10.39,26.98,0.0,3.87,20.45,5.78,41.28
20080102,13.16,26.89,0.0,2.08,23.04,11.16,40.46
20080103,6.77,28.85,0.04,1.98,19.26,9.43,50.91
20080104,12.3,27.76,0.0,2.37,20.8,11.6,70.19
20080105,9.42,29.08,0.03,3.41,19.28,11.28,83.87
20080106,12.29,27.76,0.35,2.47,18.35,11.02,82.58
20080107,10.74,28.51,0.51,3.19,17.93,9.83,81.36
20080108,13.25,26.52,0.0,1.61,19.28,9.42,69.07
20080109,13.66,26.24,0.0,2.06,19.3,8.22,58.72
20080110,12.5,26.24,0.0,2.82,20.22,6.82,53.28
20080111,13.82,26.06,0.0,2.94,21.64,7.08,45.93
20080112,13.95,25.72,0.0,3.05,22.8,8.61,42.12
20080113,14.56,25.19,0.0,3.19,21.15,7.44,41.54
20080114,14.29,25.53,0.0,4.63,20.18,7.16,43.61
20080115,14.58,24.57,0.0,1.8,19.63,7.44,36.69
20080116,14.44,24.88,0.0,2.41,18.51,6.95,37.99
20080117,15.31,22.51,0.0,4.75,14.2,2.94,36.87
20080118,14.82,23.4,0.0,2.45,15.65,1.81,37.26
20080119,15.08,23.75,0.0,2.51,19.7,3.03,41.3
20080120,15.23,23.53,0.0,2.04,16.99,4.5,46.72
20080121,14.79,25.19,0.0,2.97,16.14,5.43,78.14
20080122,14.89,25.32,0.0,1.33,18.58,7.89,60.04
20080123,14.34,25.99,0.0,2.37,16.05,7.65,78.89
20080124,12.81,27.02,0.06,3.19,16.07,8.3,87.4
20080125,15.21,25.52,0.0,2.15,17.52,8.29,75.73
20080126,13.3,28.34,0.04,1.21,20.67,8.2,56.7
20080127,3.48,30.42,11.58,3.44,15.8,12.17,76.14
20080128,16.04,25.73,0.07,2.8,18.06,7.98,77.07
20080129,16.4,23.86,0.0,2.3,17.87,5.17,60.1
20080130,15.54,24.72,0.0,3.03,15.7,5.75,49.13
20080131,16.65,23.59,0.0,4.24,16.91,2.71,36.64
20080201,16.32,25.1,0.0,1.72,18.91,5.59,37.0
20080202,16.52,25.11,0.0,1.41,17.99,6.8,52.48
20080203,15.55,26.91,0.22,3.62,17.33,5.45,79.86
