DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20060101,15.42,26.13,0.0,1.52,26.76,13.32,27.07
20060102,15.79,26.55,0.0,1.46,29.66,13.98,24.91
20060103,15.72,26.79,0.0,1.4,31.42,14.7,23.99
20060104,16.09,26.49,0.0,1.62,34.44,15.28,21.5
20060105,16.23,26.96,0.0,2.26,35.52,13.66,18.2
20060106,16.11,27.06,0.0,2.91,35.29,16.68,14.91
20060107,14.61,28.49,0.0,1.62,32.34,13.81,16.21
20060108,14.81,29.01,0.0,1.57,29.74,14.59,18.54
20060109,15.77,26.59,0.0,1.55,30.33,15.26,23.35
20060110,16.05,26.81,0.0,1.87,31.7,12.74,22.45
20060111,14.39,26.79,0.0,1.23,26.21,14.52,27.78
20060112,17.15,23.31,0.0,1.49,28.6,11.59,21.68
20060113,14.91,26.13,0.0,1.38,30.7,11.87,14.58
20060114,6.37,30.55,0.01,1.16,29.97,17.51,18.09
20060115,11.58,29.04,0.3,1.62,23.86,12.4,40.99
20060116,15.83,23.61,0.0,2.83,18.82,6.32,36.65
20060117,17.85,22.11,0.0,2.1,27.61,3.24,17.17
20060118,17.65,23.49,0.0,1.49,29.61,10.09,14.5
20060119,17.84,23.06,0.0,1.94,26.14,9.33,19.73
20060120,17.58,23.77,0.0,1.79,25.9,9.62,25.85
20060121,17.72,23.58,0.0,1.69,26.3,10.73,25.7
20060122,18.31,23.07,0.0,1.53,27.17,10.53,20.48
20060123,15.79,25.12,0.0,1.18,24.8,12.09,14.86
20060124,9.0,28.82,0.79,0.94,24.91,12.95,26.26
20060125,16.79,27.9,0.02,1.74,29.84,15.06,33.79
20060126,15.17,26.94,0.0,1.22,26.17,14.78,25.71
20060127,8.25,26.73,0.0,1.02,21.47,10.67,20.11
20060128,18.59,23.01,0.0,1.79,26.78,9.16,18.9
20060129,18.56,24.14,0.0,1.82,27.79,10.99,14.46
20060130,18.57,25.42,0.0,1.7,32.06,10.64,19.07
20060131,16.33,26.24,0.0,1.36,26.65,12.99,28.77
20060201,18.67,24.78,0.0,1.62,27.53,10.45,29.88
20060202,18.95,24.41,0.0,1.65,29.76,11.04,19.24
20060203,19.08,25.59,0.0,1.73,33.04,11.53,18.0
20060204,19.74,25.41,0.0,2.09,34.26,12.36,20.28
20060205,19.62,25.38,0.0,2.3,28.49,12.7,25.42
20060206,19.18,26.45,0.0,1.49,31.37,14.71,27.35
20060207,16.04,28.18,0.0,1.9,31.07,13.44,19.22
20060208,13.98,28.5,0.0,1.94,30.48,13.08,26.07
20060209,12.32,30.28,0.0,2.53,24.76,12.81,48.63
20060210,19.13,26.74,0.0,1.96,27.01,11.08,47.3
20060211,20.59,26.1,0.0,2.13,33.49,12.27,21.26
20060212,20.68,26.17,0.0,2.55,34.24,12.84,19.35
20060213,18.47,27.34,0.0,1.84,33.0,11.98,14.44
20060214,19.59,27.31,0.0,1.82,30.29,15.5,18.35
20060215,20.84,26.23,0.0,2.17,29.12,12.28,25.8
20060216,19.58,26.29,0.0,1.51,30.32,14.54,26.51
20060217,13.83,28.6,0.0,1.5,30.03,15.98,20.94
20060218,16.22,28.92,0.0,1.19,26.8,16.54,29.43
20060219,16.47,29.73,0.0,1.82,29.35,16.16,34.64
20060220,18.46,28.79,0.0,1.8,28.06,14.7,34.65
20060221,11.29,29.2,0.0,1.64,24.68,14.64,36.03
20060222,8.9,30.25,0.01,1.45,24.44,14.37,35.97
20060223,18.46,29.42,0.01,1.88,28.97,13.89,39.05
20060224,21.35,27.4,0.0,2.03,28.94,13.99,31.62
20060225,23.22,24.52,0.0,1.63,32.56,12.09,20.45
20060226,21.23,26.71,0.0,1.51,31.65,14.99,14.14
20060227,23.03,26.33,0.0,1.84,34.4,15.19,16.01
20060228,22.61,28.1,0.0,2.37,36.34,16.69,15.15
20060301,21.74,29.22,0.0,1.9,36.3,17.14,19.74
20060302,22.73,28.24,0.0,2.07,34.79,18.37,25.51
20060303,17.71,29.46,0.0,1.54,31.63,17.83,29.46
20060304,23.15,27.02,0.0,1.91,32.18,16.4,26.12
20060305,23.53,26.98,0.0,2.05,34.81,14.85,17.74
20060306,24.25,25.72,0.0,2.25,35.2,16.07,13.62
20060307,19.33,28.61,0.0,1.84,31.88,17.34,18.63
20060308,15.13,28.51,0.0,1.58,21.93,11.95,36.63
20060309,24.28,24.73,0.02,2.11,26.9,10.1,29.45
20060310,22.46,26.19,0.0,2.89,23.98,9.44,47.09
20060311,24.09,25.37,0.0,2.37,24.67,8.62,51.93
20060312,23.88,25.56,0.0,2.14,24.69,9.58,39.72
20060313,24.55,24.88,0.0,1.81,25.84,10.03,27.58
20060314,24.76,26.01,0.0,1.86,33.98,14.06,13.89
20060315,18.8,27.79,0.0,1.13,25.03,14.97,25.02
20060316,24.31,26.4,0.0,1.87,32.52,14.66,21.07
20060317,17.74,28.26,0.0,1.72,31.87,17.26,17.45
20060318,8.78,30.13,4.61,1.64,21.24,14.19,46.73
20060319,22.54,26.44,0.4,2.1,21.81,11.24,56.69
20060320,25.88,24.78,0.0,1.76,24.41,8.67,40.12
20060321,25.63,25.22,0.0,2.09,27.62,9.52,30.29
20060322,26.59,24.65,0.0,1.88,28.48,10.76,26.0
20060323,25.74,25.72,0.0,2.24,33.09,10.63,17.86
20060324,24.58,26.72,0.0,2.03,32.88,13.83,22.16
20060325,26.72,26.03,0.0,2.09,33.05,13.73,18.28
20060326,23.03,27.81,0.0,2.12,30.62,15.7,18.12
20060327,23.96,28.05,0.0,2.63,32.36,14.42,19.81
20060328,16.28,29.1,0.0,2.06,29.23,15.61,29.93
20060329,26.22,27.85,0.0,2.51,31.4,13.85,41.37
20060330,26.45,27.79,0.0,2.0,31.34,12.91,36.64
20060331,26.52,27.73,0.0,2.43,32.0,16.62,29.15
20060401,25.24,27.8,0.0,1.91,30.79,16.01,28.97
20060402,27.71,27.43,0.0,1.97,36.19,14.71,21.04
20060403,27.56,27.94,0.0,1.83,33.56,17.02,16.49
20060404,26.12,29.19,0.0,2.36,36.8,19.49,14.37
20060405,15.5,31.34,0.0,2.18,29.25,17.17,28.76
20060406,28.58,25.58,0.0,2.4,32.55,13.39,27.76
20060407,28.96,25.08,0.0,2.03,32.92,13.28,16.71
20060408,28.06,27.03,0.0,2.12,36.56,16.71,9.47
20060409,24.12,29.55,0.0,2.06,35.04,18.03,10.43
20060410,23.67,30.53,0.0,3.0,34.41,19.18,20.3
20060411,16.36,31.43,0.0,1.48,33.0,20.79,28.81
20060412,27.84,29.64,0.0,2.43,41.4,18.96,18.42
20060413,26.72,31.03,0.0,2.12,41.39,21.73,14.73
20060414,27.32,31.35,0.0,2.85,36.02,21.66,23.19
20060415,26.13,29.35,0.0,2.27,33.94,19.49,22.47
20060416,28.63,27.53,0.0,1.94,34.18,17.9,19.07
20060417,29.22,27.33,0.0,1.99,34.96,16.75,19.88
20060418,29.63,27.01,0.0,2.09,35.08,17.24,20.96
20060419,29.66,26.91,0.0,2.22,34.01,17.64,19.53
20060420,29.95,26.63,0.0,2.14,35.39,15.99,13.69
20060421,26.75,28.48,0.0,2.17,35.35,17.33,9.99
20060422,19.93,29.71,0.0,1.81,32.55,18.76,17.89
20060423,28.57,27.6,0.0,2.5,34.47,16.48,22.34
20060424,29.32,27.35,0.0,2.21,34.18,16.83,19.0
20060425,21.21,30.25,0.0,1.29,29.15,17.24,17.31
20060426,27.94,28.28,0.0,1.74,33.41,17.18,22.65
20060427,29.74,26.96,0.0,2.61,30.53,15.12,30.2
20060428,29.8,26.85,0.0,2.53,29.65,12.99,29.95
20060429,29.76,27.95,0.0,2.6,37.71,14.22,22.23
20060430,30.22,28.47,0.0,2.29,38.84,17.72,20.58
20060501,30.08,28.37,0.0,2.26,37.57,17.98,21.39
20060502,26.52,29.81,0.0,2.37,34.51,18.0,23.24
20060503,23.52,30.19,0.0,2.43,33.62,19.75,30.98
20060504,30.15,28.02,0.0,2.73,34.86,16.31,31.06
20060505,30.46,27.37,0.0,2.47,34.38,17.11,22.16
20060506,30.18,28.03,0.0,2.37,34.74,16.19,21.34
20060507,18.23,30.83,0.0,1.69,29.94,18.68,25.28
20060508,29.76,28.86,0.0,2.09,36.46,17.58,22.09
20060509,29.51,29.31,0.0,2.27,36.65,19.05,23.01
20060510,30.08,29.84,0.0,2.32,38.71,19.98,20.12
20060511,30.06,29.77,0.0,2.52,39.47,21.13,19.91
20060512,30.29,29.75,0.0,2.24,38.97,20.71,20.85
20060513,30.21,30.14,0.0,2.2,38.59,21.56,20.74
20060514,30.28,30.72,0.0,2.42,40.63,22.71,14.51
20060515,25.35,32.16,0.0,2.47,40.24,22.11,12.32
