DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20030101,15.39,22.76,0.0,2.31,24.03,5.42,35.33
20030102,15.35,23.32,0.0,3.31,25.91,6.9,31.01
20030103,15.28,24.26,0.0,2.73,28.23,8.51,35.24
20030104,15.14,24.49,0.0,2.23,28.33,8.97,33.18
20030105,15.14,24.77,0.0,1.94,28.49,10.21,34.65
20030106,13.25,25.44,0.0,2.45,25.8,8.69,37.63
20030107,12.29,28.89,0.0,3.32,26.45,14.76,49.9
20030108,7.55,31.36,0.04,1.81,22.05,14.23,71.85
20030109,13.79,27.17,0.0,1.54,24.27,12.37,66.33
20030110,15.36,24.65,0.0,1.73,25.15,10.25,48.17
20030111,15.27,24.25,0.0,1.68,24.56,10.97,40.25
20030112,15.61,24.01,0.0,2.01,26.19,8.71,35.67
20030113,16.04,24.45,0.0,2.67,29.56,10.06,26.35
20030114,16.11,24.67,0.0,2.49,30.3,11.94,24.12
20030115,16.11,24.93,0.0,1.5,29.69,10.8,24.28
20030116,16.1,25.06,0.0,2.33,30.37,12.36,20.78
20030117,15.6,25.53,0.0,2.54,29.64,10.97,24.37
20030118,16.23,24.19,0.0,1.98,27.53,9.59,26.12
20030119,14.84,25.82,0.0,1.79,27.26,9.52,28.4
20030120,13.11,27.84,0.21,2.26,27.26,12.69,39.39
20030121,15.44,25.2,0.0,1.61,23.79,9.37,45.69
20030122,16.99,24.14,0.0,3.13,26.9,9.89,32.61
20030123,16.61,24.95,0.0,3.28,30.82,11.39,21.33
20030124,15.98,25.78,0.0,2.14,29.66,11.99,23.33
20030125,14.38,25.65,0.0,1.88,26.91,10.58,28.9
20030126,16.69,24.42,0.0,3.74,30.55,11.94,22.61
20030127,17.96,23.62,0.0,3.11,31.13,12.44,19.33
20030128,17.71,23.78,0.0,2.1,28.63,9.89,19.71
20030129,16.12,25.45,0.0,1.92,29.39,10.54,19.58
20030130,17.72,25.14,0.0,2.25,31.97,12.62,14.89
20030131,17.9,25.11,0.0,3.14,33.77,13.62,14.49
20030201,17.54,25.96,0.0,2.08,31.91,13.35,21.01
20030202,17.51,25.57,0.0,2.83,28.17,12.79,24.28
20030203,16.75,23.72,0.0,1.91,25.21,7.41,18.22
20030204,17.65,24.96,0.16,1.92,25.83,10.21,12.86
20030205,6.67,28.4,2.11,2.07,19.61,9.9,45.36
20030206,16.97,25.01,0.0,1.4,21.52,7.37,59.93
20030207,11.95,27.74,0.45,2.15,20.96,9.63,53.02
20030208,11.44,27.89,0.34,2.14,15.82,8.49,67.79
20030209,18.73,23.38,0.01,1.1,20.76,4.95,45.22
20030210,14.68,26.9,0.02,2.16,23.46,8.63,26.77
20030211,14.24,29.68,0.0,1.38,24.98,14.1,29.34
20030212,8.08,30.66,0.6,1.54,26.26,15.26,45.31
20030213,10.87,30.23,7.62,3.1,18.77,12.03,80.8
20030214,11.07,29.63,6.87,1.62,18.57,12.17,81.85
20030215,18.74,26.25,0.0,1.49,23.78,8.56,64.43
20030216,19.84,25.97,0.0,1.81,26.63,9.57,46.91
20030217,17.36,27.12,0.0,1.81,30.34,10.26,38.58
20030218,10.78,29.49,0.0,1.63,28.52,13.36,43.8
20030219,18.97,27.13,0.55,2.06,26.23,11.98,41.91
20030220,12.57,26.48,2.42,3.32,19.48,8.1,57.14
