DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20100101,15.51,24.9,0.04,1.57,27.86,8.76,37.86
20100102,15.61,24.36,0.0,1.33,26.48,11.28,35.66
20100103,15.78,24.31,0.0,1.36,27.69,9.78,35.15
20100104,15.96,23.92,0.0,1.54,28.22,9.91,30.57
20100105,15.32,24.47,0.0,1.41,26.49,9.68,32.67
20100106,15.19,23.35,0.0,1.42,25.64,10.24,28.98
20100107,16.24,22.97,0.0,1.58,24.7,9.12,30.29
20100108,15.95,23.46,0.0,1.18,25.77,8.84,30.7
20100109,15.95,24.41,0.0,1.26,26.13,8.55,33.17
20100110,11.78,25.94,0.0,1.62,25.72,8.92,28.58
20100111,14.58,25.74,0.0,1.3,25.24,10.87,34.8
20100112,16.05,25.18,0.0,1.68,26.74,10.06,35.7
20100113,13.8,25.72,0.0,1.53,25.37,9.73,34.35
20100114,15.99,23.53,0.0,1.73,20.32,8.14,45.59
20100115,15.36,24.05,0.0,2.2,24.79,8.55,40.18
20100116,14.79,25.72,0.0,1.74,23.11,7.82,40.03
20100117,11.26,25.65,0.0,1.54,23.34,9.79,32.39
20100118,16.5,24.56,0.0,1.84,24.03,8.29,39.5
20100119,16.73,24.15,0.0,2.0,22.27,8.95,51.26
20100120,7.62,29.22,0.52,1.72,18.22,8.13,77.94
20100121,7.62,30.12,0.33,3.57,19.44,9.53,78.41
20100122,3.79,30.77,42.65,4.71,17.0,11.47,90.18
20100123,11.13,26.97,2.09,1.83,15.4,7.71,76.68
20100124,18.04,21.66,0.0,2.24,19.98,4.32,51.61
20100125,17.71,23.08,0.0,1.27,25.23,5.75,34.6
20100126,16.9,24.59,0.0,1.58,23.88,9.67,43.64
20100127,6.16,28.58,9.22,2.19,18.94,10.29,76.41
20100128,7.92,28.3,5.3,1.65,15.58,9.1,81.65
20100129,16.89,24.57,0.01,1.11,20.14,6.94,65.12
20100130,13.99,26.29,0.01,1.54,19.93,7.0,62.85
20100131,14.0,27.02,0.0,1.35,19.23,9.21,65.03
20100201,14.6,25.79,0.0,1.32,21.04,9.4,65.0
20100202,11.55,27.02,5.42,1.78,19.63,9.33,72.85
20100203,7.72,29.43,16.45,2.07,14.34,9.04,87.19
20100204,16.26,26.8,0.13,1.08,19.9,7.97,70.91
20100205,18.93,23.82,0.0,1.29,23.12,6.52,58.66
20100206,19.48,23.24,0.0,1.47,23.61,8.72,50.58
20100207,19.31,23.76,0.0,1.53,20.99,8.32,58.49
20100208,17.69,24.17,0.0,1.27,19.53,7.4,58.45
20100209,16.79,24.18,2.03,1.51,20.67,7.47,51.29
20100210,8.32,27.7,4.67,1.8,13.51,8.61,76.95
20100211,20.06,22.77,0.21,1.59,18.36,4.32,65.3
20100212,19.35,24.23,0.0,1.75,24.2,4.55,50.84
20100213,19.78,24.53,0.0,1.48,26.35,7.95,41.71
20100214,20.41,24.37,0.0,1.31,25.76,8.64,40.55
20100215,19.78,24.6,0.0,1.38,26.78,8.44,41.52
20100216,20.72,24.55,0.0,1.47,26.22,10.71,40.57
20100217,20.75,24.56,0.06,1.39,25.68,8.87,40.4
20100218,21.12,23.91,0.01,1.57,24.68,9.93,38.92
20100219,20.04,24.95,0.0,1.89,23.35,7.69,45.17
20100220,19.64,24.76,0.0,2.15,20.82,7.28,58.88
20100221,16.14,26.21,0.0,1.58,19.42,7.43,63.39
20100222,18.5,26.53,0.28,1.56,20.5,7.35,60.98
20100223,22.43,22.87,0.03,2.56,20.07,5.17,48.78
20100224,22.94,21.66,0.0,2.32,26.67,4.02,28.06
20100225,22.32,23.39,0.0,1.81,26.1,8.35,32.47
20100226,22.78,23.67,0.0,1.31,26.96,8.21,38.5
20100227,19.49,25.59,0.0,2.01,26.54,8.69,38.64
20100228,15.55,26.38,2.0,2.05,18.82,8.87,63.79
20100301,23.1,23.3,0.0,1.18,23.63,5.95,43.06
20100302,20.87,25.65,0.0,1.51,25.48,7.07,38.72
20100303,22.06,24.73,0.0,1.47,25.98,9.85,36.41
20100304,19.22,25.62,0.0,1.43,24.88,11.1,38.29
