DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20030101,15.45,22.11,0.0,1.05,20.5,4.03,27.37
20030102,14.97,23.08,0.0,1.07,23.47,3.12,32.71
20030103,15.3,23.92,0.0,1.1,25.23,4.8,30.75
20030104,14.86,24.28,0.0,1.13,23.82,4.36,30.72
20030105,14.84,23.8,0.0,1.08,23.54,3.87,32.76
20030106,13.58,25.16,0.0,1.04,22.74,3.66,42.29
20030107,13.12,28.28,0.84,1.1,22.06,8.15,59.44
20030108,7.32,31.34,4.53,0.82,19.01,7.24,81.89
20030109,12.69,27.98,5.92,0.74,19.14,9.28,81.2
20030110,15.02,25.26,0.37,0.81,20.95,7.52,72.37
20030111,15.07,24.1,0.01,1.15,19.99,6.91,61.84
20030112,15.27,23.22,0.0,1.02,21.09,3.42,35.53
20030113,15.72,23.82,0.0,1.09,24.7,4.0,33.87
20030114,15.98,24.52,0.0,1.05,25.96,5.8,31.46
20030115,16.38,24.14,0.0,1.07,24.43,5.09,30.34
20030116,15.66,24.65,0.0,0.95,25.17,4.77,31.62
20030117,15.17,25.26,0.0,1.09,23.93,7.15,33.82
20030118,16.07,23.63,0.0,1.03,22.65,5.72,38.89
20030119,15.69,24.82,0.0,1.07,22.31,4.02,40.45
20030120,13.48,27.28,0.0,1.18,21.89,6.04,48.77
20030121,16.15,23.97,0.0,1.12,20.42,6.08,48.11
20030122,17.14,23.32,0.0,1.05,22.63,5.15,36.72
20030123,16.96,24.2,0.0,1.25,26.76,5.1,30.42
20030124,16.12,25.35,0.0,1.18,23.78,8.49,31.53
20030125,15.44,24.78,0.0,1.07,22.82,7.24,37.07
20030126,17.25,23.67,0.0,1.22,23.68,4.54,36.95
20030127,17.7,22.81,0.0,1.03,26.36,3.32,29.48
20030128,17.32,23.09,0.0,1.36,23.62,5.38,25.73
20030129,16.54,24.92,0.0,1.1,23.81,6.07,26.96
20030130,17.28,24.37,0.0,1.02,26.22,5.05,26.05
20030131,17.62,24.65,0.0,1.15,28.6,7.3,27.04
20030201,17.74,25.47,0.0,1.11,26.04,9.76,34.26
20030202,14.84,26.84,0.0,1.4,21.66,8.72,48.22
20030203,16.91,23.23,0.0,0.97,19.17,7.4,37.16
20030204,18.05,24.24,0.01,1.14,21.79,4.76,31.89
20030205,4.73,27.67,6.02,0.87,9.53,4.58,63.47
20030206,16.37,24.7,1.82,0.79,16.94,3.11,65.17
20030207,9.26,27.55,0.75,0.93,14.28,2.8,73.99
20030208,10.17,27.48,0.34,1.35,14.09,3.73,77.42
20030209,18.08,23.17,0.01,0.96,17.01,2.04,57.54
20030210,16.41,25.49,0.03,0.86,20.83,2.15,27.88
20030211,14.61,29.06,0.0,0.93,21.86,9.96,42.44
20030212,10.31,29.78,0.22,0.88,22.64,10.38,53.65
20030213,7.06,30.16,12.36,1.19,17.32,8.94,79.83
20030214,11.17,29.27,3.72,1.09,15.02,6.76,81.9
20030215,17.74,26.02,0.14,0.82,18.89,6.82,66.36
20030216,19.83,24.83,0.0,1.08,24.02,4.02,43.68
20030217,17.83,26.38,0.0,1.02,25.95,4.55,34.46
20030218,12.08,28.68,0.0,1.13,23.75,8.4,34.89
20030219,14.97,28.63,0.0,1.14,20.77,7.5,45.08
20030220,9.59,27.02,8.91,1.76,16.92,4.05,66.85
20030221,20.61,23.23,0.27,1.03,15.46,1.13,62.14
20030222,21.42,22.45,0.0,1.2,21.34,1.06,35.36
20030223,19.5,24.13,0.0,1.23,21.34,3.31,28.48
