DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20080101,10.16,26.89,0.0,5.27,22.65,3.8,29.49
20080102,14.07,26.29,0.0,2.86,23.47,8.74,29.1
20080103,11.01,26.93,0.0,2.35,22.34,7.11,38.35
20080104,10.43,27.81,0.0,1.81,23.57,11.13,40.7
20080105,12.67,26.48,0.0,2.22,22.8,7.32,49.15
20080106,14.22,25.82,0.0,2.73,16.41,8.21,72.35
20080107,10.84,25.87,0.0,3.04,15.23,8.3,81.63
20080108,15.22,24.34,0.0,1.37,19.02,5.92,67.81
20080109,15.22,24.02,0.0,1.61,20.4,5.65,52.23
20080110,15.61,23.0,0.0,1.97,22.94,3.43,37.26
20080111,15.65,23.7,0.0,1.88,23.29,4.96,31.62
20080112,16.1,22.6,0.0,2.55,22.88,5.22,30.34
20080113,15.92,22.64,0.0,2.73,21.34,5.03,28.7
20080114,15.95,22.34,0.0,5.4,18.39,3.08,28.84
20080115,16.02,22.53,0.0,3.48,19.09,3.73,31.43
20080116,16.23,21.98,0.0,2.32,16.52,2.98,37.92
20080117,11.74,24.56,0.3,1.49,12.89,1.22,62.31
20080118,16.27,21.99,0.0,1.83,16.27,-0.21,40.23
20080119,15.61,21.96,0.0,3.0,18.45,1.11,29.81
20080120,16.3,22.16,0.0,2.49,19.39,1.62,30.5
20080121,16.27,22.62,0.0,2.04,17.6,0.78,38.69
20080122,8.31,26.55,0.0,1.31,17.44,5.14,32.68
20080123,4.31,27.93,0.01,1.77,17.04,7.06,51.68
20080124,5.85,27.57,0.68,2.01,13.14,6.78,66.8
20080125,15.27,25.68,0.08,1.63,19.32,2.85,60.02
20080126,9.98,28.47,0.0,1.42,18.65,6.97,35.3
20080127,6.59,29.7,4.47,1.61,19.52,11.95,51.51
20080128,7.94,28.61,4.14,3.02,18.73,5.26,69.89
20080129,17.76,23.34,0.0,1.35,18.17,4.64,61.78
20080130,18.03,22.15,0.0,2.56,18.07,3.61,46.81
20080131,18.27,21.48,0.0,3.46,18.27,1.11,34.82
20080201,12.93,25.21,0.0,1.5,20.51,3.98,28.99
20080202,13.57,24.64,0.0,2.33,18.03,3.45,40.25
20080203,18.23,23.51,0.0,2.85,18.94,1.95,61.33
20080204,8.75,26.05,2.4,3.7,11.91,1.32,81.51
20080205,18.83,20.87,0.0,2.26,12.85,-1.4,51.84
20080206,18.83,21.22,0.0,2.89,20.27,-0.48,33.89
20080207,19.1,22.78,0.0,2.29,24.31,3.04,31.44
