DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20130101,14.7,26.1,0.0,5.95,21.72,13.09,51.19
20130102,15.8,26.05,0.0,4.7,20.09,13.49,52.98
20130103,15.41,27.39,0.0,3.3,18.99,15.02,58.59
20130104,15.99,26.42,0.0,4.14,21.1,14.16,54.49
20130105,16.17,26.13,0.0,5.04,22.75,12.78,57.57
20130106,14.46,27.44,0.0,4.65,20.15,13.39,52.87
20130107,15.73,27.76,0.03,4.9,19.0,14.06,61.6
20130108,15.65,27.18,0.04,4.57,19.47,13.52,58.87
20130109,15.33,26.86,0.0,3.69,20.06,13.35,57.66
20130110,12.75,27.99,0.0,1.79,19.43,14.19,62.75
20130111,5.57,29.64,0.0,5.9,18.33,13.48,61.2
20130112,16.3,26.04,0.0,5.06,16.2,11.7,56.25
20130113,16.59,25.18,0.0,4.69,15.86,11.04,50.62
20130114,16.69,24.79,0.0,6.3,15.76,10.49,47.75
20130115,17.23,23.94,0.0,7.65,17.36,7.84,42.21
20130116,17.43,24.29,0.0,4.75,21.02,8.64,47.12
20130117,15.74,26.96,0.0,3.96,20.84,12.07,47.1
20130118,13.16,28.72,0.0,2.43,19.79,15.34,49.95
20130119,16.36,28.08,0.0,3.6,20.92,15.75,66.7
20130120,16.64,28.17,0.0,4.13,21.3,15.38,67.65
20130121,16.51,27.78,0.0,4.07,21.13,15.23,69.99
20130122,16.97,28.07,0.0,3.03,24.45,15.45,63.76
20130123,15.43,28.69,0.0,1.49,21.58,16.86,58.32
20130124,12.26,32.1,0.0,3.11,22.74,18.77,52.11
20130125,11.46,32.44,0.72,4.42,24.23,18.93,57.94
20130126,14.25,31.91,0.52,1.93,22.26,18.49,73.4
20130127,17.45,28.48,0.0,2.4,20.27,16.91,79.47
20130128,15.41,28.17,0.0,3.3,18.23,15.53,74.21
20130129,18.26,25.86,0.0,5.86,18.12,13.3,59.15
20130130,16.91,26.66,0.0,7.27,21.66,12.29,46.79
20130131,13.62,27.77,0.0,6.21,21.84,12.08,59.09
20130201,16.59,27.86,0.0,4.64,22.0,14.21,64.68
20130202,14.19,29.85,0.0,5.27,23.11,15.01,64.35
20130203,7.18,31.45,0.0,4.46,21.45,16.92,64.81
20130204,16.26,29.84,0.0,3.25,21.39,17.16,60.35
20130205,17.66,28.38,0.0,3.48,21.23,15.9,64.61
20130206,18.91,27.49,0.0,2.33,19.99,15.13,70.37
20130207,19.41,26.76,0.0,3.05,21.38,14.58,64.06
20130208,12.59,29.54,0.0,2.49,19.98,14.58,64.96
20130209,19.53,27.12,0.01,5.68,18.27,14.21,60.58
20130210,20.14,25.84,0.01,4.07,18.22,13.52,48.35
20130211,14.01,28.2,0.0,3.04,17.01,13.93,58.37
20130212,20.34,25.76,0.0,6.28,18.65,11.95,54.46
20130213,20.76,25.26,0.0,5.94,19.6,11.22,51.65
20130214,20.78,25.87,0.0,5.47,21.21,12.26,54.71
20130215,14.87,27.82,0.0,3.56,22.67,13.16,53.71
20130216,20.64,26.91,0.0,2.59,23.56,15.75,45.23
20130217,19.95,27.25,0.0,2.08,20.19,15.48,57.89
20130218,20.83,26.72,0.0,2.07,21.05,14.26,57.72
20130219,6.63,30.03,0.33,2.89,18.87,15.54,60.65
20130220,19.98,27.34,5.55,5.09,17.59,13.27,68.96
20130221,21.72,25.74,0.0,4.29,17.87,12.35,56.97
20130222,21.82,26.1,0.0,4.91,19.71,12.23,58.92
20130223,22.1,25.77,0.0,5.17,20.68,12.26,60.45
20130224,21.68,26.05,0.0,4.37,19.09,13.52,61.76
20130225,22.1,25.38,0.0,6.89,21.04,10.53,43.57
20130226,16.81,27.56,0.0,5.98,20.6,12.05,54.08
20130227,22.11,26.67,0.0,4.89,22.67,13.13,55.97
20130228,20.85,26.35,0.0,6.21,24.15,12.34,47.3
20130301,24.14,25.37,0.0,5.32,26.76,11.36,36.0
20130302,23.79,26.14,0.0,4.6,24.65,14.37,41.3
20130303,23.75,26.54,0.0,2.17,22.95,15.38,48.13
20130304,22.25,28.18,0.0,1.93,20.72,14.92,61.7
20130305,19.55,29.92,0.0,2.26,22.21,17.98,52.93
20130306,19.39,28.98,0.0,3.29,23.04,17.26,59.36
20130307,12.54,30.28,0.0,1.96,20.7,16.5,73.65
20130308,21.48,29.82,0.17,3.69,19.85,16.51,74.11
20130309,24.17,25.93,0.0,6.32,17.68,14.05,62.58
20130310,24.3,26.4,0.0,6.02,21.68,13.08,55.07
20130311,24.81,26.57,0.0,4.88,22.9,13.76,51.5
20130312,25.19,26.19,0.0,4.32,22.62,14.65,53.59
20130313,24.92,27.07,0.0,3.48,23.7,15.32,56.16
20130314,25.02,27.15,0.0,2.46,24.03,16.56,54.91
20130315,24.51,27.95,0.0,1.46,23.65,16.56,64.51
20130316,24.9,27.82,0.0,1.73,24.25,17.94,58.04
20130317,25.27,27.34,0.0,2.27,22.8,17.58,59.33
20130318,23.73,29.25,0.0,2.21,22.59,17.45,61.64
20130319,24.59,28.16,0.0,3.44,22.99,17.03,61.91
20130320,25.08,29.01,0.0,3.81,26.37,17.11,50.36
20130321,22.55,29.41,0.0,2.9,24.24,18.22,63.24
20130322,25.06,28.38,0.0,1.72,24.0,18.26,69.46
20130323,25.33,28.74,0.0,3.19,21.84,17.31,64.6
20130324,26.28,28.17,0.0,3.48,24.93,16.71,59.61
20130325,25.39,28.3,0.0,2.68,24.17,16.47,62.18
20130326,26.51,27.59,0.0,1.75,25.81,17.55,48.11
20130327,25.76,29.33,0.0,1.47,26.29,19.56,52.66
20130328,24.04,29.85,0.0,2.75,24.96,18.73,64.52
20130329,25.98,29.19,0.0,2.19,25.93,20.21,52.23
20130330,22.04,31.24,0.0,3.81,25.38,20.5,48.62
20130331,25.59,29.93,0.0,4.88,26.18,20.24,53.17
20130401,26.93,29.13,0.0,6.0,24.06,19.84,64.41
20130402,27.05,28.92,0.0,4.74,23.3,18.43,66.29
20130403,27.58,28.48,0.0,4.13,24.88,18.31,60.31
20130404,25.34,30.26,0.0,2.38,25.58,19.27,69.39
20130405,27.4,29.42,0.0,2.57,25.83,20.41,65.28
20130406,27.53,29.5,0.0,2.54,24.52,20.02,66.4
20130407,27.08,30.26,0.0,2.44,25.48,19.96,68.23
20130408,27.05,29.81,0.0,3.46,23.34,19.53,67.49
20130409,27.27,28.58,0.0,4.99,20.57,17.36,58.36
20130410,28.07,28.5,0.0,6.13,23.72,17.26,48.5
20130411,28.51,28.25,0.0,3.93,25.4,16.81,47.82
20130412,28.25,29.35,0.0,3.85,23.98,18.39,59.88
20130413,28.2,28.87,0.0,3.37,24.64,18.78,66.57
20130414,28.05,29.58,0.0,3.39,23.77,19.43,62.7
20130415,28.08,29.31,0.0,2.65,23.89,20.15,63.4
20130416,27.94,29.94,0.0,2.69,23.11,19.83,66.25
20130417,24.84,30.35,0.0,4.75,21.71,18.24,63.07
20130418,29.58,27.55,0.0,6.86,26.74,17.96,43.67
20130419,29.93,27.76,0.0,4.89,25.72,17.45,43.26
20130420,29.95,27.99,0.0,3.95,25.36,17.0,57.1
20130421,29.42,28.69,0.0,2.79,26.11,19.54,64.37
20130422,29.49,28.98,0.0,2.39,24.96,18.59,60.59
20130423,29.55,28.63,0.0,1.89,25.26,18.88,62.24
20130424,28.92,29.45,0.0,3.65,26.3,19.15,64.82
20130425,28.84,29.41,0.0,4.02,24.68,20.25,62.89
20130426,29.43,29.32,0.0,3.9,26.84,19.46,53.86
20130427,29.89,28.93,0.0,4.12,26.01,18.44,58.98
20130428,29.86,29.21,0.0,2.29,27.04,19.79,66.36
20130429,29.42,29.52,0.0,2.38,27.14,19.82,63.78
20130430,29.35,29.54,0.0,2.12,26.52,20.81,65.85
20130501,29.53,29.33,0.0,2.82,26.14,20.48,67.64
20130502,29.98,29.94,0.0,5.85,30.01,20.02,58.26
20130503,22.81,32.62,0.0,4.64,27.44,22.32,61.98
20130504,28.44,30.52,0.0,4.11,27.26,21.17,70.82
20130505,29.12,31.06,0.0,3.11,26.25,21.16,63.08
20130506,28.6,31.9,0.0,3.16,27.12,20.9,57.63
20130507,29.16,31.09,0.0,4.04,26.35,21.95,55.76
20130508,23.46,31.47,0.0,4.32,24.92,20.64,56.64
20130509,29.42,30.14,0.0,4.59,25.2,20.38,54.78
20130510,29.81,29.56,0.0,4.46,24.56,19.77,56.52
20130511,29.42,30.62,0.0,3.15,27.62,20.56,56.09
20130512,29.03,31.58,0.02,2.98,28.99,22.74,52.39
20130513,29.16,31.73,0.0,2.33,29.21,22.53,56.95
20130514,29.67,31.19,0.0,2.38,28.92,23.34,64.54
20130515,30.12,31.32,0.0,2.49,29.52,23.02,60.46
20130516,30.19,31.05,0.0,2.53,28.27,22.79,64.9
20130517,29.72,30.33,0.0,2.6,28.54,22.62,59.48
20130518,30.28,30.35,0.0,4.35,27.45,21.75,57.66
20130519,30.25,30.65,0.0,3.92,27.5,21.88,60.1
20130520,30.79,30.7,0.0,3.31,27.16,22.0,60.06
20130521,30.79,31.05,0.0,2.48,28.71,22.92,52.87
20130522,29.15,31.62,0.0,2.05,30.33,23.89,57.37
20130523,29.12,32.3,0.0,2.39,29.49,24.04,71.19
20130524,30.18,31.86,0.0,2.14,29.64,23.85,64.53
20130525,30.04,31.63,0.0,2.7,29.6,23.34,57.65
20130526,30.59,30.72,0.0,4.77,29.72,23.37,53.26
20130527,31.13,30.37,0.0,4.02,28.99,23.88,50.92
20130528,30.66,31.1,0.0,3.68,28.34,24.48,56.55
20130529,29.82,32.4,0.0,3.62,28.53,23.58,60.46
20130530,29.61,33.03,0.0,4.33,28.43,24.16,66.26
20130531,30.45,31.91,0.0,2.85,30.19,24.12,60.93
20130601,30.91,31.73,0.0,3.11,31.1,24.34,60.94
20130602,30.49,32.52,0.0,3.48,30.93,25.22,69.24
20130603,29.73,33.51,0.0,2.64,31.23,25.19,64.85
20130604,30.02,32.9,0.0,3.43,31.19,25.3,57.52
20130605,31.13,31.71,0.0,4.74,32.33,25.2,51.69
20130606,31.24,31.4,0.0,4.09,30.11,24.73,56.84
20130607,30.57,32.11,0.0,3.39,29.56,24.46,69.51
20130608,28.45,33.31,0.0,4.72,29.47,24.69,71.71
20130609,28.62,34.78,0.0,2.99,30.25,25.59,71.88
20130610,28.81,33.78,0.0,2.82,31.07,26.28,67.67
20130611,28.94,34.49,0.0,2.9,31.89,26.79,66.12
20130612,28.86,35.18,0.0,3.01,30.8,26.42,69.01
20130613,28.78,35.3,0.0,4.04,30.99,27.04,65.9
20130614,29.29,33.82,0.0,2.85,31.43,26.48,66.48
20130615,29.73,34.0,0.0,2.27,32.56,26.93,61.41
20130616,30.15,33.79,0.0,4.04,32.7,26.45,55.99
20130617,30.52,33.64,0.0,4.43,35.02,27.21,50.74
20130618,30.65,32.87,0.0,3.24,33.9,27.11,56.3
20130619,29.98,33.63,0.0,3.81,31.97,27.49,59.86
20130620,29.27,34.5,0.0,2.93,31.74,27.36,68.68
20130621,29.45,34.34,0.0,2.84,32.29,27.36,67.12
20130622,29.51,33.95,0.0,3.61,32.0,27.07,71.36
20130623,29.8,33.86,0.0,3.56,32.25,27.62,66.64
20130624,29.42,34.32,0.0,3.56,32.29,27.5,63.35
20130625,29.23,35.34,0.0,3.1,32.63,27.55,61.21
20130626,24.29,36.9,1.26,5.26,31.23,27.75,71.83
20130627,19.9,37.79,0.75,4.15,30.75,28.01,70.52
20130628,27.58,36.34,0.0,5.06,32.7,27.85,63.92
20130629,27.75,36.28,0.02,3.15,33.15,28.03,63.08
20130630,27.94,35.84,0.04,3.61,33.14,28.49,65.31
20130701,27.68,37.11,5.09,2.73,32.7,28.23,67.1
20130702,27.69,37.08,4.16,3.97,29.87,28.29,73.79
20130703,25.77,37.53,0.13,2.93,31.73,25.99,70.8
20130704,27.72,36.55,0.09,3.88,32.22,28.77,71.89
20130705,26.79,37.32,0.0,2.95,33.26,28.49,69.96
20130706,28.18,37.15,0.0,3.43,34.06,28.49,65.6
20130707,28.0,36.87,0.1,3.85,32.99,29.04,64.41
20130708,24.8,37.55,6.82,6.8,30.63,27.8,76.1
20130709,17.45,37.33,14.6,3.13,29.92,27.55,77.12
20130710,23.46,37.27,0.36,2.54,30.61,26.74,68.77
20130711,27.84,36.71,0.21,2.62,31.16,27.68,66.19
20130712,27.27,37.41,4.1,2.13,31.92,28.27,64.88
20130713,27.92,37.09,0.15,2.87,32.16,28.77,65.18
20130714,27.27,37.03,0.01,2.69,31.74,28.83,66.98
20130715,25.87,37.77,0.97,3.47,30.59,28.22,75.65
20130716,25.49,37.84,6.63,2.96,31.75,28.88,73.35
20130717,20.71,37.67,10.64,2.43,30.15,26.86,78.97
20130718,19.5,38.06,2.61,3.62,30.41,26.36,75.82
20130719,20.58,38.04,2.46,4.19,30.45,28.06,66.11
20130720,21.54,36.89,1.61,4.12,31.02,27.7,67.55
20130721,26.91,36.02,0.13,3.89,31.08,27.51,65.63
20130722,28.26,36.15,0.0,3.1,31.94,27.95,60.72
20130723,27.75,36.37,0.39,2.38,32.46,28.24,63.92
20130724,21.79,37.52,1.57,3.56,29.52,27.6,69.73
