DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20160101,14.74,24.22,0.0,1.37,25.51,8.4,45.0
20160102,15.52,24.22,0.0,1.26,26.67,8.91,46.93
20160103,15.59,24.31,0.0,1.52,27.38,10.23,38.22
20160104,14.16,26.96,2.68,2.69,20.66,9.69,63.12
20160105,9.9,29.29,2.24,2.38,20.55,11.2,77.96
20160106,11.01,26.04,0.83,1.73,19.35,8.71,74.75
20160107,15.68,24.04,3.21,2.22,20.98,7.46,66.22
20160108,13.34,25.27,9.4,1.79,16.63,7.81,70.95
20160109,16.43,21.17,0.0,2.02,18.99,4.44,51.79
20160110,15.73,23.11,0.0,2.23,21.42,4.88,41.59
20160111,16.12,23.05,0.0,2.1,20.87,6.87,45.15
20160112,16.03,23.56,0.0,1.79,23.17,5.52,41.1
20160113,16.31,23.45,0.0,1.51,23.8,6.3,40.82
20160114,16.65,22.88,0.0,1.67,24.11,7.22,41.22
20160115,16.18,22.75,0.0,1.8,23.06,6.54,40.57
20160116,16.36,23.31,0.0,1.76,23.97,6.41,37.87
20160117,15.79,24.65,0.0,2.35,28.17,8.03,31.84
20160118,16.47,23.73,0.0,2.24,28.07,8.14,29.31
20160119,16.68,25.24,0.0,1.7,29.27,12.95,27.66
20160120,17.35,24.38,0.0,1.61,28.92,13.65,30.21
20160121,17.49,23.8,0.0,2.53,28.57,10.52,29.87
20160122,17.6,24.43,0.0,2.13,31.33,9.27,26.87
20160123,17.19,25.77,0.0,1.63,31.02,11.35,23.73
20160124,17.56,23.72,0.0,2.02,25.47,8.95,37.16
20160125,15.46,23.53,0.0,1.7,24.7,9.82,33.89
20160126,17.32,23.14,0.0,1.71,24.2,7.61,33.69
20160127,18.29,22.6,0.0,3.17,25.9,8.57,29.02
20160128,17.76,23.97,0.0,2.09,27.54,6.44,25.62
20160129,18.07,24.37,0.0,1.47,29.35,9.85,23.8
20160130,18.18,24.26,0.0,2.21,27.61,11.1,24.4
20160131,18.4,24.74,0.22,2.45,28.17,9.88,33.71
20160201,11.15,26.34,3.69,3.01,18.94,7.18,62.65
20160202,19.09,21.44,0.0,2.42,18.34,4.44,38.91
20160203,19.47,20.69,0.0,3.24,20.25,2.73,21.49
20160204,19.24,21.89,0.0,2.85,25.9,4.79,21.41
20160205,19.69,23.6,0.0,2.58,28.07,7.66,21.2
20160206,18.33,26.05,0.0,2.18,30.91,8.63,17.86
20160207,15.95,27.75,0.0,1.67,29.58,14.59,18.52
20160208,13.45,29.5,0.0,1.52,30.12,15.43,19.79
20160209,18.96,26.7,0.0,1.58,33.14,11.67,22.58
20160210,19.6,26.19,0.0,1.75,33.55,13.1,22.41
20160211,19.13,26.71,0.0,2.46,34.4,14.52,20.14
20160212,20.23,25.92,0.0,1.79,35.58,15.09,17.17
20160213,19.69,26.7,0.0,1.96,35.85,14.61,15.63
20160214,18.91,25.97,0.0,1.57,33.91,18.06,14.19
20160215,21.07,24.88,0.0,1.77,35.73,13.71,13.4
20160216,21.14,25.12,0.0,1.68,35.05,14.11,15.31
20160217,21.08,25.48,0.0,1.92,34.78,14.44,16.46
20160218,20.65,25.94,0.0,2.18,33.64,14.62,17.63
20160219,12.75,30.64,0.0,1.94,33.19,17.89,17.31
20160220,15.2,30.7,0.0,1.7,33.38,19.52,19.35
20160221,20.94,27.41,0.0,1.9,34.29,17.93,21.65
20160222,22.12,25.28,0.0,2.73,33.97,15.91,15.84
20160223,21.4,24.94,0.0,2.95,32.43,12.92,13.13
20160224,19.92,25.6,0.0,1.98,31.97,12.6,12.94
20160225,18.09,26.61,0.0,1.81,33.05,14.75,12.56
20160226,22.34,25.24,0.0,1.94,34.51,13.09,13.73
20160227,21.34,25.82,0.0,1.73,33.5,13.58,13.3
20160228,22.52,25.99,0.0,1.92,32.71,16.28,17.27
20160229,22.55,25.82,0.0,1.68,33.68,13.95,16.36
20160301,23.46,25.4,0.0,1.82,36.35,14.53,12.45
20160302,23.34,25.87,0.0,2.08,36.47,16.88,10.75
20160303,23.3,25.7,0.0,2.0,37.14,15.19,11.85
20160304,22.7,27.19,0.0,2.12,36.34,16.04,13.57
20160305,19.74,26.59,0.22,1.71,32.7,16.46,17.2
20160306,20.54,26.87,0.0,2.15,30.21,15.89,20.32
20160307,17.29,27.63,0.7,2.86,25.89,12.24,45.3
20160308,10.43,28.9,12.23,2.01,13.93,7.8,66.69
20160309,23.4,24.95,0.0,2.23,26.64,5.58,42.98
20160310,24.46,25.23,0.0,1.74,31.29,9.81,31.45
20160311,23.18,26.42,0.0,2.04,29.71,10.82,38.58
20160312,24.93,24.88,0.0,1.68,28.9,13.27,38.19
20160313,21.51,26.38,0.0,1.88,31.36,10.62,28.89
20160314,24.87,24.28,0.0,1.84,32.71,11.18,23.68
20160315,25.73,24.4,0.0,1.77,33.79,11.82,21.77
20160316,25.62,24.6,0.0,1.84,34.4,13.24,25.9
20160317,25.48,25.19,0.0,1.69,33.42,13.91,29.25
20160318,24.2,27.7,0.0,2.02,31.17,13.75,39.46
20160319,25.02,27.31,0.0,2.0,34.22,14.6,37.95
20160320,25.19,27.24,0.0,2.14,35.88,14.42,34.69
20160321,26.06,26.69,0.0,2.14,36.71,16.24,17.94
20160322,26.07,26.32,0.0,3.04,34.37,16.25,19.61
20160323,25.06,26.23,0.0,2.52,30.84,12.89,37.87
20160324,26.05,25.45,0.0,2.25,30.68,11.92,32.62
20160325,27.03,24.27,0.0,1.72,31.57,12.07,19.28
20160326,26.53,25.48,0.0,2.71,30.7,11.99,26.84
20160327,26.76,26.29,0.0,2.25,32.28,13.5,34.18
20160328,26.61,26.68,0.0,3.0,30.85,13.81,43.04
20160329,22.92,27.73,0.0,3.08,24.17,12.12,51.42
20160330,23.35,27.24,0.0,2.59,25.67,11.49,49.69
20160331,23.5,26.19,0.0,2.58,24.32,10.25,40.2
20160401,27.52,24.35,0.0,2.34,27.59,9.03,24.8
20160402,27.48,25.66,0.0,2.11,32.55,12.0,16.18
20160403,27.67,26.58,0.0,2.25,35.06,13.83,18.33
20160404,28.01,25.91,0.0,1.91,36.5,14.32,17.64
20160405,20.1,28.7,0.0,2.06,34.64,16.15,19.78
20160406,16.23,30.93,0.0,2.28,37.93,17.81,12.0
20160407,7.01,31.76,0.53,2.45,32.42,18.58,28.98
20160408,26.57,28.64,0.0,2.89,30.95,16.3,41.52
20160409,28.56,27.06,0.0,2.47,33.46,14.55,30.83
20160410,24.94,27.69,0.0,3.13,27.37,13.54,53.76
20160411,28.32,27.09,0.0,2.41,30.9,13.0,43.61
20160412,28.01,27.15,0.0,1.78,30.77,13.21,36.93
20160413,28.73,26.97,0.0,2.07,35.2,14.56,25.48
20160414,29.22,26.66,0.0,2.35,35.69,17.03,22.29
20160415,28.94,26.7,0.0,3.58,31.99,14.56,36.64
20160416,27.74,26.64,0.0,2.2,31.31,15.47,28.73
20160417,29.91,25.0,0.0,1.83,31.75,12.77,14.1
20160418,29.89,25.26,0.0,2.01,35.42,13.53,14.98
20160419,29.95,26.18,0.0,2.16,35.7,15.09,16.48
20160420,30.09,25.92,0.0,2.16,36.88,15.95,16.51
20160421,29.57,26.76,0.0,2.36,36.93,16.13,17.95
20160422,22.39,30.43,0.0,2.97,34.98,17.32,24.45
20160423,28.88,28.34,0.0,3.33,33.62,15.78,38.81
20160424,29.59,27.55,0.0,3.43,33.12,14.9,37.36
20160425,29.39,27.7,0.0,3.12,32.58,14.82,43.62
20160426,30.16,25.62,0.0,2.8,31.05,12.97,39.07
20160427,30.78,25.02,0.0,2.82,31.47,13.69,23.95
20160428,29.97,26.06,0.0,3.4,30.75,12.69,38.7
20160429,30.62,25.29,0.0,2.05,30.74,12.9,34.53
20160430,30.55,25.08,0.0,3.41,30.59,12.54,33.35
20160501,29.6,27.22,0.0,2.49,30.18,13.74,41.01
20160502,30.19,27.25,0.0,2.24,33.72,13.97,23.97
20160503,30.68,26.95,0.0,1.94,37.05,16.36,17.45
20160504,30.66,27.2,0.0,2.7,36.58,17.37,17.24
20160505,26.73,28.98,0.0,3.01,32.38,18.3,29.77
20160506,29.57,26.89,0.0,2.89,32.61,15.23,42.16
20160507,30.16,26.24,0.0,2.68,31.05,14.43,30.63
20160508,30.76,25.88,0.0,2.6,30.68,14.09,31.1
20160509,31.16,26.18,0.0,2.08,32.78,14.81,28.81
20160510,31.1,26.93,0.0,2.48,34.52,15.23,27.1
20160511,31.04,27.7,0.0,2.11,36.78,16.87,20.96
20160512,30.25,30.01,0.0,2.18,40.28,18.75,16.59
20160513,26.64,31.52,0.0,2.13,37.32,20.5,20.78
20160514,27.43,32.35,0.0,2.69,39.73,21.27,26.2
20160515,28.75,30.43,0.0,3.51,37.44,21.31,25.48
20160516,24.47,30.79,0.0,3.68,34.38,19.18,40.95
20160517,30.92,27.54,0.0,2.96,33.38,16.56,42.93
20160518,31.1,27.31,0.0,2.76,33.58,16.78,32.23
20160519,31.39,27.67,0.0,2.38,35.46,16.9,24.89
20160520,31.83,27.11,0.0,3.02,35.33,16.67,27.29
20160521,28.51,29.96,0.0,3.01,35.61,17.28,34.66
20160522,29.98,28.74,0.0,2.71,36.49,17.54,31.82
20160523,31.3,27.04,0.0,2.84,36.01,17.64,23.55
20160524,23.55,29.79,0.0,2.55,33.19,17.92,27.35
20160525,26.51,29.08,0.0,3.18,36.07,17.55,26.47
20160526,31.87,26.2,0.0,2.64,33.54,15.23,29.73
20160527,32.35,25.51,0.0,2.16,35.81,15.62,22.31
20160528,31.22,27.8,0.0,2.83,36.45,16.64,15.82
20160529,25.03,32.42,0.0,2.71,37.78,21.35,23.35
20160530,28.1,31.85,0.01,3.07,37.82,20.84,34.7
20160531,27.38,29.97,0.0,2.87,35.94,19.61,30.31
20160601,31.16,28.29,0.0,1.34,37.28,17.52,22.8
20160602,30.85,29.88,0.0,2.48,41.18,20.77,18.27
20160603,31.01,30.76,0.0,2.28,44.33,20.88,20.6
20160604,30.45,32.23,0.0,2.39,46.47,23.32,11.55
20160605,27.87,33.8,0.32,3.13,43.39,24.02,20.51
20160606,28.59,34.7,0.21,3.38,41.27,25.41,28.16
20160607,28.7,33.92,0.01,3.29,39.23,24.39,40.1
20160608,28.83,34.14,0.13,3.16,38.45,23.24,40.16
20160609,22.03,34.71,0.59,2.21,33.39,24.07,52.4
20160610,28.39,33.82,0.08,3.22,36.83,23.16,45.9
20160611,27.98,32.85,0.45,2.89,38.16,22.39,34.56
20160612,30.35,30.8,0.0,2.76,40.57,22.2,22.73
20160613,31.12,30.39,0.0,2.62,40.28,22.53,22.38
20160614,31.47,29.71,0.0,2.59,40.18,22.08,18.39
20160615,30.84,30.24,0.0,2.7,39.35,21.27,19.83
20160616,30.56,31.1,0.0,2.44,40.18,21.03,25.63
