DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20150101,13.41,21.05,0.0,1.33,12.19,0.67,43.03
20150102,13.52,21.7,0.0,2.03,15.12,0.2,34.59
20150103,13.46,22.27,0.0,0.97,15.9,2.21,33.78
20150104,13.28,23.74,0.0,1.52,17.74,2.48,37.89
20150105,13.47,24.61,0.0,1.96,22.9,4.06,37.42
20150106,13.45,25.55,0.0,1.77,24.49,6.52,33.16
20150107,10.87,28.08,0.0,1.6,24.32,8.01,36.71
20150108,6.88,30.42,0.0,1.16,24.43,14.81,36.52
20150109,12.87,27.71,0.0,1.16,25.07,8.69,51.57
20150110,11.25,29.47,0.0,1.65,24.05,10.43,62.53
20150111,7.98,30.38,1.72,1.33,22.1,11.35,69.31
20150112,10.31,29.12,0.26,0.77,21.82,12.94,71.08
20150113,12.48,26.81,0.0,1.84,22.58,10.34,58.81
20150114,14.22,24.69,0.0,2.37,21.83,7.59,40.77
20150115,14.14,25.27,0.0,1.94,23.06,7.31,41.65
20150116,14.76,24.9,0.0,1.7,24.74,6.86,33.63
20150117,14.58,24.98,0.0,1.29,23.92,7.83,31.98
20150118,13.7,26.2,0.0,1.38,22.97,9.21,31.81
20150119,14.53,25.63,0.0,1.28,25.52,9.98,31.98
20150120,13.45,27.05,0.0,1.07,26.38,9.19,35.2
20150121,14.41,26.36,0.0,3.3,24.54,9.53,39.54
20150122,15.41,23.45,0.0,2.8,22.2,7.48,19.7
20150123,13.1,25.74,0.0,1.96,20.87,7.83,23.47
20150124,15.44,25.21,0.0,2.96,24.8,7.99,21.15
20150125,10.57,28.08,0.0,2.11,25.76,8.13,24.81
20150126,5.27,30.75,3.32,2.36,23.61,13.2,50.03
20150127,12.22,29.64,0.1,1.08,23.35,11.46,70.79
20150128,11.14,29.34,0.0,1.53,24.65,10.77,65.6
20150129,6.52,30.7,0.56,1.16,23.34,13.52,55.36
20150130,10.56,30.63,0.71,1.52,22.07,13.19,72.07
20150131,12.1,29.08,0.17,1.43,20.2,11.34,67.8
20150201,16.07,26.76,0.0,1.52,24.91,11.05,46.05
20150202,15.46,27.5,0.0,1.13,26.43,10.89,36.54
20150203,16.52,26.21,0.0,0.98,27.95,9.88,30.95
20150204,16.28,26.67,0.0,1.14,28.73,11.14,32.21
20150205,16.71,26.79,0.0,1.1,28.98,10.84,34.9
20150206,16.64,27.04,0.0,1.66,30.19,11.13,33.77
20150207,17.81,25.8,0.0,1.09,28.89,11.78,35.44
20150208,16.83,28.91,0.0,1.43,30.97,13.95,50.15
20150209,17.04,28.68,0.0,1.35,31.95,14.62,46.6
20150210,17.91,27.19,0.0,2.47,30.38,11.75,31.08
20150211,18.12,26.42,0.0,3.26,28.82,12.32,23.74
20150212,18.15,27.19,0.0,3.13,28.32,12.55,26.32
20150213,17.74,27.72,0.0,2.29,29.21,12.02,28.74
20150214,17.27,29.26,0.0,0.89,30.6,15.07,26.86
20150215,15.3,30.43,0.0,2.39,27.49,15.18,48.15
20150216,17.18,28.79,0.0,2.1,29.66,12.8,63.78
20150217,18.1,28.2,0.0,1.14,28.01,12.2,46.88
20150218,16.49,28.94,0.0,0.94,30.38,11.52,20.44
20150219,18.08,28.93,0.0,0.76,30.53,15.61,21.0
20150220,13.12,29.76,0.0,1.0,26.67,16.15,38.08
20150221,15.0,29.19,0.0,1.2,26.99,12.53,43.17
