DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20200101,14.59,24.52,0.0,1.61,19.74,6.47,74.26
20200102,14.62,23.89,0.0,1.82,17.86,6.21,64.8
20200103,15.34,22.0,0.0,2.45,18.4,3.33,57.39
20200104,15.33,22.91,0.0,2.46,24.01,5.46,46.73
20200105,15.38,23.99,0.0,1.84,26.27,7.57,49.05
20200106,15.66,23.33,0.0,3.18,25.13,8.15,54.51
20200107,15.23,23.25,0.0,3.42,25.01,6.96,45.97
20200108,13.28,24.74,0.0,1.62,20.14,9.2,50.1
20200109,15.63,22.85,0.0,2.33,19.17,4.7,64.29
20200110,15.39,23.08,0.0,2.46,17.13,4.45,69.94
20200111,15.88,21.78,0.0,2.41,19.74,2.8,51.36
20200112,15.15,23.14,0.0,1.53,22.86,5.03,43.45
20200113,16.19,22.55,0.0,1.33,24.41,6.96,38.63
20200114,14.36,25.37,0.0,1.38,24.9,7.53,43.18
20200115,7.13,27.6,0.0,1.05,19.86,12.37,46.27
20200116,3.24,29.45,1.04,1.32,21.69,9.54,52.88
20200117,16.17,24.12,0.0,1.61,24.01,8.62,67.13
20200118,16.74,23.39,0.0,2.47,25.66,8.37,55.09
20200119,15.86,25.85,0.0,2.23,26.54,10.6,50.82
20200120,14.83,27.23,0.0,2.01,25.47,11.29,53.66
20200121,3.42,28.63,4.33,1.49,16.27,11.15,68.07
20200122,15.47,25.8,0.01,1.6,21.18,7.85,73.69
20200123,16.42,25.16,0.0,1.88,23.77,8.73,63.12
20200124,15.25,26.33,0.0,1.67,23.92,8.47,59.14
20200125,16.01,25.86,0.0,1.53,24.04,12.27,59.79
20200126,16.73,25.19,0.0,1.53,24.53,10.08,63.11
20200127,17.03,24.69,0.0,1.69,24.05,10.19,55.74
20200128,17.76,23.22,0.0,2.43,23.47,6.58,49.51
20200129,17.62,23.24,0.0,2.06,22.46,6.4,49.49
20200130,17.72,23.62,0.0,1.56,21.54,6.03,55.86
20200131,18.16,23.04,0.0,3.52,23.06,7.67,45.4
20200201,17.92,23.89,0.0,3.83,27.49,8.22,37.83
20200202,16.94,25.94,0.0,2.43,25.43,9.22,48.85
20200203,13.86,27.74,0.25,3.2,21.28,9.15,76.08
20200204,10.03,25.73,0.28,2.6,15.84,1.04,61.99
20200205,18.96,19.67,0.0,2.65,14.74,-2.0,46.29
20200206,18.76,21.52,0.0,1.84,18.98,-0.11,47.45
20200207,19.02,23.49,0.0,1.69,24.74,4.59,49.07
20200208,18.9,23.96,0.0,1.9,25.53,7.25,46.46
20200209,11.43,26.59,0.0,2.66,19.9,7.31,64.31
20200210,7.58,28.99,8.09,3.61,19.19,7.29,83.12
20200211,9.57,27.75,2.64,1.82,14.68,5.54,80.72
20200212,17.09,24.24,0.07,1.09,18.66,5.22,65.26
20200213,20.09,23.25,0.0,1.69,22.56,5.62,46.17
20200214,19.27,24.65,0.0,1.36,24.36,7.1,43.72
20200215,19.2,25.9,0.0,1.18,24.82,9.64,45.04
20200216,16.55,26.7,0.0,1.57,26.65,9.28,45.24
20200217,12.79,28.03,0.0,1.41,25.54,10.61,44.0
20200218,15.49,27.88,0.0,1.59,27.08,10.22,42.8
20200219,13.54,28.59,0.0,1.82,26.78,12.76,43.98
20200220,20.07,26.82,0.0,1.75,29.91,10.6,42.1
20200221,11.41,30.8,0.0,1.8,29.57,15.83,46.15
20200222,8.48,31.18,1.04,2.83,25.58,15.01,62.98
20200223,17.6,26.5,0.01,2.59,22.07,9.34,60.48
20200224,21.84,24.27,0.0,3.03,26.47,8.19,48.01
20200225,22.43,23.25,0.0,4.52,26.59,8.73,35.31
20200226,23.08,21.71,0.0,5.32,24.95,6.02,27.95
20200227,18.53,24.89,0.0,4.23,27.43,5.36,30.82
20200228,16.14,28.14,0.0,2.52,28.84,10.38,32.57
20200229,17.39,27.21,0.0,2.14,28.06,13.76,32.76
20200301,14.45,27.68,0.0,2.16,21.14,11.21,50.49
20200302,7.58,29.02,5.92,2.76,20.75,9.12,68.48
20200303,16.63,26.08,1.73,1.13,15.92,6.76,67.01
20200304,22.92,24.37,0.0,1.4,23.94,4.28,56.68
20200305,20.37,26.17,0.0,2.91,29.14,9.3,44.57
20200306,21.72,26.7,0.0,2.78,29.78,12.37,43.0
20200307,18.67,27.54,0.21,2.46,27.6,11.97,49.23
20200308,3.44,29.2,11.65,2.11,18.18,11.3,78.06
20200309,20.28,27.18,0.0,1.97,26.86,10.16,65.91
20200310,12.21,30.02,0.18,1.3,28.14,14.62,51.92
20200311,14.65,31.65,3.15,1.31,24.89,16.59,63.86
20200312,4.8,31.65,29.26,2.56,22.74,13.45,81.4
20200313,19.98,27.69,0.51,2.52,21.16,11.16,68.16
20200314,24.66,24.89,0.0,1.92,24.59,8.55,59.98
20200315,23.97,25.31,0.0,1.73,25.5,11.18,54.31
20200316,24.88,24.99,0.0,2.11,25.67,10.55,49.96
20200317,21.32,26.37,0.0,2.24,23.37,12.43,55.59
20200318,7.98,29.05,31.54,4.13,16.98,8.35,84.11
20200319,19.85,24.88,0.02,1.62,20.2,7.01,70.64
20200320,23.97,24.55,0.0,1.48,23.43,6.57,52.69
20200321,25.85,24.79,0.0,1.81,25.04,10.82,46.98
20200322,24.6,25.12,0.0,1.48,26.36,9.51,46.76
20200323,25.6,25.08,0.0,1.83,26.85,13.35,40.5
20200324,26.29,25.14,0.0,1.67,26.69,11.31,44.89
20200325,25.75,26.5,0.0,2.23,30.14,11.39,40.85
20200326,18.09,29.38,0.0,1.78,26.47,14.56,47.91
20200327,26.51,24.92,0.07,3.02,20.65,7.42,51.64
20200328,27.53,22.64,0.0,2.68,25.22,5.2,37.35
20200329,19.59,26.46,0.0,1.98,25.69,8.43,39.93
20200330,22.95,25.56,0.0,1.68,26.72,9.22,40.15
20200331,17.2,29.17,0.0,2.1,28.65,11.71,44.07
20200401,23.62,28.78,0.0,2.44,27.85,13.51,48.78
20200402,27.05,26.17,0.0,2.53,29.25,11.25,44.39
20200403,23.65,27.21,0.0,2.25,28.26,12.56,44.46
20200404,24.54,25.84,0.0,2.46,26.32,11.92,44.59
20200405,27.36,25.89,0.0,2.52,27.48,10.25,43.12
20200406,19.12,27.62,0.0,2.79,25.56,12.79,52.48
20200407,26.87,27.0,0.0,2.6,27.95,12.14,54.39
20200408,23.58,27.62,0.0,2.99,26.58,13.57,51.4
20200409,28.37,24.86,0.0,2.37,25.78,9.71,49.44
20200410,29.02,24.33,0.0,2.63,24.96,9.8,43.71
20200411,23.77,26.4,0.22,2.84,21.8,9.3,59.15
20200412,28.43,25.01,0.0,1.72,24.78,7.45,54.92
20200413,28.51,25.52,0.0,2.55,25.81,10.9,52.13
20200414,28.62,25.99,0.0,2.02,28.9,9.86,46.33
20200415,29.24,25.63,0.0,2.19,29.88,11.22,36.51
20200416,25.54,25.96,0.0,2.25,28.56,15.09,29.92
20200417,28.82,25.66,0.0,3.19,28.53,12.61,39.08
20200418,29.24,25.18,0.0,3.03,27.88,10.33,42.18
