DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20060101,14.94,24.6,0.0,1.53,24.26,8.7,25.6
20060102,15.0,24.82,0.0,1.33,26.88,9.69,26.38
20060103,13.86,25.7,0.0,1.27,27.73,11.5,24.77
20060104,14.74,24.07,0.0,2.1,29.44,8.91,21.32
20060105,15.76,23.51,0.0,3.18,28.64,8.58,19.79
20060106,15.83,23.84,0.0,1.97,30.43,7.82,17.76
20060107,14.68,26.23,0.0,1.6,28.31,8.95,19.88
20060108,14.38,26.15,0.0,1.56,26.95,11.91,19.9
20060109,15.6,23.32,0.0,1.31,25.66,9.18,22.47
20060110,15.96,22.97,0.0,1.72,26.88,5.56,18.13
20060111,12.87,24.33,0.0,1.19,22.6,10.97,17.58
20060112,16.29,21.42,0.0,1.38,24.71,7.9,14.49
20060113,14.52,24.07,0.0,1.48,28.39,6.33,12.85
20060114,5.37,29.43,0.0,1.4,24.21,11.9,20.0
20060115,10.95,26.49,0.09,2.47,21.15,7.66,31.77
20060116,13.25,21.68,0.0,1.81,13.32,2.14,35.38
20060117,17.01,20.56,0.0,1.92,22.94,-1.96,19.89
20060118,16.07,22.71,0.0,1.47,25.64,4.77,13.77
20060119,16.84,21.99,0.0,2.57,22.98,6.48,18.42
20060120,16.71,21.62,0.0,1.14,21.63,4.52,23.16
20060121,16.65,22.0,0.0,1.4,22.44,3.68,20.73
20060122,17.58,20.98,0.0,1.01,22.33,5.73,15.39
20060123,14.2,24.25,0.0,1.25,22.99,3.99,14.66
20060124,11.32,26.69,0.5,2.15,24.3,7.96,38.76
20060125,13.47,26.34,0.1,2.17,25.55,11.64,37.52
20060126,16.12,23.12,0.0,1.67,23.89,10.0,26.21
20060127,10.48,23.23,0.0,1.99,23.05,7.5,13.72
20060128,18.03,21.41,0.0,1.31,22.08,4.21,14.25
20060129,17.44,22.99,0.0,1.54,24.54,6.1,14.59
20060130,18.01,23.71,0.0,1.23,28.07,6.95,19.51
20060131,16.63,23.81,0.0,2.42,24.42,10.01,24.62
20060201,15.3,23.3,0.0,1.37,23.83,5.36,30.76
20060202,17.98,23.56,0.0,1.46,26.34,7.93,16.63
20060203,18.3,24.13,0.0,2.02,28.62,8.47,17.82
20060204,19.16,23.43,0.0,1.94,31.89,7.42,18.07
20060205,16.78,25.88,0.0,2.33,26.76,9.87,17.75
20060206,17.79,23.46,0.0,2.13,27.73,9.73,18.73
20060207,13.53,26.71,0.0,1.71,25.26,7.81,15.71
20060208,18.34,25.69,0.0,1.85,28.8,7.93,20.01
20060209,13.09,29.17,1.2,2.59,23.35,11.53,38.44
20060210,18.56,25.2,0.94,1.3,23.56,8.91,43.93
20060211,20.29,22.8,0.0,2.47,27.46,6.95,21.96
20060212,20.5,23.33,0.0,2.32,29.98,6.29,16.57
20060213,18.36,24.3,0.0,1.8,28.75,6.59,14.96
20060214,18.49,24.52,0.0,2.69,26.53,11.76,17.54
20060215,20.45,23.23,0.0,2.63,25.53,8.06,26.99
20060216,20.65,23.29,0.0,1.84,25.9,8.3,26.97
20060217,8.61,28.28,0.0,1.71,22.67,12.59,28.53
20060218,9.73,29.8,1.37,2.0,24.05,13.15,42.83
20060219,11.23,28.5,0.31,1.39,21.03,11.48,53.49
20060220,18.66,24.99,0.0,2.22,24.69,8.62,38.41
20060221,10.14,28.2,0.14,1.91,22.31,9.72,30.02
20060222,15.08,26.73,0.02,2.0,22.23,9.33,31.35
20060223,12.66,28.9,1.12,1.47,19.96,11.06,53.42
20060224,19.16,24.84,0.0,2.18,24.32,11.17,38.79
20060225,20.63,23.42,0.0,1.19,27.14,6.45,16.0
20060226,20.09,25.85,0.0,1.87,28.81,9.03,17.29
20060227,21.91,24.93,0.0,1.36,30.31,11.05,17.16
20060228,20.24,27.91,0.0,1.51,32.74,12.89,17.25
20060301,19.34,29.42,0.0,1.76,29.93,15.37,24.19
20060302,22.15,26.72,0.0,1.91,29.98,13.93,30.89
20060303,15.79,27.91,0.0,2.26,29.47,13.25,28.36
20060304,22.86,24.87,0.0,2.59,28.59,12.41,24.17
20060305,21.7,23.91,0.0,1.7,30.14,10.35,15.11
20060306,23.13,24.54,0.0,1.91,31.32,11.01,11.82
20060307,15.07,27.98,0.0,1.72,26.72,12.77,25.97
20060308,21.84,24.3,0.0,3.17,22.79,9.62,35.41
20060309,22.51,22.92,0.47,2.47,23.27,4.47,24.99
20060310,18.52,25.58,0.0,3.77,19.82,4.96,48.09
20060311,21.5,24.13,0.01,3.73,19.22,5.33,55.79
20060312,21.14,24.31,0.08,2.66,19.07,6.68,48.5
20060313,24.83,22.24,0.0,1.24,24.0,4.21,29.63
20060314,21.89,26.37,0.0,1.74,29.09,8.48,14.4
20060315,14.07,28.48,0.0,1.38,26.35,14.01,16.16
20060316,22.93,25.37,0.0,2.04,29.49,10.86,15.71
20060317,15.45,27.57,0.0,1.78,25.05,12.53,16.57
20060318,14.61,26.52,0.01,3.23,20.15,8.64,32.68
20060319,17.94,26.37,0.59,3.78,16.47,6.62,59.45
20060320,22.71,24.48,0.06,1.37,19.55,4.69,47.39
20060321,25.71,22.91,0.0,2.51,23.84,4.98,28.38
20060322,26.6,22.26,0.0,1.67,23.35,5.64,26.46
20060323,24.09,25.06,0.0,2.16,29.49,6.7,12.45
20060324,24.54,25.47,0.0,1.73,28.77,9.16,16.64
20060325,25.71,24.75,0.0,2.27,30.03,9.81,15.33
