DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20190101,9.18,26.63,1.01,2.1,12.45,2.39,68.52
20190102,14.29,21.3,0.7,2.35,8.58,-0.98,52.84
20190103,14.73,21.2,0.04,2.7,19.43,-1.17,47.51
20190104,15.18,22.59,0.0,2.37,23.66,4.36,29.41
20190105,8.87,27.43,2.11,2.18,20.54,8.33,36.96
20190106,7.12,28.51,13.22,1.8,13.86,7.07,84.24
20190107,13.9,24.88,0.0,1.48,21.76,4.33,62.69
20190108,13.95,25.7,0.0,2.54,25.09,9.96,47.04
20190109,13.11,27.5,0.0,2.0,25.89,9.62,51.88
20190110,4.3,28.7,0.77,1.35,19.97,9.9,65.74
20190111,15.32,23.24,0.0,1.68,20.86,6.45,64.68
20190112,13.63,24.51,0.02,2.57,18.77,5.58,52.09
20190113,9.84,27.46,2.89,1.62,17.69,8.34,71.11
20190114,11.34,26.98,0.0,1.57,19.19,9.05,70.1
20190115,11.57,26.84,0.0,2.33,19.41,7.11,67.49
20190116,13.26,27.29,0.0,1.25,21.49,9.2,65.79
20190117,15.43,25.99,0.0,2.37,23.6,9.93,54.05
20190118,14.94,25.84,0.0,2.51,22.36,9.08,53.71
20190119,16.38,23.3,0.0,3.25,23.76,5.63,42.91
20190120,16.05,24.2,0.0,3.08,27.37,8.79,30.86
20190121,14.97,24.93,0.0,2.99,22.83,5.74,48.39
20190122,16.26,21.27,0.0,2.69,14.76,2.55,47.39
20190123,17.09,21.32,0.0,2.78,19.19,1.93,36.36
20190124,16.84,23.07,0.0,2.28,22.92,4.12,32.99
20190125,17.4,22.36,0.0,3.02,24.77,5.79,28.68
20190126,17.36,22.74,0.0,3.06,22.55,3.9,30.4
20190127,17.38,23.11,0.0,2.86,25.56,7.09,27.46
20190128,16.22,25.19,0.0,2.04,24.28,9.05,30.89
20190129,13.06,27.6,0.0,1.67,23.54,10.29,36.83
20190130,14.51,26.31,0.0,2.12,23.33,9.27,41.87
20190131,15.58,25.44,0.0,2.38,22.85,7.82,51.77
20190201,14.33,27.0,0.38,2.04,20.4,7.48,67.13
20190202,8.1,28.96,2.75,2.17,21.45,9.6,65.07
20190203,10.65,29.73,3.11,2.4,20.11,10.38,65.95
20190204,9.11,28.96,3.29,3.03,18.45,10.42,81.45
20190205,10.76,27.3,0.45,2.74,15.94,8.81,77.38
20190206,15.27,24.44,1.04,3.38,14.58,2.6,68.93
20190207,19.44,20.56,0.0,2.18,19.06,-0.27,38.25
20190208,19.45,22.18,0.0,2.35,23.15,2.43,29.22
20190209,6.59,26.92,0.0,2.86,21.22,7.93,31.76
20190210,7.99,27.79,1.07,2.54,20.35,7.75,51.29
