DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20220101,10.33,22.63,3.36,4.68,10.16,-2.88,68.67
20220102,15.02,18.17,0.0,4.53,13.38,-3.62,33.66
20220103,13.6,20.03,0.0,2.62,19.67,0.0,27.07
20220104,14.84,20.49,0.0,1.54,19.56,6.68,22.12
20220105,14.68,21.25,0.0,1.63,20.54,2.98,30.21
20220106,14.61,21.82,0.0,1.38,22.84,3.56,35.17
20220107,14.69,22.15,0.0,2.2,20.25,6.42,39.44
20220108,12.54,23.15,0.0,2.81,16.45,3.3,64.8
20220109,10.68,24.02,0.0,1.86,18.19,4.42,60.44
20220110,14.53,21.19,0.0,6.03,15.94,3.53,55.3
20220111,11.07,22.78,0.0,4.32,15.24,2.13,52.33
20220112,11.14,22.53,0.0,2.31,18.57,2.35,45.62
20220113,14.32,22.24,0.0,1.45,21.95,2.05,37.38
20220114,10.95,25.95,0.0,2.2,21.61,8.25,33.23
20220115,12.53,22.31,0.0,4.62,15.44,4.85,34.92
20220116,14.5,23.37,0.0,2.31,21.18,4.5,37.44
20220117,11.17,25.35,0.02,1.97,18.77,7.4,48.61
20220118,9.21,25.32,0.8,2.53,15.71,6.19,79.87
20220119,13.79,23.16,0.02,1.38,16.56,4.99,65.53
20220120,15.35,21.17,0.0,2.51,16.32,2.23,63.94
20220121,16.33,19.73,0.0,2.15,18.05,0.08,46.24
20220122,10.31,23.65,0.02,2.7,14.88,0.81,50.65
20220123,12.64,22.99,1.26,1.2,11.99,1.52,61.77
20220124,16.26,20.52,0.0,2.19,16.98,0.38,50.88
20220125,16.47,20.22,0.19,2.12,17.37,3.94,35.68
20220126,16.08,19.88,0.0,1.17,16.92,3.64,36.41
20220127,16.87,19.64,0.0,1.64,17.05,3.0,26.96
20220128,16.35,20.0,0.0,6.02,14.69,-0.31,37.38
20220129,16.7,21.58,0.0,2.95,20.63,1.84,38.45
20220130,17.0,21.71,0.0,1.99,17.08,4.26,36.8
20220131,16.27,21.61,0.0,1.49,18.83,1.52,37.86
20220201,9.07,25.52,0.0,2.68,16.79,4.29,35.84
20220202,10.36,23.8,0.25,3.23,11.32,-3.23,54.74
20220203,18.21,17.52,0.0,2.01,9.63,-5.37,33.27
20220204,18.58,17.61,0.0,6.58,10.12,-4.14,40.61
20220205,18.35,19.34,0.0,3.49,17.44,-2.7,32.65
20220206,18.65,19.62,0.0,1.78,18.04,1.95,29.98
20220207,18.85,19.18,0.0,4.76,15.24,0.19,36.77
20220208,19.14,19.76,0.0,2.67,20.42,-0.15,32.54
20220209,19.17,20.47,0.0,2.99,19.68,2.14,30.43
20220210,19.12,20.89,0.0,2.64,20.17,2.31,29.98
20220211,19.22,21.41,0.0,2.08,22.67,6.12,30.23
20220212,19.7,20.62,0.0,3.5,20.59,4.13,37.63
20220213,19.88,20.43,0.0,2.35,24.2,2.85,31.63
20220214,19.68,21.57,0.0,1.86,24.8,3.76,21.64
20220215,20.06,20.43,0.0,4.2,20.11,5.05,24.25
