DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20160101,14.74,24.22,0.0,1.42,24.15,7.67,51.24
20160102,15.52,24.22,0.0,1.13,24.59,6.35,48.74
20160103,15.59,24.31,0.0,1.29,25.25,7.69,40.18
20160104,14.16,26.96,2.21,2.47,19.36,6.87,60.36
20160105,9.9,29.29,2.49,2.41,18.02,8.19,80.03
20160106,11.01,26.04,0.3,1.92,16.16,5.78,78.92
20160107,15.68,24.04,2.52,2.5,18.66,4.46,69.54
20160108,13.34,25.27,11.05,1.72,12.24,6.52,73.16
20160109,16.43,21.17,0.0,1.55,15.5,2.55,54.52
20160110,15.73,23.11,0.0,1.37,18.36,0.91,42.88
20160111,16.12,23.05,0.0,1.54,17.88,3.97,47.95
20160112,16.03,23.56,0.0,1.6,21.14,2.66,43.16
20160113,16.31,23.45,0.0,1.58,21.85,3.08,41.72
20160114,16.65,22.88,0.0,1.77,22.09,5.77,39.0
20160115,16.18,22.75,0.0,1.91,20.43,4.97,37.37
20160116,16.36,23.31,0.0,1.31,20.92,4.81,34.64
20160117,15.79,24.65,0.0,1.64,25.08,7.42,34.25
20160118,16.47,23.73,0.0,1.57,25.44,3.15,31.31
20160119,16.68,25.24,0.0,1.28,26.43,10.74,25.78
20160120,17.35,24.38,0.0,1.4,26.23,12.15,28.53
20160121,17.49,23.8,0.0,1.69,25.82,8.24,31.01
20160122,17.6,24.43,0.0,1.96,29.18,5.77,25.84
20160123,17.19,25.77,0.0,1.71,28.86,8.56,24.97
20160124,17.56,23.72,0.0,2.21,23.11,7.78,33.85
20160125,15.46,23.53,0.0,1.89,22.02,7.52,37.36
20160126,17.32,23.14,0.0,1.51,21.59,5.38,40.24
20160127,18.29,22.6,0.0,2.26,22.57,3.25,38.14
20160128,17.76,23.97,0.0,1.61,25.82,1.63,31.79
20160129,18.07,24.37,0.0,1.29,26.69,7.45,25.66
20160130,18.18,24.26,0.0,2.14,25.27,8.94,26.5
20160131,18.4,24.74,0.0,2.16,25.52,7.46,30.95
20160201,11.15,26.34,2.43,3.31,15.95,6.34,60.12
20160202,19.09,21.44,0.0,1.6,15.73,3.34,39.94
20160203,19.47,20.69,0.0,2.02,17.53,0.44,24.54
20160204,19.24,21.89,0.0,2.38,24.91,2.0,22.63
20160205,19.69,23.6,0.0,1.76,24.71,4.37,26.09
20160206,18.33,26.05,0.0,1.93,28.97,3.16,21.05
20160207,15.95,27.75,0.0,1.29,27.7,10.86,22.87
20160208,13.45,29.5,0.0,1.28,27.39,11.64,27.54
20160209,18.96,26.7,0.0,1.57,30.1,8.12,28.86
20160210,19.6,26.19,0.0,1.81,29.98,8.84,27.61
20160211,19.13,26.71,0.0,1.61,30.81,9.45,24.77
20160212,20.23,25.92,0.0,1.49,32.33,9.43,23.0
20160213,19.69,26.7,0.0,1.73,32.97,10.57,22.34
20160214,18.91,25.97,0.0,1.5,30.63,14.93,19.83
20160215,21.07,24.88,0.0,1.53,32.12,11.49,18.23
20160216,21.14,25.12,0.0,1.51,32.91,10.15,21.33
20160217,21.08,25.48,0.0,1.84,32.75,10.87,21.11
20160218,20.65,25.94,0.0,2.03,31.33,12.5,21.13
20160219,12.75,30.64,0.0,1.78,31.09,15.03,20.81
20160220,15.2,30.7,0.0,1.35,30.62,18.13,22.3
20160221,20.94,27.41,0.0,1.17,31.76,16.66,22.89
20160222,22.12,25.28,0.0,2.38,31.14,13.79,19.09
20160223,21.4,24.94,0.0,2.03,29.06,11.22,16.97
20160224,19.92,25.6,0.0,1.8,30.55,8.5,16.88
20160225,18.09,26.61,0.0,1.54,30.94,11.88,14.19
20160226,22.34,25.24,0.0,1.59,31.77,9.92,15.16
20160227,21.34,25.82,0.0,1.74,31.86,10.26,16.33
20160228,22.52,25.99,0.0,1.88,30.74,13.62,17.97
20160229,22.55,25.82,0.0,1.57,31.35,11.9,17.27
20160301,23.46,25.4,0.0,1.31,33.4,13.2,12.66
20160302,23.34,25.87,0.0,1.84,33.73,15.07,11.66
20160303,23.3,25.7,0.0,1.53,34.98,13.37,11.54
20160304,22.7,27.19,0.0,2.05,33.98,13.99,12.56
20160305,19.74,26.59,0.06,1.79,28.71,14.43,13.96
20160306,20.54,26.87,0.0,2.26,27.97,13.11,18.75
20160307,17.29,27.63,0.43,3.29,23.19,9.71,37.47
20160308,10.43,28.9,14.58,1.77,11.0,5.26,71.36
20160309,23.4,24.95,0.0,1.82,24.35,3.4,45.48
20160310,24.46,25.23,0.0,1.64,28.9,7.06,33.87
20160311,23.18,26.42,0.0,2.06,28.72,8.19,32.67
20160312,24.93,24.88,0.01,2.19,26.29,10.97,37.31
20160313,21.51,26.38,0.0,1.84,29.24,8.71,28.6
20160314,24.87,24.28,0.0,1.52,30.35,9.69,21.91
20160315,25.73,24.4,0.0,1.49,31.47,10.45,19.31
20160316,25.62,24.6,0.0,1.53,31.76,12.33,21.21
20160317,25.48,25.19,0.0,1.38,31.04,12.21,26.31
20160318,24.2,27.7,0.02,1.59,29.58,11.98,34.36
20160319,25.02,27.31,0.02,1.59,31.68,13.46,32.32
20160320,25.19,27.24,0.0,1.43,32.93,12.64,27.34
20160321,26.06,26.69,0.0,1.88,34.23,13.07,20.9
20160322,26.07,26.32,0.0,3.26,32.06,14.43,20.5
20160323,25.06,26.23,0.0,2.93,28.08,11.37,30.71
20160324,26.05,25.45,0.0,1.91,28.97,10.55,30.45
20160325,27.03,24.27,0.0,1.82,29.16,10.84,19.45
20160326,26.53,25.48,0.0,2.27,29.14,10.38,22.04
20160327,26.76,26.29,0.0,1.86,30.71,11.98,27.02
20160328,26.61,26.68,0.0,3.06,29.32,12.45,37.56
20160329,22.92,27.73,0.0,3.53,23.67,9.83,49.35
20160330,23.35,27.24,0.0,3.01,23.92,10.07,51.66
20160331,23.5,26.19,0.0,2.93,21.96,7.35,42.49
20160401,27.52,24.35,0.0,2.04,24.81,6.91,27.91
20160402,27.48,25.66,0.0,1.99,29.61,8.89,20.61
20160403,27.67,26.58,0.0,1.94,32.47,10.38,19.66
20160404,28.01,25.91,0.0,1.67,34.7,12.35,15.96
20160405,20.1,28.7,0.0,1.84,34.26,14.12,17.97
20160406,16.23,30.93,0.0,1.58,36.59,15.74,11.17
20160407,7.01,31.76,0.52,2.37,32.23,17.7,20.53
20160408,26.57,28.64,0.0,3.08,29.31,14.35,39.24
20160409,28.56,27.06,0.0,2.36,31.77,12.4,30.04
20160410,24.94,27.69,0.13,3.53,25.32,11.54,44.33
20160411,28.32,27.09,0.0,2.29,29.35,10.63,40.16
20160412,28.01,27.15,0.0,1.58,28.32,11.73,34.64
20160413,28.73,26.97,0.0,1.52,32.62,12.47,22.89
20160414,29.22,26.66,0.0,2.19,33.99,14.33,20.69
20160415,28.94,26.7,0.0,3.66,30.25,12.69,30.98
20160416,27.74,26.64,0.0,2.47,28.28,12.7,28.78
20160417,29.91,25.0,0.0,1.78,28.98,10.75,12.33
20160418,29.89,25.26,0.0,1.76,33.06,11.55,12.26
20160419,29.95,26.18,0.0,1.98,33.88,13.46,13.48
20160420,30.09,25.92,0.0,2.1,34.65,14.62,14.86
20160421,29.57,26.76,0.0,2.24,35.74,14.53,16.07
20160422,22.39,30.43,0.0,2.77,34.96,15.87,21.29
20160423,28.88,28.34,0.0,3.12,32.51,15.29,32.62
20160424,29.59,27.55,0.0,3.2,31.88,13.84,33.49
20160425,29.39,27.7,0.0,3.37,30.69,13.1,37.7
20160426,30.16,25.62,0.0,3.09,28.44,11.18,33.2
20160427,30.78,25.02,0.0,2.95,30.09,11.12,18.58
20160428,29.97,26.06,0.0,3.62,29.1,10.8,31.53
20160429,30.62,25.29,0.0,2.28,27.85,10.24,31.55
20160430,30.55,25.08,0.0,3.45,29.3,10.56,26.25
20160501,29.6,27.22,0.0,2.72,28.43,11.11,35.0
20160502,30.19,27.25,0.0,2.18,32.11,12.07,24.09
20160503,30.68,26.95,0.0,1.88,35.28,14.59,13.03
20160504,30.66,27.2,0.0,2.55,35.88,15.33,14.74
20160505,26.73,28.98,0.0,2.47,30.76,17.34,21.46
20160506,29.57,26.89,0.0,3.62,31.21,14.18,32.73
20160507,30.16,26.24,0.0,3.03,29.93,12.89,26.56
20160508,30.76,25.88,0.0,2.99,29.02,11.43,28.94
20160509,31.16,26.18,0.0,2.14,30.92,12.44,27.83
20160510,31.1,26.93,0.0,2.41,33.13,13.81,22.88
20160511,31.04,27.7,0.0,2.03,35.43,15.78,15.9
20160512,30.25,30.01,0.0,1.79,38.26,18.02,12.25
20160513,26.64,31.52,0.0,1.74,38.27,18.03,17.33
20160514,27.43,32.35,0.0,2.62,38.31,19.44,24.63
20160515,28.75,30.43,0.0,3.64,36.11,21.16,24.1
20160516,24.47,30.79,0.06,4.21,33.26,18.39,39.26
20160517,30.92,27.54,0.0,3.23,32.24,15.21,40.12
20160518,31.1,27.31,0.0,2.93,31.9,14.93,30.52
20160519,31.39,27.67,0.0,2.18,33.61,15.16,24.81
20160520,31.83,27.11,0.0,2.81,33.83,15.75,21.58
20160521,28.51,29.96,0.0,2.7,33.64,16.51,27.43
20160522,29.98,28.74,0.0,2.69,34.85,16.37,26.65
20160523,31.3,27.04,0.0,3.07,34.87,15.93,21.79
20160524,23.55,29.79,0.0,2.95,32.36,16.37,22.8
20160525,26.51,29.08,0.0,3.5,34.84,16.4,23.31
20160526,31.87,26.2,0.0,3.12,31.96,14.32,22.33
20160527,32.35,25.51,0.0,2.09,34.2,13.9,18.01
20160528,31.22,27.8,0.02,2.8,35.14,14.89,13.12
20160529,25.03,32.42,0.0,2.8,35.99,19.81,22.44
20160530,28.1,31.85,0.13,3.28,36.14,19.8,39.04
20160531,27.38,29.97,0.32,2.96,34.36,18.77,36.96
20160601,31.16,28.29,0.09,1.32,34.44,15.98,24.98
20160602,30.85,29.88,0.03,1.94,39.41,18.41,17.16
20160603,31.01,30.76,0.03,1.85,41.96,20.88,14.58
20160604,30.45,32.23,0.0,1.79,44.28,21.64,10.36
20160605,27.87,33.8,0.79,2.26,43.89,23.36,19.81
20160606,28.59,34.7,0.23,2.88,40.52,24.12,27.03
20160607,28.7,33.92,0.0,2.73,38.87,24.3,35.09
20160608,28.83,34.14,3.08,2.58,37.14,23.24,38.82
20160609,22.03,34.71,1.94,1.7,34.72,22.41,47.69
20160610,28.39,33.82,0.92,1.92,32.44,21.96,54.03
20160611,27.98,32.85,2.39,2.2,35.5,20.92,39.87
20160612,30.35,30.8,0.0,2.44,38.46,20.82,27.18
20160613,31.12,30.39,0.0,2.32,38.36,21.25,23.7
20160614,31.47,29.71,0.0,2.35,38.4,20.62,20.88
20160615,30.84,30.24,0.0,2.46,37.9,19.71,21.78
20160616,30.56,31.1,0.0,2.15,38.7,19.79,24.9
20160617,30.31,31.55,0.0,1.99,41.04,20.52,22.65
20160618,31.06,32.46,0.0,1.79,45.52,22.18,21.95
20160619,27.9,34.42,0.0,2.33,45.19,23.7,17.02
20160620,25.63,36.08,0.57,2.16,38.72,25.06,29.0
20160621,27.39,36.12,0.08,1.34,42.33,26.52,26.74
20160622,23.8,36.77,2.39,2.15,35.27,25.07,41.6
20160623,24.7,36.67,1.48,2.2,37.84,24.14,43.11
20160624,20.54,35.97,1.02,2.39,36.2,23.84,47.45
20160625,26.76,35.47,4.74,1.07,28.63,23.87,58.91
20160626,27.1,35.25,4.63,1.1,36.68,22.08,48.51
20160627,21.0,37.66,4.02,1.29,37.87,23.14,44.93
20160628,21.31,37.52,9.23,0.8,36.76,23.8,51.0
20160629,14.85,36.15,3.6,1.79,34.46,22.84,60.96
20160630,22.12,35.58,3.76,1.38,29.41,22.84,69.23
20160701,23.34,36.0,1.96,1.93,35.82,21.13,53.04
20160702,24.56,35.46,1.74,1.95,36.9,23.19,47.7
20160703,27.46,35.18,5.35,1.44,36.49,23.25,52.76
20160704,28.04,35.34,3.34,1.82,36.19,22.56,56.26
20160705,24.83,35.47,4.97,1.69,34.97,22.87,53.69
20160706,22.87,35.44,1.54,1.35,31.7,22.61,62.81
20160707,23.57,35.51,0.02,1.91,36.39,22.05,50.3
20160708,26.59,36.12,7.16,0.76,33.82,23.61,52.58
20160709,28.65,35.86,1.57,1.49,35.04,24.14,48.7
20160710,28.94,36.43,3.19,1.7,39.35,23.29,42.07
20160711,28.92,35.68,0.61,1.89,38.9,24.31,44.0
20160712,27.82,35.68,5.9,1.53,36.73,24.31,52.44
20160713,27.75,35.56,10.9,1.86,36.19,24.37,59.48
20160714,28.74,35.22,11.38,1.68,36.2,22.55,63.16
20160715,27.41,35.3,2.34,2.1,35.94,22.96,60.43
20160716,28.23,34.4,5.02,1.28,32.13,23.23,63.82
20160717,23.99,35.92,1.87,0.92,31.31,22.74,62.62
20160718,26.88,34.81,3.86,1.28,35.67,22.04,54.83
20160719,26.71,35.13,3.57,0.97,36.22,22.72,55.0
20160720,27.01,36.3,1.48,1.09,39.76,23.28,43.38
20160721,25.65,36.33,0.52,1.55,40.11,25.38,47.12
20160722,25.52,35.68,4.46,1.33,38.75,24.62,51.38
20160723,26.3,34.48,9.54,1.2,31.54,23.88,68.87
20160724,24.28,35.09,12.74,1.11,29.46,23.06,78.4
20160725,26.68,35.68,10.57,1.24,33.42,21.8,71.79
20160726,26.36,35.58,7.91,1.27,32.83,22.68,72.0
20160727,24.81,35.65,8.43,1.1,30.64,22.93,73.63
20160728,20.85,35.49,11.36,1.29,31.95,22.28,75.9
20160729,18.08,35.94,9.06,1.4,31.18,22.23,78.55
20160730,17.68,35.29,11.55,1.67,27.24,21.35,85.13
20160731,20.48,35.06,3.03,0.91,29.07,21.02,75.12
20160801,22.82,35.27,5.42,1.2,29.41,20.7,74.05
20160802,20.77,35.71,4.63,0.73,30.15,22.12,73.49
20160803,24.81,35.48,8.55,0.93,31.28,22.22,70.5
20160804,26.15,35.55,0.1,0.76,33.26,22.85,61.43
20160805,26.59,34.86,0.61,0.97,34.34,22.05,57.57
20160806,25.89,35.93,0.26,0.97,35.11,23.37,53.66
20160807,26.46,36.15,1.73,1.24,38.29,24.28,53.27
20160808,20.67,35.44,13.04,1.11,30.04,22.82,79.28
20160809,13.0,35.47,9.57,1.57,27.55,22.04,84.56
20160810,20.23,36.06,6.77,1.26,30.06,21.25,78.54
20160811,21.06,36.27,14.11,1.49,28.43,21.0,79.85
20160812,19.05,36.72,15.84,1.17,26.74,19.73,84.74
20160813,20.73,36.47,18.66,0.99,30.19,20.53,79.87
20160814,22.22,36.08,3.12,1.18,31.9,19.8,70.84
20160815,27.15,34.23,0.15,1.42,32.53,17.48,64.92
20160816,27.07,34.5,0.21,1.27,33.41,18.47,60.27
20160817,23.74,35.32,1.3,1.36,33.3,20.78,65.71
20160818,20.84,34.88,1.89,1.24,31.89,21.98,70.68
20160819,20.61,35.37,13.09,1.03,30.5,21.56,77.81
20160820,22.32,33.82,6.24,0.68,29.9,20.93,72.99
20160821,23.25,34.17,4.74,0.74,31.18,20.68,69.91
20160822,21.4,34.23,2.32,1.15,30.67,20.74,73.72
20160823,17.89,34.7,4.04,1.27,31.53,21.89,71.45
20160824,24.17,33.4,3.11,1.15,31.28,19.68,69.67
20160825,24.12,33.56,0.6,1.19,32.1,20.91,64.93
20160826,24.33,33.45,1.25,0.8,30.6,20.94,68.9
20160827,25.45,33.23,0.49,1.3,32.53,20.78,56.77
20160828,26.95,31.35,0.56,1.2,33.64,19.76,47.86
20160829,26.77,32.04,1.05,0.88,34.6,19.57,50.16
20160830,21.28,35.24,3.28,1.62,32.12,20.13,66.25
20160831,24.63,34.62,0.56,1.2,32.61,20.6,67.49
20160901,23.78,33.96,0.44,1.1,34.01,22.27,61.23
20160902,25.15,34.32,0.29,1.06,36.19,23.2,53.96
20160903,25.69,33.91,0.26,1.28,36.47,22.47,52.39
20160904,25.64,33.16,0.43,1.36,36.98,22.41,43.74
20160905,23.85,34.26,13.9,1.9,34.4,23.11,59.01
20160906,6.49,34.77,22.6,1.03,26.12,20.73,85.23
20160907,17.63,33.2,6.72,3.22,27.23,19.13,76.2
20160908,25.47,31.16,0.0,1.03,32.09,18.22,62.77
20160909,25.3,32.45,0.0,0.73,32.19,20.76,58.17
20160910,22.65,34.98,4.09,0.97,33.85,21.81,58.87
20160911,18.66,34.96,10.41,0.65,27.11,22.05,77.7
20160912,22.92,33.27,1.96,1.1,29.84,20.58,73.14
20160913,23.48,32.41,0.08,0.89,31.7,20.22,66.07
20160914,24.6,32.66,0.0,1.02,34.17,22.0,56.22
20160915,24.71,32.22,0.0,1.54,33.85,21.73,55.8
20160916,25.16,30.78,0.0,1.06,34.4,19.14,45.25
20160917,24.91,31.14,0.0,1.2,35.61,19.25,38.25
20160918,22.28,33.83,4.77,1.57,35.57,19.69,58.09
20160919,14.35,36.24,5.64,0.94,31.85,21.66,71.25
20160920,22.85,34.66,0.21,0.96,31.65,21.9,68.39
20160921,22.36,34.27,1.02,1.23,34.04,22.46,63.0
20160922,23.1,32.36,0.85,1.77,33.44,19.99,55.75
20160923,21.05,32.77,0.01,1.91,31.79,18.17,55.06
20160924,21.93,33.05,0.0,1.7,31.01,17.55,52.47
20160925,23.15,30.81,2.32,0.91,31.5,16.48,47.71
20160926,21.64,31.93,4.81,1.2,30.47,16.18,63.43
20160927,19.15,32.71,0.81,1.02,30.7,16.97,59.8
20160928,18.38,34.12,0.26,1.23,32.91,19.11,56.67
20160929,20.08,34.59,1.59,1.13,33.5,19.73,59.64
20160930,17.42,35.38,2.42,1.35,32.84,21.31,65.91
20161001,21.27,34.32,0.13,1.24,34.16,19.85,52.04
20161002,17.19,35.82,0.0,1.42,34.7,19.72,47.62
20161003,18.7,34.43,0.5,1.56,31.99,21.0,59.18
20161004,22.77,28.35,0.02,1.8,31.57,17.66,38.87
20161005,21.7,29.08,0.0,1.7,31.86,15.17,44.29
20161006,18.75,31.15,0.0,1.34,32.02,18.2,49.7
20161007,20.3,32.21,0.22,1.47,34.6,19.07,47.24
20161008,21.52,31.15,0.07,1.42,34.73,19.86,48.23
20161009,21.07,31.1,0.0,1.51,35.59,17.99,42.71
20161010,21.54,30.89,0.0,1.13,36.37,19.32,36.48
20161011,22.15,29.13,0.0,1.32,36.65,19.42,36.16
20161012,21.58,30.08,0.0,1.43,36.15,19.23,32.06
20161013,20.05,30.72,0.0,1.13,34.78,20.27,29.97
20161014,20.96,29.48,0.0,1.26,35.12,17.16,31.35
20161015,21.42,29.07,0.0,1.27,34.69,17.31,29.75
20161016,21.1,28.73,0.0,1.24,35.09,19.2,34.93
20161017,20.98,28.9,0.0,1.45,36.37,18.65,34.41
20161018,20.75,29.03,0.0,1.29,34.49,17.78,33.37
20161019,20.69,28.56,0.0,1.19,35.26,18.45,27.69
20161020,20.11,30.4,0.0,1.99,37.25,15.83,32.71
20161021,19.89,30.73,0.0,1.81,35.63,18.34,39.84
20161022,18.71,32.54,0.65,1.07,31.57,20.13,45.26
20161023,18.08,32.91,0.16,1.12,33.05,18.73,48.66
20161024,18.26,32.09,0.0,1.29,34.98,19.17,41.42
20161025,19.0,31.41,0.0,1.31,34.98,20.51,35.64
20161026,19.36,30.78,0.0,1.06,36.93,18.34,34.1
20161027,18.83,31.68,0.0,1.73,36.56,18.8,32.53
20161028,16.17,32.57,0.0,1.46,34.32,18.21,33.82
20161029,17.08,32.14,0.0,1.24,35.89,20.75,33.01
20161030,18.66,30.88,0.0,1.3,35.8,18.55,33.61
20161031,18.43,29.99,0.0,1.36,34.37,21.57,31.94
20161101,16.73,31.06,0.0,1.83,30.93,18.37,41.95
20161102,17.5,29.77,0.0,2.05,29.66,17.14,48.59
20161103,18.26,27.76,0.0,1.99,29.0,14.92,44.09
20161104,18.23,27.06,0.0,1.3,29.69,12.72,32.35
20161105,16.61,28.37,0.0,1.45,30.76,16.64,22.86
20161106,18.59,26.94,0.0,1.23,30.98,14.16,24.14
20161107,18.61,26.88,0.0,1.55,32.41,13.06,22.83
20161108,17.75,27.6,0.0,2.93,32.32,13.52,30.64
20161109,17.98,26.89,0.0,2.37,30.15,13.77,31.6
20161110,14.74,29.57,0.06,1.98,28.93,11.84,40.5
20161111,16.06,28.62,0.01,1.24,28.12,13.1,42.09
20161112,17.53,26.97,0.0,1.44,29.79,11.98,35.4
20161113,17.51,27.19,0.0,1.45,30.39,12.2,37.17
20161114,17.5,27.25,0.0,1.5,31.4,11.97,27.56
20161115,17.58,26.63,0.0,1.7,32.98,11.23,22.95
20161116,11.58,28.59,0.0,1.58,28.19,12.84,23.15
20161117,16.61,27.76,0.0,1.88,29.21,13.52,33.9
20161118,17.11,26.61,0.0,1.18,30.97,13.0,33.92
20161119,16.64,28.1,0.0,2.29,33.67,13.65,27.96
20161120,16.36,28.29,0.0,2.28,33.17,14.78,30.27
20161121,8.37,30.6,0.05,1.69,24.95,14.76,42.42
20161122,17.03,24.79,0.0,1.09,26.35,11.8,39.92
20161123,16.73,25.87,0.0,1.71,29.67,9.19,28.45
20161124,16.35,26.57,0.0,1.64,30.2,12.45,29.39
20161125,16.0,26.07,0.0,1.79,29.94,11.61,33.38
20161126,15.12,27.9,0.0,2.02,30.08,13.09,36.2
20161127,6.6,28.54,0.0,2.21,22.36,9.49,51.64
20161128,16.54,23.64,0.0,1.74,21.4,7.15,52.29
