DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20110101,15.04,23.45,0.0,1.45,19.97,4.32,48.35
20110102,11.52,25.8,0.01,1.85,24.51,8.86,26.69
20110103,15.66,23.25,0.0,1.92,21.14,8.34,27.57
20110104,15.0,23.65,0.0,1.49,23.24,7.37,25.8
20110105,10.57,26.47,0.0,1.59,23.47,8.39,20.37
20110106,8.98,29.31,0.0,1.42,27.11,11.29,21.39
20110107,15.13,26.4,0.0,1.63,24.65,10.31,28.72
20110108,15.5,22.72,0.0,1.76,20.29,8.07,40.72
20110109,16.16,22.27,0.0,1.85,20.99,4.83,45.27
20110110,16.44,22.68,0.0,1.52,23.95,6.97,35.72
20110111,16.42,23.55,0.0,2.18,28.46,8.65,22.72
20110112,16.5,23.78,0.0,2.23,29.05,8.73,20.4
20110113,16.69,23.9,0.0,2.7,30.46,8.95,22.12
20110114,16.85,23.7,0.0,2.01,29.19,10.9,17.1
20110115,16.72,23.19,0.0,2.39,28.95,10.53,20.3
20110116,16.63,24.08,0.0,1.82,28.99,9.76,21.26
20110117,16.41,24.89,0.0,1.45,29.65,12.89,20.58
20110118,16.81,24.58,0.0,1.5,29.92,12.71,26.16
20110119,15.16,25.52,0.0,1.93,26.37,12.31,36.69
20110120,16.73,25.71,0.0,1.57,27.69,11.06,40.91
20110121,17.07,25.13,0.0,1.89,27.74,11.51,35.24
20110122,17.27,23.91,0.0,1.74,27.42,10.93,24.31
20110123,17.38,22.81,0.0,1.73,24.47,8.92,22.61
20110124,17.79,22.69,0.0,1.88,25.97,7.16,21.51
20110125,17.97,22.5,0.0,1.99,26.84,7.79,16.24
20110126,15.08,23.52,0.0,1.75,25.69,8.33,16.25
20110127,17.11,23.52,0.0,1.71,27.43,7.84,18.65
20110128,15.83,26.57,0.45,1.52,26.44,9.04,23.29
20110129,12.75,28.54,0.58,1.49,24.14,10.89,33.27
20110130,16.92,24.12,0.19,1.76,24.88,8.22,31.78
20110131,17.2,22.7,0.0,2.8,20.63,6.45,41.8
20110201,18.84,22.18,0.0,1.78,22.19,5.64,38.28
20110202,19.0,20.82,0.0,2.62,19.29,0.9,21.32
20110203,19.84,17.21,0.0,3.14,9.6,-4.9,18.66
20110204,19.78,19.43,0.0,4.76,19.93,-2.72,17.09
20110205,19.74,21.24,0.0,2.83,24.68,2.76,20.68
20110206,19.22,23.12,0.0,1.84,26.66,7.01,22.85
20110207,19.91,23.02,0.0,2.64,30.64,7.37,17.05
20110208,18.91,23.79,0.0,2.85,25.98,8.17,23.5
20110209,19.64,23.66,0.0,2.31,25.64,9.67,28.42
20110210,20.02,23.28,0.0,1.8,26.3,8.75,25.21
20110211,20.35,22.76,0.0,1.7,27.15,7.65,13.35
20110212,20.94,23.25,0.0,1.85,31.22,8.25,13.5
20110213,20.72,24.19,0.0,1.76,32.83,9.93,12.01
20110214,20.3,24.71,0.0,1.75,32.08,14.41,9.48
20110215,20.71,25.04,0.0,1.95,32.91,13.36,14.43
20110216,20.35,25.04,0.0,1.63,31.1,14.47,20.28
20110217,18.91,27.34,0.0,1.72,29.25,14.86,36.3
20110218,20.61,26.14,0.0,1.98,30.2,14.04,38.15
20110219,20.99,25.58,0.0,2.82,28.94,12.65,37.07
20110220,21.26,24.15,0.0,2.24,25.0,9.69,46.36
20110221,21.39,23.02,0.0,1.82,23.36,8.08,35.09
20110222,21.71,23.36,0.0,2.14,23.77,8.06,37.67
20110223,21.97,23.16,0.0,2.19,22.93,8.57,42.53
20110224,22.58,22.32,0.0,1.81,23.87,6.88,31.6
20110225,22.95,22.73,0.0,1.87,29.37,7.42,18.53
20110226,22.56,23.46,0.0,3.1,25.86,8.36,24.48
20110227,17.68,26.13,0.08,2.79,20.0,8.22,54.89
20110228,22.9,23.45,0.0,1.92,25.61,5.43,35.17
