DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20030101,14.53,20.82,0.0,3.13,19.17,2.67,33.6
20030102,14.71,21.35,0.0,4.54,22.41,4.82,27.28
20030103,14.45,22.58,0.0,3.41,24.55,6.65,30.4
20030104,14.13,24.22,0.0,2.25,26.47,7.74,28.88
20030105,14.24,24.27,0.0,1.84,26.36,8.37,33.17
20030106,12.59,23.8,0.0,3.61,21.06,6.85,39.58
20030107,11.94,27.29,0.04,5.25,22.64,9.86,55.76
20030108,8.17,28.89,0.46,2.88,18.63,10.63,79.05
20030109,13.97,23.55,0.09,1.13,19.42,8.57,61.76
20030110,14.85,22.62,0.0,1.86,21.3,5.35,45.2
20030111,14.48,23.19,0.01,1.81,20.59,6.68,46.41
20030112,14.96,22.62,0.0,2.51,22.48,4.94,45.43
20030113,15.2,23.19,0.0,2.24,25.52,6.38,32.47
20030114,15.23,23.72,0.0,1.91,26.36,8.17,31.86
20030115,14.24,23.83,0.0,1.98,25.53,9.4,28.97
20030116,15.43,23.51,0.0,3.63,25.58,8.48,25.11
20030117,15.59,23.36,0.0,2.71,26.22,7.96,26.96
20030118,15.36,23.4,0.0,1.94,23.73,7.57,28.45
20030119,14.69,24.28,0.0,1.77,22.28,8.85,32.32
20030120,10.72,26.7,0.67,2.42,22.07,9.2,51.2
20030121,13.39,24.05,0.0,1.44,19.32,4.04,61.93
20030122,15.95,23.21,0.0,2.97,22.01,5.63,53.23
20030123,13.35,25.76,0.0,3.49,26.57,8.8,28.17
20030124,15.71,25.15,0.0,2.27,25.78,10.13,31.71
20030125,16.0,23.83,0.0,1.82,23.52,9.04,35.95
20030126,16.18,23.29,0.0,3.46,25.81,8.57,33.25
20030127,17.32,22.05,0.0,2.6,27.05,7.85,26.6
20030128,16.79,22.81,0.06,2.01,24.57,10.36,23.05
20030129,16.69,23.31,0.0,1.73,24.4,9.53,25.31
20030130,17.37,23.01,0.0,2.6,27.08,8.06,22.78
20030131,17.16,24.13,0.0,2.81,29.0,10.2,18.72
20030201,16.69,24.78,0.0,2.71,27.81,10.66,23.62
20030202,15.65,23.3,0.0,3.42,22.58,5.95,28.84
20030203,18.47,20.28,0.0,2.17,19.49,2.27,23.84
20030204,16.26,23.46,0.02,1.82,20.57,6.36,19.26
20030205,10.21,25.11,0.07,2.88,18.23,5.52,32.69
20030206,18.56,19.64,0.0,1.98,17.14,1.24,37.05
20030207,11.92,24.95,1.42,1.85,14.09,5.42,52.15
20030208,10.99,25.88,1.16,2.42,12.45,5.44,72.26
20030209,16.91,21.56,0.0,1.53,16.63,1.63,50.73
20030210,14.29,24.28,0.03,2.64,19.75,3.98,28.77
20030211,9.82,27.45,0.64,1.82,21.33,10.11,37.79
20030212,7.38,28.87,2.22,2.34,20.06,12.01,58.59
