DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20230101,10.14,27.34,0.4,3.6,19.84,9.01,62.95
20230102,8.06,27.27,0.21,3.1,15.4,6.21,69.74
20230103,8.98,25.88,0.0,1.36,18.91,4.76,54.18
20230104,15.36,23.14,0.0,0.97,23.28,6.09,30.85
20230105,15.13,24.41,0.0,1.39,26.77,8.9,20.05
20230106,15.55,23.94,0.0,1.4,26.55,12.02,19.71
20230107,15.3,24.8,0.0,1.48,23.99,10.2,23.31
20230108,15.08,24.66,0.0,1.82,25.44,7.11,35.09
20230109,15.67,24.36,0.0,1.14,26.45,10.94,33.8
20230110,11.13,24.73,0.0,1.3,26.9,10.14,22.31
20230111,14.52,24.56,0.0,1.58,25.88,9.7,19.52
20230112,15.73,24.7,0.0,1.54,28.52,9.68,20.68
20230113,16.07,24.3,0.0,2.02,29.38,8.39,21.82
20230114,15.41,24.87,0.0,2.29,27.87,12.0,21.29
20230115,7.67,27.46,0.0,2.91,20.12,8.41,37.48
20230116,7.62,29.37,2.55,2.55,18.75,8.35,70.28
20230117,6.47,27.51,18.13,2.91,13.42,4.93,83.72
20230118,15.63,22.61,0.01,0.9,15.47,2.46,56.33
20230119,12.26,24.56,0.0,1.22,19.46,5.73,35.88
20230120,16.94,21.35,0.0,2.01,19.75,4.25,34.66
20230121,16.94,20.49,0.0,1.61,17.67,3.06,34.19
20230122,17.59,20.52,0.0,1.77,21.1,1.02,29.96
20230123,9.81,22.82,0.64,2.87,11.29,0.82,50.77
20230124,17.33,19.93,0.0,1.61,13.99,-1.51,36.98
20230125,17.67,21.14,0.0,1.69,20.02,-0.9,32.92
20230126,17.77,21.34,0.0,2.08,20.41,2.28,31.98
20230127,13.47,23.12,0.0,2.03,20.65,1.39,31.24
20230128,10.97,26.09,0.0,1.68,18.15,7.41,30.92
20230129,17.51,23.45,0.0,2.44,21.33,5.72,46.5
20230130,17.58,22.89,0.0,2.37,21.05,5.0,49.86
