DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20050101,9.97,25.68,0.0,1.38,20.79,6.5,56.41
20050102,9.87,28.3,3.84,2.41,18.97,7.02,66.17
20050103,4.26,30.11,7.67,5.26,18.12,11.39,85.62
20050104,8.45,25.98,4.62,4.98,15.05,7.4,77.27
20050105,9.13,24.29,0.74,1.39,14.3,4.52,69.25
20050106,12.55,23.11,0.0,1.77,16.59,2.86,46.81
20050107,14.66,23.28,0.0,2.28,19.56,3.45,45.37
20050108,13.63,24.35,0.0,1.94,23.76,6.28,44.0
20050109,7.18,27.46,0.0,1.36,21.89,9.37,41.61
20050110,14.45,25.99,0.0,1.09,25.44,12.13,35.46
20050111,8.91,27.42,0.73,3.39,20.02,7.96,58.8
20050112,15.75,21.95,0.05,3.13,15.67,3.31,60.44
20050113,15.67,22.44,0.0,2.02,20.07,1.51,48.22
20050114,6.15,26.93,0.0,1.49,15.82,7.34,39.8
20050115,15.94,23.49,0.0,1.81,26.38,6.45,35.2
20050116,15.78,24.12,0.0,2.81,28.26,8.72,33.69
20050117,15.74,23.92,0.0,1.62,26.74,9.73,37.58
20050118,15.56,25.24,0.0,2.23,27.64,9.51,40.94
20050119,13.05,28.37,0.0,2.1,29.61,11.6,41.17
20050120,6.13,31.29,0.3,1.52,25.93,13.39,57.43
20050121,4.66,29.52,4.43,1.37,21.47,12.53,67.98
20050122,13.66,27.02,0.0,1.85,22.11,9.21,61.95
20050123,10.36,28.75,7.37,2.35,23.12,11.96,63.07
20050124,15.84,25.61,0.01,2.0,22.99,9.05,63.02
20050125,13.99,27.78,0.01,1.41,23.57,10.46,56.2
20050126,6.3,30.18,2.43,2.5,17.62,11.61,78.19
20050127,14.91,26.62,0.18,1.44,20.81,10.31,72.76
20050128,16.72,23.65,0.0,1.6,21.88,7.13,57.42
20050129,14.27,23.94,0.0,2.36,17.96,5.48,54.5
20050130,17.18,22.26,0.0,2.74,17.33,3.33,54.24
20050131,17.46,22.91,0.0,2.76,19.75,3.69,54.02
20050201,16.97,23.33,0.0,2.42,20.25,5.0,46.24
20050202,14.3,24.81,0.0,3.89,20.06,5.57,43.17
20050203,15.64,24.38,0.0,3.82,21.35,6.14,40.34
20050204,11.66,27.56,0.07,2.83,19.2,8.46,60.06
20050205,13.02,27.47,0.2,1.69,18.38,8.37,67.94
20050206,13.31,26.73,0.0,3.4,19.61,8.15,62.96
20050207,13.62,25.71,0.2,2.5,18.66,7.24,72.36
20050208,14.68,25.23,0.0,1.4,21.22,6.01,62.53
20050209,11.41,26.4,0.0,1.53,22.84,7.73,47.05
20050210,7.26,29.11,3.16,1.96,21.61,12.18,60.5
20050211,4.34,29.93,15.67,3.98,16.26,10.92,87.05
20050212,11.42,28.65,18.44,2.96,17.42,9.24,84.42
20050213,18.82,24.98,0.0,1.52,22.09,6.29,70.55
20050214,15.91,26.78,0.0,1.15,21.52,10.63,60.37
20050215,10.47,28.15,0.0,1.38,20.51,11.16,54.85
20050216,11.83,28.53,0.0,0.89,21.12,11.61,49.91
20050217,6.54,29.92,0.78,1.68,22.78,10.98,56.75
20050218,11.22,28.75,0.16,2.81,26.08,10.55,59.69
20050219,9.99,28.55,0.56,3.18,19.32,10.27,76.32
20050220,18.09,26.08,0.1,1.63,21.94,9.73,69.73
20050221,16.47,28.35,1.96,2.66,22.0,7.58,61.77
20050222,15.75,27.81,3.48,2.58,21.27,10.05,75.6
20050223,20.24,24.48,0.03,1.77,19.94,9.12,68.49
20050224,18.22,24.9,0.02,1.36,19.77,6.94,67.75
20050225,19.81,25.34,0.0,1.51,20.97,5.93,56.2
20050226,17.4,26.08,0.0,1.98,19.96,7.13,65.53
20050227,19.88,25.07,0.0,1.42,21.44,7.57,57.38
20050228,21.38,24.39,0.0,1.8,23.33,6.42,48.21
20050301,20.07,25.32,0.0,2.11,24.26,6.92,47.29
20050302,21.8,24.51,0.0,1.6,23.37,10.04,49.84
20050303,21.97,24.26,0.0,1.73,23.71,8.49,48.19
20050304,18.36,26.28,0.0,1.44,20.06,8.64,52.76
20050305,13.65,27.22,0.64,2.32,18.43,7.58,70.46
20050306,15.74,26.67,1.22,1.65,16.91,5.51,72.1
20050307,21.8,25.56,0.57,1.47,23.04,7.07,56.96
20050308,22.76,25.37,0.3,2.56,26.24,8.63,46.75
20050309,23.39,25.56,0.03,1.84,29.61,9.03,40.89
20050310,23.56,25.93,0.0,1.91,31.42,11.4,33.55
20050311,23.3,26.52,0.0,2.15,30.76,12.79,36.48
20050312,23.5,26.47,0.04,2.09,30.39,14.37,39.85
20050313,23.33,26.2,0.08,2.66,27.53,10.32,49.21
20050314,21.93,26.12,0.11,2.7,24.34,10.45,59.78
20050315,25.57,22.0,0.42,3.47,21.82,7.02,43.66
20050316,25.61,21.76,0.0,2.93,23.14,5.22,29.97
20050317,24.88,23.0,0.0,2.14,25.15,6.12,28.76
20050318,18.1,28.03,0.02,2.11,24.25,8.14,40.76
20050319,17.44,28.98,0.05,2.14,21.96,8.68,62.47
20050320,22.13,25.99,0.01,2.69,22.97,10.16,64.2
20050321,25.49,23.87,0.0,2.77,22.6,6.7,52.76
20050322,25.04,25.02,0.0,1.94,27.09,7.57,37.25
