DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20160101,14.79,22.19,0.0,2.09,19.88,3.87,38.05
20160102,14.64,23.44,0.0,3.64,21.45,4.96,50.72
20160103,14.51,24.35,0.0,3.47,22.35,6.53,44.29
20160104,7.24,27.49,10.94,3.49,14.34,6.98,72.41
20160105,9.89,26.66,1.15,2.42,15.41,5.81,82.19
20160106,13.77,25.02,5.31,3.34,14.12,4.63,76.58
20160107,5.51,26.6,13.18,4.37,9.76,2.87,92.31
20160108,12.01,24.23,2.76,3.08,9.9,2.9,77.03
20160109,15.23,21.65,0.0,1.88,12.77,-0.45,61.96
20160110,13.07,24.18,0.0,2.0,14.66,0.99,55.32
20160111,15.49,22.2,0.0,2.84,14.29,0.73,53.77
20160112,15.93,21.26,0.0,3.06,18.72,1.35,34.52
20160113,15.91,21.8,0.0,2.18,20.37,2.22,34.58
20160114,15.94,22.16,0.0,1.91,19.33,4.19,32.21
20160115,14.4,23.41,0.0,2.48,17.1,4.09,43.09
20160116,15.3,23.01,0.0,2.04,17.63,1.22,56.15
20160117,15.88,23.96,0.0,3.03,22.92,6.37,33.11
20160118,13.01,24.77,0.0,1.88,22.5,5.02,28.01
20160119,15.96,24.54,0.0,1.64,22.52,5.76,31.3
20160120,16.24,23.75,0.0,2.16,21.9,7.17,38.9
20160121,16.24,24.27,0.0,3.1,22.17,6.39,38.39
20160122,16.89,23.48,0.0,2.89,26.88,7.05,25.6
20160123,15.4,25.37,0.0,2.19,25.72,9.05,25.97
20160124,16.49,23.27,0.0,2.06,18.23,5.58,38.7
20160125,16.63,22.33,0.0,2.34,17.6,3.07,39.75
20160126,17.14,22.32,0.0,3.24,17.5,2.89,33.96
20160127,17.37,22.44,0.0,3.44,19.96,2.79,37.11
20160128,14.76,25.72,0.0,2.04,23.3,4.29,33.29
20160129,17.31,24.23,0.0,1.9,23.9,6.65,25.83
20160130,17.08,24.99,0.0,2.59,23.43,6.6,32.0
20160131,17.07,25.12,1.38,4.65,22.66,5.74,52.19
20160201,12.25,25.79,10.98,5.46,10.42,2.74,67.44
20160202,18.55,20.48,0.0,2.77,10.42,-1.6,39.15
20160203,18.66,20.01,0.0,2.81,13.25,-3.4,30.53
20160204,18.79,20.77,0.0,4.86,16.79,-0.09,27.52
20160205,18.78,21.84,0.0,4.59,19.42,2.09,26.71
20160206,16.12,24.51,0.0,4.14,24.55,3.71,22.36
20160207,12.81,26.79,0.0,2.76,26.83,6.07,23.09
20160208,14.93,26.66,0.0,4.4,26.19,10.47,26.06
20160209,19.34,23.98,0.0,4.0,27.9,9.25,26.88
20160210,19.11,24.93,0.0,3.17,27.4,10.15,25.36
20160211,19.28,24.87,0.0,1.78,28.64,10.52,25.5
20160212,17.13,26.19,0.0,1.96,29.5,9.4,25.78
20160213,19.38,26.32,0.0,2.14,28.82,10.32,26.47
20160214,19.45,26.15,0.0,2.47,27.62,9.28,24.66
20160215,19.86,26.02,0.0,2.43,28.89,8.76,26.67
20160216,20.09,26.0,0.0,2.28,30.13,10.54,28.84
20160217,20.39,25.15,0.0,2.78,29.07,12.41,27.0
20160218,15.47,28.09,0.0,2.22,27.38,9.33,31.16
20160219,14.99,29.22,0.0,1.77,25.32,12.5,28.67
20160220,15.31,28.44,0.0,1.48,25.99,12.71,31.17
20160221,20.65,26.46,0.0,2.38,28.68,10.58,30.17
20160222,21.13,24.96,0.0,3.5,24.94,9.02,26.76
20160223,20.72,24.51,0.0,3.79,22.22,6.85,27.27
20160224,21.29,24.63,0.0,3.57,25.47,6.13,30.12
