DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20130101,15.39,21.28,0.0,2.74,18.29,2.92,46.04
20130102,15.34,22.44,0.0,2.41,21.54,3.48,35.35
20130103,14.41,23.77,0.0,1.48,19.0,7.85,50.0
20130104,15.26,22.89,0.0,2.54,19.87,5.22,49.18
20130105,15.79,21.9,0.0,3.0,23.54,4.14,34.13
20130106,12.02,24.66,0.0,2.97,23.52,4.5,34.14
20130107,15.44,22.33,0.0,1.92,18.42,6.35,35.41
20130108,14.76,23.96,0.05,2.23,20.01,5.03,50.71
20130109,15.22,23.52,0.0,2.32,23.97,4.57,34.85
20130110,13.18,25.51,0.0,2.47,21.69,6.03,46.83
20130111,11.66,24.62,0.0,2.38,15.65,2.48,48.85
20130112,14.81,20.65,0.0,2.29,12.92,-0.07,37.19
20130113,16.49,19.35,0.0,2.4,13.7,-1.24,29.37
20130114,16.42,19.35,0.0,2.79,12.8,-0.39,27.8
20130115,16.47,18.61,0.0,4.18,13.94,-2.58,23.3
20130116,16.94,20.88,0.0,4.47,23.37,1.78,16.97
20130117,16.26,23.23,0.0,3.37,26.4,4.88,18.45
20130118,14.6,26.4,0.0,2.8,27.87,9.8,23.09
20130119,15.56,26.19,0.0,1.42,28.05,11.64,26.24
20130120,15.0,26.76,0.0,1.77,28.36,11.63,33.53
20130121,12.87,27.96,0.09,1.68,29.0,13.12,32.52
20130122,16.35,26.89,0.17,1.81,29.97,12.47,35.63
20130123,14.46,27.96,0.0,2.27,30.29,12.61,30.42
20130124,9.53,30.83,0.0,1.79,27.76,15.12,32.29
20130125,10.89,31.73,5.87,1.49,27.11,16.2,52.71
20130126,9.26,31.03,14.34,2.53,21.27,13.7,80.26
20130127,11.98,28.35,0.16,2.01,21.9,11.36,73.4
20130128,8.08,27.26,0.36,2.64,16.54,5.13,73.52
20130129,18.02,22.08,0.0,2.38,16.27,2.96,56.62
20130130,17.71,22.37,0.0,3.62,19.62,2.65,35.58
20130131,13.38,25.33,0.0,3.31,26.04,6.59,33.34
20130201,17.87,24.02,0.0,1.57,26.68,7.64,38.41
20130202,14.22,27.59,0.0,2.73,27.75,10.87,32.08
20130203,7.84,29.92,0.0,2.2,27.45,12.02,36.54
20130204,11.95,28.45,0.0,1.62,23.19,11.22,43.07
20130205,18.49,24.64,0.0,1.67,23.94,8.32,49.91
20130206,18.46,25.17,0.0,1.7,22.86,10.06,50.56
20130207,18.95,23.59,0.0,1.35,24.85,7.46,43.92
20130208,18.47,23.97,0.0,2.45,22.97,7.86,42.42
20130209,18.49,23.72,0.01,2.38,17.04,4.07,62.2
20130210,19.52,22.35,0.0,2.03,18.88,3.2,37.59
20130211,15.45,24.1,0.0,2.74,16.43,1.67,52.52
20130212,20.29,21.09,0.01,2.3,18.64,1.21,48.67
20130213,20.61,21.24,0.0,2.64,22.16,2.04,26.75
20130214,20.63,22.69,0.0,2.25,25.57,5.21,24.62
20130215,16.64,25.28,0.0,5.03,23.2,10.59,22.97
20130216,20.67,23.78,0.0,3.88,28.31,7.9,18.55
20130217,20.75,23.29,0.0,2.41,25.54,7.63,20.89
20130218,19.92,24.07,0.0,1.88,23.48,5.36,23.14
20130219,6.29,27.36,0.06,1.74,19.14,6.93,31.25
20130220,12.12,25.63,5.99,3.57,15.21,3.95,77.06
20130221,21.58,21.45,0.0,1.65,18.49,1.17,55.98
20130222,21.64,22.32,0.0,1.87,20.78,2.81,45.68
20130223,21.72,22.56,0.0,2.7,25.72,4.83,32.58
20130224,22.12,21.39,0.0,3.22,21.33,4.02,31.36
20130225,22.7,20.78,0.0,3.13,21.43,1.46,24.59
20130226,20.53,24.37,0.0,2.29,23.63,6.13,19.48
20130227,19.61,23.85,0.0,3.34,25.26,5.92,19.42
20130228,22.8,22.04,0.0,4.89,25.58,6.74,14.46
20130301,23.65,22.34,0.0,4.76,28.93,7.28,14.02
