DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20130101,14.6,19.51,0.0,1.98,12.3,-4.38,56.45
20130102,15.08,20.55,0.05,2.74,17.11,-2.57,42.1
20130103,9.14,26.47,1.13,2.54,11.39,-0.73,65.52
20130104,13.59,22.47,0.05,2.2,12.17,-2.96,68.74
20130105,15.53,19.61,0.0,1.96,17.19,-3.22,49.36
20130106,11.86,23.06,0.0,1.49,19.13,-2.61,37.78
20130107,14.75,21.61,0.17,2.12,14.59,2.7,33.43
20130108,14.35,23.24,3.49,1.97,14.96,0.72,54.07
20130109,14.99,20.79,0.0,2.61,15.69,-2.11,52.32
20130110,12.18,23.14,0.0,2.95,18.14,2.69,46.68
20130111,11.5,23.2,0.0,2.94,10.86,-2.04,50.51
20130112,13.56,19.11,0.0,2.2,6.72,-4.86,40.27
20130113,16.28,17.52,0.0,1.98,8.27,-5.81,37.94
20130114,16.22,17.38,0.0,1.86,7.09,-5.81,37.16
20130115,16.51,16.84,0.0,3.18,5.63,-6.4,34.47
20130116,16.67,18.91,0.17,3.8,14.84,-4.24,27.37
20130117,16.46,21.01,0.0,2.62,21.21,-2.06,34.61
20130118,14.32,24.25,0.0,1.46,21.61,1.43,35.56
20130119,15.31,24.25,0.0,0.95,22.05,6.92,39.1
20130120,15.07,25.02,0.0,1.2,22.89,5.0,44.08
20130121,12.38,26.33,0.12,1.2,21.38,7.38,44.36
20130122,16.11,24.69,0.0,1.8,23.53,5.73,46.51
20130123,12.88,25.88,0.0,1.31,24.59,6.71,40.19
20130124,8.32,28.84,0.43,1.38,21.86,10.76,44.44
20130125,12.06,29.31,1.94,1.29,17.62,9.3,64.84
20130126,5.63,29.47,11.2,3.16,17.02,9.93,85.08
20130127,10.9,27.27,0.78,2.68,17.19,5.69,76.78
20130128,8.31,25.66,1.01,4.08,12.88,1.26,81.3
20130129,17.1,21.14,0.05,3.14,9.89,-1.32,56.28
20130130,18.04,19.66,0.0,2.6,12.61,-4.75,41.87
20130131,14.02,23.71,0.0,2.69,20.01,-0.68,34.8
20130201,17.6,22.58,0.0,1.25,22.1,2.74,30.33
20130202,16.31,24.67,0.0,2.27,19.76,3.88,32.88
20130203,9.13,27.85,0.03,1.73,22.98,6.65,36.28
20130204,12.16,25.24,0.0,1.52,19.09,8.56,42.98
