DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20170101,5.72,27.55,2.81,3.25,15.89,7.17,79.76
20170102,14.22,24.07,0.0,1.51,19.96,6.61,66.95
20170103,13.74,27.18,0.0,1.18,26.1,10.4,39.78
20170104,14.05,26.06,0.0,1.47,26.0,13.43,40.5
20170105,15.35,23.87,0.0,1.7,26.69,13.01,43.99
20170106,14.72,24.13,0.0,1.43,25.42,12.11,43.18
20170107,15.45,23.97,0.0,2.14,27.66,9.27,35.2
20170108,14.79,26.7,0.0,2.13,31.23,13.57,31.94
20170109,11.83,27.24,0.0,1.75,32.29,13.78,35.95
20170110,14.86,25.41,0.0,1.27,29.2,14.95,33.81
20170111,16.01,23.32,0.06,1.73,25.81,12.59,33.1
20170112,15.45,24.92,0.0,1.76,23.36,10.02,33.64
20170113,11.85,26.46,0.0,2.3,24.59,11.25,38.52
20170114,6.67,28.15,10.4,3.57,19.52,9.55,64.59
20170115,11.37,26.14,1.2,1.61,16.54,7.31,69.15
20170116,13.15,24.16,0.0,1.39,19.94,5.62,58.7
20170117,13.82,25.03,0.0,1.53,19.7,8.47,53.03
20170118,15.61,23.49,0.0,1.41,21.44,7.42,52.69
20170119,11.01,23.98,0.0,1.48,18.18,7.32,46.51
20170120,11.76,26.47,1.31,3.54,15.86,4.97,70.53
20170121,8.88,27.98,13.32,5.01,16.99,9.24,75.42
20170122,16.67,23.08,0.0,1.44,21.18,5.1,57.26
20170123,16.75,24.23,0.0,2.37,25.35,9.56,41.45
20170124,13.58,25.25,0.0,2.18,17.43,5.74,63.4
20170125,17.47,21.2,0.0,1.52,18.65,4.85,45.15
20170126,17.87,21.12,0.0,1.94,21.42,4.19,31.34
20170127,18.0,20.65,0.0,2.76,19.31,3.71,32.74
20170128,18.47,20.32,0.0,4.93,22.08,3.76,28.62
20170129,18.6,21.45,0.0,3.02,26.92,4.62,23.38
20170130,17.87,22.96,0.0,2.34,27.03,4.93,32.84
20170131,17.83,23.92,0.0,1.22,27.37,9.84,38.44
20170201,18.32,24.01,0.0,1.49,27.89,8.65,37.56
20170202,18.35,24.04,0.0,1.78,28.55,9.27,31.98
20170203,16.39,25.52,0.0,1.77,29.8,10.4,29.2
20170204,16.7,25.39,0.0,1.54,28.9,14.39,31.13
20170205,18.75,24.48,0.0,1.77,26.65,12.11,36.03
20170206,15.73,25.42,0.0,1.67,27.34,10.2,32.61
20170207,18.53,25.23,0.0,1.66,28.15,11.49,36.0
20170208,18.62,26.41,0.0,2.41,32.52,12.34,39.42
20170209,18.66,26.37,0.0,2.07,33.4,12.86,33.51
20170210,19.35,25.65,0.0,1.97,32.72,14.47,30.56
20170211,18.84,26.38,0.0,2.13,32.08,14.34,33.69
20170212,14.89,27.27,0.0,2.94,27.94,13.15,43.12
20170213,10.96,27.28,0.34,1.67,20.19,10.2,64.49
20170214,14.86,26.47,0.0,1.47,21.42,9.45,56.24
20170215,14.06,27.93,0.0,2.14,21.66,11.61,43.93
20170216,19.61,25.37,0.0,1.87,24.89,8.38,43.23
20170217,13.57,28.12,0.0,2.92,22.87,9.02,63.85
20170218,7.52,28.62,23.01,5.27,18.11,8.05,79.53
20170219,11.91,28.06,1.63,2.1,16.9,8.05,73.28
20170220,20.76,24.9,0.0,1.72,23.72,6.82,59.08
20170221,20.21,25.16,0.0,2.17,31.41,9.12,37.79
20170222,21.5,25.98,0.0,1.92,32.4,11.83,35.98
20170223,21.88,23.91,0.0,2.6,25.63,10.01,48.83
20170224,21.93,22.22,0.0,1.91,25.44,7.06,29.21
20170225,22.55,22.35,0.0,2.0,26.4,6.31,26.15
20170226,17.75,25.83,0.0,2.29,24.56,11.34,27.03
20170227,19.48,26.39,0.0,1.86,26.0,11.51,37.42
20170228,16.47,25.78,0.0,2.31,22.39,11.16,49.21
20170301,22.81,24.93,0.0,1.7,28.11,8.42,42.85
20170302,20.23,26.79,0.0,2.0,28.62,9.84,29.37
20170303,15.34,29.32,0.0,1.65,28.6,13.27,34.79
20170304,22.63,25.91,0.0,2.26,28.71,11.41,48.91
20170305,17.77,28.03,0.0,2.97,28.55,14.41,44.45
20170306,22.58,25.49,0.0,1.95,27.07,12.81,46.3
20170307,23.68,24.69,0.0,2.05,32.18,10.5,29.7
20170308,22.66,27.05,0.0,1.66,33.72,13.45,27.85
20170309,16.69,29.27,0.0,1.37,26.89,13.95,39.76
20170310,21.32,28.64,0.0,1.5,34.14,15.82,33.04
20170311,21.38,28.41,0.0,1.99,33.64,14.93,36.15
20170312,23.46,27.23,0.0,1.92,33.13,15.03,33.6
20170313,24.74,25.62,0.0,1.78,34.54,14.76,27.29
20170314,24.46,25.93,0.0,2.18,36.33,15.24,21.42
20170315,21.59,28.36,0.0,1.95,36.5,16.41,20.87
20170316,24.34,27.48,0.0,1.8,36.45,18.66,20.88
20170317,24.89,27.03,0.0,1.82,36.5,17.39,21.18
20170318,24.74,27.8,0.0,1.71,37.12,18.2,20.64
20170319,24.14,29.01,0.0,1.96,36.32,17.29,24.28
20170320,25.16,26.99,0.0,2.05,36.19,18.39,21.83
20170321,25.99,25.76,0.0,2.23,35.57,17.0,21.95
20170322,26.35,25.31,0.0,2.36,34.32,17.64,21.84
20170323,25.0,24.93,0.0,3.42,25.42,12.68,35.37
20170324,26.46,23.72,0.0,2.32,30.81,9.51,21.09
