DATE,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,T2M_MAX,T2M_MIN,RH2M
20070101,13.88,22.13,0.01,0.71,18.91,2.38,39.66
20070102,10.01,26.0,9.56,0.62,14.54,2.24,61.44
20070103,11.96,24.22,3.42,0.53,14.1,1.04,71.48
20070104,15.55,20.41,0.13,0.66,17.0,3.4,53.96
20070105,16.47,19.72,0.0,0.9,18.14,0.59,54.01
20070106,16.47,19.5,0.0,0.59,15.52,1.17,64.85
20070107,16.93,19.41,0.0,0.55,22.53,0.45,42.46
20070108,16.92,20.74,0.0,0.59,27.38,2.39,28.66
20070109,15.62,23.71,0.0,0.61,25.53,7.23,33.72
20070110,8.37,25.98,0.34,0.52,21.55,6.94,44.7
20070111,9.74,26.39,2.85,0.63,14.45,6.66,75.42
20070112,10.17,26.22,1.46,0.65,17.51,6.77,79.92
20070113,14.7,22.27,0.0,0.65,15.54,6.27,73.33
20070114,13.34,21.73,0.01,0.62,13.88,0.83,65.68
20070115,11.88,22.14,0.0,0.46,17.41,-0.84,56.76
20070116,5.15,25.42,1.3,0.61,17.72,4.08,62.6
20070117,7.56,24.61,1.5,0.49,13.88,4.83,76.32
20070118,2.18,27.0,30.65,0.43,12.54,6.82,97.12
20070119,3.2,25.58,32.03,0.45,8.78,3.18,95.28
20070120,15.55,20.16,0.22,0.56,11.15,-0.36,68.24
20070121,17.3,19.06,0.0,0.74,12.0,-2.83,67.19
20070122,6.84,23.35,9.08,0.62,6.03,-2.34,78.88
20070123,15.66,20.13,0.22,0.58,10.7,-4.46,69.32
20070124,11.14,23.86,0.11,0.81,9.86,-2.68,59.71
20070125,9.41,25.41,0.8,0.72,11.05,0.09,63.85
20070126,17.79,19.47,0.32,0.7,12.64,-1.07,64.67
20070127,18.06,18.89,0.44,0.77,17.72,-2.34,56.95
20070128,17.64,20.69,0.0,0.73,19.11,-1.17,46.5
20070129,16.24,23.75,0.02,0.8,16.82,4.33,51.55
20070130,9.04,26.41,1.65,0.73,13.07,1.79,81.91
20070131,11.27,25.36,0.45,0.67,11.37,1.68,82.86
20070201,14.47,22.49,0.11,0.52,10.66,1.09,74.55
20070202,17.9,19.82,0.0,0.65,15.84,-2.46,59.52
20070203,19.72,19.42,0.0,0.49,20.3,-1.31,47.51
20070204,19.75,19.62,0.0,0.66,22.28,1.09,42.85
20070205,19.85,20.1,0.0,0.63,23.7,2.46,38.39
20070206,19.82,20.87,0.07,0.6,24.66,2.41,37.25
20070207,17.93,22.43,0.0,0.86,23.52,8.88,34.44
20070208,15.7,24.17,0.0,0.76,19.84,6.65,48.74
20070209,19.19,23.02,0.0,0.64,23.04,4.09,56.86
20070210,18.3,24.06,0.0,0.64,23.42,5.58,58.91
20070211,16.6,23.65,0.0,0.72,17.46,4.45,72.68
20070212,19.84,21.51,0.0,0.76,17.39,3.36,71.85
20070213,12.96,24.04,0.0,0.84,14.24,1.93,71.34
20070214,20.72,19.15,0.0,0.81,13.16,-1.59,61.3
20070215,21.45,18.76,0.0,0.81,17.77,-2.46,45.01
20070216,21.97,19.34,0.0,0.8,23.39,0.66,34.27
20070217,20.9,22.34,0.0,0.57,23.64,2.69,36.68
20070218,19.58,23.79,0.0,0.77,20.49,4.35,46.96
20070219,6.63,26.11,0.28,0.87,16.39,3.89,74.58
20070220,17.63,22.94,0.05,0.69,16.67,3.52,66.41
20070221,22.1,20.8,0.0,0.53,24.12,0.85,44.26
20070222,16.07,24.64,0.0,0.73,21.71,6.56,41.71
20070223,22.63,21.34,0.0,0.86,18.79,3.54,43.93
20070224,21.76,19.15,0.0,0.85,18.6,-0.08,39.85
20070225,23.43,19.73,0.0,0.86,21.78,2.54,25.56
20070226,23.61,20.16,0.0,0.93,22.9,4.94,24.8
20070227,23.39,20.28,0.0,1.0,22.84,2.21,27.41
20070228,18.35,22.39,0.0,0.85,17.15,4.93,36.66
20070301,23.53,19.41,0.0,0.8,19.68,-1.7,29.82
20070302,23.22,20.38,0.0,0.9,18.66,1.62,26.08
20070303,22.16,20.73,0.0,0.79,22.53,1.73,29.76
20070304,23.3,20.48,0.0,1.24,19.99,1.27,29.26
20070305,19.85,23.87,0.0,0.8,23.23,6.45,26.54
20070306,23.99,22.28,0.07,0.85,25.74,5.86,30.39
20070307,23.58,23.68,0.0,0.86,27.61,5.21,25.39
20070308,24.57,21.62,0.0,0.85,25.75,10.52,20.75
20070309,24.61,21.52,0.0,0.83,27.43,5.66,23.45
20070310,23.25,22.37,0.0,0.92,26.52,5.85,25.66
20070311,24.87,21.45,0.0,0.8,25.31,7.69,25.29
20070312,24.87,21.27,0.0,0.73,25.82,5.41,29.19
20070313,25.3,21.38,0.0,0.74,25.17,10.99,24.42
20070314,25.55,21.71,0.0,0.75,27.92,8.74,24.84
20070315,25.98,22.04,0.0,0.84,30.31,6.64,21.81
20070316,25.26,23.83,0.0,0.63,32.25,7.63,25.9
20070317,23.05,25.36,0.0,0.86,30.6,11.39,28.88
20070318,25.46,23.13,0.0,0.93,27.28,10.18,29.85
20070319,25.89,22.8,0.0,0.94,25.27,10.31,33.8
20070320,26.55,22.37,0.0,0.84,28.35,8.93,25.23
20070321,14.69,26.83,0.0,0.76,23.12,12.55,32.33
20070322,14.57,28.21,0.95,1.11,20.59,10.45,50.57
20070323,15.64,26.2,0.49,0.94,15.33,6.42,64.41
20070324,27.05,20.52,0.0,0.84,22.46,1.16,40.99
20070325,11.15,26.65,1.78,0.64,20.24,5.05,50.35
20070326,25.79,23.05,0.59,0.66,23.88,4.41,53.22
20070327,26.23,23.53,0.14,0.85,25.69,6.43,43.02
20070328,27.5,21.25,0.0,0.95,22.88,6.06,36.47
20070329,28.56,19.44,0.0,1.04,22.04,2.48,22.15
20070330,29.03,19.18,0.0,1.03,23.04,2.52,22.81
20070331,27.99,20.46,0.0,0.72,27.51,2.95,19.63
20070401,28.33,21.26,0.0,0.92,28.31,5.11,19.37
20070402,28.14,22.04,0.0,0.96,27.49,6.15,24.38
20070403,26.05,23.71,0.0,0.84,29.39,9.28,23.6
20070404,25.91,24.3,0.0,0.91,31.76,8.7,24.01
20070405,24.79,25.85,0.0,0.96,31.82,10.5,25.75
20070406,18.99,26.66,0.0,0.95,26.38,11.6,30.45
20070407,28.18,23.06,0.0,0.91,24.45,8.0,39.09
20070408,20.11,25.84,0.0,0.81,19.46,6.74,65.17
20070409,26.58,24.5,0.0,0.89,23.29,8.22,65.2
20070410,28.73,23.31,0.0,0.8,24.33,6.86,58.15
20070411,29.03,22.67,0.0,0.86,26.98,6.67,44.18
20070412,29.06,21.79,0.0,1.34,23.34,6.06,40.81
20070413,26.35,22.65,0.0,1.02,21.03,7.47,46.42
20070414,29.5,20.53,0.0,0.75,27.52,2.73,24.71
20070415,29.78,21.4,0.0,1.02,27.12,5.15,24.63
20070416,29.13,21.27,0.0,1.11,20.61,3.93,31.07
20070417,30.19,21.01,0.0,0.8,24.8,4.91,29.8
20070418,30.13,22.82,0.0,0.99,28.06,7.72,19.2
20070419,27.62,23.15,0.0,0.97,27.44,8.88,23.42
20070420,30.6,21.59,0.0,1.15,26.64,5.98,30.48
20070421,29.78,21.1,0.0,1.03,22.65,4.78,29.92
20070422,22.93,24.45,0.0,0.83,23.84,5.71,25.56
20070423,28.62,23.33,0.0,0.99,26.95,10.23,26.9
20070424,30.82,21.7,0.0,0.92,25.85,7.47,22.77
20070425,31.13,21.7,0.0,0.87,29.71,7.36,14.79
20070426,22.93,25.92,0.0,1.08,26.56,8.75,23.13
20070427,30.12,24.1,0.0,0.88,28.8,6.1,30.78
20070428,27.64,25.45,1.37,0.8,28.89,9.15,32.29
20070429,30.68,22.34,2.35,0.79,27.27,9.74,33.67
20070430,31.06,22.84,0.28,0.78,29.3,9.85,29.62
20070501,25.34,25.2,0.0,0.96,27.22,11.9,28.08
20070502,31.49,22.2,0.0,0.97,28.59,8.04,29.99
20070503,31.03,23.29,0.0,0.87,30.49,8.63,25.06
20070504,31.26,23.24,0.0,1.14,28.57,9.64,30.56
20070505,30.99,23.33,0.0,1.18,26.38,6.68,43.83
20070506,30.48,23.75,0.0,0.87,25.79,6.93,50.36
20070507,30.91,23.63,0.0,0.94,28.09,8.24,39.77
20070508,31.79,22.65,0.0,0.97,28.77,7.87,26.72
20070509,31.61,23.6,0.0,0.91,29.95,8.44,18.24
20070510,31.34,24.79,0.0,0.75,33.98,9.98,20.03
20070511,27.66,27.11,0.0,0.84,35.7,11.87,19.41
20070512,26.44,27.83,0.0,1.04,35.18,13.77,20.2
20070513,27.7,27.06,0.0,1.04,33.72,14.33,28.56
20070514,31.22,25.09,0.0,1.0,31.34,12.89,32.57
20070515,31.72,24.62,0.0,0.92,32.46,10.14,24.83
20070516,29.3,25.12,0.61,0.99,33.11,12.17,24.01
20070517,31.71,23.52,0.25,0.97,32.81,11.19,24.32
20070518,30.03,24.3,0.05,1.0,32.69,10.59,20.54
20070519,30.55,24.95,0.0,0.97,32.67,11.69,18.63
20070520,30.32,24.6,0.0,1.12,30.32,10.88,29.32
20070521,32.23,21.96,0.0,1.08,28.6,8.99,36.66
20070522,32.11,22.63,0.0,1.08,28.32,8.05,38.56
20070523,32.11,23.53,0.0,1.01,29.87,8.6,34.21
20070524,32.46,23.46,0.0,0.97,32.31,9.19,26.09
20070525,31.84,23.15,0.0,1.0,32.3,10.61,24.52
20070526,31.59,23.51,0.13,0.98,31.35,10.58,23.83
20070527,31.45,23.85,0.0,1.05,31.01,10.47,16.94
20070528,31.14,24.67,0.0,0.94,30.96,12.16,17.08
20070529,26.95,27.16,0.0,0.92,31.23,13.96,25.01
20070530,31.72,25.91,0.0,0.83,32.47,14.21,26.79
20070531,31.64,25.58,0.0,1.01,34.03,13.8,26.98
20070601,32.63,23.98,0.0,1.07,32.23,12.61,20.07
20070602,31.61,25.69,0.0,0.93,34.08,14.69,21.48
20070603,31.66,25.08,0.0,0.96,33.31,12.24,23.99
20070604,31.7,26.0,0.0,0.85,35.53,13.96,20.4
20070605,30.94,26.41,0.0,0.99,33.97,15.27,24.62
20070606,32.03,25.42,0.0,1.18,29.91,13.14,36.81
20070607,32.34,24.68,0.0,1.04,30.43,10.28,38.79
20070608,31.52,25.72,0.0,0.91,34.16,10.97,23.37
20070609,26.97,28.23,2.39,0.93,32.78,14.76,22.32
20070610,21.83,30.77,2.36,0.68,31.41,13.89,40.69
20070611,8.65,31.68,2.93,0.65,27.69,16.18,52.48
20070612,22.31,30.58,1.09,0.73,31.52,15.14,50.32
20070613,27.57,29.15,0.0,0.8,35.69,15.02,35.56
20070614,24.57,31.21,0.76,0.85,35.13,17.32,26.53
20070615,27.14,30.04,0.23,0.88,35.12,19.52,27.41
20070616,23.1,30.06,3.82,0.91,36.37,17.38,38.42
20070617,18.85,31.31,1.27,0.73,32.22,16.51,51.77
20070618,26.94,29.82,8.65,0.55,30.91,18.05,61.96
20070619,21.41,31.49,6.64,0.56,32.87,16.39,61.85
20070620,25.03,30.59,2.62,0.48,36.7,16.64,53.11
20070621,29.38,29.25,0.0,0.7,36.42,16.33,45.09
20070622,26.69,29.42,0.87,0.73,34.26,17.67,49.57
20070623,23.23,31.04,4.79,0.62,31.06,17.72,60.19
20070624,26.4,29.92,9.21,0.57,32.78,18.26,59.92
20070625,26.89,30.61,1.36,0.61,36.42,17.7,51.35
