CVE_MUN,Municipio,REC_PV,CON_PV,SP_PV,EXP_PV,REC_OI,CON_OI,SP_OI,EXP_OI,PER_CA,TEMP_CA,EROS,SPT_PV,SPT_OI,ISAG_PV,ISAG_OI,ISAG_PV_label,ISAG_OI_label
1,Aconchi,20.8835341365461,15,5,3,14.7410358565737,5,5,3,35.2941176470588,9.95271537748901,99.9112101747016,8,8,1,1,Alta,Alta
2,Agua Prieta,40.1606425702811,35,6,3,29.0836653386454,30,6,3,89.7435897435897,14.5679364281604,55.6293946034605,9,9,2,2,Media,Media
4,Altar,39.7590361445783,35,6,3,19.5219123505976,10,5,3,93.5714285714285,8.07666332594009,39.5235728530669,9,9,2,2,Media,Media
5,Arivechi,20.4819277108433,10,5,3,13.5458167330677,5,5,3,83.3333333333333,85.1802841192833,81.1203280016748,12,12,3,3,Baja,Baja
6,Arizpe,26.9076305220883,20,6,3,17.5298804780876,5,5,3,86.0544217687073,51.3922544634538,98.61649491034,11,11,3,3,Baja,Baja
7,Atil,30.5220883534136,25,6,3,18.7250996015936,10,5,3,100.0,0.615668770201631,83.038040339027,10,10,3,3,Baja,Baja
8,Bacadéhuachi,21.2851405622489,10,5,3,14.3426294820717,10,5,3,99.4047619047619,19.6579642523815,100.0,10,10,3,3,Baja,Baja
9,Bacanora,22.0883534136546,15,5,3,12.7490039840637,5,5,3,98.1651376146788,79.5353869176674,91.6954503862102,12,12,3,3,Baja,Baja
10,Bacerac,22.0883534136546,15,5,3,18.7250996015936,10,5,3,97.7777777777777,19.7306726485518,89.0484227089308,10,10,3,3,Baja,Baja
11,Bacoachi,30.1204819277108,25,6,3,17.9282868525896,5,5,3,96.629213483146,31.1143298505956,73.203638921195,10,10,3,3,Baja,Baja
13,Banámichi,23.293172690763,20,6,3,17.5298804780876,5,5,3,74.2857142857142,15.5942028589936,100.0,9,9,2,2,Media,Media
15,Bavispe,30.5220883534136,20,6,3,24.3027888446215,20,6,3,97.9797979797979,0.898158549305945,88.2784267585511,10,10,3,3,Baja,Baja
