Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1985,1,Aguascalientes,1,1,5070000,Ajo,903.0,0.0,8776.0,9.72,103.19,905631.0
1985,1,Aguascalientes,1,1,5270000,Alpiste,14.0,0.0,13.0,0.93,116.08,1509.0
1985,1,Aguascalientes,1,1,5490000,Avena forrajera en verde,1693.0,1.0,37325.0,22.05,3.73,139222.0
1985,1,Aguascalientes,1,1,5670000,Brócoli,155.0,2.0,1334.0,8.61,31.4,41888.0
1985,1,Aguascalientes,1,1,5900000,Cebada forrajera en verde,12.0,0.0,240.0,20.0,4.0,960.0
1985,1,Aguascalientes,1,1,5940000,Cebolla,83.0,3.0,1281.0,15.43,18.53,23733.0
1985,1,Aguascalientes,1,1,6310000,Col (repollo),236.0,4.0,5564.0,23.58,4.99,27787.0
1985,1,Aguascalientes,1,1,6320000,Col de bruselas,88.0,0.0,1030.0,11.7,30.0,30900.0
1985,1,Aguascalientes,1,1,6330000,Coliflor,95.0,0.0,1081.0,11.38,41.11,44440.0
1985,1,Aguascalientes,1,1,9050000,Trigo grano,6.0,0.0,12.0,2.0,39.0,468.0
1985,1,Aguascalientes,1,1,9270000,Zanahoria,16.0,1.0,308.0,19.25,24.13,7432.0
1985,1,Aguascalientes,2,1,5490000,Avena forrajera en verde,32.0,2.0,563.0,17.59,3.38,1901.0
1985,1,Aguascalientes,2,1,5670000,Brócoli,246.0,0.0,2246.0,9.13,62.13,139555.0
1985,1,Aguascalientes,2,1,5740000,Calabacita,236.0,6.0,4165.0,17.65,28.74,119702.0
1985,1,Aguascalientes,2,1,5790000,Camote,3.0,0.0,38.0,12.67,16.32,620.0
1985,1,Aguascalientes,2,1,5940000,Cebolla,62.0,1.0,970.0,15.65,18.29,17745.0
1985,1,Aguascalientes,2,1,6070000,Chícharo,10.0,1.0,12.0,1.2,44.08,529.0
1985,1,Aguascalientes,2,1,6120000,Chile verde,1989.0,554.0,11660.0,5.86,121.09,1411897.0
1985,1,Aguascalientes,2,1,6310000,Col (repollo),290.0,1.0,15760.0,54.34,7.21,113617.0
1985,1,Aguascalientes,2,1,6320000,Col de bruselas,94.0,0.0,952.0,10.13,47.29,45020.0
1985,1,Aguascalientes,2,1,6330000,Coliflor,111.0,1.0,1150.0,10.36,46.5,53475.0
1985,1,Aguascalientes,2,1,6600000,Ejote,4.0,0.0,4.0,1.0,60.0,240.0
1985,1,Aguascalientes,2,1,6610000,Elote,68.0,2.0,1179.0,17.34,19.07,22489.0
1985,1,Aguascalientes,2,1,6840000,Frijol,3014.0,119.0,4357.0,1.45,176.1,767250.0
1985,1,Aguascalientes,2,1,7330000,Lechuga,53.0,0.0,842.0,15.89,10.08,8485.0
1985,1,Aguascalientes,2,1,7470000,Maíz forrajero en verde,4067.0,70.0,168003.0,41.31,4.77,800870.0
1985,1,Aguascalientes,2,1,7490000,Maíz grano,9921.0,339.0,36580.0,3.69,56.48,2066112.0
1985,1,Aguascalientes,2,1,8100000,Papa,321.0,5.0,7573.0,23.59,28.78,217943.0
1985,1,Aguascalientes,2,1,8210000,Pepino,18.0,6.0,232.0,12.89,23.45,5440.0
1985,1,Aguascalientes,2,1,8790000,Sorgo forrajero en verde,66.0,20.0,1824.0,27.64,4.6,8390.0
1985,1,Aguascalientes,2,1,8810000,Sorgo grano,1265.0,2.0,6981.0,5.52,37.02,258465.0
1985,1,Aguascalientes,2,1,8970000,Tomate rojo (jitomate),100.0,1.0,1396.0,13.96,66.82,93284.0
1985,1,Aguascalientes,2,1,8980000,Tomate verde,166.0,0.0,2658.0,16.01,37.63,100013.0
1985,1,Aguascalientes,2,1,9270000,Zanahoria,21.0,0.0,471.0,22.43,47.96,22590.0
1985,1,Aguascalientes,2,2,5490000,Avena forrajera en verde,402.0,86.0,2694.0,6.7,3.95,10639.0
1985,1,Aguascalientes,2,2,5900000,Cebada forrajera en verde,1.0,5.0,4.0,4.0,4.0,16.0
1985,1,Aguascalientes,2,2,5920000,Cebada grano,6.0,4.0,5.0,0.83,40.0,200.0
1985,1,Aguascalientes,2,2,6840000,Frijol,15080.0,5772.0,1933.0,0.13,157.04,303560.0
1985,1,Aguascalientes,2,2,6940000,Girasol,50.0,65.0,11.0,0.22,114.73,1262.0
1985,1,Aguascalientes,2,2,7470000,Maíz forrajero en verde,7742.0,681.0,69137.0,8.93,3.56,245920.0
1985,1,Aguascalientes,2,2,7490000,Maíz grano,38735.0,39347.0,8503.0,0.22,54.68,464919.0
1985,1,Aguascalientes,2,2,8790000,Sorgo forrajero en verde,867.0,247.0,10210.0,11.78,4.8,49039.0
1985,1,Aguascalientes,2,2,8810000,Sorgo grano,49.0,93.0,49.0,1.0,35.0,1715.0
1985,1,Aguascalientes,2,2,9050000,Trigo grano,15.0,0.0,4.0,0.27,39.0,156.0
1985,1,Aguascalientes,3,1,5060000,Aguacate,8.0,0.0,80.0,10.0,80.0,6400.0
1985,1,Aguascalientes,3,1,5170000,Alfalfa verde,5697.0,0.0,340387.0,59.75,3.92,1332955.0
1985,1,Aguascalientes,3,1,6020000,Chabacano,0.0,0.0,0.0,0.0,0.0,0.0
1985,1,Aguascalientes,3,1,6220000,Ciruela,12.0,0.0,21.0,1.75,132.86,2790.0
1985,1,Aguascalientes,3,1,6530000,Durazno,1463.0,0.0,15233.0,10.41,141.69,2158425.0
1985,1,Aguascalientes,3,1,7060000,Guayaba,560.0,0.0,9520.0,17.0,42.3,402696.0
1985,1,Aguascalientes,3,1,7380000,Lima,3.0,0.0,60.0,20.0,50.0,3000.0
1985,1,Aguascalientes,3,1,7390000,Limón,2.0,0.0,20.0,10.0,15.0,300.0
1985,1,Aguascalientes,3,1,7580000,Manzana,0.0,0.0,0.0,0.0,0.0,0.0
1985,1,Aguascalientes,3,1,7690000,Membrillo,9.0,0.0,10.0,1.11,41.0,410.0
1985,1,Aguascalientes,3,1,7850000,Naranja,2.0,0.0,40.0,20.0,50.0,2000.0
1985,1,Aguascalientes,3,1,7920000,Nopalitos,4.0,0.0,72.0,18.0,0.99,71.0
1985,1,Aguascalientes,3,1,7960000,Nuez,133.0,0.0,107.0,0.8,402.16,43031.0
1985,1,Aguascalientes,3,1,8260000,Persimonio,4.0,0.0,11.0,2.75,185.45,2040.0
1985,1,Aguascalientes,3,1,9130000,Uva,7975.0,0.0,96997.0,12.16,32.52,3154342.0
1985,2,Baja California,1,1,5070000,Ajo,148.0,0.0,1381.0,9.33,94.97,131154.0
1985,2,Baja California,1,1,5370000,Apio,3.0,3.0,7.0,2.33,217.86,1525.0
1985,2,Baja California,1,1,5490000,Avena forrajera en verde,1012.0,131.0,19318.0,19.09,15.8,305186.0
1985,2,Baja California,1,1,5640000,Betabel,6.0,0.0,73.0,12.17,60.0,4380.0
1985,2,Baja California,1,1,5670000,Brócoli,199.0,20.0,2642.0,13.28,90.5,239109.0
1985,2,Baja California,1,1,5740000,Calabacita,619.0,127.0,5187.0,8.38,53.04,275113.0
1985,2,Baja California,1,1,5760000,Calabaza,2.0,0.0,25.0,12.5,70.0,1750.0
1985,2,Baja California,1,1,5870000,Cártamo,1126.0,48.0,2231.0,1.98,66.5,148362.0
1985,2,Baja California,1,1,5900000,Cebada forrajera en verde,744.0,32.0,6014.0,8.08,9.2,55317.0
1985,2,Baja California,1,1,5920000,Cebada grano,7031.0,1013.0,19589.0,2.79,36.65,717996.0
1985,2,Baja California,1,1,5940000,Cebolla,1897.0,150.0,28052.0,14.79,49.91,1400188.0
1985,2,Baja California,1,1,6070000,Chícharo,108.0,15.0,457.0,4.23,224.37,102539.0
1985,2,Baja California,1,1,6120000,Chile verde,51.0,0.0,773.0,15.16,82.48,63760.0
1985,2,Baja California,1,1,6190000,Cilantro,91.0,0.0,850.0,9.34,65.22,55439.0
1985,2,Baja California,1,1,6310000,Col (repollo),133.0,24.0,3017.0,22.68,21.2,63960.0
1985,2,Baja California,1,1,6320000,Col de bruselas,418.0,0.0,4907.0,11.74,35.03,171868.0
1985,2,Baja California,1,1,6330000,Coliflor,83.0,23.0,960.0,11.57,74.28,71313.0
1985,2,Baja California,1,1,6600000,Ejote,49.0,7.0,180.0,3.67,100.97,18174.0
1985,2,Baja California,1,1,6670000,Espinaca,46.0,0.0,421.0,9.15,52.0,21892.0
1985,2,Baja California,1,1,6840000,Frijol,11.0,0.0,9.0,0.82,62.44,562.0
1985,2,Baja California,1,1,7100000,Haba grano,21.0,4.0,113.0,5.38,78.29,8847.0
1985,2,Baja California,1,1,7330000,Lechuga,762.0,36.0,14147.0,18.57,38.99,551620.0
1985,2,Baja California,1,1,7490000,Maíz grano,12.0,5.0,49.0,4.08,63.82,3127.0
1985,2,Baja California,1,1,7670000,Melón,52.0,0.0,778.0,14.96,16.25,12643.0
1985,2,Baja California,1,1,7780000,Nabo,15.0,1.0,159.0,10.6,55.0,8745.0
1985,2,Baja California,1,1,8100000,Papa,103.0,3.0,2097.0,20.36,27.17,56973.0
1985,2,Baja California,1,1,8210000,Pepino,1.0,1.0,15.0,15.0,20.0,300.0
1985,2,Baja California,1,1,8240000,Perejil,18.0,2.0,155.0,8.61,94.1,14586.0
1985,2,Baja California,1,1,8490000,Rábano,311.0,0.0,3435.0,11.05,81.57,280203.0
1985,2,Baja California,1,1,8540000,Remolacha forrajera,629.0,0.0,34362.0,54.63,5.0,171810.0
1985,2,Baja California,1,1,8710000,Sandía,81.0,0.0,1707.0,21.07,47.67,81371.0
1985,2,Baja California,1,1,8970000,Tomate rojo (jitomate),829.0,23.0,33972.0,40.98,87.71,2979786.0
1985,2,Baja California,1,1,8980000,Tomate verde,10.0,1.0,59.0,5.9,104.15,6145.0
1985,2,Baja California,1,1,9050000,Trigo grano,78252.0,7314.0,349829.0,4.47,37.7,13189953.0
1985,2,Baja California,1,1,9270000,Zanahoria,100.0,5.0,1865.0,18.65,45.89,85581.0
1985,2,Baja California,1,2,5490000,Avena forrajera en verde,1541.0,2089.0,2929.0,1.9,13.54,39653.0
1985,2,Baja California,1,2,5510000,Avena grano,40.0,0.0,30.0,0.75,30.0,900.0
1985,2,Baja California,1,2,5900000,Cebada forrajera en verde,5875.0,9915.0,10495.0,1.79,13.34,140003.0
1985,2,Baja California,1,2,5920000,Cebada grano,4387.0,0.0,4120.0,0.94,37.41,154117.0
1985,2,Baja California,1,2,9050000,Trigo grano,8885.0,7467.0,5858.0,0.66,35.69,209066.0
1985,2,Baja California,2,1,5080000,Ajonjolí,17754.0,848.0,17985.0,1.01,150.0,2697750.0
1985,2,Baja California,2,1,5190000,Algodón hueso,38238.0,840.0,153410.0,4.01,60.24,9241418.0
1985,2,Baja California,2,1,5370000,Apio,3.0,4.0,62.0,20.67,33.34,2067.0
1985,2,Baja California,2,1,5490000,Avena forrajera en verde,6.0,0.0,42.0,7.0,2.5,105.0
1985,2,Baja California,2,1,5670000,Brócoli,7.0,12.0,120.0,17.14,80.0,9600.0
1985,2,Baja California,2,1,5740000,Calabacita,253.0,118.0,2545.0,10.06,54.03,137517.0
1985,2,Baja California,2,1,5760000,Calabaza,76.0,13.0,1405.0,18.49,46.48,65300.0
1985,2,Baja California,2,1,5900000,Cebada forrajera en verde,53.0,0.0,549.0,10.36,5.63,3093.0
1985,2,Baja California,2,1,5920000,Cebada grano,165.0,0.0,516.0,3.13,53.09,27397.0
1985,2,Baja California,2,1,5940000,Cebolla,638.0,26.0,9155.0,14.35,237.05,2170202.0
