Anio,Idestado,Nomestado,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1986,1,Aguascalientes,1,Riego,Tonelada,Ajo,1001.0,0.0,9419.0,9.41,299.26,2818750.0
1986,1,Aguascalientes,1,Riego,Tonelada,Avena forrajera en verde,1800.0,0.0,37795.0,21.0,6.04,228365.0
1986,1,Aguascalientes,1,Riego,Tonelada,Brócoli,19.0,0.0,137.0,7.21,39.99,5479.0
1986,1,Aguascalientes,1,Riego,Tonelada,Calabacita,4.0,0.0,60.0,15.0,6.0,360.0
1986,1,Aguascalientes,1,Riego,Tonelada,Cebada forrajera en verde,3.0,0.0,54.0,18.0,3.96,214.0
1986,1,Aguascalientes,1,Riego,Tonelada,Cebolla,24.0,0.0,278.0,11.58,21.92,6093.0
1986,1,Aguascalientes,1,Riego,Tonelada,Chícharo,8.0,0.0,40.0,5.0,151.73,6069.0
1986,1,Aguascalientes,1,Riego,Tonelada,Cilantro,5.0,0.0,7.0,1.4,105.0,735.0
1986,1,Aguascalientes,1,Riego,Tonelada,Col (repollo),164.0,0.0,4549.0,27.74,8.9,40469.0
1986,1,Aguascalientes,1,Riego,Tonelada,Coliflor,4.0,0.0,60.0,15.0,69.0,4140.0
1986,1,Aguascalientes,1,Riego,Tonelada,Lechuga,34.0,0.0,625.0,18.38,37.72,23577.0
1986,1,Aguascalientes,1,Riego,Tonelada,Trigo grano,52.0,0.0,121.0,2.33,65.5,7925.0
1986,1,Aguascalientes,1,Riego,Tonelada,Zanahoria,7.0,0.0,102.0,14.57,38.0,3876.0
1986,1,Aguascalientes,2,Riego,Tonelada,Alpiste,6.0,0.0,9.0,1.5,250.0,2250.0
1986,1,Aguascalientes,2,Riego,Tonelada,Avena forrajera en verde,49.0,0.0,1190.0,24.29,7.05,8393.0
1986,1,Aguascalientes,2,Riego,Tonelada,Brócoli,329.0,0.0,3148.0,9.57,81.56,256765.0
