Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2001,1,Aguascalientes,1,1,Acelga,1.0,0.0,14.0,14.0,1392.9,19500.6
2001,1,Aguascalientes,1,1,Ajo,307.0,0.0,3317.2,10.81,5145.0,17066994.0
2001,1,Aguascalientes,1,1,Avena forrajera en verde,3526.0,2.0,89654.0,25.43,300.0,26896200.0
2001,1,Aguascalientes,1,1,Brócoli,143.0,0.0,1674.5,11.71,3024.7,5064860.15
2001,1,Aguascalientes,1,1,Cebada grano,144.0,0.0,505.6,3.51,1804.2,912203.52
2001,1,Aguascalientes,1,1,Cebolla,20.0,0.0,419.0,20.95,1822.7,763711.3
2001,1,Aguascalientes,1,1,Cilantro,3.0,0.0,18.0,6.0,1200.0,21600.0
2001,1,Aguascalientes,1,1,Col (repollo),43.0,0.0,1618.0,37.63,1167.2,1888533.5
2001,1,Aguascalientes,1,1,Coliflor,89.0,0.0,1346.5,15.13,2990.0,4026035.0
2001,1,Aguascalientes,1,1,Ebo (janamargo o veza),4.0,0.0,144.0,36.0,350.0,50400.0
2001,1,Aguascalientes,1,1,Espinaca,52.0,0.0,988.0,19.0,3000.0,2964000.0
2001,1,Aguascalientes,1,1,Lechuga,72.0,0.0,2126.0,29.53,1635.0,3476010.0
2001,1,Aguascalientes,1,1,Rábano,2.0,0.0,14.0,7.0,1500.0,21000.0
2001,1,Aguascalientes,1,1,Triticale forrajero en verde,25.0,0.0,910.0,36.4,273.7,249067.0
2001,1,Aguascalientes,1,1,Zanahoria,96.0,0.0,1665.0,17.34,1740.5,2897932.5
2001,1,Aguascalientes,1,1,Pastos y praderas,1848.0,0.0,110961.0,60.04,288.0,31956768.0
2001,1,Aguascalientes,2,1,Acelga,2.0,0.0,16.0,8.0,2050.0,32800.0
2001,1,Aguascalientes,2,1,Avena forrajera en verde,49.0,0.0,1156.0,23.59,325.7,376509.2
2001,1,Aguascalientes,2,1,Betabel,1.0,0.0,14.0,14.0,950.0,13300.0
2001,1,Aguascalientes,2,1,Brócoli,84.0,0.0,964.0,11.48,3700.0,3566800.0
