Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2007,139,55,San Luis Río Colorado,1,1,Alcachofa,41.0,41.0,0.0,395.0,9.63,23500.0,9282500.0
2007,139,55,San Luis Río Colorado,1,1,Apio,85.0,85.0,0.0,2550.0,30.0,9100.0,23205000.0
2007,139,55,San Luis Río Colorado,1,1,Avena forrajera en verde,75.0,75.0,0.0,1650.0,22.0,960.0,1584000.0
2007,139,55,San Luis Río Colorado,1,1,Betabel,74.0,74.0,0.0,1036.0,14.0,8500.0,8806000.0
2007,139,55,San Luis Río Colorado,1,1,Brócoli,322.0,322.0,0.0,2576.0,8.0,11800.0,30396800.0
2007,139,55,San Luis Río Colorado,1,1,Cártamo,186.0,186.0,0.0,252.2,1.36,3040.0,766688.0
2007,139,55,San Luis Río Colorado,1,1,Cebada forrajera en verde,55.0,55.0,0.0,1085.25,19.73,920.0,998430.0
2007,139,55,San Luis Río Colorado,1,1,Cebolla,1023.0,1023.0,0.0,17325.22,16.94,9508.35,164734228.0
2007,139,55,San Luis Río Colorado,1,1,Cilantro,233.0,233.0,0.0,1864.0,8.0,8000.0,14912000.0
2007,139,55,San Luis Río Colorado,1,1,Col (repollo),147.0,147.0,0.0,6468.0,44.0,3600.0,23284800.0
2007,139,55,San Luis Río Colorado,1,1,Espinaca,55.0,55.0,0.0,330.0,6.0,6000.0,1980000.0
2007,139,55,San Luis Río Colorado,1,1,Kale,42.0,42.0,0.0,673.25,16.03,7900.0,5318675.0
2007,139,55,San Luis Río Colorado,1,1,Lechuga,164.0,151.0,13.0,3473.0,23.0,12000.0,41676000.0
2007,139,55,San Luis Río Colorado,1,1,Perejil,200.0,200.0,0.0,3200.0,16.0,8000.0,25600000.0
2007,139,55,San Luis Río Colorado,1,1,Poro (leek),78.0,78.0,0.0,624.0,8.0,9050.0,5647200.0
2007,139,55,San Luis Río Colorado,1,1,Rábano,204.0,204.0,0.0,1938.0,9.5,8000.0,15504000.0
2007,139,55,San Luis Río Colorado,1,1,Rapini,84.0,84.0,0.0,1462.0,17.4,11505.0,16820310.0
2007,139,55,San Luis Río Colorado,1,1,Trigo grano,13835.0,13835.0,0.0,95461.58,6.9,2028.58,193651583.42
2007,139,55,San Luis Río Colorado,1,1,Varios,164.0,164.0,0.0,3304.92,20.15,8000.0,26439360.0
2007,139,55,San Luis Río Colorado,1,1,Zanahoria,56.0,56.0,0.0,980.4,17.51,4500.0,4411800.0
2007,139,55,San Luis Río Colorado,1,1,Pastos y praderas,31.0,31.0,0.0,527.0,17.0,855.0,450585.0
2007,139,55,San Luis Río Colorado,2,1,Algodón hueso,3542.0,3530.0,12.0,14125.0,4.0,4500.0,63562500.0
2007,139,55,San Luis Río Colorado,2,1,Calabacita,69.0,69.0,0.0,1794.54,26.01,8800.0,15791952.0
2007,139,55,San Luis Río Colorado,2,1,Cebolla,706.0,695.0,11.0,7351.31,10.58,14300.0,105123733.0
2007,139,55,San Luis Río Colorado,2,1,Chile verde,5.0,5.0,0.0,87.46,17.49,6500.0,568490.0
2007,139,55,San Luis Río Colorado,2,1,Hortalizas,15.0,15.0,0.0,67.5,4.5,9500.0,641250.0
2007,139,55,San Luis Río Colorado,2,1,Maíz grano,204.0,204.0,0.0,1020.0,5.0,2400.0,2448000.0
2007,139,55,San Luis Río Colorado,2,1,Melón,68.0,68.0,0.0,1632.5,24.01,3500.0,5713750.0
2007,139,55,San Luis Río Colorado,2,1,Sandía,70.0,70.0,0.0,2347.8,33.54,3000.0,7043400.0
2007,139,55,San Luis Río Colorado,2,1,Sorgo forrajero en verde,892.0,892.0,0.0,18446.81,20.68,980.0,18077873.8
2007,139,55,San Luis Río Colorado,2,1,Sorgo grano,2582.0,2582.0,0.0,13400.58,5.19,1900.0,25461102.0
2007,139,55,San Luis Río Colorado,2,1,Tomate rojo (jitomate),5.0,5.0,0.0,133.52,26.7,4500.0,600840.0
2007,139,55,San Luis Río Colorado,2,1,Tomate verde,70.0,70.0,0.0,460.89,6.58,4000.0,1843560.0
2007,139,55,San Luis Río Colorado,2,1,Pastos y praderas,125.0,125.0,0.0,2250.0,18.0,910.0,2047500.0
2007,139,55,San Luis Río Colorado,3,1,Alfalfa achicalada,3100.0,3100.0,0.0,62992.0,20.32,1448.0,91212416.0
2007,139,55,San Luis Río Colorado,3,1,Dátil,232.0,232.0,0.0,1436.0,6.19,40000.0,57440000.0
2007,139,55,San Luis Río Colorado,3,1,Espárrago,660.0,660.0,0.0,2178.0,3.3,26972.0,58745016.0
2007,139,55,San Luis Río Colorado,3,1,Naranja,24.0,24.0,0.0,196.8,8.2,1300.0,255840.0
2007,139,70,General Plutarco Elías Calles,1,1,Avena forrajera en verde,20.0,20.0,0.0,360.0,18.0,825.0,297000.0
2007,139,70,General Plutarco Elías Calles,1,1,Trigo grano,813.0,813.0,0.0,3475.65,4.28,2396.0,8327657.4
2007,139,70,General Plutarco Elías Calles,1,1,Pastos y praderas,46.0,46.0,0.0,782.0,17.0,855.0,668610.0
2007,139,70,General Plutarco Elías Calles,2,1,Algodón hueso,685.0,685.0,0.0,1712.5,2.5,4270.0,7312375.0
2007,139,70,General Plutarco Elías Calles,2,1,Calabacita,3.0,3.0,0.0,56.0,18.67,7500.0,420000.0
2007,139,70,General Plutarco Elías Calles,2,1,Maíz grano,12.0,12.0,0.0,55.0,4.58,3500.0,192500.0
2007,139,70,General Plutarco Elías Calles,2,1,Melón,4.0,4.0,0.0,16.0,4.0,5000.0,80000.0
2007,139,70,General Plutarco Elías Calles,2,1,Sandía,65.0,25.0,40.0,250.0,10.0,1400.0,350000.0
2007,139,70,General Plutarco Elías Calles,2,1,Sorgo forrajero en verde,95.0,95.0,0.0,1840.35,19.37,980.0,1803543.0
2007,139,70,General Plutarco Elías Calles,2,1,Sorgo grano,5.0,5.0,0.0,5.5,1.1,1850.0,10175.0
2007,139,70,General Plutarco Elías Calles,2,1,Varios,12.0,12.0,0.0,161.0,13.42,4200.0,676200.0
2007,139,70,General Plutarco Elías Calles,3,1,Alfalfa achicalada,1329.0,1329.0,0.0,24785.85,18.65,1443.0,35765981.55
2007,139,70,General Plutarco Elías Calles,3,1,Espárrago,45.0,45.0,0.0,144.0,3.2,26972.0,3883968.0
2007,139,17,Caborca,1,1,Avena forrajera en verde,82.0,82.0,0.0,1558.0,19.0,950.0,1480100.0
2007,139,17,Caborca,1,1,Cártamo,139.0,139.0,0.0,346.8,2.49,3040.0,1054272.0
2007,139,17,Caborca,1,1,Melón,270.0,270.0,0.0,6750.0,25.0,9800.0,66150000.0
2007,139,17,Caborca,1,1,Papa,120.0,120.0,0.0,3960.0,33.0,3000.0,11880000.0
2007,139,17,Caborca,1,1,Trigo forrajero verde,10.0,10.0,0.0,150.0,15.0,900.0,135000.0
2007,139,17,Caborca,1,1,Trigo grano,1925.0,1925.0,0.0,12267.26,6.37,2370.82,29083474.96
2007,139,17,Caborca,1,1,Varios,26.0,26.0,0.0,585.0,22.5,8000.0,4680000.0
2007,139,17,Caborca,1,1,Pastos y praderas,111.0,111.0,0.0,2109.0,19.0,950.0,2003550.0
2007,139,17,Caborca,2,1,Algodón hueso,50.0,50.0,0.0,142.68,2.85,4270.0,609243.6
2007,139,17,Caborca,2,1,Calabacita,6.0,6.0,0.0,87.5,14.58,8200.0,717500.0
2007,139,17,Caborca,2,1,Chile verde,35.0,35.0,0.0,655.24,18.72,5350.0,3505534.0
2007,139,17,Caborca,2,1,Melón,560.0,560.0,0.0,16202.75,28.93,6332.32,102601012.5
2007,139,17,Caborca,2,1,Papa,314.0,264.0,50.0,7798.6,29.54,2500.0,19496500.0
2007,139,17,Caborca,2,1,Pepino,20.0,20.0,0.0,561.0,28.05,9200.0,5161200.0
2007,139,17,Caborca,2,1,Sandía,35.0,35.0,0.0,788.54,22.53,1550.0,1222237.0
2007,139,17,Caborca,2,1,Sorgo forrajero en verde,169.0,169.0,0.0,3258.5,19.28,980.0,3193330.0
2007,139,17,Caborca,2,1,Tomate verde,10.0,10.0,0.0,58.0,5.8,4500.0,261000.0
2007,139,17,Caborca,2,1,Varios,11.0,11.0,0.0,95.0,8.64,2225.0,211375.0
2007,139,17,Caborca,2,1,Pastos y praderas,65.0,65.0,0.0,1290.25,19.85,980.0,1264445.0
2007,139,17,Caborca,3,1,Aceituna,2080.0,2080.0,0.0,10826.59,5.21,6360.0,68857112.4
2007,139,17,Caborca,3,1,Alfalfa achicalada,950.0,950.0,0.0,18591.5,19.57,1443.0,26827534.5
2007,139,17,Caborca,3,1,Chabacano,21.0,21.0,0.0,133.0,6.33,9500.0,1263500.0
2007,139,17,Caborca,3,1,Dátil,8.0,8.0,0.0,49.6,6.2,39000.0,1934400.0
2007,139,17,Caborca,3,1,Durazno,65.0,65.0,0.0,405.0,6.23,11000.0,4455000.0
2007,139,17,Caborca,3,1,Espárrago,4578.0,4578.0,0.0,18769.8,4.1,26972.0,506259045.6
2007,139,17,Caborca,3,1,Higo,7.0,7.0,0.0,53.79,7.68,15000.0,806850.0
2007,139,17,Caborca,3,1,Naranja,204.0,204.0,0.0,1734.0,8.5,1350.0,2340900.0
2007,139,17,Caborca,3,1,Nuez,140.0,140.0,0.0,182.0,1.3,19250.0,3503500.0
2007,139,17,Caborca,3,1,Uva,7770.0,7770.0,0.0,60484.74,7.78,6968.81,421506831.2
2007,139,47,Pitiquito,1,1,Avena forrajera en verde,10.0,10.0,0.0,190.0,19.0,960.0,182400.0
2007,139,47,Pitiquito,1,1,Cártamo,126.0,126.0,0.0,314.5,2.5,3040.0,956080.0
