Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2012,139,70,General Plutarco Elías Calles,1,Riego,Tonelada,Avena forrajera en verde,15.0,15.0,0.0,277.5,18.5,950.0,263625.0
2012,139,70,General Plutarco Elías Calles,1,Riego,Tonelada,Trigo grano,853.0,853.0,0.0,4239.1,4.97,3750.0,15896625.0
2012,139,70,General Plutarco Elías Calles,1,Riego,Tonelada,Pastos y praderas,25.0,25.0,0.0,465.0,18.6,950.0,441750.0
2012,139,70,General Plutarco Elías Calles,2,Riego,Tonelada,Algodón hueso,1364.5,1364.5,0.0,3820.6,2.8,6179.19,23608213.31
2012,139,70,General Plutarco Elías Calles,2,Riego,Tonelada,Maíz grano,5.0,5.0,0.0,30.0,6.0,4200.0,126000.0
2012,139,70,General Plutarco Elías Calles,2,Riego,Tonelada,Sorgo forrajero en verde,5.0,5.0,0.0,114.0,22.8,950.0,108300.0
2012,139,70,General Plutarco Elías Calles,3,Riego,Tonelada,Alfalfa achicalada,1525.0,1525.0,0.0,18300.0,12.0,1905.0,34861500.0
2012,139,70,General Plutarco Elías Calles,3,Riego,Tonelada,Espárrago,45.0,45.0,0.0,369.0,8.2,30100.0,11106900.0
2012,139,17,Caborca,1,Riego,Tonelada,Avena forrajera en verde,53.0,53.0,0.0,999.05,18.85,950.0,949097.5
2012,139,17,Caborca,1,Riego,Tonelada,Cártamo,217.0,217.0,0.0,494.76,2.28,5600.0,2770656.0
2012,139,17,Caborca,1,Riego,Tonelada,Papa,91.0,91.0,0.0,2912.0,32.0,6803.6,19812083.2
2012,139,17,Caborca,1,Riego,Tonelada,Trigo grano,1685.0,1685.0,0.0,10025.75,5.95,3750.0,37596562.5
2012,139,17,Caborca,1,Riego,Tonelada,Pastos y praderas,111.0,111.0,0.0,2086.8,18.8,986.77,2059191.64
2012,139,17,Caborca,2,Riego,Tonelada,Calabacita,37.0,37.0,0.0,888.0,24.0,7100.0,6304800.0
2012,139,17,Caborca,2,Riego,Tonelada,Ejote,10.0,10.0,0.0,90.0,9.0,7300.0,657000.0
